Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
111,2,5,7,CST,Morning Event- June 5
112,6,11,17,CST,Morning Event- June 5
113,8,11,19,CST,Morning Event- June 5
114,3,5,8,CST,Morning Event- June 5
115,5,10,15,CST,Morning Event- June 5
116,5,5,10,CST,Morning Event- June 5
117,3,5,8,CST,Morning Event- June 5
118,8,5,13,CST,Morning Event- June 5
119,10,11,21,CST,Morning Event- June 5
120,6,5,11,CST,Morning Event- June 5
121,7,5,12,CST,Morning Event- June 5
122,5,5,10,CST,Morning Event- June 5
123,8,5,13,CST,Morning Event- June 5
124,5,5,10,CST,Morning Event- June 5
125,7,11,18,CST,Morning Event- June 5
126,4,5,9,CST,Morning Event- June 5
127,6,5,11,CST,Morning Event- June 5
128,6,11,17,CST,Morning Event- June 5
129,12,11,23,CST,Morning Event- June 5
130,14,11,25,CST,Morning Event- June 5
131,7,11,18,CST,Morning Event- June 5
132,4,5,9,CST,Morning Event- June 5
133,5,5,10,CST,Morning Event- June 5
134,7,11,18,CST,Morning Event- June 5
135,10,11,21,CST,Morning Event- June 5
136,3,5,8,CST,Morning Event- June 5
137,6,11,17,CST,Morning Event- June 5
138,6,11,17,CST,Morning Event- June 5
139,6,5,11,CST,Morning Event- June 5
140,7,16,23,CST,Morning Event- June 5
141,4,11,15,CST,Morning Event- June 5
143,4,5,9,CST,Morning Event- June 5
144,5,16,21,CST,Morning Event- June 5
145,10,5,15,CST,Morning Event- June 5
146,6,5,11,CST,Morning Event- June 5
147,6,6,12,CST,Morning Event- June 5
148,14,11,25,CST,Morning Event- June 5
149,4,5,9,CST,Morning Event- June 5
150,8,11,19,CST,Morning Event- June 5
151,14,11,25,CST,Morning Event- June 5
152,6,11,17,CST,Morning Event- June 5
153,7,5,12,CST,Morning Event- June 5
154,6,11,17,EST,Morning Event- June 5
155,2,5,7,CST,Morning Event- June 5
157,8,17,25,CST,Morning Event- June 5
158,5,5,10,CST,Morning Event- June 5
159,6,11,17,CST,Morning Event- June 5
160,7,5,12,CST,Morning Event- June 5
161,2,5,7,CST,Morning Event- June 5
162,5,5,10,CST,Morning Event- June 5
163,14,11,25,CST,Morning Event- June 5
164,6,6,12,CST,Morning Event- June 5
165,11,11,22,CST,Morning Event- June 5
166,3,5,8,CST,Morning Event- June 5
167,3,5,8,CST,Morning Event- June 5
168,4,16,20,CST,Morning Event- June 5
169,4,5,9,CST,Morning Event- June 5
170,8,5,13,CST,Morning Event- June 5
171,9,5,14,CST,Morning Event- June 5
172,2,11,13,CST,Morning Event- June 5
173,6,5,11,CST,Morning Event- June 5
174,3,11,14,EST,Morning Event- June 5
175,6,5,11,CST,Morning Event- June 5
176,4,5,9,CST,Morning Event- June 5
177,9,11,20,CST,Morning Event- June 5
178,6,5,11,CST,Morning Event- June 5
179,4,11,15,CST,Morning Event- June 5
180,7,6,13,CST,Morning Event- June 5
181,6,5,11,CST,Morning Event- June 5
182,9,5,14,CST,Morning Event- June 5
183,5,5,10,CST,Morning Event- June 5
184,2,16,18,CST,Morning Event- June 5
185,3,11,14,CST,Morning Event- June 5
186,4,6,10,CST,Morning Event- June 5
188,2,17,19,CST,Morning Event- June 5
189,12,11,23,CST,Morning Event- June 5
190,2,6,8,CST,Morning Event- June 5
192,3,16,19,CST,Morning Event- June 5
194,6,11,17,CST,Morning Event- June 5
195,3,11,14,CST,Morning Event- June 5
196,11,11,22,CST,Morning Event- June 5
197,8,11,19,CST,Morning Event- June 5
198,6,5,11,CST,Morning Event- June 5
199,6,6,12,CST,Morning Event- June 5
200,8,11,19,CST,Morning Event- June 5
201,4,11,15,CST,Morning Event- June 5
202,4,5,9,CST,Morning Event- June 5
203,6,5,11,CST,Morning Event- June 5
204,6,6,12,CST,Morning Event- June 5
205,8,5,13,CST,Morning Event- June 5
206,5,6,11,CST,Morning Event- June 5
207,2,5,7,CST,Morning Event- June 5
209,5,5,10,CST,Morning Event- June 5
210,6,5,11,CST,Morning Event- June 5
211,4,5,9,CST,Morning Event- June 5
212,4,11,15,CST,Morning Event- June 5
213,3,11,14,CST,Morning Event- June 5
