STORE_NBR,MARKET_AREA_NBR,REGION_NBR,InHome Van Count,InHome Van VIN(s),InHome Van VIN(s),InHome Van VIN(s),
1253,82,7,1,1FTBW3XK1NKA00603,,,
1256,266,25,2,1FTBW3XK6NKA22547,1FTBW3XK1NKA28434,,
1266,130,13,1,1FTBW3XK3NKA30475,,,
1273,389,54,2,1FTBW3XK7NKA28471,3C6MRVJG7PE509284,,
1279,59,6,1,1FTBW3XK8NKA35669,,,
1291,367,46,1,1FTBW3XK2NKA14378,,,
1308,380,54,1,1FTBW3XK9NKA30125,,,
1313,77,7,1,1FTBW3XK4NKA28492,,,
1314,24,2,1,1FTBW3XK3NKA14454,,,
1342,128,13,1,1FTBW3XK5NKA14245,,,
1347,87,7,2,1FTBW3XK0NKA28506,1FTBW3XK4NKA28511,,
1349,109,9,1,1FTBW3XK8NKA00498,,,
1353,128,13,2,1FTBW3XK7NKA14201,3C6MRVJG8PE575326,,
1373,23,2,1,1FTBW3XK5NKA14455,,,
1377,270,25,2,1FTBW3XK5NKA28386,3C6MRVJG0PE566426,,
1381,372,46,3,1FTBW3XK0NKA14167,3C6MRVJG7PE566360,3C6MRVJG6PE575356,
1385,305,26,1,1FTBW3XK5NKA30459,,,
1387,108,9,1,1FTBW3XK7NKA00525,,,
1390,111,3,2,1FTBW3XK7NKA22542,1FTBW3XK7NKA28504,,
1398,108,9,1,1FTBW3XK5NKA00510,,,
1401,265,25,2,1FTBW3XK0NKA22513,1FTBW3XK7NKA14246,,
1404,269,25,1,1FTBW3XK0NKA22480,,,
1409,65,6,1,1FTBW3XK9NKA35468,,,
1413,270,25,2,1FTBW3XK3NKA14406,3C6MRVJG7PE566486,,
1418,341,40,1,1FTBW3XK0NKA35634,,,
1420,264,25,1,1FTBW3XK9NKA08254,,,
1424,290,75,1,1FTBW3XK3NKA00599,,,
1434,391,54,1,1FTBW3XKXNKA28545,,,
1436,107,9,1,1FTBW3XK9NKA14345,,,
1441,221,21,1,1FTBW3XK9NKA35633,,,
1443,225,21,1,1FTBW3XK9NKA30464,,,
1444,98,3,1,1FTBW3XK3NKA00540,,,
1455,44,5,1,1FTBW3XK5NKA08252,,,
1458,120,12,1,1FTBW3XK2NKA22478,,,
1459,249,41,1,1FTBW3XK7NKA30365,,,
1469,120,12,1,1FTBW3XK3NKA22490,,,
1472,423,52,1,3C6MRVJG7PE568741,,,
1476,243,41,1,1FTBW3XK5NKA35645,,,
1481,13,14,2,1FTBW3XK0NKA14198,1FTBW3XK4NKA14186,,
1488,22,2,1,3C6MRVJG0ME551940,,,
1492,376,54,1,1FTBW3XK5NKA28405,,,
1497,266,25,1,1FTBW3XK0NKA00544,,,
1507,409,44,1,1FTBW3XK9NKA00462,,,
1510,225,21,1,1FTBW3XK9NKA30450,,,
1511,553,9,1,1FTBW3XK2NKA08256,,,
1512,371,46,1,1FTBW3XKXNKA28514,,,
1513,111,3,1,1FTBW3XK0NKA14475,,,
1514,340,40,2,1FTBW3XK2NKA35750,3C6MRVJG8PE522545,,
1517,108,9,1,1FTBW3XKXNKA14340,,,
1523,287,75,1,1FTBW3XK6NKA14142,,,
1524,290,75,1,1FTBW3XK9NKA08285,,,
1525,287,75,1,1FTBW3XKXNKA14127,,,
1531,270,25,1,1FTBW3XK0NKA14203,,,
1532,369,46,1,1FTBW3XK6NKA14156,,,
1533,369,46,1,3C6LRVDG4ME573530,,,
1536,111,3,1,1FTBW3XK9NKA22512,,,
1541,107,9,1,1FTBW3XK5NKA14360,,,
1549,368,46,1,3C6LRVDG5ME573553,,,
1552,308,26,1,1FTBW3XK0NKA00480,,,
1553,264,25,1,1FTBW3XK8NKA14126,,,
1556,266,25,1,1FTBW3XKXNKA00602,,,
1557,482,41,1,1FTBW3XK7NKA30124,,,
1560,396,57,1,1FTBW3XK2NKA30399,,,
1561,145,11,1,3C6MRVJG3PE599291,,,
1563,448,57,2,1FTBW3XK1NKA28479,1FTBW3XK7NKA28373,,
1577,424,52,1,3C6MRVJG0PE568869,,,
1578,24,2,1,3C6MRVJG5ME551951,,,
1584,396,57,1,1FTBW3XK2NKA30368,,,
1586,26,2,1,1FTBW3XK3NKA28547,,,
1588,445,58,1,3C6MRVJG6PE597700,,,
1589,108,9,1,1FTBW3XK1NKA00598,,,
1590,553,9,2,1FTBW3XK3NKA00473,1FTBW3XK8NKA00503,,
1594,219,21,2,1FTBW3XK5NKA14181,3C6MRVJGXPE597652,,
1596,265,25,1,1FTBW3XK9NKA00476,,,
1597,356,44,2,1FTBW3XK9NKA00557,3C6MRVJG9PE566442,,
1598,370,46,1,1FTBW3XK5NKA28484,,,
1599,362,40,1,1FTBW3XKXNKA14399,,,
1601,482,41,1,1FTBW3XK9NKA30108,,,
1606,119,12,1,1FTBW3XK2NKA22495,,,
1611,205,19,1,3C6MRVJGXPE573691,,,
1618,238,19,1,1FTBW3XK0NKA14234,,,
1626,352,44,2,1FTBW3XKXNKA00485,3C6MRVJG1PE592002,,
1631,288,75,1,1FTBW3XK9NKA14409,,,
1637,432,47,1,1FTBW3XK5NKA14357,,,
1646,372,46,1,1FTBW3XK5NKA28467,,,
1660,448,57,1,1FTBW3XK0NKA14220,,,
1662,304,26,1,1FTBW3XK6NKA14190,,,
1666,309,26,1,1FTBW3XK0NKA30448,,,
1668,269,25,1,1FTBW3XK7NKA14229,,,
1671,433,47,2,1FTBW3XK5NKA14472,3C6MRVJG2PE599301,,
1681,268,25,1,1FTBW3XK9NKA08240,,,
1682,288,75,1,1FTBW3XK3NKA14356,,,
1686,403,54,1,1FTBW3XK4NKA30369,,,
1688,289,75,2,1FTBW3XK8NKA14403,3C6MRVJG0PE599314,,
1689,376,54,2,1FTBW3XKXNKA28500,3C6MRVJG4PE592074,,
1711,2,14,1,1FTBW3XK2NKA14462,,,
1712,111,3,2,1FTBW3XKXNKA14449,1FTBW3XK6NKA08261,,
1720,25,2,1,1FTBW3XK6NKA30485,,,
1728,239,21,1,1FTBW3XK5NKA30073,,,
1735,269,25,2,1FTBW3XK1NKA14226,1FTBW3XK4NKA14205,,
1737,268,25,1,1FTBW3XK2NKA14106,,,
1739,235,20,2,1FTBW3XK9NKA14121,3C6MRVJG9PE566456,,
1742,165,22,1,1FTBW3X87PKB65935,,,
1746,371,46,2,1FTBW3XK0NKA14184,1FTBW3XK5NKA00507,,
1747,461,58,1,3C6MRVJG0PE582853,,,
1749,183,16,1,1FTBW3X82PKB64689,,,
1753,184,16,1,3C6MRVJG8PE573723,,,
1754,203,19,1,3C6MRVJG2PE566380,,,
1760,455,56,1,1FTBW3XK5NKA30364,,,
1761,341,40,1,1FTBW3XK1NKA30474,,,
1762,157,16,1,1FTBW3X8XPKB65802,,,
1770,229,20,2,1FTBW3XK4NKA14124,3C6MRVJG4PE566462,,
1773,288,75,1,1FTBW3XK4NKA22496,,,
1800,583,5,1,1FTBW3XK2NKA00612,,,
1801,44,5,1,1FTBW3XKXNKA08246,,,
1805,463,58,1,3C6MRVJG0PE592086,,,
1807,558,22,1,3C6MRVJG7PE599293,,,
1810,164,17,1,1FTBW3XK8NKA35543,,,
1811,289,75,1,1FTBW3XK3NKA22540,,,
1814,264,25,1,1FTBW3XK7NKA00539,,,
1825,286,76,1,3C6LRVDGXME583592,,,
1832,463,58,1,1FTBW3X83PKB64507,,,
1833,291,75,2,1FTBW3XK5NKA00474,3C6MRVJG7PE563166,,
1837,59,6,2,1FTBW3XK4NKA35653,1FTBW3XK3NKA30380,,
1841,289,75,2,1FTBW3XK7NKA14425,1FTBW3XK3NKA14485,,
1845,109,9,1,1FTBW3XK6NKA14383,,,
1848,264,25,1,1FTBW3XK5NKA00586,,,
1851,109,9,1,1FTBW3XK8NKA14157,,,
1852,291,75,1,1FTBW3XK2NKA00478,,,
1853,461,58,1,3C6MRVJG9PE566361,,,
1855,423,52,2,3C6MRVJG8PE547364,3C6MRVJG2PE568758,,
1860,284,22,2,3C6MRVJG1PE591965,3C6MRVJG4PE568843,,
1861,422,52,1,3C6MRVJG4PE575324,,,
1862,462,58,1,3C6MRVJG9PE582852,,,
1879,445,58,1,3C6MRVJG9PE575349,,,
1881,453,56,1,Rental Van,,,
1883,229,20,2,1FTBW3XKXNKA14130,3C6MRVJG2PE566458,,
1885,229,20,1,1FTBW3XK1NKA14131,,,
1892,268,25,2,1FTBW3XK1NKA14193,1FTBW3XK5NKA14374,,
1896,391,54,1,3C6MRVJG3PE591949,,,
1897,268,25,2,1FTBW3XK7NKA46694,1FTBW3XK2NKA46702,,
1898,264,25,1,1FTBW3XK4NKA14155,,,
1904,292,76,1,3C6LRVDG3ME583594,,,
1914,445,58,1,3C6MRVJGXPE509313,,,
1915,463,58,1,1FTBW3X84PKB64080,,,
1916,108,9,1,1FTBW3X80MKA34891,,,
1938,268,25,1,1FTBW3XK5NKA00491,,,
1941,462,58,1,1FTBW3XK9NKA14183,,,
1959,164,17,2,1FTBR3X86MKA17925,1FTBW3XK8NKA35574,,
1960,112,3,2,1FTBW3XKXNKA08263,1FTBW3XK5NKA14231,,
1965,432,47,1,1FTBW3XK6NKA14433,,,
1969,290,75,1,1FTBW3XKXNKA22485,,,
1970,159,16,1,3C6MRVJG1PE510043,,,
1977,178,22,2,1FTBW3XK4NKA30470,3C6MRVJG4PE534532,,
1987,205,19,1,3C6MRVJGXPE581547,,,
1988,455,56,2,1FTBW3XK2NKA30354,3C6MRVJG6PE566432,,
1998,267,25,1,1FTBW3XK4NKA14222,,,
1999,424,52,2,3C6MRVJG7PE592005,3C6MRVJG1PE568847,,
2003,174,17,1,1FTBW3XK2NKA30466,,,
2005,306,26,1,1FTBW3XK7NKA30432,,,
2015,292,76,2,1FTBW3XK5NKA00605,1FTBW3XK8NKA00615,,
2028,461,58,2,3C6MRVJG3PE516815,3C6MRVJG0PE516819,,
2038,292,76,2,1FTBW3XK5NKA08249,3C6MRVJG7PE509348,,
2050,396,57,1,1FTBW3XK0NKA30367,,,
2059,231,76,1,1FTBW3XK1NKA14128,,,
2066,64,6,1,1FTBW3XK4NKA30372,,,
2068,170,22,1,3C6MRVJG4PE536930,,,
2077,460,58,1,3C6MRVJGXPE547379,,,
2081,111,3,1,1FTBW3XK3NKA08234,,,
2082,464,58,1,1FTBW3XK7NKA14182,,,
2086,56,5,1,1FTBW3XK0NKA00608,,,
2087,422,52,2,3C6MRVJG2PE546288,3C6MRVJG2PE546291,,
2091,110,9,1,1FTBW3XK9NKA09632,,,
2095,160,16,1,3C6MRVJG7PE568819,,,
2096,170,22,1,3C6MRVJG1PE599337,,,
2098,219,21,1,1FTBW3XK6NKA30423,,,
2103,159,16,1,1FTBW3X81PKB65705,,,
2104,164,17,2,1FTBW3XK4NKA30436,1FTBW3XK5NKA46712,,
2105,53,5,1,1FTBW3XK5NKA00524,,,
2110,465,57,1,1FTBW3XK2NKA14123,,,
2112,372,46,1,1FTBW3XK4NKA14169,,,
2119,511,56,2,1FTBW3XK0NKA08269,1FTBW3XK1NKA28451,,
2122,159,16,1,3C6MRVJG3PE591921,,,
2125,380,54,1,1FTBW3XK7NKA28437,,,
2128,159,16,1,3C6MRVJG4PE597680,,,
2130,183,16,2,3C6MRVJG5PE556667,3C6MRVJG1PE568816,,
2132,131,13,1,1FTBW3XK8NKA30441,,,
2133,82,7,2,1FTBW3XK7NKA08284,1FTBW3XK1NKA00486,,
2134,306,26,1,1FTBW3XK5NKA30428,,,
2141,166,22,2,3C6MRVJG6PE599284,3C6MRVJG5PE599292,,
2142,184,16,2,3C6MRVJG3PE568879,3C6MRVJG4PE568759,,
2154,24,2,2,1FTBW3XK5NKA30106,1FTBW3XK0NKA35486,,
2176,107,9,2,1FTBW3XK2NKA14171,1FTBW3XK9NKA35714,,
2181,463,58,2,3C6MRVJG2PE592087,3C6MRVJG5PE573761,,
2195,178,22,1,1FTBW3XK5NKA30414,,,
2201,505,7,1,1FTBW3XK7NKA30107,,,
2204,267,25,1,1FTBW3XK2NKA08242,,,
2207,403,54,1,1FTBW3XK9NKA30366,,,
2213,340,40,1,1FTBW3XK0NKA30403,,,
2215,265,25,1,1FTBW3XK2NKA08290,,,
2218,466,58,1,1FTBW3XK3NKA28502,,,
2223,585,54,1,1FTBW3XK1NKA30426,,,
2226,481,61,1,1FTBW3XKXNKA09624,,,
2233,280,76,1,1FTBW3XK4NKA00479,,,
2239,86,7,1,1FTBW3XK2NKA22481,,,
2242,464,58,1,1FTBW3XK1NKA46710,,,
2250,225,21,1,1FTBW3XK2NKA30404,,,
2251,484,57,1,1FTBW3XK6NKA46704,,,
2257,67,6,1,1FTBW3XK2NKA30340,,,
2263,167,22,1,3C6MRVJG0PE597661,,,
2274,424,52,1,3C6MRVJG9PE568806,,,
2281,235,20,3,1FTBR1X80MKA18833,1FTBW3XK6NKA14108,3C6MRVJG8PE566464,
2292,484,57,1,1FTBW3XK2NKA46697,,,
2294,174,17,2,1FTBW1X8XLKB53051,1FTBW3XK7NKA35582,,
2295,287,75,1,1FTBW3XKXNKA22499,,,
2300,227,20,2,1FTBW3XK2NKA22545,1FTBW3XK0NKA30112,,
2307,403,54,2,1FTBW3XK9NKA00543,3C6MRVJG1PE592100,,
2309,221,21,3,1FTBW3XK8NKA30388,1FTBW3XK6NKA14254,3C6MRVJG9PE592054,
2322,145,11,2,1FTBW3XK5NKA22541,1FTBW3XK7NKA00461,,
2330,183,16,1,3C6MRVJG4PE581561,,,
2336,159,16,2,1FTBW3X85PKB66386,1FTBW3X82PKB66457,,
2352,424,52,1,3C6MRVJG9PE568773,,,
2354,205,19,3,3C6MRVJG6PE592030,3C6MRVJG3PE573712,3C6MRVJGXPE582830,
2357,280,76,1,1FTBW3XK5NKA00488,,,
2387,114,3,2,1FTBW3XK1NKA14369,1FTBW3XK8NKA14479,,
2391,548,72,1,1FTBW3XK2NKA08273,,,
2392,102,72,2,1FTBW3XK2NKA22528,1FTBW3XK0NKA14430,,
2404,87,7,2,1FTBW3XK2NKA30421,1FTBW3XK3NKA14230,,
2406,488,72,1,1FTBW3XK6NKA14397,,,
2420,235,20,2,1FTBW3XK3NKA14132,1FTBW3XK8NKA30357,,
2426,217,21,1,1FTBW3XK2NKA30418,,,
2427,53,5,2,1FTBW3XK6NKA22497,1FTBW3XK8NKA14112,,
2441,221,21,1,1FTBW3XK9NKA30383,,,
2442,485,59,1,1FTBW3XK4NKA14401,,,
2445,170,22,1,3C6MRVJG7PE591971,,,
2446,170,22,1,3C6MRVJG0PE597675,,,
2447,225,21,1,1FTBW3XK6NKA30339,,,
2448,423,52,1,3C6MRVJG3PE546297,,,
2457,454,56,1,1FTBW3XK7NKA30351,,,
2459,115,9,1,1FTBW3XK1NKA14467,,,
2463,56,5,1,1FTBW3XK5NKA14116,,,
2464,454,56,1,1FTBW3XK5NKA30350,,,
2471,217,21,1,1FTBW3XK0NKA30417,,,
2475,25,2,1,1FTBW3XKXNKA30070,,,
2482,372,46,2,1FTBW3XK9NKA14152,1FTBW3XKXNKA14189,,
2483,394,57,2,1FTBW3XK9NKA30349,3C6MRVJG5PE592150,,
2486,512,61,1,1FTBW3XK7NKA14165,,,
2505,62,6,1,1FTBW3XK3NKA30332,,,
2512,369,46,1,1FTBW3XKXNKA46754,,,
2515,370,46,2,3C6LRVDG1ME573565,1FTBW3XK7NKA28485,,
2517,466,58,1,1FTBW3XK4NKA46751,,,
2520,291,75,1,1FTBW3XK8NKA00517,,,
2529,289,75,1,1FTBW3XK4NKA00496,,,
2544,238,19,1,1FTBW3XK7NKA14361,,,
2554,368,46,1,1FTBW3XK1NKA35643,,,
2559,206,19,1,3C6MRVJG7PE592148,,,
2588,227,20,2,1FTBR1X84LKB81077,3C6MRVJG3PE566467,,
2591,109,9,1,1FTBW3XK7NKA00489,,,
2592,394,57,1,1FTBW3XK0NKA30482,,,
2593,396,57,1,1FTBW3XK1NKA28448,,,
2599,86,7,1,1FTBW3XK3NKA14227,,,
2600,339,40,1,1FTBW3XK3NKA30444,,,
2609,465,57,1,1FTBW3XKXNKA28402,,,
2612,505,7,1,1FTBW3XK9NKA30092,,,
2616,339,40,2,1FTBW3XKXNKA30439,3C6MRVJG1PE592081,,
2618,203,19,1,3C6MRVJG8PE592093,,,
2627,112,3,1,1FTBW3XK2NKA14445,,,
2632,510,61,1,1FTBW3XK0NKA35584,,,
2637,164,17,1,1FTBW3XK9NKA35728,,,
2642,423,52,2,3C6MRVJG0PE546211,3C6MRVJG5PE546219,,
2649,50,5,1,1FTBW3XK8NKA09637,,,
2651,175,17,2,1FTBW3XK4NKA30405,3C6MRVJG4PE592138,,
2667,55,5,2,1FTBW3XK4NKA00580,1FTBW3XK4NKA14172,,
2671,373,46,1,1FTBW3XK1NKA30393,,,
2691,243,41,1,1FTBW3XK0NKA30465,,,
2692,206,19,1,3C6MRVJG5PE599342,,,
2697,452,56,2,1FTBW3XK5NKA00555,1FTBW3XK8NKA14207,,
2700,203,19,1,3C6MRVJG1PE546296,,,
2706,125,13,1,1FTBW3XK3NKA35627,,,
2708,460,58,1,3C6MRVJG3PE547384,,,
2713,3,14,1,1FTBW3XK2NKA28555,,,
2724,63,6,1,1FTBW3XK1NKA30121,,,
2725,217,21,1,1FTBW3XKXNKA30411,,,
2726,219,21,1,1FTBW3XKXNKA30375,,,
2727,110,9,1,1FTBW3XK1NKA08247,,,
