Market,Store,Fashion Coach,Team Lead,VizPick Fashion Kit ,RFID Containment Box 
300,2580,Yes,4,Week 16,Week 16
326,2587,Yes,4,Week 16,Week 16
109,2591,Yes,4,Week 16,Week 16
229,2603,No,3,Week 16,Week 16
213,2613,No,3,Week 16,Week 16
168,2614,Yes,4,Week 16,Week 16
203,2618,Yes,4,Week 16,Week 16
204,2619,Yes,4,Week 16,Week 16
202,2620,No,4,Week 16,Week 16
197,2631,Yes,4,Week 16,Week 16
168,2641,Yes,4,Week 16,Week 16
204,2644,Yes,4,Week 16,Week 16
50,2649,Yes,4,Week 16,Week 16
170,2650,Yes,4,Week 16,Week 16
55,2667,Yes,4,Week 16,Week 16
389,2672,No,3,Week 16,Week 16
201,2678,Yes,4,Week 16,Week 16
45,2688,Yes,4,Week 16,Week 16
206,2692,Yes,4,Week 16,Week 16
205,2693,Yes,4,Week 16,Week 16
320,2696,No,3,Week 16,Week 16
203,2700,Yes,4,Week 16,Week 16
298,2704,No,4,Week 16,Week 16
426,2714,No,4,Week 16,Week 16
64,2718,Yes,4,Week 16,Week 16
63,2724,Yes,4,Week 16,Week 16
110,2727,Yes,4,Week 16,Week 16
378,2729,Yes,4,Week 16,Week 16
479,2737,Yes,4,Week 16,Week 16
380,2751,Yes,4,Week 16,Week 16
585,2752,Yes,4,Week 16,Week 16
151,2757,Yes,4,Week 16,Week 16
569,2763,Yes,4,Week 16,Week 16
569,2765,No,3,Week 16,Week 16
87,2769,Yes,4,Week 16,Week 16
300,2772,No,4,Week 16,Week 16
108,2789,Yes,4,Week 16,Week 16
285,2791,Yes,4,Week 16,Week 16
315,2807,No,4,Week 16,Week 16
320,2809,No,4,Week 16,Week 16
440,2813,Yes,4,Week 16,Week 16
110,2814,Yes,4,Week 16,Week 16
238,2817,Yes,4,Week 16,Week 16
238,2818,Yes,4,Week 16,Week 16
166,2830,Yes,4,Week 16,Week 16
320,2833,No,3,Week 16,Week 16
50,2834,Yes,4,Week 16,Week 16
558,2841,Yes,4,Week 16,Week 16
432,2847,Yes,4,Week 16,Week 16
203,2866,No,3,Week 16,Week 16
203,2867,Yes,4,Week 16,Week 16
203,2869,Yes,4,Week 16,Week 16
558,2871,Yes,4,Week 16,Week 16
197,2872,Yes,4,Week 16,Week 16
206,2873,Yes,4,Week 16,Week 16
90,2881,Yes,4,Week 16,Week 16
56,2883,Yes,4,Week 16,Week 16
484,2886,Yes,4,Week 16,Week 16
233,2888,Yes,4,Week 16,Week 16
376,2892,Yes,4,Week 16,Week 16
320,2894,No,4,Week 16,Week 16
197,2912,Yes,4,Week 16,Week 16
51,2918,No,4,Week 16,Week 16
401,2921,Yes,4,Week 16,Week 16
56,2926,No,3,Week 16,Week 16
285,2931,Yes,4,Week 16,Week 16
132,2938,Yes,4,Week 16,Week 16
167,2945,Yes,4,Week 16,Week 16
109,2946,Yes,4,Week 16,Week 16
484,2948,Yes,4,Week 16,Week 16
206,2959,Yes,4,Week 16,Week 16
108,2962,Yes,4,Week 16,Week 16
108,2963,Yes,4,Week 16,Week 16
51,2973,Yes,4,Week 16,Week 16
44,2978,Yes,4,Week 16,Week 16
479,2980,Yes,4,Week 16,Week 16
109,2987,Yes,4,Week 16,Week 16
62,2993,Yes,4,Week 16,Week 16
53,2996,Yes,4,Week 16,Week 16
49,3014,Yes,4,Week 16,Week 16
389,3018,Yes,4,Week 16,Week 16
50,3044,Yes,4,Week 16,Week 16
432,3150,Yes,4,Week 16,Week 16
432,3151,Yes,4,Week 16,Week 16
577,3159,Yes,4,Week 16,Week 16
553,3163,Yes,4,Week 16,Week 16
378,3177,No,3,Week 16,Week 16
222,3206,Yes,4,Week 16,Week 16
582,3208,Yes,4,Week 16,Week 16
165,3212,Yes,4,Week 16,Week 16
320,3215,Yes,4,Week 16,Week 16
229,3223,Yes,4,Week 16,Week 16
583,3224,Yes,4,Week 16,Week 16
583,3225,Yes,4,Week 16,Week 16
65,3226,Yes,4,Week 16,Week 16
391,3227,Yes,4,Week 16,Week 16
324,3230,Yes,4,Week 16,Week 16
321,3231,No,3,Week 16,Week 16
403,3232,Yes,4,Week 16,Week 16
553,3235,Yes,4,Week 16,Week 16
178,3236,Yes,4,Week 16,Week 16
166,3252,Yes,4,Week 16,Week 16
178,3266,Yes,4,Week 16,Week 16
432,3267,Yes,4,Week 16,Week 16
440,3268,No,4,Week 16,Week 16
50,3274,Yes,4,Week 16,Week 16
44,3284,Yes,4,Week 16,Week 16
44,3285,Yes,4,Week 16,Week 16
52,3286,No,4,Week 16,Week 16
356,3295,Yes,4,Week 16,Week 16
64,3296,Yes,4,Week 16,Week 16
67,3297,Yes,4,Week 16,Week 16
60,3298,Yes,4,Week 16,Week 16
222,3300,No,4,Week 16,Week 16
64,3302,Yes,4,Week 16,Week 16
298,3304,Yes,4,Week 16,Week 16
298,3305,No,4,Week 16,Week 16
97,3307,Yes,4,Week 16,Week 16
98,3309,Yes,4,Week 16,Week 16
553,3311,Yes,4,Week 16,Week 16
376,3313,Yes,4,Week 16,Week 16
80,3320,Yes,4,Week 16,Week 16
200,3328,Yes,4,Week 16,Week 16
187,3329,Yes,4,Week 16,Week 16
327,3331,Yes,4,Week 16,Week 16
187,3334,Yes,4,Week 16,Week 16
197,3336,Yes,4,Week 16,Week 16
165,3337,Yes,4,Week 16,Week 16
165,3339,Yes,4,Week 16,Week 16
116,3347,Yes,4,Week 16,Week 16
107,3348,Yes,4,Week 16,Week 16
118,3349,Yes,4,Week 16,Week 16
401,3366,Yes,4,Week 16,Week 16
115,3370,Yes,4,Week 16,Week 16
389,3382,Yes,4,Week 16,Week 16
118,3387,Yes,4,Week 16,Week 16
87,3391,Yes,4,Week 16,Week 16
553,3397,Yes,4,Week 16,Week 16
26,3403,Yes,4,Week 16,Week 16
51,3406,Yes,4,Week 16,Week 16
232,3412,No,4,Week 16,Week 16
105,3417,Yes,4,Week 16,Week 16
558,3422,Yes,4,Week 16,Week 16
63,3425,Yes,4,Week 16,Week 16
48,3431,Yes,4,Week 16,Week 16
49,3432,Yes,4,Week 16,Week 16
49,3433,Yes,4,Week 16,Week 16
201,3436,Yes,4,Week 16,Week 16
577,3443,Yes,4,Week 16,Week 16
207,3445,Yes,4,Week 16,Week 16
200,3453,Yes,4,Week 16,Week 16
401,3454,Yes,4,Week 16,Week 16
200,3458,No,3,Week 16,Week 16
26,3471,Yes,4,Week 16,Week 16
115,3474,Yes,4,Week 16,Week 16
167,3475,Yes,4,Week 16,Week 16
197,3476,Yes,4,Week 16,Week 16
51,3482,Yes,4,Week 16,Week 16
206,3487,Yes,4,Week 16,Week 16
60,3500,Yes,4,Week 16,Week 16
167,3501,No,4,Week 16,Week 16
62,3510,Yes,4,Week 16,Week 16
577,3520,Yes,4,Week 16,Week 16
484,3522,Yes,4,Week 16,Week 16
514,3525,Yes,4,Week 16,Week 16
107,3527,Yes,4,Week 16,Week 16
585,3533,Yes,4,Week 16,Week 16
92,3538,Yes,4,Week 16,Week 16
167,3541,Yes,4,Week 16,Week 16
577,3562,Yes,4,Week 16,Week 16
168,3563,Yes,4,Week 16,Week 16
170,3564,Yes,4,Week 16,Week 16
380,3566,Yes,4,Week 16,Week 16
80,3567,Yes,4,Week 16,Week 16
403,3568,Yes,4,Week 16,Week 16
62,3572,Yes,4,Week 16,Week 16
391,3582,Yes,4,Week 16,Week 16
64,3584,Yes,4,Week 16,Week 16
403,3589,Yes,4,Week 16,Week 16
426,3590,Yes,4,Week 16,Week 16
26,3611,Yes,4,Week 16,Week 16
403,3620,Yes,4,Week 16,Week 16
109,3625,Yes,4,Week 16,Week 16
44,3631,Yes,4,Week 16,Week 16
205,3632,No,4,Week 16,Week 16
234,3633,Yes,4,Week 16,Week 16
232,3634,No,4,Week 16,Week 16
65,3640,Yes,4,Week 16,Week 16
440,3643,No,3,Week 16,Week 16
298,3658,Yes,4,Week 16,Week 16
98,3702,Yes,4,Week 16,Week 16
205,3726,Yes,4,Week 16,Week 16
26,3748,Yes,4,Week 16,Week 16
45,3764,Yes,4,Week 16,Week 16
479,3773,Yes,4,Week 16,Week 16
165,3774,Yes,4,Week 16,Week 16
56,3777,Yes,4,Week 16,Week 16
91,3782,Yes,4,Week 16,Week 16
401,3789,No,4,Week 16,Week 16
202,3791,No,3,Week 16,Week 16
514,3794,Yes,4,Week 16,Week 16
577,3795,Yes,4,Week 16,Week 16
284,3802,Yes,4,Week 16,Week 16
391,3805,No,4,Week 16,Week 16
213,3809,No,3,Week 16,Week 16
168,3810,Yes,4,Week 16,Week 16
585,3824,Yes,4,Week 16,Week 16
64,3827,Yes,4,Week 16,Week 16
178,3830,No,4,Week 16,Week 16
222,3840,Yes,4,Week 16,Week 16
285,3843,Yes,4,Week 16,Week 16
401,3848,Yes,4,Week 16,Week 16
108,3858,No,4,Week 16,Week 16
379,3867,Yes,4,Week 16,Week 16
127,3868,Yes,4,Week 16,Week 16
200,3876,No,4,Week 16,Week 16
80,3886,Yes,4,Week 16,Week 16
116,3887,Yes,4,Week 16,Week 16
269,3891,Yes,4,Week 16,Week 16
269,3893,Yes,4,Week 16,Week 16
87,4055,Yes,4,Week 16,Week 16
105,4063,Yes,4,Week 16,Week 16
300,4065,Yes,4,Week 16,Week 16
582,4068,Yes,4,Week 16,Week 16
323,4108,Yes,4,Week 16,Week 16
65,4111,Yes,4,Week 16,Week 16
569,4112,Yes,4,Week 16,Week 16
87,4115,Yes,4,Week 16,Week 16
110,4161,Yes,4,Week 16,Week 16
55,4164,Yes,4,Week 16,Week 16
479,4165,Yes,4,Week 16,Week 16
326,4168,No,4,Week 16,Week 16
85,4183,Yes,4,Week 16,Week 16
84,4194,Yes,4,Week 16,Week 16
401,4208,No,3,Week 16,Week 16
55,4215,No,4,Week 16,Week 16
580,4216,Yes,4,Week 16,Week 16
370,4232,No,3,Week 16,Week 16
53,4240,Yes,4,Week 16,Week 16
205,4243,Yes,4,Week 16,Week 16
107,4260,Yes,4,Week 16,Week 16
401,4272,Yes,4,Week 16,Week 16
300,4273,Yes,4,Week 16,Week 16
44,4279,Yes,4,Week 16,Week 16
380,4284,Yes,4,Week 16,Week 16
379,4288,Yes,4,Week 16,Week 16
59,4298,Yes,4,Week 16,Week 16
110,4303,Yes,4,Week 16,Week 16
90,4332,Yes,4,Week 16,Week 16
391,4335,Yes,4,Week 16,Week 16
237,4348,No,4,Week 16,Week 16
432,4358,Yes,4,Week 16,Week 16
90,4365,Yes,4,Week 16,Week 16
320,4372,No,3,Week 16,Week 16
388,4377,No,3,Week 16,Week 16
285,4378,No,4,Week 16,Week 16
197,4383,Yes,4,Week 16,Week 16
187,4403,Yes,4,Week 16,Week 16
233,4404,No,4,Week 16,Week 16
67,4416,Yes,4,Week 16,Week 16
206,4424,Yes,4,Week 16,Week 16
97,4427,No,4,Week 16,Week 16
582,4438,Yes,4,Week 16,Week 16
201,4439,No,3,Week 16,Week 16
98,4444,Yes,4,Week 16,Week 16
107,4446,Yes,4,Week 16,Week 16
558,4456,Yes,4,Week 16,Week 16
324,4460,Yes,4,Week 16,Week 16
207,4479,Yes,4,Week 16,Week 16
451,4488,Yes,4,Week 16,Week 16
44,4503,Yes,4,Week 16,Week 16
80,4508,Yes,4,Week 16,Week 16
48,4509,No,4,Week 16,Week 16
65,4512,Yes,4,Week 16,Week 16
97,4520,Yes,4,Week 16,Week 16
63,4526,Yes,4,Week 16,Week 16
67,4538,Yes,4,Week 16,Week 16
203,4540,No,4,Week 16,Week 16
379,4567,Yes,4,Week 16,Week 16
432,4568,No,3,Week 16,Week 16
91,4588,Yes,4,Week 16,Week 16
378,4599,Yes,4,Week 16,Week 16
432,4600,No,3,Week 16,Week 16
168,4612,Yes,4,Week 16,Week 16
356,4615,Yes,4,Week 16,Week 16
52,4627,Yes,4,Week 16,Week 16
238,4631,Yes,4,Week 16,Week 16
356,4637,Yes,4,Week 16,Week 16
376,4639,No,4,Week 16,Week 16
229,4643,Yes,4,Week 16,Week 16
206,4660,Yes,4,Week 16,Week 16
315,4682,Yes,4,Week 16,Week 16
167,4687,No,3,Week 16,Week 16
582,4689,No,3,Week 16,Week 16
582,4696,No,3,Week 16,Week 16
315,4697,No,4,Week 16,Week 16
585,4734,No,4,Week 16,Week 16
178,5012,Yes,4,Week 16,Week 16
207,5028,Yes,4,Week 16,Week 16
207,5029,Yes,4,Week 16,Week 16
207,5030,Yes,4,Week 16,Week 16
378,5033,Yes,4,Week 16,Week 16
105,5034,Yes,4,Week 16,Week 16
116,5035,Yes,4,Week 16,Week 16
98,5037,Yes,4,Week 16,Week 16
284,5039,Yes,4,Week 16,Week 16
514,5041,Yes,4,Week 16,Week 16
67,5045,Yes,4,Week 16,Week 16
558,5047,Yes,4,Week 16,Week 16
203,5048,Yes,4,Week 16,Week 16
380,5049,Yes,4,Week 16,Week 16
378,5051,Yes,4,Week 16,Week 16
98,5054,Yes,4,Week 16,Week 16
105,5055,Yes,4,Week 16,Week 16
151,5057,Yes,4,Week 16,Week 16
201,5064,Yes,4,Week 16,Week 16
201,5065,Yes,4,Week 16,Week 16
514,5073,Yes,4,Week 16,Week 16
577,5077,Yes,4,Week 16,Week 16
50,5080,Yes,4,Week 16,Week 16
440,5090,Yes,4,Week 16,Week 16
67,5091,Yes,4,Week 16,Week 16
53,5092,Yes,4,Week 16,Week 16
463,5096,Yes,4,Week 16,Week 16
204,5097,Yes,4,Week 16,Week 16
388,5099,Yes,4,Week 16,Week 16
166,5103,Yes,4,Week 16,Week 16
60,5116,Yes,4,Week 16,Week 16
315,5117,Yes,4,Week 16,Week 16
391,5123,Yes,4,Week 16,Week 16
170,5130,Yes,4,Week 16,Week 16
170,5131,Yes,4,Week 16,Week 16
376,5137,Yes,4,Week 16,Week 16
432,5141,Yes,4,Week 16,Week 16
178,5142,Yes,4,Week 16,Week 16
44,5147,Yes,4,Week 16,Week 16
484,5154,Yes,4,Week 16,Week 16
463,5156,Yes,4,Week 16,Week 16
204,5159,Yes,4,Week 16,Week 16
202,5160,Yes,4,Week 16,Week 16
80,5165,Yes,4,Week 16,Week 16
582,5167,Yes,4,Week 16,Week 16
97,5172,No,3,Week 16,Week 16
370,5190,Yes,4,Week 16,Week 16
55,5191,Yes,4,Week 16,Week 16
269,5199,Yes,4,Week 16,Week 16
233,5200,Yes,4,Week 16,Week 16
51,5210,Yes,4,Week 16,Week 16
52,5211,Yes,4,Week 16,Week 16
90,5214,Yes,4,Week 16,Week 16
166,5229,Yes,4,Week 16,Week 16
388,5232,Yes,4,Week 16,Week 16
403,5233,Yes,4,Week 16,Week 16
401,5234,Yes,4,Week 16,Week 16
403,5235,Yes,4,Week 16,Week 16
167,5239,Yes,4,Week 16,Week 16
324,5244,Yes,4,Week 16,Week 16
65,5246,No,3,Week 16,Week 16
479,5247,Yes,4,Week 16,Week 16
90,5250,Yes,4,Week 16,Week 16
323,5260,Yes,4,Week 16,Week 16
323,5261,Yes,4,Week 16,Week 16
115,5264,Yes,4,Week 16,Week 16
582,5270,Yes,4,Week 16,Week 16
26,5275,Yes,4,Week 16,Week 16
269,5276,No,3,Week 16,Week 16
201,5280,No,4,Week 16,Week 16
49,5288,Yes,4,Week 16,Week 16
107,5301,Yes,4,Week 16,Week 16
213,5309,No,4,Week 16,Week 16
52,5311,Yes,4,Week 16,Week 16
479,5312,Yes,4,Week 16,Week 16
479,5316,Yes,4,Week 16,Week 16
298,5320,Yes,4,Week 16,Week 16
109,5325,Yes,4,Week 16,Week 16
370,5329,No,4,Week 16,Week 16
376,5334,Yes,4,Week 16,Week 16
463,5335,Yes,4,Week 16,Week 16
558,5340,Yes,4,Week 16,Week 16
379,5341,No,4,Week 16,Week 16
105,5347,Yes,4,Week 16,Week 16
403,5350,No,4,Week 16,Week 16
222,5355,No,3,Week 16,Week 16
234,5358,No,4,Week 16,Week 16
48,5359,Yes,4,Week 16,Week 16
432,5361,Yes,4,Week 16,Week 16
379,5370,Yes,4,Week 16,Week 16
204,5376,Yes,4,Week 16,Week 16
165,5384,Yes,4,Week 16,Week 16
207,5385,Yes,4,Week 16,Week 16
200,5386,No,3,Week 16,Week 16
61,5388,Yes,4,Week 16,Week 16
76,5389,Yes,4,Week 16,Week 16
26,5390,Yes,4,Week 16,Week 16
105,5391,Yes,4,Week 16,Week 16
202,5411,No,3,Week 16,Week 16
178,5414,Yes,4,Week 16,Week 16
50,5416,Yes,4,Week 16,Week 16
90,5420,Yes,4,Week 16,Week 16
97,5422,Yes,4,Week 16,Week 16
325,5433,No,3,Week 16,Week 16
451,5435,Yes,4,Week 16,Week 16
284,5436,Yes,4,Week 16,Week 16
62,5449,Yes,4,Week 16,Week 16
92,5455,Yes,4,Week 16,Week 16
388,5458,No,4,Week 16,Week 16
78,5460,Yes,4,Week 16,Week 16
234,5469,No,4,Week 16,Week 16
237,5470,Yes,4,Week 16,Week 16
213,5471,Yes,4,Week 16,Week 16
202,5472,Yes,4,Week 16,Week 16
165,5476,Yes,4,Week 16,Week 16
166,5495,Yes,4,Week 16,Week 16
187,5497,Yes,4,Week 16,Week 16
187,5498,No,3,Week 16,Week 16
63,5612,Yes,4,Week 16,Week 16
170,5649,Yes,4,Week 16,Week 16
110,5671,Yes,4,Week 16,Week 16
51,5672,Yes,4,Week 16,Week 16
51,5673,No,4,Week 16,Week 16
380,5676,No,3,Week 16,Week 16
324,5706,Yes,4,Week 16,Week 16
52,5707,Yes,4,Week 16,Week 16
115,5727,Yes,4,Week 16,Week 16
451,5751,Yes,4,Week 16,Week 16
577,5752,Yes,4,Week 16,Week 16
197,5761,Yes,4,Week 16,Week 16
403,5763,Yes,4,Week 16,Week 16
479,5764,Yes,4,Week 16,Week 16
451,5766,No,3,Week 16,Week 16
284,5795,Yes,4,Week 16,Week 16
569,5808,Yes,4,Week 16,Week 16
80,5809,Yes,4,Week 16,Week 16
49,5810,Yes,4,Week 16,Week 16
583,5823,Yes,4,Week 16,Week 16
370,5835,No,4,Week 16,Week 16
197,5842,Yes,4,Week 16,Week 16
206,5844,Yes,4,Week 16,Week 16
110,5854,Yes,4,Week 16,Week 16
56,5866,Yes,4,Week 16,Week 16
91,5871,No,3,Week 16,Week 16
166,5881,Yes,4,Week 16,Week 16
108,5882,Yes,4,Week 16,Week 16
451,5884,No,4,Week 16,Week 16
234,5888,No,3,Week 16,Week 16
53,5889,Yes,4,Week 16,Week 16
166,5891,Yes,4,Week 16,Week 16
203,5893,No,4,Week 16,Week 16
91,5894,No,4,Week 16,Week 16
78,5898,Yes,4,Week 16,Week 16
108,5911,No,3,Week 16,Week 16
110,5912,Yes,4,Week 16,Week 16
109,5932,Yes,4,Week 16,Week 16
558,5944,No,3,Week 16,Week 16
585,5957,Yes,4,Week 16,Week 16
63,5959,Yes,4,Week 16,Week 16
583,5987,Yes,4,Week 16,Week 16
118,6190,Yes,4,Week 16,Week 16
56,6300,Yes,4,Week 16,Week 16
110,6397,Yes,4,Week 16,Week 16
45,6467,Yes,4,Week 16,Week 16
370,6477,Yes,4,Week 16,Week 16
59,6579,Yes,4,Week 16,Week 16
76,6929,Yes,4,Week 16,Week 16
67,6930,Yes,4,Week 16,Week 16
127,6932,No,4,Week 16,Week 16
52,6963,Yes,4,Week 16,Week 16
76,7156,Yes,4,Week 16,Week 16
56,7178,Yes,4,Week 16,Week 16
300,7243,No,3,Week 16,Week 16
334,7249,No,3,Week 16,Week 16
132,7301,Yes,4,Week 16,Week 16
583,8930,Yes,4,Week 16,Week 16
