Market,Store,Fashion Coach,Team Lead,VizPick Fashion Kit ,RFID Containment Box 
146,107,No,4,Week 16,Week 16
127,116,No,2,Week 16,Week 16
328,119,Yes,4,Week 16,Week 16
146,120,Yes,4,Week 16,Week 16
335,122,No,4,Week 16,Week 16
324,124,Yes,4,Week 16,Week 16
321,125,Yes,4,Week 16,Week 16
324,126,Yes,4,Week 16,Week 16
325,127,No,4,Week 16,Week 16
325,133,No,3,Week 16,Week 16
321,141,Yes,4,Week 16,Week 16
322,144,Yes,4,Week 16,Week 16
135,149,No,3,Week 16,Week 16
335,152,No,4,Week 16,Week 16
328,157,Yes,4,Week 16,Week 16
328,160,No,4,Week 16,Week 16
327,167,No,3,Week 16,Week 16
326,169,No,3,Week 16,Week 16
327,171,No,3,Week 16,Week 16
92,174,Yes,4,Week 16,Week 16
146,177,Yes,4,Week 16,Week 16
335,188,Yes,4,Week 16,Week 16
60,194,Yes,4,Week 16,Week 16
51,202,Yes,4,Week 16,Week 16
52,206,Yes,4,Week 16,Week 16
321,209,No,2,Week 16,Week 16
76,211,Yes,4,Week 16,Week 16
53,217,Yes,4,Week 16,Week 16
48,220,Yes,4,Week 16,Week 16
48,228,Yes,4,Week 16,Week 16
321,230,No,2,Week 16,Week 16
135,244,No,3,Week 16,Week 16
76,248,Yes,4,Week 16,Week 16
45,251,Yes,4,Week 16,Week 16
583,259,Yes,4,Week 16,Week 16
55,260,Yes,4,Week 16,Week 16
325,261,Yes,4,Week 16,Week 16
52,263,Yes,4,Week 16,Week 16
45,265,Yes,4,Week 16,Week 16
50,266,Yes,4,Week 16,Week 16
334,267,Yes,4,Week 16,Week 16
127,278,Yes,4,Week 16,Week 16
321,279,No,3,Week 16,Week 16
328,281,No,4,Week 16,Week 16
49,284,Yes,4,Week 16,Week 16
55,286,Yes,4,Week 16,Week 16
327,289,No,2,Week 16,Week 16
87,292,Yes,4,Week 16,Week 16
85,293,No,3,Week 16,Week 16
325,296,No,3,Week 16,Week 16
59,297,Yes,4,Week 16,Week 16
135,307,Yes,4,Week 16,Week 16
151,308,Yes,4,Week 16,Week 16
132,309,Yes,4,Week 16,Week 16
132,310,Yes,4,Week 16,Week 16
325,318,Yes,4,Week 16,Week 16
76,320,No,2,Week 16,Week 16
85,321,Yes,4,Week 16,Week 16
85,322,Yes,4,Week 16,Week 16
127,323,No,3,Week 16,Week 16
356,324,No,3,Week 16,Week 16
84,330,Yes,4,Week 16,Week 16
146,335,Yes,4,Week 16,Week 16
325,336,No,3,Week 16,Week 16
335,337,No,3,Week 16,Week 16
334,338,No,3,Week 16,Week 16
327,339,No,2,Week 16,Week 16
65,344,No,3,Week 16,Week 16
327,348,Yes,4,Week 16,Week 16
48,353,No,4,Week 16,Week 16
321,358,No,3,Week 16,Week 16
322,359,Yes,4,Week 16,Week 16
48,371,Yes,4,Week 16,Week 16
322,373,Yes,4,Week 16,Week 16
127,376,Yes,4,Week 16,Week 16
84,385,No,3,Week 16,Week 16
132,386,Yes,4,Week 16,Week 16
321,388,Yes,4,Week 16,Week 16
80,395,Yes,4,Week 16,Week 16
80,397,Yes,4,Week 16,Week 16
132,402,Yes,4,Week 16,Week 16
87,404,Yes,4,Week 16,Week 16
151,406,Yes,4,Week 16,Week 16
146,410,Yes,4,Week 16,Week 16
45,412,Yes,4,Week 16,Week 16
569,413,Yes,4,Week 16,Week 16
132,415,Yes,4,Week 16,Week 16
151,416,Yes,4,Week 16,Week 16
479,421,Yes,4,Week 16,Week 16
53,426,Yes,4,Week 16,Week 16
80,429,Yes,4,Week 16,Week 16
84,437,No,4,Week 16,Week 16
78,440,Yes,4,Week 16,Week 16
78,442,Yes,4,Week 16,Week 16
85,446,No,3,Week 16,Week 16
127,448,Yes,4,Week 16,Week 16
127,450,Yes,4,Week 16,Week 16
80,452,Yes,4,Week 16,Week 16
569,456,Yes,4,Week 16,Week 16
78,458,Yes,4,Week 16,Week 16
61,462,Yes,4,Week 16,Week 16
84,463,Yes,4,Week 16,Week 16
78,464,Yes,4,Week 16,Week 16
52,467,Yes,4,Week 16,Week 16
78,470,Yes,4,Week 16,Week 16
49,471,Yes,4,Week 16,Week 16
