Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
5278,Half Pallet,39
5294,Half Pallet,39
5295,Half Pallet,39
5313,Half Pallet,39
5317,Half Pallet,39
5334,Half Pallet,39
5337,Half Pallet,39
5343,Half Pallet,39
5346,Half Pallet,39
5369,Half Pallet,39
5373,Half Pallet,39
5385,Half Pallet,39
5386,Half Pallet,39
5388,Half Pallet,39
5391,Half Pallet,39
5394,Half Pallet,39
5417,Half Pallet,39
5425,Half Pallet,39
5428,Half Pallet,39
5432,Half Pallet,39
5435,Half Pallet,39
5443,Half Pallet,39
5450,Half Pallet,39
5461,Half Pallet,39
5469,Half Pallet,39
5471,Half Pallet,39
5476,Half Pallet,39
5480,Half Pallet,39
5494,Half Pallet,39
5495,Half Pallet,39
5499,Half Pallet,39
5628,Half Pallet,39
5649,Half Pallet,39
5707,Half Pallet,39
5717,Half Pallet,39
5727,Half Pallet,39
5728,Half Pallet,39
5745,Half Pallet,39
5764,Half Pallet,39
5795,Half Pallet,39
5806,Half Pallet,39
5839,Half Pallet,39
5841,Half Pallet,39
5842,Half Pallet,39
5854,Half Pallet,39
5996,Half Pallet,39
6300,Half Pallet,39
6370,Half Pallet,39
6579,Half Pallet,39
6789,Half Pallet,39
6807,Half Pallet,39
6898,Half Pallet,39
6929,Half Pallet,39
6958,Half Pallet,39
6963,Half Pallet,39
7156,Half Pallet,39
7179,Half Pallet,39
7185,Half Pallet,39
7199,Half Pallet,39
7280,Half Pallet,39
7290,Half Pallet,39
7301,Half Pallet,39
8331,Half Pallet,39
12,Endcap,39
14,Endcap,39
19,Endcap,39
21,Endcap,39
22,Endcap,39
35,Endcap,39
45,Endcap,39
79,Endcap,39
94,Endcap,39
110,Endcap,39
113,Endcap,39
134,Endcap,39
143,Endcap,39
154,Endcap,39
163,Endcap,39
200,Endcap,39
206,Endcap,39
256,Endcap,39
261,Endcap,39
264,Endcap,39
275,Endcap,39
287,Endcap,39
307,Endcap,39
410,Endcap,39
431,Endcap,39
435,Endcap,39
462,Endcap,39
501,Endcap,39
505,Endcap,39
510,Endcap,39
516,Endcap,39
623,Endcap,39
656,Endcap,39
662,Endcap,39
691,Endcap,39
709,Endcap,39
757,Endcap,39
810,Endcap,39
812,Endcap,39
816,Endcap,39
916,Endcap,39
919,Endcap,39
941,Endcap,39
953,Endcap,39
970,Endcap,39
1021,Endcap,39
1053,Endcap,39
1064,Endcap,39
1075,Endcap,39
1096,Endcap,39
1112,Endcap,39
1140,Endcap,39
1150,Endcap,39
1199,Endcap,39
1202,Endcap,39
1244,Endcap,39
1261,Endcap,39
1287,Endcap,39
1310,Endcap,39
1342,Endcap,39
1344,Endcap,39
1360,Endcap,39
1361,Endcap,39
1382,Endcap,39
1491,Endcap,39
1494,Endcap,39
1503,Endcap,39
1526,Endcap,39
1542,Endcap,39
1547,Endcap,39
1554,Endcap,39
1568,Endcap,39
1570,Endcap,39
1649,Endcap,39
1667,Endcap,39
1707,Endcap,39
1748,Endcap,39
1775,Endcap,39
1793,Endcap,39
1834,Endcap,39
1878,Endcap,39
1880,Endcap,39
1896,Endcap,39
1903,Endcap,39
1905,Endcap,39
1973,Endcap,39
1986,Endcap,39
1997,Endcap,39
2035,Endcap,39
2037,Endcap,39
2064,Endcap,39
2084,Endcap,39
2092,Endcap,39
2093,Endcap,39
2119,Endcap,39
2138,Endcap,39
2149,Endcap,39
2161,Endcap,39
2195,Endcap,39
2218,Endcap,39
2230,Endcap,39
2265,Endcap,39
2348,Endcap,39
2352,Endcap,39
2370,Endcap,39
2400,Endcap,39
2426,Endcap,39
2464,Endcap,39
2471,Endcap,39
2472,Endcap,39
2476,Endcap,39
2504,Endcap,39
2508,Endcap,39
2528,Endcap,39
2586,Endcap,39
2597,Endcap,39
2643,Endcap,39
2702,Endcap,39
2729,Endcap,39
2758,Endcap,39
2806,Endcap,39
2807,Endcap,39
2836,Endcap,39
2854,Endcap,39
2889,Endcap,39
2914,Endcap,39
2921,Endcap,39
2923,Endcap,39
2964,Endcap,39
2966,Endcap,39
3017,Endcap,39
3081,Endcap,39
3208,Endcap,39
3213,Endcap,39
3220,Endcap,39
3232,Endcap,39
3237,Endcap,39
3262,Endcap,39
3283,Endcap,39
3307,Endcap,39
3394,Endcap,39
3454,Endcap,39
3487,Endcap,39
3501,Endcap,39
3515,Endcap,39
3732,Endcap,39
3748,Endcap,39
3802,Endcap,39
3827,Endcap,39
3850,Endcap,39
3872,Endcap,39
3896,Endcap,39
4230,Endcap,39
4277,Endcap,39
4295,Endcap,39
4333,Endcap,39
4335,Endcap,39
4410,Endcap,39
4600,Endcap,39
4609,Endcap,39
5036,Endcap,39
5167,Endcap,39
5197,Endcap,39
5309,Endcap,39
5470,Endcap,39
5752,Endcap,39
5845,Endcap,39
100,Endcap,39
4068,Endcap,39
1794,Endcap,39
3056,Endcap,39
2006,Endcap,39
5260,Endcap,39
1476,Endcap,39
1977,Endcap,39
657,Endcap,39
2560,Endcap,39
2336,Endcap,39
2007,Endcap,39
1303,Endcap,39
1438,Endcap,39
5025,Endcap,39
2967,Endcap,39
2159,Endcap,39
2549,Endcap,39
1785,Endcap,39
1572,Endcap,39
1440,Endcap,39
2827,Endcap,39
491,Endcap,39
2519,Endcap,39
1304,Endcap,39
674,Endcap,39
3511,Endcap,39
1026,Endcap,39
1753,Endcap,39
299,Endcap,39
2128,Endcap,39
1016,Endcap,39
1995,Endcap,39
1148,Endcap,39
3851,Endcap,39
2450,Endcap,39
220,Endcap,39
3531,Endcap,39
125,Endcap,39
1975,Endcap,39
2844,Endcap,39
3726,Endcap,39
1215,Endcap,39
4235,Endcap,39
2300,Endcap,39
2269,Endcap,39
4483,Endcap,39
2595,Endcap,39
2511,Endcap,39
1458,Endcap,39
3294,Endcap,39
719,Endcap,39
2419,Endcap,39
277,Endcap,39
464,Endcap,39
4627,Endcap,39
219,Endcap,39
1597,Endcap,39
5202,Endcap,39
2557,Endcap,39
2460,Endcap,39
5959,Endcap,39
1607,Endcap,39
947,Endcap,39
1888,Endcap,39
1920,Endcap,39
5293,Endcap,39
665,Endcap,39
1439,Endcap,39
3848,Endcap,39
2259,Endcap,39
3495,Endcap,39
3525,Endcap,39
1514,Endcap,39
2325,Endcap,39
1263,Endcap,39
1852,Endcap,39
3472,Endcap,39
1001,Endcap,39
5387,Endcap,39
5041,Endcap,39
673,Endcap,39
1728,Endcap,39
2049,Endcap,39
894,Endcap,39
3492,Endcap,39
1981,Endcap,39
2046,Endcap,39
1623,Endcap,39
192,Endcap,39
1141,Endcap,39
923,Endcap,39
3429,Endcap,39
1945,Endcap,39
5247,Endcap,39
5898,Endcap,39
371,Endcap,39
3390,Endcap,39
4153,Endcap,39
753,Endcap,39
1820,Endcap,39
3729,Endcap,39
5031,Endcap,39
3897,Endcap,39
5027,Endcap,39
2399,Endcap,39
177,Endcap,39
1902,Endcap,39
5175,Endcap,39
661,Endcap,39
2284,Endcap,39
1644,Endcap,39
2121,Endcap,39
711,Endcap,39
653,Endcap,39
5987,Endcap,39
2278,Endcap,39
2402,Endcap,39
2910,Endcap,39
3261,Endcap,39
2283,Endcap,39
3363,Endcap,39
497,Endcap,39
2174,Endcap,39
3281,Endcap,39
130,Endcap,39
416,Endcap,39
2208,Endcap,39
5039,Endcap,39
3705,Endcap,39
2019,Endcap,39
2604,Endcap,39
328,Endcap,39
2439,Endcap,39
2224,Endcap,39
1765,Endcap,39
2169,Endcap,39
3751,Endcap,39
298,Endcap,39
517,Endcap,39
2222,Endcap,39
2991,Endcap,39
335,Endcap,39
5091,Endcap,39
1162,Endcap,39
720,Endcap,39
1329,Endcap,39
2261,Endcap,39
3568,Endcap,39
1884,Endcap,39
699,Endcap,39
5123,Endcap,39
838,Endcap,39
4482,Endcap,39
2147,Endcap,39
687,Endcap,39
3514,Endcap,39
2628,Endcap,39
1044,Endcap,39
4381,Endcap,39
1994,Endcap,39
472,Endcap,39
1823,Endcap,39
4055,Endcap,39
5460,Endcap,39
4130,Endcap,39
5116,Endcap,39
2021,Endcap,39
1230,Endcap,39
1221,Endcap,39
16,Endcap,39
2715,Endcap,39
3739,Endcap,39
2001,Endcap,39
610,Endcap,39
1993,Endcap,39
41,Endcap,39
1924,Endcap,39
1294,Endcap,39
212,Endcap,39
3295,Endcap,39
5462,Endcap,39
2574,Endcap,39
2183,Endcap,39
470,Endcap,39
1520,Endcap,39
4423,Endcap,39
5099,Endcap,39
1940,Endcap,39
4597,Endcap,39
1739,Endcap,39
4272,Endcap,39
3248,Endcap,39
259,Endcap,39
984,Endcap,39
608,Endcap,39
1305,Endcap,39
499,Endcap,39
3218,Endcap,39
1876,Endcap,39
3223,Endcap,39
1014,Endcap,39
2047,Endcap,39
4115,Endcap,39
5763,Endcap,39
1978,Endcap,39
2326,Endcap,39
1745,Endcap,39
3541,Endcap,39
4299,Endcap,39
1690,Endcap,39
813,Endcap,39
3570,Endcap,39
2637,Endcap,39
2530,Endcap,39
427,Endcap,39
5429,Endcap,39
2282,Endcap,39
3801,Endcap,39
648,Endcap,39
4208,Endcap,39
3409,Endcap,39
1872,Endcap,39
1543,Endcap,39
345,Endcap,39
5023,Endcap,39
1510,Endcap,39
2587,Endcap,39
3403,Endcap,39
2599,Endcap,39
1045,Endcap,39
1426,Endcap,39
258,Endcap,39
119,Endcap,39
1801,Endcap,39
2294,Endcap,39
2056,Endcap,39
157,Endcap,39
3267,Endcap,39
1663,Endcap,39
1951,Endcap,39
2554,Endcap,39
3762,Endcap,39
541,Endcap,39
878,Endcap,39
3543,Endcap,39
712,Endcap,39
1636,Endcap,39
5275,Endcap,39
702,Endcap,39
2012,Endcap,39
15,Endcap,39
2231,Endcap,39
3391,Endcap,39
2319,Endcap,39
1252,Endcap,39
1604,Endcap,39
1982,Endcap,39
3241,Endcap,39
2888,Endcap,39
2540,Endcap,39
2479,Endcap,39
1180,Endcap,39
1485,Endcap,39
1991,Endcap,39
2185,Endcap,39
399,Endcap,39
2446,Endcap,39
683,Endcap,39
1770,Endcap,39
284,Endcap,39
744,Endcap,39
26,Endcap,39
2087,Endcap,39
105,Endcap,39
1873,Endcap,39
1209,Endcap,39
1528,Endcap,39
1980,Endcap,39
304,Endcap,39
2197,Endcap,39
2561,Endcap,39
1674,Endcap,39
2874,Endcap,39
536,Endcap,39
3763,Endcap,39
994,Endcap,39
3712,Endcap,39
1400,Endcap,39
1894,Endcap,39
184,Endcap,39
1015,Endcap,39
2340,Endcap,39
2533,Endcap,39
2095,Endcap,39
1760,Endcap,39
1042,Endcap,39
5115,Endcap,39
1989,Endcap,39
3595,Endcap,39
381,Endcap,39
1680,Endcap,39
359,Endcap,39
1428,Endcap,39
1534,Endcap,39
4356,Endcap,39
185,Endcap,39
3549,Endcap,39
4440,Endcap,39
2209,Endcap,39
1363,Endcap,39
2090,Endcap,39
1937,Endcap,39
5046,Endcap,39
2207,Endcap,39
168,Endcap,39
2051,Endcap,39
1714,Endcap,39
2616,Endcap,39
2285,Endcap,39
5929,Endcap,39
755,Endcap,39
1172,Endcap,39
36,Endcap,39
573,Endcap,39
2196,Endcap,39
2027,Endcap,39
1321,Endcap,39
2369,Endcap,39
601,Endcap,39
2629,Endcap,39
400,Endcap,39
655,Endcap,39
794,Endcap,39
306,Endcap,39
5075,Endcap,39
2932,Endcap,39
5396,Endcap,39
2193,Endcap,39
1443,Endcap,39
5389,Endcap,39
3894,Endcap,39
2725,Endcap,39
3319,Endcap,39
2727,Endcap,39
2099,Endcap,39
5414,Endcap,39
1778,Endcap,39
602,Endcap,39
2444,Endcap,39
2223,Endcap,39
7009,Endcap,39
1330,Endcap,39
1781,Endcap,39
2428,Endcap,39
2485,Endcap,39
444,Endcap,39
1932,Endcap,39
228,Endcap,39
3842,Endcap,39
2311,Endcap,39
5713,Endcap,39
2581,Endcap,39
2201,Endcap,39
1984,Endcap,39
3412,Endcap,39
2861,Endcap,39
85,Endcap,39
1060,Endcap,39
2101,Endcap,39
1087,Endcap,39
2842,Endcap,39
2567,Endcap,39
2245,Endcap,39
1191,Endcap,39
685,Endcap,39
3864,Endcap,39
2526,Endcap,39
3510,Endcap,39
2535,Endcap,39
1306,Endcap,39
3757,Endcap,39
574,Endcap,39
2992,Endcap,39
944,Endcap,39
2038,Endcap,39
61,Endcap,39
1011,Endcap,39
2401,Endcap,39
5105,Endcap,39
405,Endcap,39
213,Endcap,39
43,Endcap,39
408,Endcap,39
3254,Endcap,39
1124,Endcap,39
2013,Endcap,39
3,Endcap,39
980,Endcap,39
1807,Endcap,39
1396,Endcap,39
1116,Endcap,39
3742,Endcap,39
2187,Endcap,39
507,Endcap,39
3503,Endcap,39
1450,Endcap,39
3278,Endcap,39
1826,Endcap,39
1741,Endcap,39
5199,Endcap,39
1275,Endcap,39
1513,Endcap,39
4616,Endcap,39
535,Endcap,39
1847,Endcap,39
3538,Endcap,39
3102,Endcap,39
4689,Endcap,39
412,Endcap,39
148,Endcap,39
868,Endcap,39
2271,Endcap,39
5090,Endcap,39
667,Endcap,39
844,Endcap,39
5088,Endcap,39
2155,Endcap,39
5487,Endcap,39
46,Endcap,39
537,Endcap,39
5076,Endcap,39
3077,Endcap,39
267,Endcap,39
1463,Endcap,39
2857,Endcap,39
40,Endcap,39
671,Endcap,39
3093,Endcap,39
1,Endcap,39
4273,Endcap,39
417,Endcap,39
2726,Endcap,39
3764,Endcap,39
5814,Endcap,39
2234,Endcap,39
251,Endcap,39
1591,Endcap,39
2307,Endcap,39
1315,Endcap,39
1039,Endcap,39
131,Endcap,39
1247,Endcap,39
3886,Endcap,39
3738,Endcap,39
3874,Endcap,39
578,Endcap,39
2118,Endcap,39
555,Endcap,39
4224,Endcap,39
1622,Endcap,39
1817,Endcap,39
4521,Endcap,39
3136,Endcap,39
1260,Endcap,39
2605,Endcap,39
3702,Endcap,39
3379,Endcap,39
2420,Endcap,39
571,Endcap,39
322,Endcap,39
6878,Endcap,39
1539,Endcap,39
5232,Endcap,39
1034,Endcap,39
189,Endcap,39
660,Endcap,39
1113,Endcap,39
11,Endcap,39
1036,Endcap,39
901,Endcap,39
3888,Endcap,39
1457,Endcap,39
2850,Endcap,39
1319,Endcap,39
3337,Endcap,39
2791,Endcap,39
5447,Endcap,39
5236,Endcap,39
4276,Endcap,39
1959,Endcap,39
1948,Endcap,39
3560,Endcap,39
869,Endcap,39
4679,Endcap,39
4241,Endcap,39
2176,Endcap,39
5954,Endcap,39
343,Endcap,39
3857,Endcap,39
3598,Endcap,39
542,Endcap,39
388,Endcap,39
3226,Endcap,39
2103,Endcap,39
3420,Endcap,39
5807,Endcap,39
2110,Endcap,39
1891,Endcap,39
5751,Endcap,39
3339,Endcap,39
2083,Endcap,39
2720,Endcap,39
5281,Endcap,39
1091,Endcap,39
2651,Endcap,39
308,Endcap,39
3107,Endcap,39
2697,Endcap,39
1681,Endcap,39
420,Endcap,39
2215,Endcap,39
4393,Endcap,39
1435,Endcap,39
591,Endcap,39
3247,Endcap,39
4330,Endcap,39
3912,Endcap,39
403,Endcap,39
1897,Endcap,39
1394,Endcap,39
1606,Endcap,39
2306,Endcap,39
5686,Endcap,39
2985,Endcap,39
2142,Endcap,39
4404,Endcap,39
1565,Endcap,39
3078,Endcap,39
5087,Endcap,39
3590,Endcap,39
692,Endcap,39
3591,Endcap,39
