Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
15,14,919,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202230,81.54%,85.40%,9.7,88.00%,85.00%,80.80%,74.40%
15,14,944,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Store Focus,202230,78.34%,87.12%,12.1,90.90%,81.00%,80.00%,74.20%
15,14,1032,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202230,82.23%,88.50%,10.3,94.30%,89.80%,68.90%,75.80%
15,14,3075,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,202230,87.46%,98.55%,8.7,97.30%,92.20%,80.50%,75.70%
15,14,5845,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Store Focus,202230,90.45%,97.83%,9.7,100.00%,94.30%,88.50%,83.70%
138,14,495,DOORDASH,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202230,76.92%,97.44%,23.2,90.00%,85.70%,37.50%,85.70%
544,72,4504,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202230,76.09%,91.90%,8.8,83.50%,87.10%,69.10%,64.00%
545,72,5623,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202230,78.18%,98.68%,6.9,74.40%,76.70%,79.40%,81.20%
545,72,5740,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202230,79.63%,94.06%,10.6,68.70%,79.60%,89.30%,82.20%
545,72,5744,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Recovering,Store Focus,202230,78.57%,93.33%,12,100.00%,100.00%,50.00%,100.00%
44,5,1801,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202230,61.90%,60.97%,20.5,55.40%,60.20%,69.50%,63.30%
44,5,3284,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,73.99%,67.61%,13.3,71.00%,66.70%,74.80%,82.20%
44,5,3631,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,66.48%,82.81%,12.2,73.50%,75.80%,58.90%,58.90%
44,5,4279,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202230,78.26%,91.49%,15.7,100.00%,60.00%,83.30%,81.80%
44,5,4279,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202230,87.48%,84.21%,12.5,89.00%,86.10%,85.40%,89.70%
44,5,5147,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Store Focus,202230,80.23%,82.84%,13.7,74.20%,77.00%,81.20%,84.20%
45,5,2688,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,81.63%,68.61%,15,74.40%,81.60%,88.20%,82.20%
