Store Nbr,Store Name,Curr Str On Hand Qty,Curr Str On Hand Retail,Curr Str On Hand Cost
580,BARTOW FL,52 ,$933 ,$605 
589,LOUISVILLE (HILLVIEW) KY,54 ,$969 ,$627 
596,HERRIN IL,78 ,"$1,399 ",$900 
609,HANNIBAL MO,63 ,"$1,130 ",$734 
617,SULLIVAN IN,17 ,$305 ,$197 
619,DAYTON TN,51 ,$915 ,$603 
620,BRISTOL TN,65 ,"$1,166 ",$756 
626,SEMINOLE TX,69 ,"$1,238 ",$802 
630,FLORENCE SC,48 ,$849 ,$553 
635,SAVANNAH GA,62 ,"$1,096 ",$720 
636,PRINCETON IL,117 ,"$2,099 ","$1,362 "
637,LEXINGTON NE,65 ,"$1,166 ",$766 
639,BRUNSWICK GA,46 ,$775 ,$538 
645,NORFOLK NE,80 ,"$1,435 ",$930 
655,MADISONVILLE KY,72 ,"$1,292 ",$838 
665,CAMPBELLSVILLE KY,55 ,$987 ,$642 
671,LEBANON TN,51 ,$915 ,$592 
694,HENDERSON KY,36 ,$646 ,$431 
696,PRESTONSBURG KY,60 ,"$1,076 ",$697 
701,"OWENSBORO, KY",50 ,$897 ,$585 
705,"MOUNT DORA, FL",44 ,$789 ,$515 
706,ZEPHYRHILLS FL /UNATILLA,50 ,$897 ,$582 
719,RICHMOND KY,10 ,$179 ,$114 
721,PORT CHARLOTTE /MURDOCK,55 ,$987 ,$638 
723,TROY AL,58 ,"$1,041 ",$675 
725,HAINES CITY FL,39 ,$700 ,$452 
730,SYLACAUGA AL,66 ,"$1,184 ",$777 
731,DEMOPOLIS AL,57 ,"$1,023 ",$662 
733,"VALLEY, AL",112 ,"$2,009 ","$1,282 "
734,ENTERPRISE AL,50 ,$897 ,$580 
735,WINCHESTER TN,70 ,"$1,256 ",$813 
742,KINGSPORT TN,69 ,"$1,238 ",$809 
753,CEDAR FALLS IA,70 ,"$1,238 ",$819 
756,SUMMERVILLE GA,61 ,"$1,078 ",$706 
769,VENICE FL,46 ,$825 ,$541 
779,LAKELAND FL,41 ,$736 ,$487 
780,MONROE GA,37 ,$654 ,$430 
781,MARBLE FALLS TX,65 ,"$1,166 ",$756 
783,MACON MO,71 ,"$1,274 ",$819 
786,"DEKALB, IL",65 ,"$1,166 ",$756 
787,RIVERDALE GA,50 ,$884 ,$587 
788,CLINTON AR,67 ,"$1,202 ",$785 
792,ALEDO IL,75 ,"$1,346 ",$877 
796,PERU IL,70 ,"$1,256 ",$803 
802,MONROE WI,9 ,$77 ,$105 
806,"LAS CRUCES, NM",65 ,"$1,166 ",$758 
807,"N RICHLAND HILLS, TX",69 ,"$1,238 ",$808 
812,DUMAS TX,63 ,"$1,130 ",$741 
815,"OSAGE BEACH, MO",71 ,"$1,274 ",$834 
818,PANAMA CITY BEACH,52 ,$933 ,$605 
821,CLOVIS NM,78 ,"$1,399 ",$908 
824,ALBUQUERQUE (N),69 ,"$1,238 ",$808 
825,STANFORD KY,54 ,$969 ,$624 
827,CANTON TX,56 ,"$1,005 ",$657 
829,"SANTA FE,NM",71 ,"$1,274 ",$828 
830,ROCK FALLS IL,60 ,"$1,076 ",$692 
831,ALBUQUERQUE,56 ,"$1,005 ",$653 
836,ST MARYS GA,45 ,$796 ,$526 
844,MORRIS IL,65 ,"$1,166 ",$759 
846,LAGRANGE TX,72 ,"$1,292 ",$841 
848,SOUTHAVEN MS,56 ,$990 ,$652 
850,"ALBUQUERQUE (C), NM",62 ,"$1,055 ",$727 
856,BREMEN GA,51 ,$902 ,$594 
859,LAKE WALES FL,49 ,$879 ,$572 
863,ROANOKE AL,61 ,"$1,094 ",$710 
866,"MOBILE (S), AL",69 ,"$1,238 ",$800 
867,SCOTTSBLUFF NE,76 ,"$1,363 ",$887 
885,SEWARD NE,72 ,"$1,292 ",$839 
886,FT DODGE IA,83 ,"$1,467 ",$964 
891,STERLING IL,70 ,"$1,256 ",$812 
893,LINDSAY OK,79 ,"$1,417 ",$914 
895,"CUBA, MO",69 ,"$1,238 ",$799 
896,GRAND PRARIE TX,70 ,"$1,256 ",$808 
898,PECOS TX,52 ,$933 ,$609 
901,SEGUIN TX,51 ,$915 ,$602 
904,FOLEY AL,56 ,"$1,005 ",$652 
907,FORSYTH GA,50 ,$884 ,$580 
910,LAKE GENEVA WI,81 ,"$1,453 ",$936 
913,DECORAH IA,61 ,"$1,078 ",$716 
914,CASSVILLE MO,81 ,"$1,453 ",$940 
923,NOBLESVILLE IN,67 ,"$1,202 ",$783 
930,MONTGOMERY (S) AL,51 ,$915 ,$594 
933,ROCHELLE IL,64 ,"$1,148 ",$750 
934,DAPHNE/LAKE FORREST AL,61 ,"$1,094 ",$710 
938,MONTGOMERY (E) AL,63 ,"$1,130 ",$734 
940,"WESTWORTH VILLAGE, TX",62 ,"$1,112 ",$731 
941,BRANDON FL,55 ,$987 ,$641 
943,CASSELBERRY/WINTERSPRINGS,41 ,$736 ,$480 
955,APOPKA FL,44 ,$789 ,$517 
963,WEATHERFORD TX,82 ,"$1,471 ",$953 
964,EL PASO (S) TX,60 ,"$1,076 ",$706 
965,TOMAH WI,71 ,"$1,274 ",$821 
966,CORTEZ CO,56 ,$990 ,$650 
968,WINTER HAVEN FL,53 ,$951 ,$616 
974,"WEST MELBOURNE, FL",57 ,"$1,023 ",$663 
987,FORT MYERS (S) FL,33 ,$565 ,$384 
988,LAND O' LAKES FL,59 ,"$1,058 ",$692 
991,MOBILE AL,89 ,"$1,597 ","$1,026 "
992,"TULSA (W),OK",43 ,$771 ,$503 
994,NEW PORT RICHNEY (ELFERS),37 ,$664 ,$436 
996,SPENCER IN,0 ,$0 ,$0 
1003,PLANO IL,81 ,"$1,453 ",$938 
1009,REPUBLIC MO,59 ,"$1,058 ",$695 
1012,BEAVER DAM WI,65 ,"$1,166 ",$753 
1021,WARRENTON MO,60 ,"$1,076 ",$697 
1033,SEYMOUR IN,57 ,"$1,023 ",$670 
1034,SHELBY NC,56 ,$990 ,$645 
1042,BASTROP TX,69 ,"$1,178 ",$800 
1046,CARRIZO SPRINGS TX,21 ,$377 ,$247 
1053,LA GRANGE KY,51 ,$915 ,$593 
1057,TALLASSEE AL EF,67 ,"$1,202 ",$775 
1063,GENEVA AL,49 ,$879 ,$571 
1065,HOPE AR,65 ,"$1,166 ",$762 
1067,HALLETSVILLE TX,0 ,$0 ,$0 
1070,ELLIJAY GA,56 ,$990 ,$655 
1072,TIFTON GA,65 ,"$1,166 ",$762 
1079,NEW SMYRNA BEACH FL,55 ,$987 ,$646 
1081,GAINESVILLE FL,57 ,"$1,023 ",$665 
1088,BILOXI MS,64 ,"$1,132 ",$756 
1091,ANDALUSIA AL,56 ,"$1,005 ",$653 
1095,GLENWOOD SPRINGS CO,67 ,"$1,185 ",$787 
1098,PORT LAVACA TX,71 ,"$1,274 ",$828 
1099,WICHITA KS,49 ,$879 ,$572 
1101,WETUMPKA AL,52 ,$933 ,$614 
1105,NORTH LITTLE ROCK AR,69 ,"$1,238 ",$804 
1108,"OAK GROVE, LA",68 ,"$1,202 ",$797 
1118,BALCH SPRINGS TX,47 ,$843 ,$553 
1125,"NORMAL, IL",57 ,"$1,023 ",$662 
1129,"AUSTIN (NW), TX",67 ,"$1,182 ",$785 
1134,DE FUNIAK SPRINGS FL,56 ,"$1,005 ",$653 
1141,GREENFIELD IN,58 ,"$1,041 ",$682 
1147,FLIPPIN AR,81 ,"$1,453 ",$925 
1157,N VERNON IN,54 ,$969 ,$624 
1167,KENOSHA WI,76 ,"$1,363 ",$890 
1170,LOUISVILLE KY,59 ,"$1,029 ",$684 
1176,STOUGHTON WI,82 ,"$1,471 ",$953 
1177,"MANCHESTER, MO",57 ,"$1,023 ",$670 
1178,BEDFORD TX,76 ,"$1,363 ",$887 
1181,MARIETTA GA,50 ,$884 ,$581 
1182,PALM COAST FL,56 ,"$1,005 ",$655 
1184,"STONE MOUNTAIN, GA",93 ,"$1,644 ","$1,081 "
1185,AUSTIN (N) TX,57 ,"$1,023 ",$670 
1205,MACCLENNY FL,31 ,$556 ,$364 
1206,BATON ROUGE LA,53 ,$937 ,$615 
1207,CALLAWAY FL PANAMA CITY E,60 ,"$1,076 ",$701 
1210,NICHOLASVILLE KY,50 ,$897 ,$582 
1219,JACKSONVILLE FL,47 ,$843 ,$563 
1224,PENSACOLA FL,46 ,$825 ,$541 
1230,"SHOW LOW, AZ",76 ,"$1,363 ",$887 
1233,PAINTSVILLE KY,40 ,$718 ,$471 
1239,URBANA OH,59 ,"$1,058 ",$687 
1261,FAYETTEVILLE (NE) NC,63 ,"$1,114 ",$734 
1264,"BELLEFONTAINE,OH",51 ,$915 ,$597 
1267,SUN PRAIRIE WI,79 ,"$1,417 ",$922 
1276,"SHEBOYGAN, WI",74 ,"$1,328 ",$863 
1283,STARKE FL,44 ,$789 ,$512 
1284,PHENIX CITY AL,53 ,$951 ,$624 
1291,TUCSON (E) AZ,67 ,"$1,182 ",$771 
1298,JACKSONVILLE NC,54 ,$955 ,$629 
1303,GEORGETOWN TX,76 ,"$1,363 ",$889 
1305,JANESVILLE WI,75 ,"$1,346 ",$872 
1314,BUFORD GA,58 ,"$1,025 ",$681 
1324,NOGALES AZ,56 ,"$1,005 ",$667 
1327,MADISON IN,49 ,$879 ,$570 
1330,LIMA OH,55 ,$987 ,$645 
1332,"SOUTH SIOUX CITY, NE",58 ,"$1,041 ",$677 
1333,VAN WERT OH,71 ,"$1,274 ",$839 
1335,LEXINGTON VA,45 ,$807 ,$522 
1338,COLUMBUS (S) GA,70 ,"$1,238 ",$815 
1339,COLUMBIA (NE) SC,61 ,"$1,078 ",$701 
1350,LYNCHBURG VA,63 ,"$1,130 ",$728 
1363,MADISON GA,54 ,$955 ,$637 
1365,HUDSON WI,67 ,"$1,202 ",$775 
1370,BULLHEAD CITY AZ,65 ,"$1,166 ",$763 
1373,LILBURN (DULUTH) GA,41 ,$725 ,$482 
1374,"ALTAMONTE SPRINGS , FL",58 ,"$1,041 ",$677 
1377,MCHENRY IL,73 ,"$1,310 ",$850 
1380,LAS VEGAS NM,76 ,"$1,363 ",$885 
1386,PONTIAC IL,56 ,"$1,005 ",$653 
1390,PINELLAS PARK FL,56 ,"$1,005 ",$658 
1395,CENTRALIA IL,53 ,$951 ,$620 
1397,ALBQUERQUE (NW) NM,76 ,"$1,363 ",$883 
1400,ATHENS GA,62 ,"$1,096 ",$723 
1404,LAKE ZURICH IL,55 ,$987 ,$649 
1406,WINCHESTER VA,73 ,"$1,310 ",$846 
1414,BELEN NM,72 ,"$1,292 ",$835 
1418,"O`FALLON, IL",54 ,$969 ,$629 
1429,FREMONT OH,46 ,$825 ,$533 
1430,OSHKOSH WI,66 ,"$1,184 ",$767 
1432,CADILLAC MI,45 ,$807 ,$523 
1433,CELINA OH,56 ,"$1,005 ",$651 
1438,CEDAR CITY UT,71 ,"$1,274 ",$819 
1442,PAGE AZ,68 ,"$1,220 ",$794 
1445,PORT CLINTON OH,64 ,"$1,148 ",$746 
1448,ASHLAND OH,60 ,"$1,076 ",$692 
1449,MANITOWOC WI,68 ,"$1,190 ",$791 
1455,FT WORTH TX,60 ,"$1,076 ",$705 
1462,GREENVILLE AL,60 ,"$1,076 ",$699 
1469,CHATTANOOGA (CENTRAL) TN,59 ,"$1,058 ",$687 
1476,CLARKSVILLE IN,56 ,"$1,005 ",$659 
1479,VALPARAISO IN,58 ,"$1,041 ",$685 
1480,WINCHESTER IN,55 ,$987 ,$639 
1487,MICHIGAN CITY IN,64 ,"$1,148 ",$744 
1488,DOUGLASVILLE (SW) GA,57 ,"$1,008 ",$664 
1489,VERNON HILLS IL,83 ,"$1,489 ",$970 
1490,ROCKFORD IL,95 ,"$1,704 ","$1,098 "
1495,"HUBER HEIGHTS, OH",49 ,$879 ,$573 
1497,RICHTON PARK IL,57 ,"$1,023 ",$666 
1513,PALM HARBOR FL,55 ,$987 ,$640 
1526,STORM LAKE IA,65 ,"$1,149 ",$758 
1532,GLENDALE(PHOENIX) AZ,69 ,"$1,238 ",$803 
1538,BROOKINGS SD,65 ,"$1,166 ",$759 
1553,BLOOMINGDALE IL,62 ,"$1,112 ",$725 
1556,ORLAND HILLS IL,58 ,"$1,041 ",$675 
1559,LAS VEGAS (NE) NV,67 ,"$1,202 ",$786 
1563,LANCASTER CA,70 ,"$1,256 ",$810 
1565,WILLISTON ND,71 ,"$1,274 ",$817 
1576,SCHERERVILLE IN,63 ,"$1,130 ",$737 
1578,ROSWELL GA,68 ,"$1,202 ",$804 
1586,AUSTELL GA,64 ,"$1,132 ",$739 
1592,BAD AXE MI,71 ,"$1,274 ",$822 
1604,RAPID CITY SD,75 ,"$1,346 ",$876 
1611,FORT GRATIOT MI,76 ,"$1,363 ",$877 
1625,LE MARS IA,73 ,"$1,291 ",$857 
1626,THE VILLAGE (OKC-N) OK,64 ,"$1,148 ",$745 
1643,FOND DU LAC WI,73 ,"$1,310 ",$851 
1645,HANFORD CA,110 ,"$1,973 ","$1,280 "
1649,JAMESTOWN ND,84 ,"$1,507 ",$974 
1650,SAUKVILLE WI,65 ,"$1,166 ",$754 
1660,PALMDALE CA,60 ,"$1,076 ",$703 
1676,TELL CITY IN,72 ,"$1,292 ",$832 
1678,DELAFIELD WI,69 ,"$1,238 ",$805 
1679,ONALASKA WI,80 ,"$1,435 ",$928 
1683,SHENANDOAH IA,71 ,"$1,255 ",$821 
1712,LARGO FL,30 ,$538 ,$344 
1714,FAIRMONT WV,63 ,"$1,130 ",$725 
1718,FINDLAY OH,64 ,"$1,148 ",$740 
1722,MARSHALL MN,80 ,"$1,435 ",$925 
1723,"DES MOINES, IA",65 ,"$1,149 ",$764 
1724,MILLERSBURG OH,60 ,"$1,076 ",$701 
1727,BERLIN WI,78 ,"$1,399 ",$912 
1729,CONNERSVILLE IN,51 ,$915 ,$598 
1735,WHEELING IL,59 ,"$1,058 ",$697 
1740,FREEPORT IL,62 ,"$1,112 ",$738 
1754,HOWELL MI,61 ,"$1,094 ",$705 
1764,WINDSOR HEIGHTS IA,59 ,"$1,043 ",$690 
1766,MARIETTA GA,72 ,"$1,273 ",$841 
1769,DU BOIS PA,57 ,"$1,023 ",$659 
1799,PORTAGE WI,70 ,"$1,256 ",$817 
1811,NORFOLK VA,44 ,$789 ,$508 
1812,WOOSTER OH,63 ,"$1,130 ",$734 
1814,ELGIN IL,60 ,"$1,076 ",$703 
1815,FRESNO CA,63 ,"$1,130 ",$736 
1817,HERMISTON OR,73 ,"$1,310 ",$855 
1822,FAJARDO PR,51 ,$875 ,$590 
1826,VISALIA CA,73 ,"$1,310 ",$859 
1838,LAS VEGAS NV,70 ,"$1,256 ",$819 
1839,LORAIN OH,53 ,$951 ,$616 
1847,OCALA FL,51 ,$915 ,$592 
1848,"GLEN ELLYN, IL",107 ,"$1,920 ","$1,229 "
1850,"CHAMBERSBURG, PA",65 ,"$1,166 ",$760 
1857,MENTOR (CLEVELAND) OH,60 ,"$1,076 ",$697 
1862,"RIALTO, CA",86 ,"$1,483 ","$1,003 "
1878,"REXBURG, ID",86 ,"$1,543 ",$997 
1884,"DICKSON CITY, PA",58 ,"$1,041 ",$679 
1888,"NORTH LOGAN, UT",53 ,$951 ,$616 
1889,"ISLAND CITY, OR",67 ,"$1,202 ",$797 
1892,"HODGKINS,IL",74 ,"$1,328 ",$864 
1893,"BOWIE, MD",41 ,$726 ,$477 
1894,"MEDINA, OH",62 ,"$1,112 ",$721 
1897,"ELK GROVE VILLAGE, IL",55 ,$987 ,$642 
1898,"ST CHARLES, IL",55 ,$987 ,$636 
1902,"AMMON, ID",73 ,"$1,300 ",$849 
1908,"GREENBAY (E), WI",67 ,"$1,202 ",$786 
1922,"RANCHO CUCAMONGA, CA",75 ,"$1,346 ",$852 
1925,"NEWPORT, OR",0 ,$0 ,$0 
1927,"MACEDONIA, OH",53 ,$951 ,$617 
1929,"CLOQUET, MN",61 ,"$1,094 ",$711 
1931,"RHINELANDER, WI",73 ,"$1,310 ",$854 
1933,"NORTHLAKE, IL",49 ,$879 ,$564 
1937,"COSHOCTON, OH",64 ,"$1,148 ",$736 
1939,"BRUNSWICK, ME",68 ,"$1,220 ",$795 
1942,"HOLLAND, MI",56 ,"$1,005 ",$660 
1943,"LINCOLN (N), NE",70 ,"$1,256 ",$813 
1951,"ONTARIO, OR",68 ,"$1,220 ",$791 
1955,"ROCKFORD, IL",71 ,"$1,274 ",$826 
1956,BILLINGS MT,88 ,"$1,579 ","$1,027 "
1960,"TAMPA, FL (S)",56 ,"$1,005 ",$660 
1975,"CLAREMONT, NH",66 ,"$1,184 ",$772 
1979,"CLEARLAKE, CA",66 ,"$1,184 ",$756 
1986,"NORWALK, OH",62 ,"$1,112 ",$721 
1989,"LOMPOC, CA",75 ,"$1,346 ",$869 
1991,"BLOOMINGTON, IN",38 ,$669 ,$451 
1995,"CHUBBUCK, ID",80 ,"$1,435 ",$936 
1998,CHICAGO SKOKIE TOUHY & ST,65 ,"$1,156 ",$753 
2000,"KITTY HAWK, NC",56 ,"$1,005 ",$653 
2003,"NORTH BRUNSWICK, NJ",68 ,"$1,220 ",$795 
2020,"RENSSELAER, IN",61 ,"$1,094 ",$709 
2023,"LEBANON, PA",37 ,$664 ,$432 
2028,"RIVERSIDE (S), CA",89 ,"$1,597 ","$1,039 "
2033,MANDAN BISMARCK ND,74 ,"$1,328 ",$861 
2038,"STERLIING PARK, VA",41 ,$736 ,$480 
2045,"WHITE MARSH, MD",52 ,$933 ,$599 
2050,"HENDERSON, NV",78 ,"$1,399 ",$909 
2051,"KINGMAN, AZ",59 ,"$1,058 ",$695 
2063,"AUSTINTOWN, OH",54 ,$969 ,$631 
2072,"GUAYAMA, PR",50 ,$897 ,$585 
2073,"BROOKLYN, OH",53 ,$951 ,$612 
2077,"LAKE ELSINORE, CA",80 ,"$1,435 ",$937 
2081,"CLEARWATER, FL",54 ,$969 ,$622 
2083,"MORGANTOWN, WV",63 ,"$1,130 ",$729 
2084,"BOZEMAN, MT",66 ,"$1,184 ",$783 
2086,"PLANO, TX",79 ,"$1,417 ",$920 
2099,"PASO ROBLES, CA EF",85 ,"$1,525 ",$988 
2108,"MAYS LANDING, NJ",46 ,$825 ,$539 
2111,HOOVER SE AL,71 ,"$1,274 ",$822 
2115,"NEW PHILADELPHIA, OH",45 ,$807 ,$526 
2124,"BEAVER CREEK, OH",53 ,$951 ,$622 
2125,"LAKEWOOD, CO",68 ,"$1,202 ",$798 
2131,"TOPEKA, KS",71 ,"$1,274 ",$826 
2132,"BATON ROUGE (S), LA",71 ,"$1,255 ",$824 
2133,"AUSTIN (MID W), TX",81 ,"$1,453 ",$946 
2141,"PHILADELPHIA (S), PA",43 ,$771 ,$500 
2145,"WHITEHALL, PA (ALLENTOWN)",37 ,$664 ,$430 
2154,"DULUTH, (NW), GA",35 ,$619 ,$418 
2166,"EAST SYRACUSE, NY",50 ,$884 ,$590 
2175,"BRANSON WEST, MO",74 ,"$1,328 ",$861 
2192,"HOUGHTON, MI",70 ,"$1,256 ",$811 
2201,"EL PASO (C), TX",107 ,"$1,790 ","$1,228 "
