,,,,,,Milk 1% Gallon,,,Milk 1% Half Gallon,,,Chocolate Milk 1% Gallon,,,Chocolate Milk 1% Half Gallon,,,Milk Fat Free/Skim Gallon,,,Milk Fat Free/Skim Half Gallon,,,Chocolate Milk Fat Free/Skim Gallon,,,Chocolate Milk Fat Free/Skim Half Gallon,,,Whole Milk Gallon,,,Whole Milk Half Gallon,,,Dry Powder Milk 9.6 oz,,, Milk Lactose Free/Reduced Gallon,,, Milk Lactose Free/Reduced Half Gallon,,, Milk Ultra High Temperature (UHT) Quart,N/A,,Eggs Grade A Large White 1 Dozen,,Block,Processed American Block,,Processed Cheddar Block,,Colby Block,,Monterey Jack Block,,Colby Jack Block,,Mozarella Block,,Swiss Block,,String,Processed American String,,Cheddar String,,Colby String,,Monterey Jack String,,Colby Jack String,,Mozarella String,,Swiss String,,Sliced,Processed American Sliced,,Cheddar Sliced,,Colby Sliced,,Monterey Jack Sliced,,Colby Jack Sliced,,Mozarella Sliced,,Swiss Sliced,,Shred,Processed American Shredded,,Processed Cheddar Shredded,,Colby Shredded,,Monterey Jack Shredded,,Colby Jack Shredded,,Mozarella Shredded,,Swiss Shredded,,Cubed,Processed American Cubed,,Processed Cheddar Cubed,,Colby Cubed,,Monterey Jack Cubed,,Colby Jack Cubed,,Mozarella Cubed,,Swiss Cubed,
StrNbr,StreetAddr,StrCity,StrState,StrType,Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits)
887,36 BYRD BLVD,PETAL,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
903,2711 GREENWAY DR,JACKSON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
916,6072 U S HIGHWAY 98,HATTIESBURG,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
954,527 LAKE ST,HAZLEHURST,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
969,9350 HIGHWAY 49,GULFPORT,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
970,235 FRONTAGE RD,PICAYUNE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
981,1733 2ND ST S,MERIDIAN,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1025,1608 VETERANS BLVD,MCCOMB,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1059,1309 HIGHWAY 35 S,FOREST,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1066,4253 DENNY AVE,PASCAGOULA,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1069,231 EASTSIDE DR,NEWTON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1074,1655 SUNSET DR,GRENADA,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Sargento,046100201091,N/A,N/A,N/A,N/A,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1088,2681 CT SWITZER SR DR,BILOXI,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1168,1001 HIGHWAY 98 BYP,COLUMBIA,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1192,1625 SIMPSON HWY #49,MAGEE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1195,460 HIGHWAY 90,WAVELAND,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1260,11228 OLD 63 S,LUCEDALE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1271,2400 HIGHWAY 19 N,MERIDIAN,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1346,3911 BIENVILLE BLVD,OCEAN SPRINGS,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1468,205 HOUSE CARLSON DR,BATESVILLE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1530,710 N DAVIS AVE,CLEVELAND,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
