CLUB #,ITEM #,SDC,DC name,Item Description,DISTRO,Region,Market
4768,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,19,Western,1
4769,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,20,South Central,15
4770,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,22,North Central,7
4771,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,26,Northeast,38
4772,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,14,Southeast,31
4774,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,19,Northeast,40
4775,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,31,Mississippi Valley,17
4776,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,24
4777,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,18,Western,5
4778,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,16,North Central,26
4780,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,28
4781,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,27,North Central,25
4782,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,16,Southeast,36
4783,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,19,South Central,14
4784,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,17,South Central,6
4785,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,23,Southeast,36
4786,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,13,Western,3
4787,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,21,North Central,18
4789,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,24,Mississippi Valley,28
4790,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,39,Mississippi Valley,17
4791,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,13,Central,9
4794,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,21,Southeast,31
4795,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,19,South Central,14
4797,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,29,Southeast,30
4798,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,22,Northeast,34
4799,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,20,Western,1
4801,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,16,Southeast,31
4802,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,21,Mississippi Valley,28
4804,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,36,Mississippi Valley,28
4805,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,11,Western,3
4808,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,25,Central,16
4815,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,11,Central,21
4816,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,17,Western,5
4817,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,35,Mississippi Valley,24
4818,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,31
4819,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,40,Western,1
4820,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,21,Southeast,29
4822,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,29,Western,2
4824,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,29,Western,1
4825,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,16,Central,16
4828,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,13,Southeast,36
4829,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,35,Western,4
4830,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,36,Western,4
4831,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,34,Southeast,35
4836,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,24
4837,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,34,Mississippi Valley,17
4839,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,28,Central,10
4840,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,16,North Central,20
4843,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,33,South Central,15
4846,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,27,Northeast,33
4847,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,25,Northeast,33
4850,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,55,South Central,12
4851,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,43,Central,22
4852,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,31
4853,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,19,Western,5
4855,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,23,Northeast,38
4857,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,10,Southeast,32
4859,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,18,Northeast,37
4860,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,16,Northeast,34
4861,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,11,Southeast,31
4866,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,16,Southeast,36
4870,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,29,Central,9
4872,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,22,Southeast,35
4873,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,29,North Central,8
4874,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,31,Mississippi Valley,17
4875,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,29,Central,19
4876,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,37,Central,22
4878,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,42,Central,19
4879,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,22,Southeast,29
4901,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,40,Southeast,30
4905,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,26,South Central,11
4906,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,17,South Central,14
4911,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,35,South Central,11
4914,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,17,South Central,12
4915,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,11,Western,4
4917,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,19,Southeast,30
4920,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,26,Central,9
4926,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,21,Central,21
4933,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,23,North Central,7
4936,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,20,Northeast,33
4938,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,23,South Central,6
4939,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,37,South Central,12
4942,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,24,North Central,20
4944,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,22,North Central,25
4946,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,21,Southeast,35
4947,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,18,Mississippi Valley,27
4948,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,16,South Central,11
4950,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,20,Southeast,30
4952,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,20,Northeast,37
4955,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,22,Western,4
4958,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,17,South Central,12
4961,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,13,South Central,6
4962,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,16,North Central,26
4963,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,24,Mississippi Valley,27
4969,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,31,Central,16
4972,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,13,Southeast,32
4973,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,17,North Central,8
4974,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,35,Western,4
4982,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,9,North Central,25
4983,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,18,Western,4
4985,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,41,Central,16
4987,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,11,North Central,7
4989,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,17,Mississippi Valley,24
4990,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,19,Mississippi Valley,24
4991,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,11,Southeast,32
4992,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,23,Central,22
4994,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,22,Northeast,39
4996,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,26,Northeast,34
4998,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,15,Southeast,31
4999,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,14,Central,19
6181,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,25,North Central,8
6188,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,15,South Central,13
6189,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,36
6201,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,10,Northeast,37
6202,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,17,South Central,15
6203,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,17,Southeast,35
6204,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,29
6205,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,29,Western,4
6212,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,19,Southeast,36
6213,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,29,Western,4
6216,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,30,Southeast,35
6217,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,19,Southeast,32
6218,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,36
6219,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,26,Western,5
6220,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,20,Mississippi Valley,17
6225,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,10,Southeast,36
6228,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,10,North Central,20
6235,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,30,Western,2
6236,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,19,Southeast,30
6238,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,31,Central,10
6239,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,11,Northeast,38
6240,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,21,Western,2
6242,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,15,Mississippi Valley,27
6244,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,25,South Central,11
6245,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,14,South Central,11
6246,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,24,South Central,6
6247,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,22,Central,9
6249,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,24,Mississippi Valley,23
6251,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,27
6252,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,14,Central,19
6254,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,17,North Central,18
6255,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,12,South Central,14
6256,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,28,Mississippi Valley,23
6257,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,25,Western,4
6259,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,20,South Central,13
6260,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,28,Mississippi Valley,23
6261,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,26,Western,4
6262,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,22,South Central,12
6265,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,13,South Central,14
6267,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,20,Central,10
6269,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,39,South Central,12
6270,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,10,Southeast,36
6275,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,23,Central,9
6302,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,29,Northeast,33
6304,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,28,Central,21
6305,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,35,Northeast,33
6307,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,13,Mississippi Valley,27
6308,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,27
6309,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,23,North Central,18
6310,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,20,North Central,18
6311,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,23,North Central,18
6312,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,35,North Central,18
6313,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,23,North Central,25
6314,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,33,Northeast,33
6315,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,21,North Central,25
6317,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,44,Northeast,33
6319,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,28,North Central,25
6320,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,25,North Central,7
6321,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,17,North Central,18
6322,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,31,Northeast,33
6324,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,27,North Central,18
6325,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,21,Central,21
6326,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,20,Mississippi Valley,27
6327,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,41,Northeast,33
6328,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,24,North Central,20
6329,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,26,Mississippi Valley,24
6330,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,26,Northeast,39
6331,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,16,North Central,20
6332,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,22,Northeast,39
6333,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,14,Northeast,40
6334,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,17,Central,21
6335,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,20,Southeast,31
6336,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,14,South Central,11
6338,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,32,South Central,13
6339,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,12,North Central,20
6341,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,11,Southeast,32
6342,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,26,Central,10
6343,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,17,Northeast,34
6344,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,24,North Central,8
6345,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,16,Western,3
6347,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,19,South Central,6
6348,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,20,Southeast,30
6349,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,25,North Central,20
6350,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,26,Central,10
6351,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,19,Northeast,34
6352,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,12,Northeast,40
6353,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,21,Southeast,35
6354,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,14,Northeast,34
6355,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,44,Southeast,30
6356,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,5,Northeast,40
6357,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,26,Northeast,38
6358,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,22,North Central,20
6359,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,21,North Central,25
6360,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,17,Western,3
6361,668305,4887,Hammond,UNICED WHITE CUPCAKES 150CT,16,Mississippi Valley,24
6363,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,32,Southeast,29
6364,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,17,Southeast,32
6365,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,16,Northeast,34
6366,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,22,Northeast,37
6367,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,41,South Central,13
6368,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,30,Northeast,34
6369,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,14,Northeast,40
6371,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,18,Northeast,38
6372,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,10,South Central,14
6373,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,22,Mississippi Valley,27
6375,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,16,Mississippi Valley,27
6376,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,14,South Central,14
6378,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,44,Western,2
6379,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,19,Western,3
6380,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,28,Central,22
6381,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,17,South Central,14
6382,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,16,Western,4
6383,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,21,Northeast,38
6384,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,20,North Central,20
6386,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,9,Northeast,40
6387,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,18,Southeast,31
6388,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,23,North Central,20
6401,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,21,Southeast,31
6402,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,49,Northeast,34
6403,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,31,Southeast,31
6404,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,37,Northeast,33
6405,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,11,Western,1
6406,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,14,Northeast,37
6407,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,21,Mississippi Valley,27
6408,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,10,South Central,6
6409,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,28,Mississippi Valley,28
6410,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,30,Western,1
6412,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,26,North Central,26
6413,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,16,North Central,8
6414,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,42,Southeast,30
6415,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,27,Central,16
6418,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,22,Central,9
6419,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,11,North Central,25
6420,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,19,Southeast,31
6421,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,17,South Central,13
6422,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,29,South Central,15
6423,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,9,Northeast,40
6425,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,7,North Central,7
6426,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,14,Central,9
6427,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,19,North Central,8
6428,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,22,Northeast,40
6429,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,25,North Central,25
6431,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,13,Northeast,37
6433,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,16,Western,1
6434,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,20,Northeast,38
6435,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,38,Mississippi Valley,24
6436,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,16,North Central,18
6437,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,33,Central,21
6439,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,32,South Central,6
6440,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,11,Northeast,37
6441,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,17,Southeast,31
6443,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,24,Southeast,35
6444,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,10,North Central,20
6445,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,12,Southeast,32
6448,668305,4042,Cocoa,UNICED WHITE CUPCAKES 150CT,16,Southeast,31
6449,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,27,Central,19
6450,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,28,Central,22
6452,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,25,Southeast,30
6453,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,14,South Central,13
6454,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,26,North Central,26
6455,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,25,Western,1
6456,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,11,Northeast,37
6457,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,17,Mississippi Valley,27
6458,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,34,Northeast,34
6460,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,30,Northeast,37
6462,668305,6297,Johnstown,UNICED WHITE CUPCAKES 150CT,11,Northeast,40
6463,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,20,Southeast,30
6464,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,10,North Central,20
6472,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,20,North Central,8
6474,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,25,Central,19
6479,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,31,Central,19
6482,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,31,South Central,14
6485,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,28,Central,21
6487,668305,4897,Sterling,UNICED WHITE CUPCAKES 150CT,22,North Central,20
6489,668305,4044,Indy,UNICED WHITE CUPCAKES 150CT,28,Central,21
6501,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,43,Mississippi Valley,23
