Store Nbr,Market,Region,Tier,Details
2046,180,16,Tier 1,ISA On in Total Store
5062,544,72,Tier 1,ISA On in Total Store
710,153,12,Tier 1,ISA On in Total Store
4054,494,59,Tier 1,ISA On in Total Store
2542,222,21,Tier 1,ISA On in Total Store
1270,39,2,Tier 1,ISA On in Total Store
707,136,12,Tier 1,ISA On in Total Store
580,116,9,Tier 1,ISA On in Total Store
514,39,2,Tier 1,ISA On in Total Store
3163,553,9,Tier 1,ISA On in Total Store
1659,379,47,Tier 1,ISA On in Total Store
1441,221,21,Tier 1,ISA On in Total Store
2003,174,17,Tier 1,ISA On in Total Store
2266,214,20,Tier 1,ISA On in Total Store
5055,105,9,Tier 1,ISA On in Total Store
3681,800,29,Tier 1,ISA On in Total Store
3274,50,5,Tier 1,ISA On in Total Store
2591,109,9,Tier 1,ISA On in Total Store
5938,458,57,Tier 1,ISA On in Total Store
2160,290,75,Tier 1,ISA On in Total Store
1207,15,14,Tier 1,ISA On in Total Store
1767,300,26,Tier 1,ISA On in Total Store
5611,512,61,Tier 1,ISA On in Total Store
916,141,13,Tier 1,ISA On in Total Store
975,350,44,Tier 1,ISA On in Total Store
5466,219,21,Tier 1,ISA On in Total Store
1322,308,26,Tier 1,ISA On in Total Store
3366,401,54,Tier 1,ISA On in Total Store
4623,288,75,Tier 1,ISA On in Total Store
3585,68,6,Tier 1,ISA On in Total Store
2475,20,2,Tier 1,ISA On in Total Store
3709,19,2,Tier 1,ISA On in Total Store
1242,294,2,Tier 1,ISA On in Total Store
5063,309,26,Tier 1,ISA On in Total Store
2152,188,17,Tier 1,ISA On in Total Store
2843,89,9,Tier 1,ISA On in Total Store
1016,129,13,Tier 1,ISA On in Total Store
1742,165,22,Tier 1,ISA On in Total Store
1578,23,2,Tier 1,ISA On in Total Store
1317,294,2,Tier 1,ISA On in Total Store
4848,499,59,Tier 1,ISA On in Total Store
3533,585,47,Tier 1,ISA On in Total Store
4220,502,59,Tier 1,ISA On in Total Store
716,136,12,Tier 1,ISA On in Total Store
5118,297,26,Tier 1,ISA On in Total Store
974,92,9,Tier 1,ISA On in Total Store
2599,86,6,Tier 1,ISA On in Total Store
765,87,6,Tier 1,ISA On in Total Store
955,91,9,Tier 1,ISA On in Total Store
3309,98,3,Tier 1,ISA On in Total Store
3408,392,56,Tier 1,ISA On in Total Store
1860,284,75,Tier 1,ISA On in Total Store
4202,455,56,Tier 1,ISA On in Total Store
1591,234,22,Tier 1,ISA On in Total Store
980,378,54,Tier 1,ISA On in Total Store
812,70,46,Tier 1,ISA On in Total Store
5476,165,22,Tier 1,ISA On in Total Store
3795,577,17,Tier 1,ISA On in Total Store
1382,39,2,Tier 1,ISA On in Total Store
2286,171,17,Tier 1,ISA On in Total Store
317,272,25,Tier 1,ISA On in Total Store
2733,32,3,Tier 1,ISA On in Total Store
945,71,46,Tier 1,ISA On in Total Store
6878,5,12,Tier 1,ISA On in Total Store
5298,305,4,Tier 1,ISA On in Total Store
781,81,5,Tier 1,ISA On in Total Store
3026,515,61,Tier 1,ISA On in Total Store
5442,264,25,Tier 1,ISA On in Total Store
1983,450,56,Tier 1,ISA On in Total Store
3621,23,2,Tier 1,ISA On in Total Store
3749,225,21,Tier 1,ISA On in Total Store
4826,103,72,Tier 1,ISA On in Total Store
139,353,44,Tier 1,ISA On in Total Store
577,362,40,Tier 1,ISA On in Total Store
1469,120,2,Tier 1,ISA On in Total Store
2741,534,72,Tier 1,ISA On in Total Store
10,347,44,Tier 1,ISA On in Total Store
2835,528,64,Tier 1,ISA On in Total Store
5038,262,25,Tier 1,ISA On in Total Store
279,321,42,Tier 1,ISA On in Total Store
2426,217,21,Tier 1,ISA On in Total Store
1002,580,25,Tier 1,ISA On in Total Store
2231,279,25,Tier 1,ISA On in Total Store
859,116,9,Tier 1,ISA On in Total Store
4583,35,2,Tier 1,ISA On in Total Store
649,92,9,Tier 1,ISA On in Total Store
83,327,42,Tier 1,ISA On in Total Store
2706,125,13,Tier 1,ISA On in Total Store
4477,308,26,Tier 2,GM Pause
1490,263,53,Tier 1,ISA On in Total Store
1532,369,46,Tier 1,ISA On in Total Store
1746,371,46,Tier 1,ISA On in Total Store
2154,24,2,Tier 1,ISA On in Total Store
3516,458,57,Tier 1,ISA On in Total Store
5308,485,59,Tier 1,ISA On in Total Store
2505,62,6,Tier 1,ISA On in Total Store
4506,41,4,Tier 1,ISA On in Total Store
1171,115,9,Tier 1,ISA On in Total Store
5795,233,22,Tier 1,ISA On in Total Store
1910,457,56,Tier 1,ISA On in Total Store
2808,290,75,Tier 1,ISA On in Total Store
2424,187,17,Tier 1,ISA On in Total Store
2892,376,47,Tier 1,ISA On in Total Store
2754,30,3,Tier 1,ISA On in Total Store
4659,541,64,Tier 1,ISA On in Total Store
1331,223,21,Tier 1,ISA On in Total Store
1495,223,21,Tier 1,ISA On in Total Store
3166,495,59,Tier 1,ISA On in Total Store
5370,379,47,Tier 1,ISA On in Total Store
7247,14,14,Tier 1,ISA On in Total Store
1969,290,75,Tier 2,GM Pause
2516,514,60,Tier 1,ISA On in Total Store
995,251,25,Tier 1,ISA On in Total Store
3371,306,4,Tier 1,ISA On in Total Store
184,361,40,Tier 1,ISA On in Total Store
3356,397,61,Tier 1,ISA On in Total Store
2063,208,20,Tier 1,ISA On in Total Store
1406,286,75,Tier 1,ISA On in Total Store
2482,371,46,Tier 1,ISA On in Total Store
34,334,42,Tier 1,ISA On in Total Store
4431,499,59,Tier 1,ISA On in Total Store
863,10,14,Tier 1,ISA On in Total Store
3700,309,26,Tier 1,ISA On in Total Store
3420,172,17,Tier 1,ISA On in Total Store
1220,90,9,Tier 1,ISA On in Total Store
