Store #,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,
1119,1,4,2,1,2,1,1,1,1,
1138,2,2,1,1,2,1,1,1,1,
1159,2,2,2,4,5,5,7,2,1,
1166,1,2,1,2,1,1,1,1,1,
1189,2,2,2,2,4,4,6,6,1,
1323,1,2,2,2,2,4,4,1,1,
1325,2,1,1,1,1,1,1,1,1,
1336,1,1,3,3,5,5,7,5,5,
1365,4,3,2,1,3,4,2,1,1,
1374,3,2,3,1,2,3,3,1,1,
1452,1,2,1,2,2,3,4,1,1,
1471,1,2,1,1,2,2,1,1,1,
1489,1,5,1,1,1,2,2,1,1,
1537,1,2,3,1,3,6,5,2,1,
1550,1,1,2,2,2,4,3,3,1,
1576,1,1,1,1,2,1,1,1,1,
1610,2,1,1,2,3,2,2,1,1,
1629,1,1,1,5,7,7,8,1,1,
1670,2,1,1,1,4,4,5,3,1,
1684,2,2,1,1,4,3,2,1,1,
1691,1,1,1,1,3,2,1,1,1,
1701,3,3,3,2,3,2,3,1,1,
1713,1,2,1,2,1,2,2,1,1,
1715,1,2,1,1,4,3,2,1,1,
1716,1,2,1,1,5,7,4,1,1,
1717,1,2,1,1,4,3,4,1,1,
1743,7,5,5,8,10,12,12,4,1,
1751,1,2,1,1,2,1,1,1,1,
1779,4,2,2,2,8,8,8,3,2,
1785,2,1,3,1,3,2,2,2,1,
1786,1,1,1,1,3,2,1,2,1,
1795,1,1,1,3,2,4,7,2,1,
1808,2,1,2,2,3,3,3,2,1,
1816,4,4,4,4,4,4,1,1,1,
1821,1,3,3,3,3,4,3,1,1,
1843,1,3,2,4,3,5,4,1,1,
1844,2,4,4,4,9,9,9,2,1,
1857,2,3,1,1,2,2,3,1,1,
1869,3,3,4,4,5,5,4,3,1,
1876,1,2,2,3,5,4,1,1,1,
1887,2,1,1,1,4,5,2,1,1,
1893,1,2,4,4,4,4,4,1,1,
1895,1,3,2,1,2,3,3,1,1,
1906,1,1,3,1,2,2,2,2,2,
1918,1,1,3,2,1,2,1,2,1,
1919,1,1,3,2,2,2,1,1,1,
1921,3,2,2,4,6,8,8,2,1,
1930,1,1,2,2,2,1,2,1,1,
1933,1,2,3,3,1,4,4,1,1,
1974,2,1,4,3,3,1,1,1,1,
1990,1,1,1,1,1,2,2,1,1,
2008,1,3,1,1,3,2,1,1,1,
2009,2,1,1,1,4,3,1,1,1,
2020,3,3,3,2,5,4,3,3,2,
2041,1,2,2,1,4,3,3,1,1,
2043,1,1,1,1,1,1,1,1,1,
2057,1,1,1,1,1,2,1,1,1,
2090,1,1,1,1,2,3,2,1,1,
2109,2,3,2,1,6,8,6,2,1,
2118,1,1,1,3,2,1,1,1,1,
2138,1,1,2,2,2,1,1,1,1,
2139,1,1,2,5,3,4,4,1,1,
2144,1,2,3,4,4,7,2,1,1,
2156,3,1,1,3,2,5,1,1,1,
2163,1,1,5,4,2,4,1,2,1,
2167,1,1,2,3,5,6,2,1,1,
2170,7,5,4,5,5,4,5,6,5,
2180,1,1,3,2,2,3,1,1,1,
2184,1,1,2,2,2,2,1,1,1,
2194,1,2,1,2,3,5,1,1,1,
2200,1,1,1,2,1,1,2,1,1,
2224,1,1,3,2,1,1,1,1,1,
2227,5,5,5,7,7,7,7,4,1,
2228,2,1,3,2,3,2,2,1,1,
2232,1,1,1,2,1,2,1,1,1,
2236,1,1,1,1,3,3,1,1,1,
2248,2,2,2,2,4,4,1,1,1,
2254,2,2,4,1,4,5,5,3,1,
2258,1,4,1,1,4,4,2,1,1,
2264,1,1,1,2,1,1,1,1,1,
2267,2,1,3,3,2,1,1,1,1,
2286,3,1,1,2,4,4,3,1,1,
2317,1,2,4,4,3,3,3,1,1,
2319,1,1,1,3,2,1,1,1,1,
2326,2,2,1,2,3,2,4,1,1,
2332,1,1,2,4,3,1,1,1,1,
2341,2,1,7,5,4,4,2,4,8,
2373,1,1,3,5,2,1,1,1,1,
2398,2,1,1,1,2,1,2,1,1,
2419,1,1,2,1,7,3,2,1,1,
2422,1,1,4,2,2,3,2,1,1,
2435,11,15,15,15,15,20,20,15,15,
2450,1,3,3,3,5,6,6,3,1,
2490,2,2,1,2,2,3,4,4,3,
2518,6,6,6,6,13,13,13,6,2,
2530,1,1,1,1,1,1,1,1,1,
2531,1,1,4,5,5,5,4,2,1,
2538,2,4,3,4,4,3,2,2,1,
2551,2,2,1,1,4,4,3,2,1,
2555,1,1,1,1,3,3,3,2,1,
2571,1,1,3,5,5,3,1,1,1,
2582,2,1,2,1,5,4,3,1,1,
2583,2,1,1,1,3,4,1,1,1,
2585,2,1,1,3,4,4,2,1,1,
2594,1,2,2,4,2,3,1,2,1,
2603,1,4,1,1,4,1,2,1,1,
2604,1,1,2,2,4,3,3,2,1,
2633,1,1,7,7,8,8,8,5,3,
2640,2,1,3,3,3,1,2,1,1,
2659,1,1,1,1,1,1,2,1,1,
2660,2,3,4,3,2,3,5,3,4,
2666,1,1,1,1,3,2,2,1,1,
2681,1,2,2,1,2,1,1,1,1,
2683,1,1,1,2,3,5,2,1,1,
2718,6,9,9,10,10,10,9,9,9,
2719,2,1,2,2,2,1,1,1,1,
2747,1,1,3,3,2,1,1,1,1,
2797,1,1,3,2,1,2,1,1,1,
2799,1,2,1,3,5,4,1,1,1,
2815,2,5,4,5,5,6,6,4,2,
2816,2,3,2,3,3,3,2,1,1,
2825,7,8,8,8,7,8,5,2,1,
2841,6,4,5,6,7,7,7,4,3,
2865,1,1,1,4,4,5,3,1,1,
2866,2,1,1,1,2,1,1,2,1,
2867,2,1,1,2,3,2,1,1,1,
2885,1,1,2,3,1,2,1,1,1,
2897,1,1,2,1,2,2,2,1,1,
2898,1,1,1,2,3,3,4,1,1,
2899,1,1,1,2,2,1,2,1,1,
2900,2,3,5,4,4,3,1,1,1,
2901,1,1,1,3,1,1,1,1,1,
2902,3,1,5,4,3,3,3,3,2,
2903,1,1,2,2,2,2,1,1,1,
2904,6,8,6,7,7,6,8,6,3,
2905,4,7,7,8,9,9,5,1,1,
2915,2,3,3,5,5,5,1,1,1,
2916,3,3,4,6,8,8,2,2,2,
2917,2,1,1,2,5,5,1,1,1,
2947,1,2,2,3,3,4,2,1,1,
2954,2,3,3,3,1,2,1,1,1,
2965,1,4,2,3,3,2,1,3,2,
3200,2,1,3,2,2,2,2,1,1,
3252,1,1,1,1,1,2,4,3,1,
3266,12,18,18,15,13,14,14,4,1,
3291,1,1,3,1,4,4,3,2,1,
3301,3,8,8,8,8,7,2,2,1,
3322,2,2,1,1,4,1,1,1,1,
3420,4,6,10,15,15,15,2,1,1,
3443,1,1,2,1,4,5,4,1,1,
3481,2,4,1,1,3,4,3,1,1,
3490,2,1,1,1,3,3,2,1,1,
3491,1,1,1,1,1,2,1,1,1,
3543,2,5,5,6,6,6,6,4,1,
3545,1,1,1,1,1,1,2,1,1,
3546,2,1,1,4,3,5,2,1,1,
3547,3,3,4,5,5,5,2,1,1,
3548,6,5,5,5,5,6,6,2,1,
3549,1,1,3,2,2,2,1,1,1,
3562,3,1,3,2,4,3,1,1,1,
3563,1,1,1,1,3,4,4,1,1,
3598,1,1,2,3,5,3,2,2,1,
3803,20,15,15,15,15,17,15,15,15,
5047,1,1,1,1,2,4,2,1,1,
5073,1,1,1,4,3,4,2,1,1,
5077,5,6,5,8,8,8,6,1,1,
5089,1,1,1,2,3,2,1,1,1,
5103,1,1,1,2,3,4,1,1,1,
5111,1,1,2,2,4,3,1,1,1,
5129,1,2,1,3,5,3,1,1,1,
5130,2,1,3,3,5,3,1,1,1,
5131,5,1,2,2,3,4,2,1,1,
5178,1,3,2,3,3,5,4,1,1,
5195,1,2,2,2,1,5,4,6,1,
5200,1,2,1,2,1,4,2,1,1,
5202,1,1,1,3,5,5,1,1,1,
5227,9,10,10,10,15,20,15,3,1,
5228,1,1,1,1,4,4,2,1,1,
5229,1,1,1,1,2,2,3,1,1,
5276,1,3,1,4,1,4,3,1,1,
5281,17,20,20,20,20,20,20,15,12,
5294,1,1,3,1,1,1,1,1,1,
5305,1,2,2,2,2,4,2,2,2,
5339,1,1,1,1,2,4,2,1,1,
5340,10,10,10,10,10,10,12,5,1,
5344,2,2,1,1,2,3,2,1,1,
5345,1,1,1,1,4,1,2,1,1,
5381,1,2,1,1,2,2,2,1,1,
5384,4,7,5,5,12,12,13,10,3,
5436,1,1,3,1,4,4,1,1,1,
5440,1,1,2,2,4,5,1,1,1,
5495,3,1,3,3,5,4,2,1,1,
1979,2,2,2,2,6,6,12,6,6,
2054,2,2,2,2,10,10,10,10,10,
