Store Nbr,Prime Item Nbr,Prime Item Desc,Dept Category Group Description,Curr Str On Hand Qty
752,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
754,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
764,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
765,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
767,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
769,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
771,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
774,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
786,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
787,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
789,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
795,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
797,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
800,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
803,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,7 
817,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
818,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
821,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
835,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
839,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
842,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
848,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
849,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
850,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
854,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
855,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
858,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
862,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
863,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
867,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
868,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
869,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
870,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
872,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
881,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
890,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
892,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
909,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
916,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
921,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
928,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
929,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
930,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
932,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
935,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
938,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
939,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
940,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
942,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
