Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1264,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,92.50%,85.80%,7.6,98.30%,93.10%,88.30%,88.80%
3206,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,89.70%,78.10%,12.5,97.50%,95.70%,89.00%,75.60%
3840,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,92.00%,77.20%,10.5,93.70%,97.40%,95.50%,79.80%
1495,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202251,83.00%,82.10%,14.8,88.80%,89.20%,93.10%,47.60%
3502,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202251,88.20%,88.50%,11.8,94.80%,90.50%,88.50%,72.20%
3641,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,86.80%,82.20%,13.6,96.10%,97.60%,86.00%,74.40%
3783,,Scheduled Delivery Standard,30,Executive Review,Degrading,Store Focus,202251,78.00%,76.00%,19.2,85.80%,86.50%,79.20%,52.00%
5409,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,88.70%,89.10%,13.2,92.30%,94.40%,97.10%,70.40%
1510,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,92.70%,97.00%,10.8,97.70%,96.60%,96.80%,76.00%
1521,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202251,86.00%,90.80%,12.7,94.40%,93.90%,81.40%,69.70%
2250,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,90.40%,95.20%,13.2,94.00%,93.60%,93.00%,77.70%
3749,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,89.10%,88.10%,10.1,94.90%,91.40%,91.90%,75.50%
4609,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202251,86.50%,95.00%,11.8,95.30%,96.50%,86.90%,60.30%
1665,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202251,85.90%,74.20%,16.5,89.40%,82.60%,89.60%,81.30%
1728,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202251,86.00%,90.40%,18.6,95.60%,93.30%,91.50%,54.90%
1745,,Scheduled Delivery Express,15,Executive Review,Recovering,Store Focus,202251,92.90%,76.60%,13.1,96.70%,88.90%,88.90%,100.00%
1745,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,85.50%,95.80%,11.9,93.70%,86.00%,88.00%,71.50%
3747,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,94.50%,89.40%,11.9,96.60%,94.90%,97.50%,87.90%
854,,Scheduled Delivery Express,26,Executive Review,Recovering,Store Focus,202251,85.30%,70.90%,12.6,94.10%,91.40%,81.60%,75.00%
3255,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202251,91.70%,86.70%,11,88.00%,93.30%,99.00%,83.30%
853,,Scheduled Delivery Standard,34,Executive Review,Recovering,Store Focus,202251,88.90%,88.20%,11.7,93.30%,91.80%,85.80%,82.70%
934,,Scheduled Delivery Standard,26,Executive Review,Recovering,Store Focus,202251,90.10%,83.50%,10,92.80%,84.60%,94.40%,89.00%
4581,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,91.20%,91.20%,11.1,92.40%,95.80%,90.10%,85.50%
562,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,93.00%,87.00%,13.3,96.80%,94.50%,88.00%,92.50%
1158,,Scheduled Delivery Standard,33,Executive Review,Recovering,Store Focus,202251,89.80%,95.70%,10.1,93.90%,89.70%,90.80%,83.60%
