Region Number,Market Number,Store Number,Item Description,Over Shipped Qty
7,77,4103,WAL VEST PETE XL WMN BLU,33
7,77,4103,WAL VEST PETE 2XL WMN BLU,34
22,237,4348,WAL VEST PETE 2XL WMN BLU,130
6,67,4538,WAL VEST PETE XS WMN BLU,73
6,67,4538,WAL VEST PETE XL WMN BLU,72
6,67,4538,WAL VEST PETE 2XL WMN BLU,74
64,570,4676,WAL VEST PETE XL WMN BLU,65
64,570,4676,WAL VEST PETE 2XL WMN BLU,66
13,125,5022,WAL VEST PETE XS WMN BLU,91
20,214,5082,WAL VEST PETE XL WMN BLU,15
20,214,5082,WAL VEST PETE XL WMN BLU,91
20,214,5082,WAL VEST PETE 2XL WMN BLU,107
3,93,5326,WAL VEST PETE XS WMN BLU,56
3,93,5326,WAL VEST PETE XL WMN BLU,58
3,93,5326,WAL VEST PETE 2XL WMN BLU,57
16,187,5497,WAL VEST PETE 2XL WMN BLU,178
57,465,5807,WAL VEST PETE XL WMN BLU,22
57,465,5807,WAL VEST PETE 2XL WMN BLU,23
5,56,6300,WAL VEST PETE XL WMN BLU,35
5,56,6300,WAL VEST PETE 2XL WMN BLU,36
75,287,7032,WAL VEST PETE XS WMN BLU,28
75,287,7032,WAL VEST PETE XL WMN BLU,27
75,287,7032,WAL VEST PETE 2XL WMN BLU,29
5,56,7178,WAL VEST PETE XS WMN BLU,38
5,56,7178,WAL VEST PETE XL WMN BLU,39
5,56,7178,WAL VEST PETE 2XL WMN BLU,37
72,545,8861,WAL VEST PETE XS WMN BLU,31
72,545,8861,WAL VEST PETE XL WMN BLU,32
