Store Number,150lb,300lb,400lb
1295,0,2,2
1296,0,2,2
1405,6,4,2
1516,0,2,2
1597,0,2,2
1626,0,2,2
1958,0,2,2
2175,0,2,2
2734,0,2,2
2765,0,2,2
2803,0,2,2
2855,0,2,1
2893,0,2,2
2991,0,2,1
3055,0,2,2
3056,0,2,2
3057,0,0,1
3103,0,2,2
3107,0,0,1
3229,0,2,2
3231,6,2,2
3283,0,0,1
3319,0,2,2
3381,0,0,1
3391,0,0,1
3430,0,2,2
3431,6,4,4
3585,0,2,2
3591,6,2,2
3623,6,0,0
3764,6,4,2
3828,6,4,2
4102,0,2,2
4103,0,2,2
4163,0,0,2
4164,0,0,1
4195,12,6,4
4215,0,0,1
4219,0,0,1
4241,0,2,2
4475,0,0,1
4509,0,0,1
4611,0,0,1
4615,0,2,2
4637,0,0,1
4674,0,0,1
5071,0,0,2
5146,0,0,1
5210,0,0,1
5261,6,6,6
5359,6,4,2
5441,0,2,1
6459,0,2,1
6467,0,0,2
6579,0,2,2
6929,0,2,2
7281,0,0,2
7294,0,2,2
7311,0,0,1
5,0,2,3
8,6,8,0
11,18,10,4
14,0,2,0
15,0,2,3
19,6,4,2
27,6,0,0
33,0,0,2
45,6,2,0
52,6,0,0
58,12,6,4
68,0,0,2
71,6,8,2
78,6,4,2
85,6,4,2
98,6,4,2
105,6,4,2
112,6,0,0
117,0,0,4
118,6,0,2
119,6,4,2
127,12,0,4
128,6,2,0
138,6,2,0
149,0,2,2
153,0,4,3
157,12,4,2
160,6,2,2
164,0,6,4
166,6,2,2
171,0,2,2
182,6,4,2
239,0,2,2
261,6,0,2
273,12,0,2
279,0,0,3
281,6,2,2
287,6,4,2
296,6,0,0
298,0,6,0
300,0,4,0
301,0,6,0
315,0,4,0
316,0,4,0
318,7,4,2
331,0,2,2
336,0,0,4
339,0,0,4
348,0,0,5
362,6,0,0
384,6,4,3
394,12,10,2
403,6,4,2
405,0,0,2
423,6,0,4
424,6,4,2
425,6,0,4
428,0,4,2
445,6,4,2
450,6,0,2
477,6,2,2
501,6,4,2
505,0,0,2
507,6,4,2
584,6,4,2
658,0,0,4
669,0,2,2
691,0,6,2
699,0,4,3
700,6,4,0
712,12,6,4
716,6,4,2
727,6,4,2
731,6,2,2
766,0,0,2
773,6,4,2
777,6,4,2
785,6,4,2
788,0,4,2
803,0,0,3
876,0,0,2
904,6,2,2
970,6,4,2
981,0,0,2
990,6,10,8
1025,6,4,2
1052,6,2,1
1065,0,2,2
1074,0,0,2
1089,0,0,2
1114,18,10,2
1128,6,4,2
1168,6,4,2
1169,0,2,2
1174,6,6,8
1192,6,4,2
1195,6,4,2
1201,0,4,2
1212,0,2,4
1234,6,4,2
1260,6,4,2
1468,0,4,3
1514,0,4,3
1530,6,4,2
1620,12,10,8
2111,0,4,3
2306,12,4,3
2575,0,8,10
2587,0,2,3
2713,0,4,2
2715,0,2,3
2723,0,2,4
2739,6,6,10
2760,6,6,8
2822,0,4,3
2988,0,8,4
3060,0,4,4
3288,0,2,4
3386,0,2,4
3528,0,0,4
3616,0,0,4
3835,0,0,4
4168,0,2,4
4330,7,4,4
4409,0,0,4
5126,0,10,4
5151,7,4,4
5244,0,2,4
5262,0,2,4
5433,0,2,4
6878,6,0,4
1654,0,0,4
1672,12,0,3
2522,6,0,3
366,0,2,2
396,0,4,2
515,18,6,4
545,0,2,2
552,6,2,2
574,0,2,1
585,0,2,2
586,0,2,2
599,6,2,2
619,0,2,1
621,0,0,1
624,0,2,2
628,0,0,1
629,6,4,3
631,0,2,2
632,0,0,1
634,6,2,2
638,0,2,2
644,6,2,3
663,0,2,1
676,0,2,2
678,0,2,2
687,0,2,2
689,0,2,2
690,0,2,2
693,0,2,1
696,0,2,2
698,0,2,2
739,0,2,3
741,0,2,3
742,0,2,3
877,0,2,2
881,6,2,3
1023,0,2,2
1027,0,0,1
1034,0,2,2
1035,0,2,2
1036,6,4,2
1037,0,2,2
1039,0,2,2
1048,0,2,2
1060,0,0,1
1070,12,10,4
1080,0,2,1
1096,0,2,1
1097,0,4,2
1111,6,4,4
1113,0,4,2
1122,12,4,3
1123,6,4,4
1130,6,4,2
1131,0,4,2
1132,0,4,2
1133,6,4,2
1139,6,4,2
1144,12,4,3
1146,6,4,3
1156,0,2,2
1183,0,2,2
1189,0,0,1
1191,6,4,3
1194,0,2,1
1217,12,4,4
1233,12,2,2
1237,0,2,1
1242,0,2,2
1255,0,0,1
1259,0,2,2
1261,0,2,1
1281,0,2,2
1286,0,0,1
1290,0,2,2
1300,0,2,2
1322,0,2,1
1335,0,2,2
1337,0,2,2
1339,0,2,2
1351,6,4,2
1354,0,2,2
1360,6,4,2
1368,0,0,1
1382,6,2,2
1385,0,2,1
1399,0,2,1
1450,6,4,2
1452,6,2,3
1464,0,2,1
1477,6,4,4
1498,0,2,1
1499,6,4,2
1505,0,2,2
1519,0,0,1
1522,12,6,4
1544,6,4,2
1552,0,0,1
1603,0,2,2
1613,0,2,2
1641,0,2,1
1662,0,2,2
1663,6,4,3
1674,0,2,1
1694,6,2,3
1701,6,4,3
1703,0,2,2
1714,6,4,3
1724,0,0,1
1751,0,2,2
1763,6,4,2
1767,0,2,2
1774,0,2,2
1782,0,2,1
1795,12,4,4
1816,0,0,1
1821,0,2,2
1829,0,2,1
1867,0,0,1
1894,0,0,1
1904,0,0,1
1937,6,4,2
1953,6,2,2
1985,0,0,1
2027,0,2,2
2036,0,2,2
2078,6,2,1
2083,0,2,2
2089,0,0,1
2136,0,0,1
2244,0,2,2
2247,0,2,2
2265,0,2,2
2436,0,2,1
2440,6,2,3
2474,6,4,2
2565,0,2,2
2566,0,2,2
2576,0,2,2
2610,6,4,2
2646,0,2,1
2662,6,2,2
2684,6,4,4
2696,0,2,2
2730,0,2,1
2753,6,4,4
2756,0,0,1
2790,0,0,1
2792,0,2,1
2793,0,2,2
2806,0,2,2
2809,6,4,2
2810,6,4,2
2833,6,4,3
2845,0,2,2
2849,0,2,1
2852,0,2,2
2908,0,0,1
2928,0,0,1
2933,6,4,4
3077,0,2,2
3191,6,4,3
3192,0,0,1
3215,0,2,2
3222,6,4,3
3234,0,2,2
3243,0,2,2
3262,6,4,2
3282,6,4,2
3289,12,6,4
3300,0,2,1
3305,6,4,2
3485,12,4,4
3486,0,0,1
3503,0,2,1
3626,0,0,1
3633,0,2,2
3700,0,2,2
3733,0,2,2
3768,0,2,2
3792,0,2,1
3825,0,0,1
3829,0,0,1
3852,0,2,2
3864,0,0,1
4065,0,2,1
4224,0,2,2
4237,0,2,2
4274,0,2,2
4277,6,4,2
4278,0,2,2
4334,6,4,4
4372,6,2,2
4384,0,2,2
4410,0,2,2
4420,6,4,2
4423,6,2,2
4440,6,4,3
4457,0,0,1
4461,0,0,1
4477,0,2,2
4506,0,2,2
4521,6,2,2
4564,0,2,1
4594,6,2,3
4664,0,0,1
4682,0,2,2
4697,0,0,1
5046,0,2,1
5063,0,2,2
5085,6,2,2
5105,0,2,1
5117,0,0,1
5118,0,2,2
5254,6,2,3
5296,0,2,2
5298,0,2,2
5319,6,4,2
5346,0,2,2
5446,0,2,2
5469,0,0,1
5471,0,0,1
5487,6,4,3
5731,0,2,1
5743,0,2,2
5745,6,4,4
5747,6,2,2
5786,12,4,4
5812,6,4,4
5851,0,0,1
5879,0,2,1
6789,0,2,2
6887,6,4,4
6951,6,4,2
7009,0,0,1
7179,0,2,1
,,,
