Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type 
2242,391049282488,7/21/2025,Out for delivery,,FedEx Ground
1996,391049282948,7/21/2025,Out for delivery,,FedEx Ground
621,391049282960,7/21/2025,Out for delivery,,FedEx Ground
5350,391049282970,7/21/2025,Delivered,7/23/2025,FedEx Ground
3075,391049282992,7/21/2025,Out for delivery,,FedEx Ground
2107,391049283142,7/21/2025,Out for delivery,,FedEx Ground
2068,391049283565,7/21/2025,Out for delivery,,FedEx Ground
1885,391049283680,7/21/2025,Delivered,7/23/2025,FedEx Ground
3462,391049283705,7/21/2025,Out for delivery,,FedEx Ground
1874,391049284171,7/21/2025,Delivered,7/24/2025,FedEx Ground
5786,391049284300,7/21/2025,Delivered,7/23/2025,FedEx Ground
705,391049284561,7/21/2025,Out for delivery,,FedEx Ground
3794,391049286050,7/21/2025,Out for delivery,,FedEx Ground
2453,391049289026,7/21/2025,Out for delivery,,FedEx Ground
3869,391049291747,7/21/2025,Out for delivery,,FedEx Ground
2535,391049293235,7/21/2025,Out for delivery,,FedEx Ground
1230,391049294047,7/21/2025,Out for delivery,,FedEx Ground
3802,391049294264,7/21/2025,Out for delivery,,FedEx Ground
7243,391049295731,7/21/2025,Out for delivery,,FedEx Ground
3847,391049300458,7/21/2025,Out for delivery,,FedEx Ground
3197,391049302829,7/21/2025,Out for delivery,,FedEx Ground
4409,391049303181,7/21/2025,Delivered,7/23/2025,FedEx Ground
3621,391049303262,7/21/2025,Out for delivery,,FedEx Ground
1406,391049303300,7/21/2025,Delivered,7/24/2025,FedEx Ground
1815,391049304626,7/21/2025,On the way,,FedEx Ground
1766,391049304980,7/21/2025,Delivered,7/23/2025,FedEx Ground
1623,391049305644,7/21/2025,Out for delivery,,FedEx Ground
1203,391049305677,7/21/2025,Delivered,7/24/2025,FedEx Ground
1532,391049305780,7/21/2025,Out for delivery,,FedEx Ground
1533,391049306228,7/21/2025,Out for delivery,,FedEx Ground
6978,391049306467,7/21/2025,Delivered,7/24/2025,FedEx Ground
1350,391049306754,7/21/2025,Delivery updated,,FedEx Ground
1227,391049306960,7/21/2025,Delivered,7/23/2025,FedEx Ground
2781,391049307029,7/21/2025,Out for delivery,,FedEx Ground
1816,391049307290,7/21/2025,Out for delivery,,FedEx Ground
1662,391049307669,7/21/2025,Delivered,7/24/2025,FedEx Ground
3848,391049309102,7/21/2025,Delivered,7/23/2025,FedEx Ground
3587,391049309282,7/21/2025,Out for delivery,,FedEx Ground
1171,391049309580,7/21/2025,Out for delivery,,FedEx Ground
631,391049310036,7/21/2025,Out for delivery,,FedEx Ground
3796,391049310220,7/21/2025,Out for delivery,,FedEx Ground
2609,391049310312,7/21/2025,Out for delivery,,FedEx Ground
