,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of LOADS,,DATE,,,,,,,,,,,,,,,,,,,,,,,
DC,BANNER ,3-Mar,4-Mar,5-Mar,6-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,Grand Total
6073,WM,0,0,0,0,0,0,0,0,0,1.1,0,0,0.7,1.1,0,0,0.4,0,2.7,0.9,0,0,0,6.9
6074,SAMS,0,0,0,0,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,1.4,0,0,1.2,0,5.2
6074,WM,0,0,0,0,0,0,3.3,0,0,0,1.2,0,0,5,0,1,6.6,0,2.1,0,0,0,0,19.2
6077,WM,0,0,0,0,0,0,1.7,0,0,0.3,2.1,0,0,1.5,0.6,0,3.6,0,2,0,0,0,0,11.8
6082,WM,0,0,0,0,0,0,1.5,0,0,0.2,1.7,0,0.7,4.1,0,1.8,1.4,2.6,5,0,0,0,0,19
6083,WM,0,0,0,0,0,0.2,1.6,0,0,0,2.5,0,0,4.7,0,0,4.2,4,3.6,0,0,0,0,20.8
6084,WM,0,0,0,0,0,0,0,0,1.2,2.4,0.5,0,0,2,0.5,0,0,2.8,0,0,0,0,0,9.4
6085,WM,0,0,0,0,0,0,3.5,0,0,1.8,0,0,0,5.5,0,0.7,7.9,2.9,0,0,0,0,0,22.3
6090,WM,0,0,0,0,0,0,0,0,1,3.5,0.8,0,0,3,0.6,0,0.6,0,2,0,0,0,0,11.5
6091,SAMS,0.1,0.1,0.1,0.1,0,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1.5,0,1,0,5.8
6091,WM,0,0,0,0,0,0,0,0,0,0.9,0.1,0,1.4,0.4,0,0,0.4,0,2.2,0.9,0,0,0,6.3
6095,WM,0,0,0,0,0,0,0,0,0,0.9,0,0,0,1.8,0,0,0,1.9,4.1,0,0,0,0,8.7
6096,SAMS,0.1,0.1,0.1,0.1,0,0.3,0.3,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,1.2,0,1,0,4.2
6096,WM,0,0,0,0,0,0,1.9,0,0,0.8,0.8,0,0,2.5,0,0.2,5.9,0,0,0,0,0,0,12.1
6097,WM,0,0,0,0,1.2,0,0,0,0,0,2,0,0,2.4,0,0,2.1,0,2.4,0,0,0,0,10.1
6099,WM,0,0,0,0,0,0,0,0,0,1.8,0,0,0,2.2,0,0,2.2,0.3,5.3,0,0,0,0,11.8
6858,WM,0,0,0,0,0,0,0,0,0,1.7,0.3,0,0.6,1.3,0,0,1.4,1,1.9,0,0,0,0,8.2
7010,WM,0,0,0,0,0,0,1.2,0,0,1.1,0.9,0,0,3.1,0,0,2.9,3.2,2.8,0,0,0,0,15.2
7012,SAMS,0,0,0,0,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1.7,0,1.1,0,5.4
7012,WM,0,0,0,0,0,1.5,0,0,0,1.2,0,0,0.6,1.6,0,1.9,1.5,0,1.3,0,0,0,0,9.6
7013,WM,0,0,0,0,0,0,0,0,1,3.1,0.5,0,0,1.5,1.3,0,0,3.3,0,0,0,0,0,10.7
7014,WM,0,0,0,0,0,0,1.9,0,0,0,1,0,0,2.7,0,0,4.5,0,2.1,0,0,0,0,12.2
7015,WM,0,0,0,0,0.2,0,1.8,0,0,0,0.9,0.9,0,2.9,0,0,4.4,0,2.3,0,0,0,0,13.4
7016,WM,0,0,0,0,0,0,0.1,0,0,0,1.5,0,1,0.8,0,0.4,0.4,1.8,0.7,1,0,0,0,7.7
7017,WM,0,0,0,0,1.4,0,1.5,0,0,0.9,0.3,0,0.8,3.7,0,1.2,5.9,0,3.1,0,0,0,0,18.8
7018,WM,0,0,0,0,0,0,1.5,0,0,1.8,0,0,0.7,1.5,0,1.5,1.9,0,1.8,0,0,0,0,10.7
7019,WM,0,0,0,0,0,0,0,0,0,0,1.3,0,0,2,0,0,0.4,0,6.2,0,0,0,0,9.9
7021,WM,0,0,0,0,0,0,0,0,2.6,3,2.8,0,0,2.2,2,0.5,0,2,0,0,0,0,0,15.1
7023,WM,0,0,0,0,0,0,0,0,0,0.9,0.2,0,0,1.7,0,0,2.6,0,3.8,0,0,0,0,9.2
7024,SAMS,0.1,0.1,0.1,0.1,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1.5,0,1,0,5.5
7024,WM,0,0,0,0,0,0,2.7,0,0.2,1.5,0.6,0,1,3,0,1,5.7,0,2.6,0,0,0,0,18.3
7030,SAMS,0,0,0,0,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,1.4,0,1.3,0,0,5.3
7030,WM,0,0,0,0,0,0.5,1.1,0,0,0,0.7,0,0,2.7,0.4,0.4,3.3,2.9,0,0,0,0,0,12
7048,WM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,1.9
7055,WM,0,0,0,0,0,0.8,1.5,0,0,0,1.7,0,0.1,3.4,0,0.6,4.9,2.1,0,0,0,0,0,15.1
7077,SAMS,0,0,0,0,0,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.8,0,1.6,0,0,0,4.3
7077,WM,0,0,0,0,0,0,0,0,1.3,1,1.7,0,0,1.6,1,0.2,0,1.5,0,0,0,0,0,8.3
7079,SAMS,0,0,0,0,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1.6,0,1.4,0,5.6
7079,WM,0,0,0,0,0,0,2.2,0,0,0,1.8,0,0,3.1,0,0,4.8,0,2,0,0,0,0,13.9
7084,WM,0,0,0,0,0,0,0,0,1,1.6,0.7,0,0,1,0.2,0.5,0.3,0,1.6,0,0,0,0,6.9
8397,SAMS,0.1,0.1,0.1,0.1,0,0.7,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,1.9,0,0,3.5,0,0.1,10.1
8851,SAMS,0.2,0.2,0.2,0.2,0,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,2.4,0,1.6,0,8.7
8851,WM,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,1.6,0,0,2.3,0,3.7,0,0,0,0,8.1
8852,WM,0,0,0,0,0,0,0,0,0,1.2,1.4,0,0,1.9,0.2,0,0,1.9,0,0,0,0,0,6.6
Grand Total,,1.2,1.2,1.2,1.2,4.4,16.4,40,8.2,12.1,41.4,42.9,4.8,22.8,98.5,12.1,14.2,106.6,49.1,99.1,22.7,6.8,14.3,0.1,621.3
