Store,City,State,Battery Supplier ,Effective Week
239,KOSCIUSKO,MS,CLARIOS,37
240,COMMERCE,TX,CLARIOS,37
242,PAOLA,KS,ELLIOTT AUTO,37
243,WENTZVILLE,MO,CLARIOS,37
244,WINNFIELD,LA,CLARIOS,37
246,SKIATOOK,OK,ELLIOTT AUTO,37
247,HENRYETTA,OK,ELLIOTT AUTO,37
248,MEXIA,TX,CLARIOS,37
249,CLEVELAND,TX,CLARIOS,37
250,WARSAW,MO,CLARIOS,37
251,MINEOLA,TX,CLARIOS,37
252,DU QUOIN,IL,CLARIOS,37
253,JERSEYVILLE,IL,CLARIOS,37
254,OLNEY,IL,CLARIOS,37
256,GLEN CARBON,IL,CLARIOS,37
257,MORGANFIELD,KY,CLARIOS,37
258,TUPELO,MS,CLARIOS,37
259,ROCKWALL,TX,CLARIOS,37
260,WAXAHACHIE,TX,CLARIOS,37
261,HOT SPRINGS,AR,CLARIOS,37
262,BENTON,IL,CLARIOS,37
264,DICKSON,TN,CLARIOS,37
265,TERRELL,TX,CLARIOS,37
266,GRAPEVINE,TX,CLARIOS,37
267,WEBB CITY,MO,CLARIOS,37
268,SAVANNAH,TN,CLARIOS,37
269,LAWTON,OK,ELLIOTT AUTO,37
271,BOWIE,TX,CLARIOS,37
272,FRANKLIN,TN,CLARIOS,37
273,FULTON,MS,CLARIOS,37
274,IUKA,MS,CLARIOS,37
275,LIVINGSTON,TX,CLARIOS,37
276,STIGLER,OK,ELLIOTT AUTO,37
277,MOORE,OK,ELLIOTT AUTO,37
278,SHREVEPORT,LA,CLARIOS,37
279,DE QUEEN,AR,CLARIOS,37
280,ROCKDALE,TX,CLARIOS,37
281,HEBER SPRINGS,AR,CLARIOS,37
282,FRANKLIN,KY,CLARIOS,37
283,BRIDGE CITY,TX,CLARIOS,37
284,MANSFIELD,TX,CLARIOS,37
285,HUNTSVILLE,TX,CLARIOS,37
286,ENNIS,TX,CLARIOS,37
287,JASPER,AL,CLARIOS,37
288,WOODVILLE,TX,CLARIOS,37
289,MCGEHEE,AR,CLARIOS,37
290,GONZALES,TX,CLARIOS,37
292,LOCKHART,TX,CLARIOS,37
293,NAVASOTA,TX,CLARIOS,37
294,CENTRAL CITY,KY,CLARIOS,37
295,EUREKA,MO,CLARIOS,37
296,DARDANELLE,AR,CLARIOS,37
297,PORTER,TX,CLARIOS,37
298,BOAZ,AL,CLARIOS,37
299,BOWLING GREEN,KY,CLARIOS,37
300,JACKSONVILLE,AL,CLARIOS,37
301,GADSDEN,AL,CLARIOS,37
302,MURPHYSBORO,IL,CLARIOS,37
303,HOLLY SPRINGS,MS,CLARIOS,37
304,SPRINGFIELD,TN,CLARIOS,37
305,CARTHAGE,MS,CLARIOS,37
306,ARAB,AL,CLARIOS,37
307,WEST MONROE,LA,CLARIOS,37
308,MANCHESTER,TN,CLARIOS,37
309,ABBEVILLE,LA,CLARIOS,37
310,CROWLEY,LA,CLARIOS,37
311,FRANKLIN,LA,CLARIOS,37
312,VILLE PLATTE,LA,CLARIOS,37
313,HIGH RIDGE,MO,CLARIOS,37
314,FAYETTEVILLE,TN,CLARIOS,37
315,ONEONTA,AL,CLARIOS,37
316,ATTALLA,AL,CLARIOS,37
317,VANDALIA,IL,CLARIOS,37
318,ARKADELPHIA,AR,CLARIOS,37
319,RAYMORE,MO,CLARIOS,37
320,MARLIN,TX,CLARIOS,37
321,BRENHAM,TX,CLARIOS,37
322,BRYAN,TX,CLARIOS,37
323,MANSFIELD,LA,CLARIOS,37
324,BRISTOW,OK,ELLIOTT AUTO,37
325,RICHMOND,MO,CLARIOS,37
326,HIGGINSVILLE,MO,CLARIOS,37
328,WATERLOO,IL,CLARIOS,37
329,ANNISTON,AL,CLARIOS,37
330,VICTORIA,TX,CLARIOS,37
331,SULPHUR,LA,CLARIOS,37
332,HUNTSVILLE,AL,CLARIOS,37
333,BEAVER DAM,KY,CLARIOS,37
334,CARLINVILLE,IL,CLARIOS,37
335,JACKSON,TN,CLARIOS,37
336,SHERIDAN,AR,CLARIOS,37
337,FREDERICKTOWN,MO,CLARIOS,37
338,LAMAR,MO,CLARIOS,37
339,FORDYCE,AR,CLARIOS,37
340,CHECOTAH,OK,ELLIOTT AUTO,37
341,MARYSVILLE,KS,ELLIOTT AUTO,37
342,HIAWATHA,KS,ELLIOTT AUTO,37
343,TAYLORVILLE,IL,CLARIOS,37
344,EL CAMPO,TX,CLARIOS,37
345,PALESTINE,TX,CLARIOS,37
346,AUGUSTA,KS,ELLIOTT AUTO,37
347,INDIANOLA,MS,CLARIOS,37
348,MONTICELLO,AR,CLARIOS,37
350,YORK,NE,ELLIOTT AUTO,37
351,TOMBALL,TX,CLARIOS,37
352,CHESTER,IL,CLARIOS,37
353,GRAHAM,TX,CLARIOS,37
354,OWENSVILLE,MO,CLARIOS,37
355,OPELIKA,AL,CLARIOS,37
356,AUBURN,AL,CLARIOS,37
357,VERSAILLES,MO,CLARIOS,37
358,ALMA,AR,CLARIOS,37
359,FAYETTEVILLE,AR,CLARIOS,37
360,CUSHING,OK,ELLIOTT AUTO,37
361,COLLINSVILLE,IL,CLARIOS,37
362,WINFIELD,AL,CLARIOS,37
363,MARSHALL,MO,CLARIOS,37
364,CENTER,TX,CLARIOS,37
365,PEARL,MS,CLARIOS,37
366,MADISONVILLE,TN,CLARIOS,37
368,PARSONS,KS,ELLIOTT AUTO,37
369,WINFIELD,KS,ELLIOTT AUTO,37
370,WELLINGTON,KS,ELLIOTT AUTO,37
371,GRANBURY,TX,CLARIOS,37
372,DODGE CITY,KS,ELLIOTT AUTO,37
373,HUNTSVILLE,AR,CLARIOS,37
374,COWETA,OK,ELLIOTT AUTO,37
375,HUNTSVILLE,AL,CLARIOS,37
376,BOSSIER CITY,LA,CLARIOS,37
378,HOLTON,KS,ELLIOTT AUTO,37
379,OZARK,MO,CLARIOS,37
381,COPPERAS COVE,TX,CLARIOS,37
382,OTTAWA,KS,ELLIOTT AUTO,37
383,SILSBEE,TX,CLARIOS,37
384,LUMBERTON,TX,CLARIOS,37
385,CUERO,TX,CLARIOS,37
386,JENNINGS,LA,CLARIOS,37
387,CHANDLER,OK,ELLIOTT AUTO,37
388,FORT SMITH,AR,CLARIOS,37
389,EDMOND,OK,ELLIOTT AUTO,37
390,WAVERLY,TN,CLARIOS,37
391,TUPELO,MS,CLARIOS,37
392,WEATHERFORD,OK,ELLIOTT AUTO,37
393,JACKSON,TN,CLARIOS,37
394,MOULTON,AL,CLARIOS,37
395,MISSION,TX,CLARIOS,37
396,ANDERSON,SC,CLARIOS,37
397,MCALLEN,TX,CLARIOS,37
398,LONGVIEW,TX,CLARIOS,37
399,LONGVIEW,TX,CLARIOS,37
400,CONROE,TX,CLARIOS,37
401,PLAQUEMINE,LA,CLARIOS,37
402,BREAUX BRIDGE,LA,CLARIOS,37
403,RUSSELLVILLE,AL,CLARIOS,37
404,SAN MARCOS,TX,CLARIOS,37
405,LEESVILLE,LA,CLARIOS,37
406,SMYRNA,TN,CLARIOS,37
407,KILLEEN,TX,CLARIOS,37
408,PORT ARTHUR,TX,CLARIOS,37
409,HALEYVILLE,AL,CLARIOS,37
410,MURRAY,KY,CLARIOS,37
411,HOUSTON,MS,CLARIOS,37
412,ATHENS,TX,CLARIOS,37
413,PORT ISABEL,TX,CLARIOS,37
414,WICHITA FALLS,TX,CLARIOS,37
415,BROUSSARD,LA,CLARIOS,37
416,MURFREESBORO,TN,CLARIOS,37
417,SULPHUR SPRINGS,TX,CLARIOS,37
418,FAIRBURY,NE,ELLIOTT AUTO,37
419,PRATT,KS,ELLIOTT AUTO,37
420,WICHITA FALLS,TX,CLARIOS,37
421,DECATUR,TX,CLARIOS,37
422,ROBINSON,IL,CLARIOS,37
423,ALABASTER,AL,CLARIOS,37
424,CLANTON,AL,CLARIOS,37
425,BRENT,AL,CLARIOS,37
426,COLONY,TX,CLARIOS,37
427,GREENVILLE,TX,CLARIOS,37
428,ZACHARY,LA,CLARIOS,37
429,EDINBURG,TX,CLARIOS,37
430,MAYFIELD,KY,CLARIOS,37
431,PADUCAH,KY,CLARIOS,37
432,TALLADEGA,AL,CLARIOS,37
433,HUNTSVILLE,AL,CLARIOS,37
434,HUNTSVILLE,AL,CLARIOS,37
435,HIGHLAND,IL,CLARIOS,37
436,CARLYLE,IL,CLARIOS,37
437,SEALY,TX,CLARIOS,37
438,BRECKENRIDGE,TX,CLARIOS,37
440,ROCKPORT,TX,CLARIOS,37
442,KINGSVILLE,TX,CLARIOS,37
443,HONDO,TX,CLARIOS,37
444,SPRINGFIELD,MO,CLARIOS,37
445,LEITCHFIELD,KY,CLARIOS,37
446,MADISONVILLE,TX,CLARIOS,37
447,DEL RIO,TX,CLARIOS,37
448,SHREVEPORT,LA,CLARIOS,37
449,PORT ARTHUR,TX,CLARIOS,37
450,SHREVEPORT,LA,CLARIOS,37
451,COLUMBIA,MO,CLARIOS,37
452,MCALLEN,TX,CLARIOS,37
453,MALDEN,MO,CLARIOS,37
454,FAIRFIELD,IL,CLARIOS,37
456,BROWNSVILLE,TX,CLARIOS,37
457,VIDOR,TX,CLARIOS,37
458,ARANSAS PASS,TX,CLARIOS,37
459,COVINGTON,GA,CLARIOS,37
461,EAGLE PASS,TX,CLARIOS,37
462,ALVIN,TX,CLARIOS,37
463,BEEVILLE,TX,CLARIOS,37
464,CORPUS CHRISTI,TX,CLARIOS,37
465,FLORESVILLE,TX,CLARIOS,37
466,BOLIVAR,TN,CLARIOS,37
467,DENTON,TX,CLARIOS,37
468,TEXARKANA,AR,CLARIOS,37
469,LAKE CHARLES,LA,CLARIOS,37
470,CORPUS CHRISTI,TX,CLARIOS,37
471,LANCASTER,TX,CLARIOS,37
472,BROKEN ARROW,OK,ELLIOTT AUTO,37
473,GIDDINGS,TX,CLARIOS,37
475,ROUND ROCK,TX,CLARIOS,37
476,GATESVILLE,TX,CLARIOS,37
477,SODDY DAISY,TN,CLARIOS,37
478,PEARSALL,TX,CLARIOS,37
479,ALTUS,OK,ELLIOTT AUTO,37
480,PITTSFIELD,IL,CLARIOS,37
481,MATTOON,IL,CLARIOS,37
482,WEST COLUMBIA,TX,CLARIOS,37
483,PRATTVILLE,AL,CLARIOS,37
484,LAWRENCE,KS,ELLIOTT AUTO,37
485,DONALDSONVILLE,LA,CLARIOS,37
486,BONNER SPRINGS,KS,ELLIOTT AUTO,37
488,QUINCY,FL,CLARIOS,37
489,HAMMOND,LA,CLARIOS,37
490,CORPUS CHRISTI,TX,CLARIOS,37
491,PADUCAH,KY,CLARIOS,37
492,VINCENNES,IN,CLARIOS,37
493,PARIS,KY,CLARIOS,37
494,NEWNAN,GA,CLARIOS,37
495,COLUMBUS,MS,CLARIOS,37
497,SHELBYVILLE,KY,CLARIOS,37
498,JENA,LA,CLARIOS,37
499,ENID,OK,ELLIOTT AUTO,37
500,EL PASO,TX,CLARIOS,37
501,LAUREL,MS,CLARIOS,37
502,CUT OFF,LA,CLARIOS,37
503,COLUMBUS,TX,CLARIOS,37
504,GALVESTON,TX,CLARIOS,37
505,DERIDDER,LA,CLARIOS,37
506,FLORA,IL,CLARIOS,37
507,LAWRENCEBURG,KY,CLARIOS,37
508,KERRVILLE,TX,CLARIOS,37
510,GAINESVILLE,GA,CLARIOS,37
511,SUMTER,SC,CLARIOS,37
512,EL PASO,TX,CLARIOS,37
513,BIG SPRING,TX,CLARIOS,37
514,AIKEN,SC,CLARIOS,37
515,MURPHY,NC,CLARIOS,37
516,GUN BARREL CITY,TX,CLARIOS,37
517,MUSTANG,OK,ELLIOTT AUTO,37
518,CANTON,GA,CLARIOS,37
519,HARRODSBURG,KY,CLARIOS,37
520,WINDER,GA,CLARIOS,37
521,LAKE CHARLES,LA,CLARIOS,37
522,CROSBY,TX,CLARIOS,37
523,CARTHAGE,TX,CLARIOS,37
524,KENEDY,TX,CLARIOS,37
526,LOUISVILLE,KY,CLARIOS,37
527,ANGLETON,TX,CLARIOS,37
528,BRADEN RIVER,FL,CLARIOS,37
529,LA MARQUE,TX,CLARIOS,37
530,EL DORADO,AR,CLARIOS,37
531,LAFAYETTE,LA,CLARIOS,37
532,GONZALES,LA,CLARIOS,37
533,NEW IBERIA,LA,CLARIOS,37
535,ABILENE,TX,CLARIOS,37
536,ABILENE,TX,CLARIOS,37
537,ODESSA,TX,CLARIOS,37
538,GAINESVILLE,FL,CLARIOS,37
539,ALEXANDRIA,LA,CLARIOS,37
540,MORGAN CITY,LA,CLARIOS,37
541,COVINGTON,LA,CLARIOS,37
542,HOUMA,LA,CLARIOS,37
543,OPELOUSAS,LA,CLARIOS,37
544,OKLAHOMA CITY,OK,ELLIOTT AUTO,37
545,MANCHESTER,KY,CLARIOS,37
546,RICHMOND,TX,CLARIOS,37
547,PLANT CITY,FL,CLARIOS,37
548,LAWRENCEVILLE,GA,CLARIOS,37
549,HOBBS,NM,ELLIOTT AUTO,37
550,LAWRENCEVILLE,IL,CLARIOS,37
551,PALATKA,FL,CLARIOS,37
552,WHITESBURG,KY,CLARIOS,37
553,SLIDELL,LA,CLARIOS,37
554,LAREDO,TX,CLARIOS,37
555,DUBLIN,GA,CLARIOS,37
556,WAYCROSS,GA,CLARIOS,37
557,EMPORIA,KS,ELLIOTT AUTO,37
558,SALINA,KS,ELLIOTT AUTO,37
559,MUSCATINE,IA,CLARIOS,37
560,SAINT JOSEPH,MO,CLARIOS,37
561,EASTLAND,TX,CLARIOS,37
562,LEEDS,AL,CLARIOS,37
563,ORANGE CITY,FL,CLARIOS,37
564,OKLAHOMA CITY,OK,ELLIOTT AUTO,37
565,CORSICANA,TX,CLARIOS,37
566,BOONVILLE,IN,CLARIOS,37
567,CALDWELL,TX,CLARIOS,37
568,CARTHAGE,TN,CLARIOS,37
569,COLUMBIA,KY,CLARIOS,37
571,GEORGETOWN,KY,CLARIOS,37
572,KILGORE,TX,CLARIOS,37
573,LEES SUMMIT,MO,CLARIOS,37
574,SURFSIDE BEACH,SC,CLARIOS,37
575,WOODSTOCK,GA,CLARIOS,37
576,TULSA,OK,ELLIOTT AUTO,37
577,OLATHE,KS,ELLIOTT AUTO,37
578,SEVIERVILLE,TN,CLARIOS,37
579,ST AUGUSTINE,FL,CLARIOS,37
580,BARTOW,FL,CLARIOS,37
581,MARSHALLTOWN,IA,CLARIOS,37
582,PORT ORANGE,FL,CLARIOS,37
583,ONEIDA,TN,CLARIOS,37
584,DRY RIDGE,KY,CLARIOS,37
585,ROCK HILL,SC,CLARIOS,37
586,CONWAY,SC,CLARIOS,37
587,SPARTA,TN,CLARIOS,37
588,ALBANY,GA,CLARIOS,37
589,LOUISVILLE,KY,CLARIOS,37
590,FORT WORTH,TX,CLARIOS,37
591,CYNTHIANA,KY,CLARIOS,37
592,DERBY,KS,ELLIOTT AUTO,37
593,DOUGLAS,GA,CLARIOS,37
594,FAYETTEVILLE,GA,CLARIOS,37
595,HARLINGEN,TX,CLARIOS,37
596,HERRIN,IL,CLARIOS,37
598,KEARNEY,NE,ELLIOTT AUTO,37
599,KINGSPORT,TN,CLARIOS,37
600,PAMPA,TX,CLARIOS,37
601,SAN ANGELO,TX,CLARIOS,37
602,SPRING,TX,CLARIOS,37
603,PEKIN,IL,CLARIOS,37
604,DOTHAN,AL,CLARIOS,37
605,SAVANNAH,GA,CLARIOS,37
606,SAVANNAH,GA,CLARIOS,37
607,HOBART,OK,ELLIOTT AUTO,37
608,MIDLAND,TX,CLARIOS,37
609,HANNIBAL,MO,CLARIOS,37
610,STEPHENVILLE,TX,CLARIOS,37
611,ROSWELL,NM,ELLIOTT AUTO,37
612,CHARLESTON,IL,CLARIOS,37
613,ORMOND BEACH,FL,CLARIOS,37
614,LA GRANGE,GA,CLARIOS,37
615,CARTERSVILLE,GA,CLARIOS,37
616,ORANGEBURG,SC,CLARIOS,37
617,SULLIVAN,IN,CLARIOS,37
618,HIRAM,GA,CLARIOS,37
619,DAYTON,TN,CLARIOS,37
620,BRISTOL,TN,CLARIOS,37
621,LAKE CITY,SC,CLARIOS,37
622,OKLAHOMA CITY,OK,ELLIOTT AUTO,37
623,NORTH FORT MYERS,FL,CLARIOS,37
624,NEWBERRY,SC,CLARIOS,37
625,GEORGETOWN,SC,CLARIOS,37
626,SEMINOLE,TX,CLARIOS,37
627,DILLON,SC,CLARIOS,37
628,SUMMERVILLE,SC,CLARIOS,37
629,UNION,SC,CLARIOS,37
630,FLORENCE,SC,CLARIOS,37
631,EASLEY,SC,CLARIOS,37
632,MOUNT PLEASANT,SC,CLARIOS,37
633,KEWANEE,IL,CLARIOS,37
634,CAMDEN,SC,CLARIOS,37
635,SAVANNAH,GA,CLARIOS,37
636,PRINCETON,IL,CLARIOS,37
637,LEXINGTON,NE,ELLIOTT AUTO,37
638,GAFFNEY,SC,CLARIOS,37
639,BRUNSWICK,GA,CLARIOS,37
640,GREENVILLE,SC,CLARIOS,37
641,GREENVILLE,SC,CLARIOS,37
642,CHERAW,SC,CLARIOS,37
643,MYRTLE BEACH,SC,CLARIOS,37
644,ANDERSON,SC,CLARIOS,37
645,NORFOLK,NE,ELLIOTT AUTO,37
646,ANAMOSA,IA,CLARIOS,37
647,GRINNELL,IA,CLARIOS,37
648,SAINT PETERS,MO,CLARIOS,37
649,TITUSVILLE,FL,CLARIOS,37
651,BEAUMONT,TX,CLARIOS,37
652,GARDEN CITY,KS,ELLIOTT AUTO,37
653,HOPKINSVILLE,KY,CLARIOS,37
655,HANSON,KY,CLARIOS,37
656,SHELBYVILLE,TN,CLARIOS,37
657,COOKEVILLE,TN,CLARIOS,37
