Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
4687,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5229,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2068,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
2650,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5103,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5130,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5131,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5649,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
5177,4.56,,2.34,,4.3,,2.2,,4.1,,2.1,,3.92,,2.02,,4.28,,2.2,
1670,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
1777,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
2614,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
5239,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
2145,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
2252,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
2641,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
3563,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
4612,4.05,,2.15,,3.78,,2.02,,3.58,,1.91,,3.39,,1.82,,3.77,,2.01,
2169,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2368,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1623,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1884,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2024,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2064,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2255,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2365,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2480,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2543,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
4276,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1644,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1794,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1887,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1945,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2185,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2208,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2528,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2481,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
2535,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
3634,4.06,,2.16,,3.8,,2.03,,3.59,,1.93,,3.41,,1.83,,3.85,,2.06,
1591,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1886,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
2574,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
3412,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
1529,4.13,,2.22,,3.82,,2.06,,3.58,,1.94,,3.4,,1.85,,3.96,,2.13,
