Store Nbr,Store Type Descr,Store Name,State,Market,Reg,Cupcake Double Bucket,"DZ Roses 
Double Bucket","DZ Roses 
Pallet","DZ Roses 
Double Decker",LG Carnations Double Bucket,LG Vase DZ Roses Pallet,MED Vase Mixed Bqt Display,Mega Mixed Bqt Pallet,Mini Rose Plus Double Bucket,"Mixed BQT 
Double Bucket","Mixed BQT 
Pallet","Mixed BQT 
Double Decker","Rose Lily
Double Bucket",Small Bouquet Double Bucket,"XL Premium Roses
Double Bucket","XL Premium Roses
Pallet",TOTAL PROMO DISPLAYS
928,Supercenter,JACKSONVILLE RACETRACK FL,FL,98,3,3,3,1,4,3,5,5,1,6,2,,3,4,5,,1,46
948,Supercenter,HICKORY NC,NC,304,4,9,2,1,3,,3,2,,6,1,1,3,2,4,,2,39
968,Supercenter,WINTER HAVEN FL,FL,116,9,9,3,2,2,,5,5,2,16,1,,3,4,8,2,1,63
1000,Supercenter,BROWNSVILLE TX,TX,569,6,6,3,,5,3,3,2,2,,1,1,3,2,4,5,,40
1037,Supercenter,SUMMERVILLE SC,SC,36,4,4,3,2,2,,10,5,2,8,2,1,3,4,2,1,2,51
1040,Supercenter,HOUSTON (SPENCER) TX,TX,65,6,,2,2,4,8,8,3,2,6,2,,3,4,1,4,2,51
1042,Supercenter,BASTROP TX,TX,85,6,5,2,,1,,3,5,2,6,3,2,3,2,,2,2,38
1103,Supercenter,HOUSTON (CORNERSTONE) TX,TX,59,6,4,2,1,2,9,7,4,2,4,2,,3,2,6,3,2,53
1146,Supercenter,MONCKS CORNER SC,SC,36,4,6,2,,3,9,4,3,2,6,3,1,3,4,,1,2,49
1151,Supercenter,KANSAS CITY KS,KS,362,40,2,2,,2,,2,,,2,2,,3,,9,3,,27
1155,Supercenter,LUMBERTON NC,NC,310,26,4,2,2,5,5,11,2,2,8,1,,3,2,,3,2,52
1181,Supercenter,MARIETTA GA,GA,23,2,4,2,1,1,,3,2,,4,1,,3,2,8,1,,32
1218,Supercenter,CASA GRANDE AZ,AZ,366,46,6,3,2,1,,7,4,2,14,4,1,3,2,12,3,2,66
1224,Supercenter,PENSACOLA FL,FL,14,14,14,4,1,3,3,4,3,2,,1,1,3,2,9,1,,51
1237,Supercenter,DUNN NC,NC,299,26,4,3,2,2,5,5,,2,4,1,,3,,,2,,33
1261,Supercenter,FAYETTEVILLE (NE) NC,NC,310,26,9,3,2,2,9,7,5,2,4,3,2,3,3,2,2,,58
1284,Supercenter,PHENIX CITY AL,AL,16,3,9,3,1,4,6,9,5,2,,3,,3,2,7,1,,55
1438,Supercenter,CEDAR CITY UT,UT,405,46,5,3,2,2,,6,5,,,3,2,3,4,5,1,2,43
1440,Supercenter,TOOELE UT,UT,403,54,8,3,,2,,18,3,,6,4,1,3,2,4,2,1,57
1465,Supercenter,DANVILLE VA,VA,314,75,10,2,1,1,5,18,4,2,,2,2,3,2,1,2,1,56
1604,Supercenter,RAPID CITY SD,SD,430,47,5,2,,1,9,10,2,2,16,3,2,3,2,4,1,2,64
1626,Supercenter,THE VILLAGE (OKC-N) OK,OK,352,44,3,3,1,4,3,5,2,2,,2,,3,2,4,1,2,37
1674,Supercenter,HAGERSTOWN MD,MD,280,75,3,2,2,4,,5,3,,2,1,,3,3,5,,,33
1736,Supercenter,DOVER DE,DE,284,75,5,2,1,2,,4,5,,4,1,1,3,3,7,4,,42
1741,Supercenter,MILFORD DE,DE,284,75,5,2,2,4,,8,2,2,2,1,,3,3,6,,,40
1765,Supercenter,SOMERSET PA,PA,237,22,6,3,,1,,6,5,,6,3,,3,3,,3,,39
1811,Supercenter,NORFOLK VA,VA,288,75,4,2,,2,,8,4,,2,3,2,3,3,,2,,35
1812,Supercenter,WOOSTER OH,OH,215,20,2,3,1,1,,4,4,,2,3,1,3,3,3,2,,32
1878,Supercenter,"REXBURG, ID",ID,400,56,5,1,1,3,,4,2,1,6,2,1,3,3,6,2,1,41
1882,Supercenter,"SELMA, CA",CA,581,57,3,3,2,1,9,2,4,2,8,1,,3,4,7,4,2,55
1935,Supercenter,"JOHNSTOWN, PA",PA,237,22,5,1,2,5,7,5,3,2,6,3,,3,3,8,3,,56
1951,Supercenter,"ONTARIO, OR",OR,399,56,4,3,2,1,,5,3,2,4,3,2,3,3,,2,2,39
2068,Supercenter,"FAIRLESS HILLS, PA",PA,170,22,3,4,1,3,,5,4,2,2,3,,3,3,,4,,37
2078,Supercenter,"MARIETTA, OH",OH,216,20,11,3,1,,,6,5,,4,1,,3,3,,2,1,40
2221,Supercenter,"SPRINGFIELD, MO",MO,333,40,2,3,2,1,,7,5,,,1,,3,3,,4,,31
2257,Supercenter,"HOUSTON, TX",TX,67,6,4,1,1,1,9,7,,2,2,3,,3,,2,4,2,41
2405,Supercenter,"HAMBURG, NY",NY,194,17,4,2,,4,7,7,5,2,2,2,1,3,3,5,1,,48
2587,Supercenter,"CABOT, AR",AR,326,42,7,3,,2,5,6,3,,4,1,,3,4,,4,1,43
2612,Supercenter,"EL PASO (NE), TX",TX,505,46,1,1,2,4,9,12,2,2,28,3,1,3,3,5,7,2,85
2656,Supercenter,"ESPANOLA, NM",NM,375,46,2,3,1,2,5,10,4,2,14,1,,3,3,5,7,2,64
2730,Supercenter,"TARBORO, NC",NC,301,26,,3,2,,,4,4,,2,3,,3,3,,3,,27
2780,Supercenter,"CALDWELL, ID",ID,399,56,5,3,,2,,10,,2,6,1,2,3,,5,4,1,44
2791,Supercenter,"GEORGETOWN, DE",DE,285,75,3,4,1,1,8,6,3,2,2,2,2,3,3,7,2,1,50
2803,Supercenter,"EDMOND, (NW) OK",OK,352,44,6,3,,6,3,6,5,2,,4,,3,3,2,,2,45
2921,Supercenter,"HARRISVILLE, UT",UT,401,54,3,3,2,3,,8,4,,,4,1,3,3,4,2,,40
2928,Supercenter,"GOOSE CREEK, SC",SC,36,4,6,1,1,7,3,9,,2,14,1,1,3,,2,2,2,54
2978,Supercenter,"FORT WORTH (S), TX",TX,44,5,4,1,2,2,5,8,5,2,,1,2,3,3,6,2,2,48
3093,Supercenter,MERIDIAN S ID,ID,399,56,6,3,2,1,,6,3,,4,3,1,3,3,4,4,,43
3106,Supercenter,SAN ANTONIO CITY SOUTH TX,TX,86,6,2,1,1,3,5,7,2,,8,2,2,3,4,10,3,2,55
3136,Supercenter,HORIZON CITY TX,TX,505,46,9,1,1,4,10,13,2,2,10,1,2,3,3,10,6,2,79
3169,Supercenter,MANOR TX,TX,83,5,7,2,2,3,9,5,2,2,4,1,,3,4,9,4,2,59
3226,Supercenter,"KATY, TX",TX,65,6,3,3,1,2,3,7,2,1,4,1,,3,3,,,2,35
3261,Supercenter,"RICHLAND, WA",WA,475,60,6,2,2,,9,7,2,2,,3,1,3,3,6,8,2,56
3308,Supercenter,"MIDDLEBURG, FL",FL,101,3,4,1,,5,3,,3,,16,1,,3,3,10,3,2,54
3344,Supercenter,"WINCHESTER-W, VA",VA,286,75,7,3,2,,3,5,3,2,4,2,2,3,3,3,,1,43
3469,Supercenter,LINDEN NJ,NJ,175,17,,1,1,4,,6,5,,,1,1,3,3,,,2,27
3500,Supercenter,HOUSTON TX,TX,60,6,5,2,1,3,9,10,,2,4,3,1,3,,,3,2,48
3527,Supercenter,"ST LUCIE WEST, FL",FL,107,9,4,1,1,4,,6,2,2,2,1,,3,3,1,3,,33
3732,Supercenter,"RIO RANCHO (W), NM",NM,385,46,,3,1,3,10,11,,2,14,3,,3,,5,5,2,62
3751,Supercenter,"QUEEN CREEK, AZ",AZ,373,46,3,2,,2,9,5,2,2,8,4,,3,3,6,6,2,57
3763,Supercenter,"EL PASO (MONTANA), TX",TX,505,46,8,1,1,4,9,9,3,2,20,1,,3,3,10,6,2,82
3897,Supercenter,"TWIN FALLS (N), ID",ID,400,56,6,1,1,2,,9,,2,6,3,,3,,2,,1,36
4068,Supercenter,SPANISH FORK UT,UT,582,54,7,4,1,2,,5,2,,6,2,1,3,3,6,3,1,46
4112,Supercenter,BROWNSVILLE N TX,TX,569,6,9,3,1,6,,9,3,2,10,2,,3,4,10,2,1,65
4325,Supercenter,"YUMA (FOOTHILLS), AZ",AZ,365,57,6,1,2,2,9,8,3,2,8,3,,3,3,10,8,2,70
4416,Supercenter,"HOUSTON (SMILI), TX",TX,67,6,1,3,,1,8,9,3,2,,2,,3,4,5,7,2,50
4503,Supercenter,GRAND PRAIRIE PIONEER PKW,TX,49,5,10,3,1,10,7,7,2,2,6,2,,3,3,11,,2,69
5147,Supercenter,DALLAS (W) TX,TX,44,5,,1,1,5,7,8,2,2,,3,2,3,4,8,2,2,50
5191,Supercenter,"FORNEY, TX",TX,55,5,8,3,,5,3,6,5,,2,2,1,3,3,10,1,2,54
5234,Supercenter,"CLINTON, UT",UT,401,54,5,1,,2,,12,2,,6,2,,3,3,4,1,1,42
5253,Supercenter,"CHESAPEAKE (SW), VA",VA,289,75,4,2,2,1,,4,,,4,3,1,3,,4,,2,30
5275,Supercenter,WOODSTOCK (W) GA,GA,26,2,4,3,2,,,9,,2,18,3,,3,3,2,2,,51
5334,Supercenter,AURORA (DIA) CO,CO,376,54,5,1,2,1,8,18,5,2,4,1,,3,2,2,4,1,59
5717,Supercenter,EL PASO PASEO DEL NORTE T,TX,505,46,2,1,1,3,10,10,,2,2,1,,3,2,4,4,2,47
5764,Supercenter,"FORT WORTH (HASLET), TX",TX,479,5,1,1,,3,5,10,5,2,2,1,1,3,4,2,2,2,44
5809,Supercenter,EDINBURG TX,TX,80,6,8,3,1,5,,8,2,2,12,3,2,3,2,4,8,2,65
1,Supercenter,"ROGERS, AR",AR,323,42,4,5,,6,7,6,2,2,6,6,2,2,4,5,4,,61
3,Supercenter,COMMERCE GA,GA,21,2,9,2,,2,,10,5,,6,6,1,2,3,,2,,48
7,Supercenter,NORTH LITTLE ROCK AR,AR,326,42,6,6,2,,,4,,,2,6,1,2,,,4,1,34
9,Supercenter,SIKESTON MO,MO,335,40,13,4,2,3,,6,5,,6,2,2,2,3,8,1,1,58
10,Supercenter,TAHLEQUAH OK,OK,347,44,7,4,2,2,5,5,2,,,2,2,2,3,,2,1,39
11,Supercenter,MOUNTAIN HOME AR,AR,328,42,6,4,2,1,5,3,5,2,,3,2,2,4,5,3,2,49
15,Supercenter,WEST PLAINS MO,MO,333,40,4,4,,2,,4,,,6,2,,2,,,,2,26
17,Supercenter,NEOSHO MO,MO,334,42,7,2,,3,4,4,5,2,,4,,2,3,,3,2,41
22,Supercenter,PRYOR OK,OK,347,44,4,3,2,,,3,2,,,1,,2,3,,3,,23
29,Supercenter,JEFFERSON CITY MO,MO,359,40,4,3,2,1,,4,5,,2,3,,2,3,,1,,30
30,Supercenter,DEXTER MO,MO,335,40,4,2,2,1,,3,2,,2,1,1,2,3,,1,1,25
45,Supercenter,JONESBORO AR,AR,329,12,9,3,2,4,3,5,2,,8,1,,2,3,,,1,43
54,Supercenter,SPRINGDALE AR,AR,322,42,2,3,,4,,12,4,2,4,6,2,2,4,24,1,,70
67,Supercenter,MENA AR,AR,321,42,3,2,2,,,3,2,,4,1,,2,3,,2,,24
69,Supercenter,FESTUS MO,MO,335,40,2,3,1,2,3,4,2,2,6,1,1,2,3,5,1,1,39
86,Supercenter,SPRINGFIELD MO,MO,357,40,3,3,,2,,2,2,,2,1,,2,3,1,2,,23
89,Supercenter,CAMDENTON MO,MO,336,40,3,2,,1,,,5,,2,1,,2,3,,3,,22
90,Supercenter,GROVE OK,OK,347,44,4,2,,2,7,5,2,2,,1,2,2,3,,4,1,37
92,Supercenter,AURORA MO,MO,334,42,8,3,1,1,,,2,,,1,,2,3,,5,,26
100,Supercenter,"BENTONVILLE, AR",AR,323,42,2,2,2,5,8,8,2,3,2,6,2,2,4,5,,2,55
101,Supercenter,ROLLA MO,MO,336,40,5,2,1,2,,3,5,,2,2,1,2,3,,1,,29
103,Supercenter,SHAWNEE OK,OK,351,44,8,3,1,2,4,13,2,,6,2,2,2,3,7,6,2,63
107,Supercenter,MARTIN TN,TN,146,41,3,2,,2,,7,5,,2,1,,2,3,5,4,,36
113,Supercenter,CHICKASHA OK,OK,349,44,5,3,,3,3,6,3,2,4,1,1,2,3,,2,1,39
119,Supercenter,BATESVILLE AR,AR,328,42,6,2,,2,,4,,,10,3,1,2,,,5,,35
121,Supercenter,OKMULGEE OK,OK,351,44,5,3,,1,,3,5,,,1,,2,3,6,5,2,36
125,Supercenter,"FORT SMITH (S), AR",AR,321,42,7,2,1,6,3,5,3,,6,2,2,2,3,,2,2,46
130,Supercenter,MUSKOGEE OK,OK,347,44,7,2,1,4,7,7,,2,,1,,2,,7,5,2,47
131,Supercenter,MT PLEASANT TX,TX,47,44,5,2,,4,9,7,5,2,10,1,,2,4,8,3,1,63
138,Supercenter,"SPRINGFIELD (NE), MO",MO,357,40,7,4,1,2,,6,5,,4,3,,2,3,2,5,,44
140,Supercenter,LUFKIN TX,TX,503,6,2,2,2,4,7,4,3,2,4,1,2,2,3,7,1,2,48
141,Supercenter,"FORT SMITH, AR",AR,321,42,1,4,,5,5,6,5,,4,1,,2,4,3,4,,44
143,Supercenter,BENTON KY,KY,253,41,3,2,1,2,,4,2,,2,1,,2,3,,2,,24
144,Supercenter,FAYETTEVILLE AR (WEST),AR,322,42,5,3,,4,7,6,3,2,6,6,2,2,4,3,8,2,63
148,Supercenter,PARIS TX,TX,47,44,5,3,2,3,,6,3,2,6,1,2,2,3,2,7,2,49
151,Supercenter,MCALESTER OK,OK,351,44,7,3,,2,3,6,4,2,,2,,2,3,10,1,2,47
153,Supercenter,NEW ALBANY MS,MS,4,12,4,2,,2,,5,2,,4,1,,2,3,1,2,1,29
155,Supercenter,SENATOBIA MS,MS,136,12,4,2,,1,,6,,,,1,1,2,,2,2,,21
165,Supercenter,HENDERSON TX,TX,46,5,3,3,1,2,3,5,4,,6,3,,2,3,9,3,,47
168,Supercenter,OWASSO OK,OK,345,44,3,3,2,3,,8,2,,,2,2,2,3,,5,,35
174,Supercenter,ROCKLEDGE FL,FL,92,9,2,3,1,2,,7,5,,,1,,2,3,,4,,30
177,Supercenter,"PARIS, TN",TN,146,41,4,3,2,1,,3,3,,8,2,1,2,3,1,2,,35
180,Supercenter,JACKSONVILLE TX,TX,46,5,3,2,2,4,3,3,5,2,8,1,,2,4,2,,2,43
184,Supercenter,BLUE SPRINGS MO,MO,361,40,5,2,,4,,3,3,,,3,,2,3,2,2,1,30
188,Supercenter,CAPE GIRARDEAU MO,MO,335,40,8,3,,3,,5,4,2,2,1,,2,3,,3,,36
192,Supercenter,COLUMBIA TN,TN,147,12,7,3,,4,,6,,,10,3,2,2,,,2,,39
194,Supercenter,BAYTOWN TX,TX,60,6,4,3,,6,7,9,5,2,2,3,,2,4,2,4,2,55
201,Supercenter,BELLEVILLE IL,IL,341,25,3,3,,2,,6,3,,2,1,,2,3,3,4,,32
213,Supercenter,LITCHFIELD IL,IL,272,25,8,2,1,2,,4,4,,2,2,1,2,3,,5,,36
216,Supercenter,MARION IL,IL,271,25,7,3,1,2,,6,,,2,1,1,2,,,,1,26
217,Supercenter,LEWISVILLE TX,TX,53,5,1,2,,4,5,5,3,2,2,1,,2,4,,3,,34
219,Supercenter,SEDALIA MO,MO,359,40,4,3,,3,9,7,5,2,4,1,2,2,4,3,3,2,54
220,Supercenter,BURLESON TX,TX,48,5,2,3,2,6,,5,3,2,2,1,1,2,3,,1,2,35
221,Supercenter,YUKON OK,OK,344,44,5,3,2,2,,7,,,4,1,1,2,3,4,,2,36
238,Supercenter,PULASKI TN.,TN,147,12,5,3,2,1,,4,2,,10,1,2,2,3,5,3,,43
242,Supercenter,PAOLA KS.,KS,410,44,3,3,1,1,,4,4,,2,1,,2,3,,1,,25
243,Supercenter,WENTZVILLE MO.,MO,339,40,1,2,1,2,5,5,2,2,2,1,1,2,3,4,2,1,36
256,Supercenter,"GLEN CARBON, IL.",IL,341,25,6,2,,4,,4,4,,4,2,,2,3,,2,,33
267,Supercenter,WEBB CITY MO,MO,334,42,4,2,,4,5,3,5,2,,1,1,2,3,,1,1,34
275,Supercenter,LIVINGSTON TX,TX,503,6,5,4,1,3,7,6,4,1,2,1,,2,4,8,4,,52
277,Supercenter,MOORE OK,OK,353,44,3,3,2,5,7,10,3,2,2,2,1,2,4,5,3,2,56
297,Supercenter,PORTER TX,TX,59,6,,3,2,6,7,7,,2,2,2,,2,3,,1,1,38
299,Supercenter,BOWLING GREEN KY,KY,254,41,12,4,,3,,5,2,,6,1,,2,3,,2,,40
300,Supercenter,JACKSONVILLE AL,AL,3,14,4,2,2,2,,7,,,2,4,,2,,,1,1,27
