DC Number,Type,Date,Application,Summary,Status,CRQ NUMBER,CRQ Link
6091,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6097,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6099,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6099,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6858,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7012,Enhancement,7/28/2025,Inventory,Piloted inventory and grocery task syncing between two systems,Deployed,CHG3366615,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=3db1153b8772a218d32143b6cebb3526&recordUrl=change_request.do%3Fsys_id%3D3db1153b8772a218d32143b6cebb3526&sysparm_stack=&sysparm_view=
7012,Enhancement,7/28/2025,Inventory,Continued pilot for grocery inventory syncing,Deployed,CHG3366615,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=3db1153b8772a218d32143b6cebb3526&recordUrl=change_request.do%3Fsys_id%3D3db1153b8772a218d32143b6cebb3526&sysparm_stack=&sysparm_view=
7013,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7014,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7016,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7019,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
7019,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7021,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7030,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7030,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
7047,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7048,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7055,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
7055,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7077,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7084,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
8397,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
8852,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
7013,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7021,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7047,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7048,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7077,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
7084,Bug fix,7/28/2025,WTD,Deploys WTD 2.0 enhancements and bug fixes ,Deployed,CHG3358315,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6a22890b9772ee5474c3f52f2153afab&recordUrl=change_request.do%3Fsys_id%3D6a22890b9772ee5474c3f52f2153afab&sysparm_stack=&sysparm_view=
6056,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6042,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7013,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
2971,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
2364,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
3010,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6064,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6057,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7021,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4047,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4020,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
4154,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6090,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6065,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7047,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6047,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6055,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6072,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7010,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6077,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7048,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6059,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6062,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6085,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7015,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6082,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7077,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6074,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6071,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
6095,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
7018,Enhancement,7/28/2025,ESS,"Enables Address Book in ESS for Grocery DCs, moving address management from CCM to Cosmos DB.",Deployed,CHG3366558,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c12b453387fe6218d32143b6cebb3582&recordUrl=change_request.do%3Fsys_id%3Dc12b453387fe6218d32143b6cebb3582&sysparm_stack=&sysparm_view=
