DC Number,Type,Date,Application,Summary,CRQ,CRQ Link,Blast Radius
6042,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6057,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6065,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6077,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6082,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6083,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6084,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
8348,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7013,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7021,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7047,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7048,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7077,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7084,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
8397,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
8852,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
2971,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
4047,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6047,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6059,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6074,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6091,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6097,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6858,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7014,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
7016,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
2364,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
4020,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6055,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6062,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6071,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6073,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
6099,Enhancement,8/6/2025,Shore,Truncate unused tables in Shore,CHG3383482,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2b100ac2c34b6e1c90873adb0501317d&recordUrl=change_request.do%3Fsys_id%3D2b100ac2c34b6e1c90873adb0501317d&sysparm_stack=&sysparm_view=,"Cell001,Cell002,Cell010,Cell011,Cell012"
