Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments,
18,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
18,13,Clorox Disinfecting Wipes Multiscent 72/2x75ct,Half Stack,1,41,,
18,13,3PK Holiday 1/2 Pallet Display,Half Stack,1,41,,
18,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,1,41,,
18,14,Chefman 4.5L Deep Fryer / 10 units per half endcap,Half Endcap,1,41,,
18,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
18,22,Hooded Throw Wrap / 75 units,PDQ,1,41,,
18,40,Alka seltzer PDQ,Half Endcap,1,41,,
18,40,Airborne 4 way PDQ,4-way,1,41,,
18,71,AK FOAM CHAIR ASSORTMENT,Full Stack,1,41,,
18,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,4,41,,
18,82,Star Shower,Half Stack,1,41,,
18,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,1,41,,
18,92,Delgrossos Sloppy Joe Sauce,Side-stack,1,41,,
18,92,30oz Miracle Whip Half Pallet,Half Stack,1,41,,
18,93,SHRMP 1/2 MOON 20OZ,Bunker,1,41,,
19,80,YANCEY BACON SAMPLER,Bunker,1,41,,
19,96,Spirits Holiday Gift Set,Table,1,41,,
19,2,Dr. Squatch Pine Tar PDQ 56pc,PDQ,1,41,,
19,2,Dr. Squatch Fresh Falls Bar Soap PDQ 56pc,PDQ,1,41,,
19,2,Dr. Squatch Wood Barrel Bourbon PDQ 56pc,PDQ,1,41,,
19,2,Dr. Squatch Birchwood Breeze PDQ 56pc,PDQ,1,41,,
19,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
19,7,MONSTER HIGH HOWLIDAY DOLL  CLAWDEEN,Half Endcap,1,41,,
19,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
19,8,VL PINEBEDNG 141L 25ct Pallet,Full Stack,1,41,,
19,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,2,41,,
19,14,Ninja 7QT Mega Air Fryer /10 units per half pallet,Half Stack,1,41,,
19,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,2,41,,
19,14,52pc PW Holiday Bake & Store PLT,Half Stack,2,41,,
19,17,Teddy Pillow PDQ Pillow,Train,1,41,,
19,20,Hooded Towel Wrap / 96 units,PDQ,1,41,,
19,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,2,41,,
19,22,28pc Mossy Oak Comforter Sets & Mossy Oak Sheet Set Assortment,Full Endcap,2,41,,
19,22,2 Piece Hugger Set - Throw + Pillow / 75 units,PDQ,1,41,,
19,22,2 piece Hoodiwink - Throw + Hood / 75 units,PDQ,1,41,,
19,22,2 piece Santa Hat+ Throw Set / 75 units,PDQ,1,41,,
19,22,"ENT: 11"" Round Cloud Pillows / 64pcs",PDQ,1,41,,
19,22,24in Large Squishy Plush Pillow Buddies/ 40pcs,PDQ,1,41,,
19,40,MUCINEX® Pediatrics  23CT,SK,1,41,,
19,40,Emergency Immune + Triple Action 15 PC,PDQ,1,41,,
19,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,4,41,,
19,82,Dude Perfect,Half Stack,1,41,,
19,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
19,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,1,41,,
19,92,"Chex Rice/Corn MidSize Pallet, 372 pieces",Full Stack,1,41,,
19,92,30oz Miracle Whip Half Pallet,Half Stack,1,41,,
19,92,Taco Bell Seasoning Shipper 288 Count,Quarter Stack,4,41,,
19,92,Taco Bell 600 Piece Mixed 1/2 Pallet Mod,Half Stack,2,41,,
19,92,Hellmann's Mayo 480PC 30oz,Full Stack,1,41,,
19,93,SHRMP 1/2 MOON 20OZ,Bunker,2,41,,
19,95,Ocean Spray 64oz 60case Pallet,Full Stack,1,41,,
19,95,Welch's Six Flavor Sparkling Pallet,Full Stack,1,41,,
19,95,Martinelli Display 5 Flavor Pallet,Full Stack,1,41,,
19,97,AL DBLCRME BRIE 8OZ 42,Bunker,1,41,,
19,97,PRES RONDELE GH 6.5 42,Bunker,1,41,,
19,97,PRES RONDELE GV 6.5 42,Bunker,1,41,,
20,80,YANCEY BACON SAMPLER,Bunker,1,41,,
20,96,Spirits Holiday Gift Set,Table,1,41,,
20,7,"Care Bears 3"" Micro Plush 40 pc Sidekick - #6 Plus",SK,1,41,,
20,13,3PK Holiday 1/2 Pallet Display,Half Stack,1,41,,
20,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,1,41,,
20,14,52pc PW Holiday Bake & Store PLT,Half Stack,1,41,,
20,17,Teddy Pillow PDQ Pillow,Train,1,41,,
20,22,Electric Mattress Pad,Full Endcap,1,41,,
20,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
20,22,28pc Mossy Oak Comforter Sets & Mossy Oak Sheet Set Assortment,Full Endcap,1,41,,
20,22,"ENT: 11"" Round Cloud Pillows / 64pcs",PDQ,1,41,,
20,22,24in Large Squishy Plush Pillow Buddies/ 40pcs,PDQ,1,41,,
20,22,Sherpa Backed Present Wrapped 46x60 Throw/ 24pcs,PDQ,1,41,,
20,22,"ENT: Plush 11"" Hugger with 50” x 60” ST / 100pcs",PDQ,1,41,,
20,23,Wm3-016-C409yb/48PC Down Jacket and Flannel Jacket,4-way,1,41,,
20,40,MUCINEX® Pediatrics  23CT,SK,1,41,,
20,40,15PC SLEEP GUMMY SK,SK,1,41,,
20,40,Alka seltzer PLus,SK,1,41,,
20,71,"X Rocker Nemesis Pedestal Rocker Gaming Chair, 4",Half Stack,1,41,,
20,71,Big Joe bean Bag Assortment,Full Stack,1,41,,
20,71,AK FOAM CHAIR ASSORTMENT,Full Stack,1,41,,
20,74,"MORA 18 Cu Ft Top Mount , White",Full Stack,3,41,,
20,74,"Frigidaire 7.5 Cu. ft. Refrigerator, Platinum Seri",Full Stack,4,41,,
20,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,2,41,,
20,82,Plush,Half Stack,1,41,,
20,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
20,92,JP Marsh Mini 10 oz,Half Stack,1,41,,
20,92,Delgrossos Sloppy Joe Sauce,Side-stack,1,41,,
20,92,30oz Miracle Whip Half Pallet,Half Stack,1,41,,
20,92,Taco Bell Seasoning Shipper 288 Count,Quarter Stack,1,41,,
20,92,Taco Bell 600 Piece Mixed 1/2 Pallet Mod,Half Stack,2,41,,
20,93,SHRMP 1/2 MOON 20OZ,Bunker,1,41,,
20,95,Ocean Spray 64oz 60case Pallet,Full Stack,1,41,,
20,95,Welch's Six Flavor Sparkling Pallet,Full Stack,1,41,,
