Stores,Market,Store Type,VIN,Expiration Date
1279,59,SUP,1FTBW3XK3NKA30332,6/30/2023
2505,62,SUP,1FTBW3XK9NKA35468,6/30/2023
1409,65,SUP,1FTBW3XK4NKA30372,6/30/2023
2066,64,SUP,1FTBW3XK2NKA30340,6/30/2023
2257,67,SUP,1FTBW3XK8NKA22484,6/30/2023
3198,504,WNM,1FTBW3XK7NKA14487,6/30/2023
5823,583,SUP,1FTBW3XK7NKA08270,6/30/2023
1118,55,SUP,1FTBW3XK5NKA30347,6/30/2023
7357,562,WNM,1FTBW3XK0NKA30384,7/1/2023
297,59,SUP,1FTBW3XK9NKA30481,7/3/2023
500,505,SUP,1FTBW3XK1NKA30118,7/31/2023
964,505,SUP,1FTBW3XK7NKA30107,7/31/2023
2201,505,SUP,1FTBW3XK9NKA30092,7/31/2023
2612,505,SUP,1FTBW3XK0NKA28456,7/31/2023
4415,526,WNM,1FTBW3XK8NKA30083,7/31/2023
3661,526,WNM,1FTBW3XK5NKA35614,7/31/2023
5947,505,SUP,1FTBW3XK0NKA22527,7/31/2023
5717,505,SUP,1FTBW3XK1NKA30409,7/31/2023
5947,505,SUP,1FTBW3XK1NKA28563,7/31/2023
3763,505,SUP,1FTBW3XKXNKA30117,7/31/2023
1015,505,SUP,1FTBW3XK2NKA30130,7/31/2023
512,505,SUP,1FTBW3XK2NKA30385,7/31/2023
752,63,SUP,1FTBW3XK2NKA30371,7/31/2023
2978,44,SUP,1FTBW3XK6NKA35718,5/31/2023
3284,44,SUP,1FTBW3XK3NKA28399,5/31/2023
2864,506,SUP,1FTBW3XK0NKA35536,8/21/2023
872,62,SUP,1FTBW3XK7NKA08284,6/30/2023
2133,82,SUP,1FTBW3XK6NKA28428,8/31/2023
2980,479,SUP,1FTBW3XK0NKA30451,8/31/2023
5245,77,SUP,1FTBW3XK0NKA30336,8/31/2023
2980,479,SUP,1FTBW3XKXNKA30456,8/31/2023
5146,506,SUP,1FTBW3XK7NKA35601,9/30/2023
5145,86,SUP,1FTBW3XK1NKA30460,9/30/2023
3112,77,SUP,1FTBW3XK3NKA28418,9/30/2023
3888,86,SUP,1FTBW3XK3NKA09643,9/30/2023
4056,528,WNM,1FTBW3XK7NKA22511,9/30/2023
4055,87,SUP,1FTBW3XK9NKA46700,9/30/2023
5144,77,SUP,1FTBW3XK5NKA30445,9/30/2023
3058,86,SUP,1FTBW3XK7NKA09628,9/30/2023
4131,506,SUP,1FTBW3XK8NKA28446,9/30/2023
3279,77,SUP,1FTBW3XK5NKA28436,9/30/2023
3057,506,SUP,1FTBW3XK4NKA46703,9/30/2023
4162,506,SUP,1FTBW3XK4NKA00613,9/30/2023
1198,506,SUP,1FTBW3XK4NKA28492,9/30/2023
1313,77,SUP,1FTBW3XK6NKA30129,9/30/2023
765,87,SUP,1FTBW3XK9NKA30111,9/30/2023
999,86,SUP,1FTBW3XK2NKA22481,9/30/2023
2239,86,SUP,1FTBW3XK0NKA28506,9/30/2023
1347,87,SUP,1FTBW3XK4NKA28511,10/31/2023
1347,87,SUP,1FTBW3XK2NKA30421,10/31/2023
2404,87,SUP,1FTBW3XK8NKA30102,10/31/2023
2835,528,WNM,1FTBW3XK3NKA14227,10/31/2023
2599,86,SUP,1FTBW3XK6NKA28459,10/31/2023
2864,506,SUP,1FTBW3XK3NKA08251,8/21/2023
2977,561,WNM,1FTBW3XK3NKA14230,11/30/2023
2404,87,SUP,1FTBW3XKXNKA08280,10/31/2023
5866,56,SUP,1FTBW3XK1NKA00603,5/31/2023
1253,82,SUP,1FTBW3XK8NKA09623,4/30/2024
4554,82,SUP,1FTBW3XK1NKA00486,4/30/2024
2133,82,SUP,1FTBW3XK0NKA14363,8/31/2023
5657,504,WNM,1FTBW3XK4NKA00577,5/31/2024
1178,50,SUP,1FTBW3XK6NKA14240,5/31/2024
5388,61,SUP,1FTBW3XK8NKA35560,5/31/2024
4465,562,WNM,1FTBW3XK0NKA35603,5/31/2024
4298,59,SUP,1FTBW3XK5NKA35757,5/31/2024
602,68,SUP,1FTBW3XK1NKA30359,5/31/2024
4618,562,WNM,1FTBW3XK5NKA14116,5/31/2024
2463,56,SUP,1FTBW3XK2NKA28443,6/30/2024
5353,562,WNM,1FTBW3XK5NKA35709,6/30/2024
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
