Store Number,Pallets to plan for,LY Pallets planned for
198,100,75
199,106,85
200,134,116
201,129,100
202,86,65
203,92,69
204,124,103
205,126,104
206,131,96
207,73,65
209,67,59
210,78,69
211,114,88
212,150,126
213,118,87
214,145,115
216,166,121
217,106,81
218,93,78
219,147,111
220,216,151
221,153,114
222,94,78
224,131,100
225,104,86
226,100,80
227,97,88
228,167,123
229,106,74
230,69,64
231,145,119
232,95,77
233,82,71
234,129,102
236,95,79
237,114,92
238,116,80
239,111,92
240,89,70
242,82,76
243,136,101
244,81,72
246,88,68
247,78,73
248,118,94
249,152,131
250,87,69
251,106,87
252,79,66
253,112,86
254,87,78
256,157,122
257,81,66
258,177,139
259,155,111
260,184,136
261,161,127
262,111,83
264,168,136
265,134,101
266,122,99
267,112,100
268,140,105
269,146,107
271,98,76
272,111,87
273,115,86
274,80,70
275,131,114
276,90,75
277,166,133
278,156,119
279,104,79
280,76,71
281,96,79
282,141,104
283,93,74
284,154,119
285,139,104
286,140,102
287,159,117
288,83,83
289,81,68
290,84,74
292,128,92
293,86,65
294,102,80
295,93,73
296,102,80
297,231,145
298,143,110
299,198,144
300,99,82
301,155,114
302,85,72
303,84,72
304,156,120
305,96,91
306,120,85
307,154,122
308,121,100
309,126,101
310,116,89
311,94,69
312,81,68
313,102,85
314,102,86
315,137,107
316,128,96
317,96,77
318,96,77
319,118,95
320,64,65
321,139,117
322,166,126
323,70,69
324,94,90
325,88,72
326,74,60
328,103,81
329,128,106
330,165,137
331,168,122
332,103,89
333,101,78
334,76,66
335,167,131
336,118,84
337,102,81
338,70,61
339,82,69
340,121,104
341,66,62
342,70,66
343,113,85
344,114,95
345,176,135
346,83,72
347,77,74
348,138,118
350,90,75
351,104,83
352,63,64
353,90,75
354,78,66
355,136,108
356,109,84
357,78,64
358,102,75
359,150,120
360,84,72
361,112,99
362,100,74
363,99,78
364,101,88
365,133,99
366,99,82
368,90,79
369,81,69
370,83,67
371,168,124
372,164,115
373,80,66
374,115,95
375,88,84
376,163,124
378,74,66
379,115,87
381,136,99
382,102,80
383,130,97
384,143,111
385,85,71
386,114,93
387,87,74
388,103,85
389,120,97
390,87,70
391,122,91
392,106,86
393,136,107
394,121,83
395,241,176
396,160,131
397,234,167
398,176,144
399,161,122
400,164,136
401,77,66
402,119,95
403,124,95
404,149,113
405,145,103
406,120,104
407,164,131
408,180,119
409,88,75
410,143,114
411,95,74
412,118,91
413,97,75
414,150,115
415,134,97
416,128,97
417,161,131
418,61,57
419,75,69
420,139,110
421,126,106
422,95,77
423,145,107
424,118,86
425,97,77
426,113,82
427,166,120
428,105,86
429,163,134
430,115,95
431,109,88
432,93,79
433,87,68
434,99,75
435,116,81
436,75,61
437,114,85
438,69,66
440,93,80
442,155,117
443,93,70
444,131,109
445,137,118
446,82,68
447,199,138
448,106,83
449,103,89
450,120,87
451,97,78
452,155,126
453,76,63
454,94,77
456,249,150
457,126,98
458,130,98
459,167,131
461,227,177
462,183,128
463,131,100
464,197,142
465,123,98
466,98,72
467,140,95
468,112,97
469,132,99
470,151,114
471,139,106
472,159,137
473,89,77
475,130,104
476,90,72
477,96,79
478,78,71
479,110,94
480,75,62
481,130,98
482,77,65
483,160,118
484,97,84
485,88,78
486,78,66
488,84,76
489,130,105
490,116,94
491,172,136
492,126,109
493,103,86
494,181,136
495,136,105
497,130,96
498,74,67
499,148,120
500,170,129
501,135,103
502,101,82
503,82,76
504,88,77
505,127,103
506,76,67
507,131,93
508,150,113
510,146,113
511,155,128
512,238,159
513,110,82
514,113,91
515,122,101
516,141,107
517,149,110
518,145,119
519,98,76
520,158,121
521,102,92
522,131,97
523,113,83
524,89,79
526,100,80
527,111,89
528,111,89
529,139,112
530,141,106
531,154,122
532,158,126
533,126,96
535,178,140
536,145,116
537,241,171
538,102,90
539,138,107
540,118,102
541,137,92
542,162,130
543,134,104
544,152,127
545,87,71
546,186,144
547,122,107
548,132,97
549,208,158
550,84,68
551,138,101
552,105,75
553,125,104
554,259,156
555,143,118
556,136,116
557,124,103
558,137,110
559,121,96
560,142,110
561,83,73
562,122,100
563,161,118
564,159,136
565,132,105
566,103,75
567,82,71
568,88,71
569,136,103
571,160,119
572,119,99
573,91,87
574,140,99
575,122,91
576,145,137
577,135,100
578,205,141
579,119,106
580,168,125
581,126,91
582,124,99
583,115,87
584,106,85
585,143,101
586,141,110
587,111,89
588,144,123
589,158,110
590,143,102
591,104,86
592,145,110
593,146,105
594,136,116
595,203,154
596,84,64
598,152,118
599,155,122
600,110,86
601,123,99
602,135,94
603,136,104
604,207,129
605,113,91
606,92,72
607,68,58
608,225,176
609,131,95
610,154,126
611,142,99
612,85,68
613,121,98
614,153,128
615,173,123
616,128,96
617,77,68
618,174,128
619,107,85
620,112,91
621,114,89
622,144,104
623,147,120
624,108,79
625,131,99
626,95,82
627,112,88
628,150,114
629,98,79
630,165,119
631,117,97
632,74,71
633,92,79
634,129,100
635,130,101
636,75,64
637,97,77
638,158,115
639,144,106
640,142,99
641,99,85
642,98,76
643,129,113
644,128,92
645,154,123
646,78,68
647,75,68
648,135,104
649,133,104
651,180,146
652,166,135
653,206,131
655,158,116
656,128,100
657,170,126
658,141,103
659,96,85
660,146,114
661,161,112
662,154,113
663,120,91
664,127,97
665,135,101
666,178,139
667,132,102
668,144,115
669,140,100
670,210,144
671,151,113
672,148,109
673,180,122
674,175,127
675,112,89
676,119,100
677,164,130
678,150,110
680,149,118
681,154,109
682,180,123
683,123,101
684,142,101
685,186,131
686,96,86
687,136,113
688,97,80
689,252,166
690,122,103
691,158,122
692,148,117
693,96,72
694,135,98
695,124,95
696,105,86
697,195,147
698,155,117
699,129,111
700,130,93
701,132,100
702,160,109
703,154,112
705,152,113
706,149,111
707,88,77
708,122,100
709,205,146
710,109,86
711,192,132
712,137,105
713,95,73
714,86,74
715,144,111
716,96,83
718,168,118
719,194,144
720,124,99
721,159,106
722,186,130
723,117,100
724,124,97
725,188,145
726,142,103
727,107,83
728,80,78
729,155,113
730,121,82
731,114,84
733,119,87
734,155,119
735,137,104
736,128,91
737,106,85
738,92,72
739,127,111
740,101,79
741,106,89
742,187,133
743,214,160
744,209,144
745,134,103
746,135,102
748,84,77
749,65,66
750,80,69
751,68,61
752,201,142
753,173,141
754,166,120
755,164,123
756,115,90
757,132,100
758,100,82
759,100,77
760,80,69
761,120,98
762,110,82
764,111,94
765,120,101
766,204,140
767,161,138
768,164,119
769,92,73
770,140,107
771,104,83
772,127,98
773,102,87
774,123,103
775,129,103
776,131,103
777,157,109
778,118,91
779,131,100
780,136,98
781,146,116
782,181,140
783,80,69
784,87,78
785,98,83
786,105,83
787,124,90
788,81,72
789,172,122
790,95,82
791,164,124
792,62,57
793,107,85
794,143,120
795,82,63
796,127,93
797,145,105
798,80,70
799,122,93
800,111,92
801,88,80
802,77,64
803,101,86
804,135,103
805,134,102
806,153,109
807,153,112
808,199,161
809,154,119
810,145,106
811,106,85
812,119,91
813,167,137
814,154,116
815,116,102
816,140,101
817,146,114
818,105,84
819,167,107
820,96,72
821,102,113
822,133,119
823,139,108
824,91,68
825,109,83
826,155,121
827,130,97
828,138,110
829,99,82
830,67,60
833,83,69
834,75,70
835,116,89
836,126,95
837,80,66
838,180,129
839,117,91
841,58,55
842,159,119
843,68,64
844,131,98
845,85,68
846,106,90
847,76,63
848,159,131
849,154,122
850,114,93
851,94,70
852,108,84
853,193,127
854,97,80
855,108,88
856,141,101
857,117,84
858,94,75
859,143,108
860,165,113
861,156,123
862,172,130
863,96,73
864,163,121
865,174,138
866,152,111
867,143,100
868,187,126
869,121,99
870,127,95
871,78,69
872,158,127
873,86,78
874,96,82
875,83,76
876,100,82
877,165,120
878,121,96
879,120,96
880,141,111
881,146,104
882,100,79
884,133,100
885,74,65
886,139,97
887,130,100
888,74,64
889,119,94
890,182,133
891,119,95
892,156,113
893,63,62
894,156,141
895,81,64
896,182,146
897,136,94
898,117,83
899,157,118
900,79,71
901,139,108
902,105,81
903,86,79
904,152,111
905,98,78
906,188,133
907,121,96
908,178,119
909,113,98
910,103,83
911,159,103
912,109,89
913,102,83
914,96,74
915,144,111
916,152,132
917,70,66
918,115,87
919,138,111
921,65,61
922,141,110
923,141,110
924,89,74
925,106,86
927,118,91
928,132,101
929,145,106
930,97,82
931,104,76
932,166,123
933,87,68
934,144,98
935,131,106
936,169,116
937,114,85
938,114,86
939,157,132
940,135,101
941,128,103
942,140,110
943,134,105
944,156,117
945,126,105
947,162,131
948,161,112
950,134,108
951,92,72
952,143,104
953,95,84
954,87,72
955,155,123
956,79,67
957,71,62
958,109,86
959,105,86
960,110,87
961,111,94
962,76,65
963,140,109
964,209,161
965,104,79
966,95,82
967,164,117
968,142,106
969,165,117
970,143,109
971,72,67
972,150,116
973,117,84
974,132,94
975,139,119
976,95,79
977,62,57
978,87,79
979,81,72
980,119,93
981,149,125
982,105,83
984,101,80
985,71,65
986,45,50
987,109,90
988,157,111
989,163,120
990,182,123
991,114,97
992,121,101
993,78,66
994,173,120
995,119,97
996,73,63
999,136,112
1000,237,140
1001,135,117
1002,96,86
1003,110,86
1004,140,95
1005,98,69
1006,115,95
1007,91,78
1008,89,84
1009,119,98
1010,155,115
1011,158,116
1012,126,92
1013,93,69
1014,162,128
1015,198,150
1016,131,118
1017,125,95
1018,96,78
1019,107,84
1020,108,86
1021,98,81
1022,126,94
1023,179,136
1024,122,96
1025,138,116
1026,122,98
1027,147,100
1028,120,92
1029,98,76
1030,162,125
1032,145,118
1033,145,112
1034,151,107
1035,159,117
1036,162,118
1037,152,124
1038,77,59
1039,138,108
1040,164,133
1041,207,147
1042,170,129
1043,95,79
1044,123,92
1045,79,70
1046,105,77
1047,121,89
1048,124,103
1051,107,88
1052,93,74
1053,104,90
1054,82,64
1055,159,115
1056,134,99
1057,83,67
1058,108,86
1059,105,81
1060,138,104
1061,96,78
1062,171,138
1063,80,70
1064,118,92
1065,108,82
1066,160,112
1067,73,65
1068,106,79
1069,68,67
1070,111,92
1071,162,118
1072,142,107
1073,80,72
1074,154,117
1075,160,115
1076,117,88
1077,81,77
1078,65,59
1079,114,96
1080,147,114
1081,136,106
1082,114,92
1083,126,116
1084,94,78
1085,134,103
1086,178,137
1087,129,95
1088,117,88
1089,119,90
1090,118,93
1091,147,119
1093,79,74
1094,102,86
1095,81,68
1096,110,85
1097,152,109
1098,110,88
1099,123,99
1100,97,76
1101,121,88
1102,79,72
1103,165,129
1104,133,100
1105,140,110
1106,89,71
1107,76,67
1108,72,66
1109,86,71
1110,92,71
1111,120,93
1112,115,93
1113,163,135
1114,89,73
1115,86,69
1116,146,114
1117,112,95
1118,162,124
1119,63,62
1120,128,98
1121,130,102
1122,127,102
1123,163,121
1124,103,79
1125,128,95
1126,89,76
1128,96,88
1129,100,83
1130,116,88
1131,85,69
1132,190,133
1133,145,114
1134,125,101
1135,108,90
1136,88,72
1137,140,113
1138,99,74
1139,149,117
1140,146,110
1141,129,97
1142,123,94
1143,108,82
1144,110,80
1146,161,113
1147,78,70
1148,177,140
1149,166,125
1150,163,128
1151,147,113
1152,93,77
1153,132,92
1154,85,77
1155,159,103
1156,160,120
1157,88,72
1158,91,79
1159,92,77
1160,158,127
1161,133,101
1162,104,81
1163,105,87
1164,153,101
1165,118,83
1166,71,69
1167,139,98
1168,108,95
1169,88,72
1170,122,87
1171,117,89
1172,116,88
1173,114,84
1174,104,87
1175,82,72
1176,76,66
1177,105,81
1178,130,97
1179,107,84
1180,126,96
1181,104,82
1182,118,94
1183,146,112
1184,95,80
1185,116,96
1186,131,99
1187,88,74
1188,98,84
1189,91,74
1190,131,98
1191,94,77
1192,104,88
1193,126,98
1194,128,95
1195,122,94
1196,96,77
1197,127,99
1198,143,101
1199,83,68
1200,119,93
1201,124,96
1202,137,102
1203,197,137
1204,146,95
1205,159,127
1206,89,73
1207,125,96
1209,141,103
1210,134,108
1211,70,60
1212,131,104
1213,187,132
1214,69,60
1215,174,121
1216,116,86
1217,122,99
1218,207,147
1219,109,87
1220,145,116
1221,139,105
1222,162,120
1223,108,89
1224,136,100
1225,122,101
1226,87,70
1227,147,113
1228,130,93
1229,126,105
1230,144,108
1231,171,112
1232,121,92
1233,159,120
1234,105,89
1235,101,72
1236,117,97
1237,120,97
1238,134,100
1239,98,86
1240,167,132
1241,162,129
1242,99,88
1243,131,96
1244,114,84
1245,190,156
1247,153,120
1248,133,104
1249,103,83
1252,88,72
1253,121,90
1254,158,107
1255,138,97
1256,125,98
1257,69,62
1259,165,131
1260,129,96
1261,107,89
1263,173,124
1264,136,103
1265,80,66
1266,99,80
1267,107,88
1268,135,102
1270,124,102
1271,106,98
1272,104,76
1273,130,101
1274,70,59
1275,91,78
1276,98,82
1277,76,68
1279,179,136
1280,124,97
1281,140,102
1282,78,69
1283,115,94
1284,146,100
1285,149,120
1286,92,71
1287,148,111
1288,114,78
1289,109,84
1290,139,114
1291,166,124
1292,134,102
1293,127,93
1294,136,101
1295,94,80
1296,150,120
1297,139,118
1298,147,112
1299,113,88
1300,136,108
1301,145,102
1302,163,112
1303,162,116
1304,160,122
1305,161,120
1306,142,110
1307,139,108
1308,77,69
1309,116,93
1310,135,116
1311,131,115
1312,111,86
1313,157,124
1314,127,88
1315,124,105
1316,69,59
1317,105,96
1318,135,101
1319,143,107
1320,133,96
1321,163,118
1322,129,105
1323,83,66
1324,198,160
1325,112,88
1326,117,96
1327,116,93
1328,123,97
1329,113,94
1330,146,112
1331,128,97
1332,112,94
1333,99,83
1334,110,83
1335,99,82
1336,90,75
1337,170,121
1338,99,79
1339,151,106
1340,99,84
1341,153,96
1342,122,94
1344,101,91
1345,130,92
1346,127,95
1347,108,82
1348,105,90
1349,96,91
1350,160,115
1351,164,123
1352,102,81
1353,132,99
1354,111,85
1355,116,100
1356,106,85
1357,94,77
1358,141,106
1359,116,99
1360,124,92
1361,150,109
1362,107,82
1363,128,93
1364,154,112
1365,99,77
1366,81,69
1367,211,141
1368,100,82
1369,103,86
1370,120,93
1371,152,118
1372,92,79
1373,135,99
1374,108,86
1375,110,97
1376,151,124
1377,122,88
1378,117,102
1379,124,101
1380,100,79
1381,121,96
1382,152,106
1383,110,90
1384,88,79
1385,129,99
1386,93,78
1387,132,108
1388,107,89
1389,72,60
1390,138,116
1391,103,91
1392,108,88
1393,103,79
1394,125,100
1395,100,77
1396,119,87
1397,162,128
1398,93,77
1399,105,83
1400,189,134
1401,118,93
1403,137,106
1404,81,68
1405,145,116
1406,119,97
1407,100,84
1408,91,87
1409,95,82
1410,131,108
1411,161,116
1412,88,73
1413,99,83
1414,128,89
1415,86,69
1416,77,69
1417,102,78
1418,140,114
1419,136,103
1420,117,88
1421,104,80
1422,104,89
1423,109,81
1424,151,112
1425,99,84
1426,189,162
1427,122,91
1428,173,137
1429,135,105
1430,130,102
1431,117,91
1432,125,101
1433,147,99
1434,89,76
1435,93,80
1436,92,81
1437,126,94
1438,152,126
1439,149,112
1440,193,151
1441,123,93
1442,89,73
1443,150,118
1444,126,106
1445,81,67
1446,132,98
1447,136,109
1448,119,96
1449,122,92
1450,103,90
1451,75,65
1452,86,71
1453,167,119
1454,167,122
1455,124,100
1456,87,77
1457,103,88
1458,174,120
1459,133,98
1460,107,90
1461,145,118
1462,115,85
1463,114,88
1464,126,85
1465,161,128
1466,139,117
1467,96,76
1468,118,89
1469,125,97
1470,142,102
1471,87,74
1472,84,73
1473,139,102
1474,185,127
1475,85,66
1476,172,134
1477,107,91
1478,161,103
1479,153,106
1480,84,72
1481,96,78
1482,93,76
1483,139,111
1485,118,96
1486,121,99
1487,127,93
1488,175,134
1489,79,70
1490,127,102
1491,121,89
1492,110,88
1493,100,85
1494,146,119
1495,143,110
1496,159,113
1497,88,80
1498,106,77
1499,117,90
1500,140,112
1501,91,82
1502,135,95
1503,117,91
1504,124,101
1505,189,130
1506,74,63
1507,118,94
1508,88,76
1509,73,66
1510,190,150
1511,109,94
1512,109,83
1513,90,74
1514,160,130
1515,121,98
1516,111,79
1517,73,68
1518,107,85
1519,122,89
1520,136,101
1521,99,88
1522,127,103
1523,124,107
1524,127,95
1525,134,104
1526,104,85
1527,156,126
1528,123,88
1529,166,128
1530,101,77
1531,115,88
1532,162,119
1533,185,129
1534,114,80
1535,123,98
1536,130,102
1537,92,81
1538,120,101
1539,196,142
1540,100,89
1541,152,116
1542,130,100
1543,102,91
1544,176,128
1545,97,80
1546,80,68
1547,149,114
1548,91,69
1549,189,138
1550,40,43
1551,126,95
1552,144,91
1553,132,94
1554,186,133
1555,178,148
1556,147,118
1557,113,92
1558,118,82
1559,134,114
1560,139,107
1561,120,96
1562,81,67
1563,143,110
1564,173,128
1565,152,101
1566,145,119
1567,131,101
1568,170,116
1569,191,145
1570,121,104
1571,81,66
1572,174,131
1573,117,93
1574,188,134
1575,128,104
1576,162,119
1577,98,80
1578,95,79
1579,98,76
1580,134,101
1581,104,87
1583,184,114
1584,106,101
1585,128,96
1586,131,102
1587,125,103
1588,168,134
1589,81,71
1590,115,110
1591,143,112
1592,108,87
1593,120,93
1594,164,113
1595,136,102
1596,100,80
1597,161,132
1598,120,85
1599,85,67
1600,121,93
1601,109,84
1602,119,97
1603,84,72
1604,132,102
1605,114,89
1606,131,104
1607,143,115
1608,114,91
1609,111,98
1610,109,89
1611,165,129
1612,227,175
1613,109,89
1614,99,69
1615,108,87
1616,70,61
1617,104,90
1618,139,123
1619,122,101
1620,111,90
1621,94,74
1622,128,104
1623,148,116
1624,171,132
1625,103,78
1626,138,105
1627,117,92
1628,119,92
1629,84,68
1630,70,66
1631,144,93
1632,108,92
1633,137,107
1634,116,109
1635,100,73
1636,155,115
1637,101,88
1638,103,78
1639,92,73
1640,76,67
1641,123,91
1642,103,84
1643,139,103
1644,135,98
1645,183,128
1646,131,108
1647,106,90
1648,83,65
1649,95,77
1650,78,65
1651,121,91
1652,118,91
1653,95,78
1654,148,113
1655,117,92
1656,140,118
1657,98,74
1658,112,85
1659,148,110
1660,160,130
1661,105,84
1662,148,110
1663,141,121
1664,179,138
1665,174,121
1666,99,81
1667,110,79
1668,122,93
1669,133,99
1670,124,101
1671,144,106
1672,89,73
1673,140,101
1674,148,112
1675,92,73
1676,107,83
1677,163,121
1678,86,64
1679,154,118
1680,115,105
1681,101,80
1682,106,81
1683,83,71
1684,95,80
1685,105,82
1686,153,106
1687,132,99
1688,95,78
1689,119,95
1690,143,110
1691,99,88
1692,136,110
1693,137,103
1694,126,98
1695,86,73
1696,101,77
1697,95,78
1698,156,118
1699,179,138
1700,120,91
1701,93,72
1702,106,80
1703,155,123
1704,97,79
1705,98,84
1707,130,97
1708,160,115
1709,135,106
1710,108,87
1711,94,76
1712,110,91
1713,84,73
1714,135,105
1715,86,71
1716,100,81
1717,133,91
1718,141,101
1719,118,95
1720,137,102
1721,95,76
1722,105,89
1723,159,109
1724,76,70
1726,120,97
1727,76,61
1728,150,108
1729,110,87
1730,100,82
1731,87,75
1732,103,76
1733,138,106
1734,118,95
1735,100,78
1736,141,110
1737,109,88
1738,99,79
1739,177,125
1740,122,89
1741,141,114
1742,145,114
1743,117,97
1744,127,104
1745,154,113
1746,153,117
1747,145,109
1748,102,78
1749,115,98
1750,141,109
1751,72,60
1752,164,129
1753,118,93
1754,123,88
1755,116,95
1756,135,118
1757,115,91
1758,125,96
1759,129,100
1760,95,78
1761,126,88
1762,134,126
1763,164,114
1764,133,93
1765,125,93
1766,75,60
1767,132,91
1768,126,92
1769,137,105
1770,125,97
1771,88,74
1772,132,96
1773,127,97
1774,145,108
1775,116,90
1776,102,83
1777,117,95
1778,74,69
1779,124,86
1780,89,84
1781,142,104
1782,183,141
1783,111,86
1784,123,101
1785,133,115
1786,86,75
1787,115,92
1788,134,109
1789,135,103
1790,138,116
1791,116,88
1792,116,92
1793,104,81
1794,138,111
1795,71,64
1796,133,112
1797,94,77
1798,108,85
1799,85,77
1800,156,121
1801,196,129
1802,157,122
1803,90,74
1804,154,114
1805,116,95
1806,114,94
1807,109,98
1808,36,41
1809,109,83
1810,156,123
1811,115,85
1812,136,99
1813,94,80
1814,116,92
1815,181,129
1816,81,72
1817,146,102
1819,114,89
1820,107,88
1821,101,79
1822,147,104
1823,152,116
1825,147,106
1826,150,117
1827,83,71
1828,137,96
1829,104,82
1830,126,102
1831,127,99
1832,132,104
1833,137,102
1834,125,101
1835,184,127
1836,149,118
1837,181,132
1838,102,85
1839,120,100
1840,129,94
1841,102,61
1842,147,107
1843,106,80
1844,107,84
1845,92,79
1846,234,131
1847,160,126
1848,91,73
1849,111,89
1850,161,115
1851,96,86
1852,146,110
1853,160,120
1854,170,118
1855,79,68
1856,171,139
1857,123,104
1858,75,66
1859,247,154
1860,137,104
1861,102,90
1862,188,134
1863,113,82
1864,120,92
1865,76,65
1866,90,79
1867,99,81
1868,170,140
1869,91,77
1870,51,54
1871,167,128
1872,110,86
1873,124,97
1874,85,68
1875,145,107
1876,85,79
1877,152,113
1878,95,80
1879,123,91
1880,121,96
1881,96,74
1882,124,94
1883,118,90
1884,195,152
1885,155,104
1886,168,122
1887,122,105
1888,137,106
1889,123,93
1890,175,124
1891,137,107
1892,147,110
1893,115,100
1894,123,95
1895,95,82
1896,104,86
1897,97,73
1898,85,72
1899,132,109
1900,103,85
1901,137,92
1902,186,131
1903,130,98
1904,104,84
1905,111,82
1906,120,98
1907,96,75
1908,130,105
1909,175,135
1910,87,76
1911,115,93
1912,111,91
1913,112,84
1914,135,117
1915,116,91
1916,102,83
1917,103,88
1918,112,87
1919,75,66
1920,95,80
1921,87,73
1922,136,122
1923,120,97
1924,153,119
1925,84,77
1926,103,75
1927,106,81
1928,134,111
1929,110,87
1930,106,99
1931,117,91
1932,110,90
1933,146,98
1934,118,96
1935,151,117
1936,117,97
1937,101,81
1938,161,114
1939,100,89
1940,127,103
1941,105,93
1942,111,89
1943,145,102
1945,107,90
1946,126,101
1947,88,72
1948,101,83
1949,134,104
1950,95,75
1951,146,111
1952,102,88
1953,102,73
1954,108,91
1955,122,97
1956,132,97
1957,71,62
1958,187,138
1959,170,132
1960,131,106
1961,139,98
1962,155,115
1963,139,100
1964,89,68
1965,150,120
1966,115,94
1967,136,113
1968,115,86
1969,116,85
1970,94,76
1971,121,88
1972,80,70
1973,148,112
1974,88,76
1975,103,85
1976,183,136
1977,118,89
1978,139,105
1979,109,73
1980,100,89
1981,151,114
1982,154,115
1983,152,123
1984,97,84
1985,117,95
1986,121,88
1987,174,123
1988,119,87
1989,137,104
1990,87,72
1991,122,97
1992,104,81
1993,160,121
1994,160,113
1995,164,119
1996,87,84
1997,127,96
1998,110,92
1999,103,80
2000,87,76
2001,144,103
2002,118,96
2003,122,99
2004,105,94
2005,193,141
2006,132,101
2007,131,105
2008,86,77
2009,101,77
2010,116,91
2012,139,114
2013,155,115
2014,106,87
2015,111,81
2016,81,69
2019,155,119
2020,90,76
2021,136,120
2022,117,89
2023,127,85
2024,122,90
2025,135,111
2026,171,117
2027,191,133
2028,161,106
2030,95,76
2031,111,98
2032,130,108
2033,73,66
2035,124,90
2036,190,140
2037,127,85
2038,121,96
2039,101,88
2040,122,79
2041,97,79
2043,85,70
2044,98,84
2045,123,98
2046,160,121
2047,105,93
2048,98,78
2049,190,129
2050,104,85
2051,167,115
2052,98,77
2053,70,64
2054,83,73
2055,113,90
2056,135,108
2057,83,68
2058,88,75
2059,154,123
2061,101,84
2062,90,79
2063,146,104
2064,125,106
2065,138,109
2066,111,101
2067,167,128
2068,149,115
2069,94,85
2070,80,80
2071,124,106
2072,142,103
2073,128,100
2074,117,106
2075,78,74
2077,137,107
2078,148,107
2079,128,95
2080,142,127
2081,123,87
2082,125,102
2083,124,93
2084,86,67
2085,165,118
2086,81,69
2087,114,89
2088,140,113
2089,191,137
2090,88,69
2091,172,159
2092,104,88
2093,130,94
2094,90,79
2095,114,85
2096,68,63
2097,86,73
2098,121,95
2099,125,93
2100,91,79
2101,146,105
2102,97,81
2103,107,91
2104,164,120
2105,132,98
2106,88,68
2107,154,111
2108,118,101
2109,115,91
2110,116,103
2111,111,90
2112,115,87
2113,161,122
2114,97,85
2115,169,112
2116,135,109
2117,120,96
2118,90,79
2119,105,89
2120,109,98
2121,98,80
2122,119,98
2123,170,126
2124,166,127
2125,114,94
2126,171,128
2127,151,125
2128,82,67
2129,105,80
2130,81,68
2131,98,81
2132,129,100
2133,132,95
2134,115,95
2135,101,87
2136,108,91
2137,103,84
2138,95,75
2139,130,105
2140,105,82
2141,134,112
2142,172,132
2143,81,71
2144,107,89
2145,151,112
2146,117,99
2147,92,75
2149,120,92
2150,167,137
2151,116,95
2152,139,114
2153,106,87
2154,101,84
2155,102,84
2156,90,77
2157,163,132
2158,114,84
2159,142,113
2160,104,80
2161,90,83
2163,124,91
2164,109,99
2166,136,110
2167,88,68
2169,173,122
2170,74,75
2174,167,128
2175,95,80
2176,84,75
2177,112,96
2178,107,83
2180,129,105
2181,142,114
2183,95,84
2184,130,95
2185,133,103
2187,102,75
2188,77,68
2189,86,68
2190,90,68
2191,110,85
2192,93,75
2193,138,98
2194,118,94
2195,123,96
2196,89,68
2197,153,125
2198,98,73
2199,141,115
2200,91,80
2201,273,172
2202,106,91
2204,128,103
2205,113,84
2206,99,79
2207,97,77
2208,166,120
2209,162,119
2210,171,124
2211,135,105
2213,116,96
2214,93,80
2215,110,81
2218,96,72
2221,141,110
2222,136,109
2223,139,98
2224,101,85
2225,130,107
2227,116,97
2228,109,83
2230,123,96
2231,142,100
