Store,Market,Store Type,Current GMD Capacity ,New GMD Capacity ,,
1537,234,W/M,150,300,,
1541,107,SUP,400,500,,
1543,430,SUP,25,225,,
1551,435,SUP,275,300,,
1552,308,SUP,100,300,,
1562,424,W/M,150,350,,
1576,238,W/M,225,425,,
1587,450,W/M,200,400,,
1588,445,SUP,125,300,,
1591,234,SUP,150,350,,
1598,370,SUP,275,475,,
1604,430,SUP,150,350,,
1610,192,W/M,400,500,,
1613,308,SUP,300,500,,
1668,269,SUP,350,500,,
1670,168,W/M,250,300,,
1680,110,SUP,100,200,,
1689,376,SUP,275,475,,
1691,362,W/M,225,300,,
1697,454,W/M,225,300,,
1703,280,SUP,275,475,,
1705,191,SUP,75,275,,
1735,269,SUP,275,475,,
1742,165,SUP,475,500,,
1751,297,W/M,225,300,,
1762,157,SUP,150,300,,
1766,23,SUP,325,500,,
1779,265,W/M,375,500,,
1782,216,SUP,175,300,,
1789,452,SUP,200,400,,
1806,189,SUP,100,300,,
1807,165,SUP,425,500,,
1816,297,W/M,175,300,,
1821,306,W/M,275,300,,
1823,234,SUP,150,350,,
1831,191,SUP,150,300,,
1838,394,W/M,300,500,,
1842,298,SUP,275,300,,
1847,93,SUP,225,425,,
1852,291,SUP,425,500,,
1853,461,SUP,275,300,,
1855,423,SUP,150,350,,
1856,179,SUP,200,400,,
1867,293,W/M,200,300,,
1868,180,SUP,275,300,,
1869,165,W/M,350,500,,
1870,475,SUP,50,250,,
1871,187,SUP,100,300,,
1874,118,SUP,175,300,,
1876,476,W/M,25,225,,
1886,234,SUP,250,300,,
1887,232,W/M,150,300,,
1890,285,SUP,200,400,,
1892,268,SUP,425,500,,
1895,215,W/M,275,300,,
1897,268,SUP,300,500,,
1903,455,SUP,175,300,,
1916,108,SUP,375,500,,
1917,459,W/M,250,300,,
1918,156,W/M,300,500,,
1920,477,W/M,275,300,,
1921,178,W/M,175,300,,
1922,462,W/M,475,500,,
1930,184,W/M,250,300,,
1933,267,W/M,275,300,,
1939,180,SUP,50,250,,
1952,422,SUP,325,500,,
1960,112,SUP,275,475,,
1965,432,SUP,200,300,,
1970,159,SUP,150,350,,
1975,181,SUP,75,275,,
1980,162,SUP,100,300,,
1982,439,SUP,275,475,,
1985,508,SUP,350,500,,
1997,188,SUP,425,500,,
2012,156,SUP,275,300,,
2019,235,SUP,200,400,,
2038,292,SUP,450,500,,
2040,170,SUP,225,425,,
2046,180,SUP,100,300,,
2063,208,SUP,450,500,,
2069,468,SUP,150,300,,
2082,464,SUP,350,500,,
2087,422,SUP,250,300,,
2089,311,SUP,150,350,,
2091,110,SUP,500,600,,
2114,7,SUP,50,250,,
2119,451,SUP,225,300,,
2121,472,SUP,25,225,,
2134,306,SUP,350,500,,
2142,184,SUP,375,500,,
2151,109,SUP,475,500,,
2157,160,SUP,300,500,,
2158,156,SUP,250,300,,
2166,191,SUP,275,300,,
2169,232,SUP,175,300,,
2174,154,SUP,400,500,,
2184,160,W/M,275,300,,
2185,232,SUP,125,300,,
2193,208,SUP,200,400,,
2194,283,W/M,325,500,,
2205,233,SUP,350,500,,
2210,195,SUP,175,300,,
2222,157,SUP,200,300,,
2224,181,W/M,100,300,,
2230,237,SUP,150,350,,
2232,163,W/M,175,300,,
2234,189,SUP,175,375,,
2236,167,W/M,225,300,,
2237,118,SUP,275,300,,
2242,464,SUP,475,500,,
2252,168,SUP,250,300,,
2261,161,SUP,200,300,,
2264,189,W/M,275,475,,
2266,214,SUP,350,500,,
2271,440,SUP,50,250,,
2278,228,SUP,250,450,,
2279,282,SUP,425,500,,
2280,451,W/M,250,300,,
2282,162,SUP,100,300,,
2283,161,SUP,250,300,,
2288,462,W/M,375,500,,
2291,458,W/M,125,300,,
2293,585,SUP,25,225,,
2299,163,SUP,350,500,,
2316,214,SUP,275,300,,
2317,472,W/M,100,300,,
2319,472,W/M,50,250,,
2325,472,SUP,175,375,,
2341,159,W/M,350,500,,
2352,424,SUP,50,250,,
2355,195,SUP,175,300,,
2361,215,W/M,300,500,,
2385,514,SUP,225,300,,
2391,548,WNM,150,200,,
2396,488,WNM,25,200,,
2398,183,W/M,100,300,,
2401,484,W/M,275,300,,
2406,488,WNM,75,200,,
2419,285,W/M,275,300,,
2425,495,WNM,125,200,,
2427,53,SUP,275,475,,
2431,492,WNM,50,200,,
2432,433,SUP,200,400,,
2438,291,SUP,175,300,,
2445,170,SUP,250,450,,
2450,471,W/M,225,425,,
2465,554,WNM,75,200,,
2487,515,WNM,125,200,,
2503,174,SUP,150,300,,
2504,188,SUP,175,375,,
2516,514,SUP,450,500,,
2519,233,SUP,125,300,,
2538,478,W/M,225,425,,
2543,226,SUP,275,300,,
2551,280,W/M,175,300,,
2558,206,W/M,225,300,,
2561,228,SUP,175,375,,
2571,514,W/M,175,300,,
2581,191,SUP,225,300,,
2586,195,SUP,325,500,,
2590,550,WNM,150,200,,
2591,109,SUP,350,500,,
2594,471,W/M,225,300,,
2595,471,SUP,225,300,,
2603,227,W/M,275,300,,
2614,168,SUP,250,300,,
2636,466,W/M,250,300,,
2640,157,W/M,375,500,,
2660,157,W/M,450,500,,
2668,435,SUP,225,300,,
2683,154,W/M,100,300,,
2686,534,WNM,50,200,,
2690,137,SUP,100,300,,
2692,206,SUP,275,300,,
2695,89,SUP,375,500,,
2702,333,SUP,200,300,,
2731,554,WNM,50,200,,
2740,112,SUP,325,500,,
2742,534,WNM,50,200,,
2744,537,WNM,50,200,,
2756,280,SUP,125,325,,
2785,192,SUP,175,375,,
2787,249,SUP,400,500,,
2796,111,SUP,275,475,,
2815,268,W/M,250,300,,
2816,267,W/M,350,500,,
2823,216,SUP,175,375,,
2830,166,W/M,225,300,,
2831,400,SUP,50,250,,
2835,528,WNM,25,200,,
2843,89,SUP,250,300,,
2844,188,SUP,350,500,,
2856,361,SUP,100,300,,
2871,558,SUP,375,500,,
2873,206,SUP,400,500,,
2875,533,WNM,75,200,,
2880,507,WNM,100,200,,
2887,496,WNM,50,200,,
2888,233,SUP,300,500,,
2897,173,W/M,350,500,,
2904,159,W/M,275,300,,
2905,164,W/M,425,500,,
2919,542,WNM,25,200,,
2932,122,SUP,225,300,,
2940,542,WNM,50,200,,
2944,549,WNM,50,200,,
2953,160,SUP,275,300,,
2954,173,W/M,275,300,,
2964,156,SUP,150,300,,
2976,561,WNM,50,200,,
2980,479,SUP,225,425,,
2981,58,WNM,25,200,,
2984,533,WNM,50,200,,
2987,109,SUP,200,300,,
2998,515,WNM,175,200,,
3015,561,WNM,100,200,,
3042,543,WNM,100,200,,
3049,9,WNM,75,200,,
3050,550,WNM,175,200,,
3053,471,SUP,50,250,,
3055,345,SUP,175,300,,
3062,538,WNM,100,200,,
3083,490,WNM,100,200,,
3094,557,WNM,125,200,,
3098,550,WNM,125,200,,
3099,551,WNM,50,200,,
3111,538,WNM,50,200,,
3126,490,WNM,100,200,,
3138,481,WNM,175,200,,
3139,481,WNM,175,200,,
3140,481,WNM,100,200,,
3141,481,WNM,125,200,,
3143,9,WNM,75,200,,
3144,550,WNM,175,200,,
3146,550,WNM,50,200,,
3154,491,WNM,50,200,,
3155,491,WNM,50,200,,
3164,534,WNM,25,200,,
3168,537,WNM,50,200,,
3172,491,WNM,50,200,,
3173,491,WNM,75,200,,
3183,103,WNM,175,200,,
3191,35,SUP,75,275,,
3218,467,SUP,275,300,,
3222,35,SUP,125,300,,
3228,231,SUP,250,450,,
3232,403,SUP,250,300,,
3266,558,W/M,250,300,,
3267,432,SUP,125,300,,
3275,533,WNM,50,200,,
3280,192,SUP,375,500,,
3281,228,SUP,225,425,,
3291,174,W/M,250,300,,
3295,356,SUP,200,400,,
3310,94,SUP,200,400,,
3322,442,W/M,200,400,,
3329,187,SUP,50,250,,
3332,191,SUP,100,300,,
3338,497,WNM,125,200,,
3356,397,WNM,150,200,,
3372,111,SUP,275,475,,
3387,118,SUP,275,300,,
3391,87,SUP,200,300,,
3403,26,SUP,300,500,,
3404,422,SUP,200,300,,
3409,156,SUP,200,300,,
3418,112,SUP,300,500,,
3432,49,SUP,275,300,,
3439,15,SUP,175,300,,
3455,452,W/M,325,500,,
3464,462,SUP,275,475,,
3474,115,SUP,250,300,,
3475,167,SUP,175,300,,
3479,534,WNM,75,200,,
3490,282,W/M,275,300,,
3504,498,WNM,50,200,,
3508,507,WNM,25,200,,
3517,570,WNM,50,200,,
3524,458,W/M,275,300,,
3525,514,SUP,325,500,,
3526,104,SUP,225,425,,
3527,107,SUP,400,500,,
3546,173,W/M,100,300,,
3561,160,W/M,100,300,,
3583,188,SUP,200,400,,
3594,58,WNM,75,200,,
3600,500,WNM,150,200,,
3601,266,SUP,375,400,,
3606,549,WNM,100,200,,
3617,559,WNM,25,200,,
3625,109,SUP,400,500,,
3628,497,WNM,100,200,,
3633,234,SUP,175,300,,
3634,232,SUP,125,300,,
3637,533,WNM,75,200,,
3638,497,WNM,100,200,,
3646,496,WNM,100,200,,
3650,446,W/M,150,300,,
3709,19,SUP,275,300,,
3713,496,WNM,100,200,,
3739,399,SUP,275,300,,
3743,542,WNM,50,200,,
3746,542,WNM,50,200,,
3757,471,SUP,150,300,,
3801,471,SUP,200,300,,
3805,391,SUP,25,225,,
3810,168,SUP,175,300,,
3812,217,SUP,300,500,,
3823,433,SUP,200,300,,
3835,119,SUP,175,300,,
3844,510,WNM,25,200,,
3848,401,SUP,225,425,,
3862,549,WNM,125,200,,
3864,302,SUP,250,450,,
3872,430,SUP,100,300,,
3896,368,SUP,300,500,,
3935,103,WNM,175,200,,
3988,557,WNM,50,200,,
4046,561,WNM,50,200,,
4104,504,WNM,100,200,,
4108,323,SUP,225,300,,
4111,65,SUP,275,475,,
4115,87,SUP,150,300,,
4128,537,WNM,25,200,,
4132,465,SUP,275,300,,
4137,467,SUP,275,300,,
4142,96,WNM,100,200,,
4144,30,SUP,225,300,,
4145,497,WNM,100,200,,
4148,499,WNM,175,200,,
4159,559,WNM,100,200,,
4165,479,SUP,275,475,,
4178,550,WNM,125,200,,
4183,85,SUP,150,300,,
4193,542,WNM,50,200,,
4210,545,WNM,75,200,,
4211,96,WNM,75,200,,
4218,510,WNM,75,200,,
4232,370,SUP,250,300,,
4239,392,SUP,225,300,,
4257,425,SUP,25,225,,
4264,9,WNM,100,200,,
4288,379,SUP,250,450,,
4309,455,SUP,275,300,,
4321,409,SUP,150,300,,
4348,237,SUP,150,300,,
4356,396,SUP,425,500,,
4357,545,WNM,75,200,,
4358,432,SUP,275,475,,
4365,90,SUP,150,300,,
4366,526,WNM,100,200,,
4368,93,SUP,200,400,,
4371,542,WNM,25,200,,
4375,534,WNM,75,200,,
4376,534,WNM,75,200,,
4390,507,WNM,50,200,,
4394,474,SUP,325,500,,
4399,247,SUP,225,300,,
4403,187,SUP,125,300,,
4410,304,SUP,225,300,,
4413,494,WNM,75,200,,
4421,546,WNM,50,200,,
4425,96,WNM,75,200,,
4427,97,SUP,175,300,,
4428,294,SUP,175,300,,
4434,548,WNM,100,200,,
4441,488,WNM,75,200,,
4444,98,SUP,275,300,,
4445,497,WNM,50,200,,
4453,504,WNM,25,200,,
4464,570,WNM,25,200,,
4466,562,WNM,75,200,,
4478,538,WNM,50,200,,
4479,207,SUP,225,300,,
4484,297,SUP,250,300,,
4491,490,WNM,100,200,,
4498,103,WNM,50,200,,
4514,286,SUP,150,300,,
4519,546,WNM,25,200,,
4525,546,WNM,25,200,,
4527,546,WNM,50,200,,
4545,500,WNM,100,200,,
4546,488,WNM,75,200,,
4561,549,WNM,50,200,,
4565,559,WNM,150,200,,
4567,379,SUP,25,300,,
4577,542,WNM,25,200,,
4579,537,WNM,50,200,,
4582,545,WNM,50,200,,
4585,507,WNM,50,200,,
4586,543,WNM,25,200,,
4609,225,SUP,275,300,,
4637,356,SUP,200,300,,
4657,545,WNM,25,200,,
4667,548,WNM,50,200,,
4672,544,WNM,50,200,,
4674,542,WNM,50,200,,
4676,570,WNM,75,200,,
4681,112,SUP,150,300,,
4686,534,WNM,50,200,,
4697,315,SUP,225,425,,
4734,585,SUP,225,300,,
4757,550,WNM,150,200,,
4759,552,WNM,150,200,,
4849,419,SUP,25,225,,
5007,552,WNM,100,200,,
5008,551,WNM,125,200,,
5014,509,WNM,100,200,,
5028,207,SUP,250,300,,
5034,105,SUP,275,300,,
5036,112,SUP,250,300,,
5037,98,SUP,100,300,,
5039,284,SUP,17.85714286,218,,
5041,514,SUP,175,300,,
5054,98,SUP,225,425,,
5060,270,SUP,200,300,,
5077,577,W/M,450,500,,
5081,543,WNM,75,200,,
5106,96,WNM,75,200,,
5110,557,WNM,25,200,,
5113,2,SUP,50,250,,
5129,508,W/M,300,400,,
5131,170,W/M,300,500,,
5140,459,W/M,275,475,,
5143,498,WNM,100,200,,
5145,86,SUP,275,300,,
5149,485,WNM,100,200,,
5175,152,SUP,150,300,,
5179,96,WNM,25,200,,
5195,471,W/M,200,300,,
5200,233,W/M,100,300,,
5204,542,WNM,75,200,,
5205,557,WNM,100,200,,
5211,52,SUP,225,425,,
5214,90,SUP,275,300,,
5226,528,WNM,25,200,,
5227,292,W/M,275,300,,
5228,282,W/M,175,350,,
5248,544,WNM,50,200,,
5250,90,SUP,225,300,,
5255,559,WNM,75,200,,
5259,397,WNM,75,200,,
5264,115,SUP,175,300,,
5265,559,WNM,100,200,,
5266,104,SUP,275,300,,
5272,472,SUP,75,275,,
5285,215,SUP,275,300,,
5286,533,WNM,100,200,,
5292,297,SUP,275,400,,
5294,173,W/M,475,500,,
5304,9,WNM,25,200,,
5305,458,W/M,250,300,,
5314,533,WNM,25,200,,
5345,508,W/M,150,300,,
5358,234,SUP,100,300,,
5365,96,WNM,125,200,,
5366,96,WNM,150,200,,
5367,496,WNM,50,200,,
5371,497,WNM,100,200,,
5381,227,W/M,250,300,,
5383,497,WNM,75,200,,
5384,284,W/M,200,300,,
5391,105,SUP,275,475,,
5421,495,WNM,100,200,,
5424,468,SUP,100,300,,
5429,368,SUP,225,425,,
5433,325,SUP,25,225,,
5436,284,W/M,275,300,,
5439,163,SUP,200,300,,
5451,102,WNM,75,200,,
5460,78,SUP,75,275,,
5485,268,SUP,425,500,,
5494,400,SUP,200,300,,
5497,187,SUP,125,325,,
5606,552,WNM,50,200,,
5615,103,WNM,175,200,,
5617,267,SUP,425,500,,
5622,102,WNM,150,200,,
5624,58,WNM,25,200,,
5625,422,SUP,275,300,,
5627,550,WNM,125,200,,
5629,457,W/M,50,250,,
5633,512,WNM,125,200,,
5638,551,WNM,150,200,,
5649,170,SUP,450,500,,
5658,481,WNM,50,200,,
5664,481,WNM,100,200,,
5673,51,SUP,225,425,,
5675,570,WNM,50,200,,
5678,550,WNM,175,200,,
5692,538,WNM,100,200,,
5704,488,WNM,125,200,,
5705,37,SUP,150,300,,
5716,566,WNM,50,200,,
5725,9,WNM,125,200,,
5726,526,WNM,25,200,,
5734,498,WNM,175,200,,
5737,537,WNM,25,200,,
5743,299,SUP,150,300,,
5759,488,WNM,50,200,,
5763,403,SUP,275,475,,
5772,104,SUP,200,300,,
5773,541,WNM,75,200,,
5774,543,WNM,75,200,,
5776,543,WNM,25,200,,
5782,526,WNM,100,200,,
5789,537,WNM,50,200,,
5790,537,WNM,50,200,,
5799,367,SUP,200,400,,
5812,18,SUP,75,275,,
5813,554,WNM,50,200,,
5817,549,WNM,75,200,,
5820,549,WNM,75,200,,
5824,561,WNM,25,200,,
5826,102,WNM,75,200,,
5840,507,WNM,25,200,,
5843,511,SUP,25,225,,
5846,559,WNM,50,200,,
5853,467,SUP,125,300,,
5854,110,SUP,400,500,,
5863,533,WNM,50,200,,
5866,56,SUP,125,325,,
5875,559,WNM,75,200,,
5880,292,SUP,450,500,,
5888,234,SUP,225,300,,
5894,91,SUP,325,500,,
5907,546,WNM,75,200,,
5930,464,SUP,475,500,,
5936,283,SUP,225,300,,
5944,558,SUP,275,300,,
5945,103,WNM,175,200,,
5957,585,SUP,200,300,,
5960,526,WNM,50,200,,
5962,526,WNM,100,200,,
5969,292,SUP,350,500,,
5979,552,WNM,50,200,,
5988,559,WNM,125,200,,
5990,491,WNM,75,200,,
5993,550,WNM,100,200,,
5994,550,WNM,125,200,,
5996,459,W/M,225,300,,
6098,528,WNM,25,200,,
6165,543,WNM,50,200,,
6170,507,WNM,25,200,,
6233,499,WNM,175,200,,
6243,509,WNM,100,200,,
6323,543,WNM,50,200,,
6392,411,SUP,125,325,,
6397,110,SUP,100,300,,
6398,549,WNM,125,200,,
6459,528,WNM,50,200,,
6467,45,SUP,175,300,,
6531,545,WNM,75,200,,
6548,559,WNM,50,200,,
6578,58,WNM,125,200,,
6579,59,SUP,150,300,,
6586,499,WNM,175,200,,
6588,543,WNM,75,200,,
6789,308,SUP,100,300,,
6813,526,WNM,50,200,,
6814,509,WNM,100,200,,
6828,509,WNM,100,200,,
6849,543,WNM,25,200,,
6876,492,WNM,50,200,,
6879,310,SUP,275,300,,
6937,102,WNM,75,200,,
6941,102,WNM,75,200,,
6942,507,WNM,50,200,,
6958,310,SUP,125,300,,
6998,19,SUP,300,500,,
7004,499,WNM,50,200,,
7009,302,SUP,75,275,,
7062,499,WNM,100,200,,
7098,496,WNM,75,200,,
7146,499,WNM,75,200,,
7156,76,SUP,150,300,,
7162,496,WNM,50,200,,
7180,499,WNM,50,200,,
7188,38,SUP,125,300,,
7222,500,WNM,75,200,,
7224,561,WNM,75,200,,
7229,526,WNM,75,200,,
7233,541,WNM,50,200,,
7235,500,WNM,75,200,,
7241,541,WNM,50,200,,
7245,27,SUP,25,225,,
7281,74,SUP,75,275,,
7296,498,WNM,50,200,,
7304,498,WNM,50,200,,
7308,533,WNM,25,200,,
7315,498,WNM,100,200,,
7329,500,WNM,25,200,,
7347,58,WNM,25,200,,
8331,171,SUP,400,500,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
