Store,Balloon Bouquet Program?,Current Tank On-Hand,Pickup Month
5250,Yes,6,October
4588,Yes,16,September
943,Yes,10,September
5871,Yes,7,September
955,Yes,10,October
890,Yes,10,October
3782,Yes,7,October
649,Yes,11,September
1068,Yes,8,September
3538,No,6,September
1702,Yes,8,October
956,Yes,7,October
974,Yes,6,October
1297,Yes,11,September
4368,Yes,10,September
697,Yes,8,September
960,Yes,6,September
5326,Yes,10,October
1847,Yes,9,October
538,Yes,7,October
613,Yes,13,September
1391,Yes,9,September
582,Yes,8,September
563,Yes,7,September
1079,Yes,11,October
857,Yes,9,October
860,Yes,7,October
579,Yes,6,October
2499,Yes,12,September
6894,Yes,6,September
5365,Yes,10,October
5366,Yes,6,October
4520,Yes,9,September
1375,Yes,8,September
5422,Yes,7,September
1408,Yes,9,October
858,Yes,8,October
4427,Yes,7,October
3702,No,10,September
5054,Yes,8,September
4444,Yes,6,September
1444,Yes,6,September
5037,Yes,9,October
1173,No,7,October
3309,Yes,6,October
2626,Yes,20,September
1205,Yes,9,September
767,No,8,September
1083,Yes,7,September
1219,Yes,11,October
3308,Yes,8,October
1090,Yes,7,October
6968,Yes,7,September
5451,No,6,October
4498,No,13,September
5945,Yes,6,September
2930,No,6,September
4826,Yes,7,October
5615,Yes,6,October
1213,Yes,15,September
3526,Yes,11,September
5772,Yes,8,September
1104,Yes,8,September
1085,Yes,6,September
967,Yes,12,October
994,Yes,9,October
3415,Yes,8,October
5266,No,7,October
5391,Yes,12,September
1119,Yes,6,September
819,Yes,8,October
3348,Yes,11,September
3527,Yes,10,September
929,Yes,9,September
1087,No,6,September
4260,Yes,10,October
2176,No,10,October
814,Yes,9,October
1517,Yes,12,September
1916,Yes,10,September
1589,No,8,September
1387,No,7,September
1398,No,6,September
2963,Yes,10,October
2789,Yes,8,October
2962,Yes,7,October
5882,Yes,6,October
2151,Yes,9,September
2591,Yes,8,September
3625,No,6,September
1851,Yes,6,September
1845,No,9,October
5932,Yes,6,October
2987,Yes,6,October
6397,Yes,12,September
2814,Yes,9,September
5854,Yes,6,September
2091,Yes,11,October
1680,Yes,9,October
1536,No,10,September
1390,Yes,8,September
5218,Yes,8,October
4690,Yes,7,October
3418,Yes,11,September
5036,Yes,6,September
1501,Yes,6,September
5964,No,6,October
2627,Yes,6,October
1482,Yes,6,October
2387,Yes,8,September
1245,Yes,7,September
718,Yes,6,September
713,Yes,8,October
706,Yes,7,October
3370,Yes,12,September
5727,Yes,8,September
1171,No,8,September
3474,Yes,7,September
5264,No,6,September
1004,Yes,10,October
2459,Yes,8,October
3887,Yes,7,October
769,Yes,7,October
968,Yes,9,September
580,Yes,7,September
1203,Yes,6,September
5300,Yes,8,October
5035,Yes,6,October
811,Yes,11,September
2237,No,8,September
1874,Yes,6,September
3349,No,10,October
778,Yes,7,October
721,Yes,6,October
698,Yes,28,September
1606,Yes,19,September
663,Yes,14,September
3835,No,21,October
5263,Yes,14,October
1089,Yes,13,October
756,Yes,16,September
5151,Yes,12,September
658,Yes,11,September
3660,Yes,10,September
5251,Yes,6,September
2988,Yes,13,October
1469,Yes,12,October
5173,Yes,10,October
669,Yes,9,October
687,Yes,12,September
4635,No,9,September
1466,Yes,7,September
4166,Yes,6,September
676,Yes,10,October
366,Yes,8,October
583,Yes,7,October
741,Yes,6,October
1320,No,12,September
1318,No,11,September
1319,Yes,8,September
1194,Yes,12,October
2932,Yes,10,October
685,Yes,13,September
680,Yes,12,September
678,Yes,10,September
1159,Yes,8,September
3234,Yes,6,September
724,No,12,October
6370,Yes,10,October
2310,No,9,October
578,Yes,8,October
599,Yes,20,September
3852,No,12,September
690,Yes,11,September
742,Yes,8,September
1694,Yes,18,October
2749,No,11,October
3289,Yes,9,October
1080,No,6,October
87,Yes,28,September
876,Yes,8,September
278,Yes,9,October
3868,Yes,6,October
1016,No,9,September
761,Yes,6,October
4683,No,9,September
839,Yes,7,September
532,No,8,October
1102,Yes,6,October
3288,No,11,September
2822,Yes,8,September
1136,No,7,September
1196,Yes,10,October
2132,Yes,7,October
5056,No,6,October
310,Yes,14,September
2938,Yes,9,September
7301,Yes,8,September
386,Yes,6,September
531,Yes,12,October
402,Yes,9,October
543,Yes,6,October
773,Yes,13,September
75,Yes,10,September
4295,No,7,September
539,Yes,7,September
170,No,7,September
405,No,11,October
312,No,9,October
1128,Yes,7,October
505,Yes,7,October
976,Yes,14,September
1193,Yes,11,September
244,Yes,9,September
149,No,6,September
23,Yes,14,October
1109,Yes,9,October
98,No,7,October
1074,Yes,14,September
707,Yes,10,September
182,No,8,September
1530,Yes,10,October
699,Yes,8,October
1468,Yes,6,October
766,Yes,16,September
394,Yes,14,September
4187,Yes,9,September
661,Yes,7,September
2690,Yes,15,October
662,No,10,October
5703,Yes,7,October
409,Yes,7,October
495,Yes,18,September
981,Yes,12,September
239,Yes,9,September
1059,Yes,6,September
112,Yes,17,October
1271,Yes,9,October
115,Yes,8,October
365,Yes,20,September
3059,No,9,September
2720,Yes,8,September
903,Yes,10,October
2755,Yes,8,October
875,Yes,7,October
916,Yes,15,September
1025,Yes,10,September
816,Yes,7,September
785,Yes,6,September
1192,Yes,13,October
1168,Yes,7,October
874,Yes,6,October
501,Yes,6,October
1066,Yes,16,September
1195,No,11,September
5079,Yes,10,September
2715,Yes,8,September
3528,Yes,7,September
1260,No,12,October
970,Yes,11,October
969,Yes,9,October
1088,Yes,8,October
175,Yes,15,September
5419,Yes,7,September
1248,Yes,12,October
848,Yes,7,October
950,Yes,16,September
94,No,8,September
1561,Yes,7,September
2322,Yes,9,October
6807,No,7,October
104,Yes,14,September
177,Yes,11,September
410,Yes,10,September
93,Yes,10,September
107,No,7,September
335,Yes,6,September
677,No,11,October
675,Yes,10,October
120,Yes,10,October
64,Yes,8,October
97,Yes,7,October
238,No,16,September
268,Yes,12,September
393,Yes,8,September
161,Yes,7,September
684,Yes,14,October
683,Yes,11,October
466,Yes,7,October
218,Yes,6,October
1226,Yes,16,September
304,No,14,September
4483,Yes,10,September
1075,Yes,9,September
390,Yes,7,September
3137,Yes,14,October
264,No,14,October
3495,Yes,9,October
4435,No,7,October
192,Yes,13,September
2757,Yes,9,September
406,Yes,9,September
416,Yes,8,September
3017,Yes,6,September
656,Yes,12,October
737,Yes,9,October
5057,Yes,8,October
667,Yes,7,October
674,Yes,18,September
879,Yes,12,September
657,Yes,10,September
668,Yes,6,September
587,Yes,13,October
5175,Yes,11,October
568,Yes,7,October
308,No,6,October
272,No,10,September
5058,Yes,8,September
5616,No,6,September
710,No,6,September
7020,No,9,October
659,Yes,7,October
4482,No,6,October
2901,Yes,7,September
2386,Yes,7,October
3409,No,8,September
2155,No,8,October
2660,No,6,September
2227,No,6,September
3560,Yes,11,September
2021,Yes,8,October
1891,Yes,8,September
2282,No,6,October
2232,Yes,7,September
2299,No,6,September
2900,No,6,October
1959,Yes,9,September
2108,Yes,6,September
3252,No,6,September
2236,Yes,10,September
3501,Yes,7,September
5239,No,8,October
2263,Yes,7,October
2252,Yes,11,September
4612,No,7,September
2641,Yes,7,September
3810,No,8,October
3563,Yes,7,October
2145,Yes,6,October
2446,Yes,10,September
2445,Yes,8,September
2650,No,6,September
5649,Yes,8,October
3564,No,6,October
2916,No,11,September
2163,No,8,September
2284,No,6,October
2497,No,9,September
2604,No,8,September
2090,No,8,September
2294,Yes,9,October
2582,Yes,8,October
2368,Yes,6,October
3078,Yes,13,September
3469,No,6,September
4153,No,9,October
2651,No,6,October
3912,Yes,8,September
1977,Yes,14,September
2518,Yes,6,September
3236,No,10,October
1932,No,9,September
2013,No,7,September
5076,No,8,October
1924,No,7,October
1868,Yes,12,September
2202,No,10,September
3269,No,11,October
2046,Yes,8,October
2332,Yes,8,September
2142,Yes,7,September
1946,No,10,September
5497,No,8,September
5498,No,7,September
3329,No,6,September
1871,Yes,9,October
2116,No,8,October
3334,Yes,7,October
2092,No,6,October
2351,No,6,September
2285,No,9,September
1677,Yes,9,September
2093,No,9,October
2146,Yes,6,October
3221,Yes,8,September
1976,No,8,September
2262,No,8,October
1835,No,6,October
2581,Yes,7,September
1705,Yes,7,September
1926,Yes,7,October
5242,Yes,6,October
1744,Yes,8,September
5282,No,6,September
1610,Yes,7,October
1619,Yes,6,October
2405,Yes,10,September
2164,Yes,7,September
5027,No,6,September
1966,Yes,9,October
1973,No,7,October
2088,Yes,8,September
1993,No,7,September
2586,Yes,7,October
1909,Yes,6,October
1542,No,12,September
2100,No,11,September
2434,No,11,October
2417,No,9,October
1790,No,7,September
3453,Yes,15,September
2567,Yes,12,September
2493,Yes,8,September
3328,Yes,13,October
1923,Yes,10,October
3876,Yes,7,October
2061,Yes,11,September
2010,No,6,September
2678,Yes,6,October
5472,No,36,September
1836,No,34,September
2620,Yes,6,September
1771,No,6,September
5160,Yes,35,October
1593,Yes,9,October
1809,Yes,6,October
1642,Yes,6,October
4540,Yes,31,September
2866,No,29,September
2867,Yes,27,September
5893,Yes,8,September
5048,No,30,October
2869,Yes,27,October
1733,Yes,11,October
2618,Yes,6,October
1432,Yes,14,September
1719,No,9,September
2619,Yes,8,September
2644,Yes,7,September
1422,No,7,September
5376,Yes,13,October
5097,Yes,8,October
5159,Yes,7,October
1428,Yes,7,October
1752,Yes,6,October
2693,No,37,September
1987,Yes,29,September
4243,Yes,12,September
2273,No,10,September
1611,Yes,32,October
3726,Yes,25,October
1592,No,11,October
3632,No,8,October
2873,No,9,September
3487,No,6,October
1913,Yes,12,September
1416,No,9,September
3445,Yes,7,September
5029,No,6,September
2191,No,10,October
5385,No,7,October
5030,Yes,6,October
2350,Yes,6,October
3722,No,9,September
2197,No,8,September
2506,No,7,September
2910,No,6,September
1707,Yes,9,October
2063,No,8,October
2211,Yes,7,October
2359,Yes,10,September
1927,Yes,9,September
2313,Yes,6,September
5387,No,9,October
3293,No,7,October
3809,No,12,September
1448,No,11,September
1539,Yes,7,September
2613,No,11,October
5471,Yes,8,October
1986,No,6,October
5066,No,11,September
2073,Yes,7,September
2266,No,6,September
2316,Yes,9,October
4255,No,6,October
1812,Yes,17,September
2966,No,11,September
2361,Yes,11,September
1894,Yes,9,September
2323,Yes,7,September
1911,Yes,14,October
2914,Yes,11,October
5285,No,9,October
5410,Yes,7,October
2684,No,14,September
3262,Yes,12,September
2852,No,9,September
2149,Yes,8,September
1724,No,6,September
1782,Yes,14,October
2078,Yes,10,October
2115,Yes,9,October
1937,No,8,October
2426,Yes,10,September
2471,Yes,7,September
3812,No,8,October
5203,No,6,October
3486,Yes,8,September
2400,Yes,7,September
2605,Yes,7,October
3447,No,10,September
5184,No,7,September
1594,Yes,7,September
2098,Yes,6,September
5466,No,7,October
3580,No,7,October
3792,Yes,6,October
3784,No,12,September
2441,No,8,September
3502,Yes,6,September
1407,No,6,September
1504,Yes,10,October
1503,Yes,7,October
1441,Yes,6,October
3206,Yes,10,September
3840,Yes,9,September
1433,No,8,September
2542,No,7,September
1750,Yes,6,September
1264,Yes,10,October
1718,Yes,9,October
3300,No,7,October
1330,Yes,7,October
1331,No,7,September
5104,No,6,October
1961,Yes,12,September
3749,No,6,September
2447,Yes,6,September
1521,No,10,October
2967,Yes,6,October
2543,Yes,7,September
2024,Yes,6,September
1884,Yes,6,September
2208,Yes,6,October
1945,No,6,October
1948,No,11,September
4644,No,6,September
5040,Yes,6,October
3281,Yes,8,September
3514,Yes,7,September
2278,Yes,7,September
5445,Yes,6,September
2561,No,8,October
2674,No,7,October
1656,Yes,7,October
1885,No,7,September
2008,No,6,September
2603,No,6,October
1935,Yes,11,September
3228,No,9,September
5356,No,6,September
1765,Yes,6,September
2663,Yes,10,October
2664,No,9,October
2502,Yes,6,October
1644,Yes,16,September
2528,No,9,September
2185,Yes,7,September
2169,Yes,6,September
3634,Yes,9,October
1794,Yes,8,October
2535,Yes,6,October
2888,Yes,11,September
2334,Yes,11,September
2519,No,9,September
2340,No,11,October
4404,No,10,October
2205,No,7,October
5469,Yes,11,September
3633,Yes,10,September
5358,Yes,9,September
1823,Yes,8,September
1886,Yes,7,September
1591,Yes,11,October
1850,Yes,10,October
5888,No,8,October
2574,No,7,October
1537,Yes,6,October
2019,Yes,12,September
2420,Yes,7,September
2611,Yes,7,October
2199,Yes,7,October
2230,Yes,13,September
2049,Yes,10,September
1640,Yes,8,September
2129,Yes,12,October
4348,Yes,8,October
5470,Yes,7,October
2817,No,9,September
1618,Yes,8,September
2276,No,7,September
4631,Yes,6,September
1479,Yes,9,October
1487,No,8,October
1576,No,7,October
5374,No,9,September
2035,No,6,September
2275,No,6,October
7290,No,17,September
1476,Yes,8,September
1327,No,8,October
3851,Yes,8,September
2771,Yes,7,September
2339,Yes,6,September
1329,No,6,September
854,No,8,October
1547,Yes,7,October
1962,Yes,6,October
1566,Yes,12,September
2679,No,10,September
1304,Yes,10,September
1378,Yes,8,September
4399,No,10,October
2311,Yes,10,October
1978,No,8,October
1667,No,7,October
1570,No,9,September
4230,Yes,6,September
1419,Yes,7,October
2819,Yes,6,October
1141,No,10,September
5443,Yes,8,September
5483,No,8,October
3529,Yes,7,October
4417,No,8,September
4235,No,6,September
828,Yes,7,October
902,Yes,6,October
736,No,15,September
655,Yes,12,September
294,Yes,10,September
653,Yes,9,September
204,No,6,September
431,Yes,13,October
143,Yes,11,October
3362,No,9,October
282,Yes,7,October
694,Yes,13,September
3363,Yes,10,September
1676,Yes,9,September
701,Yes,6,September
299,Yes,11,October
5236,No,9,October
333,Yes,7,October
1165,Yes,17,September
4118,Yes,9,September
445,Yes,8,September
709,Yes,11,October
729,No,8,October
589,Yes,7,October
689,Yes,23,September
1190,Yes,8,September
719,Yes,7,September
711,Yes,13,October
1234,Yes,7,October
825,No,6,October
1247,No,12,September
1743,Yes,7,September
739,Yes,6,September
1113,Yes,10,October
696,Yes,7,October
2638,Yes,10,September
1139,Yes,10,September
1569,Yes,7,September
1426,No,10,October
1478,Yes,9,October
702,Yes,6,October
2628,Yes,10,September
692,Yes,9,September
519,No,8,September
1210,Yes,10,October
2783,No,8,October
720,No,6,October
1307,Yes,15,September
1548,No,10,September
1386,Yes,7,September
2956,Yes,13,October
1003,No,10,October
844,No,7,October
2532,Yes,16,September
1740,No,8,September
802,No,10,October
933,Yes,7,October
4405,Yes,21,September
5352,No,7,September
1848,No,6,September
1420,No,10,October
1898,Yes,7,October
1553,Yes,6,October
4286,Yes,20,September
1401,Yes,12,September
3400,Yes,9,September
3790,No,6,September
1596,Yes,12,October
4531,No,11,October
2215,No,9,October
1779,Yes,6,October
5486,No,14,September
4049,No,7,September
1497,No,7,September
5965,Yes,12,October
1556,Yes,7,October
5402,Yes,15,September
1933,No,9,September
2816,Yes,6,September
5617,Yes,10,October
2204,No,8,October
3004,No,6,September
1897,No,6,October
5199,No,12,September
1228,Yes,9,September
3893,Yes,6,September
1668,No,9,October
5276,Yes,7,October
3891,Yes,6,October
1413,Yes,9,September
1531,Yes,6,September
4641,Yes,8,October
222,Yes,18,September
252,No,12,September
196,Yes,8,September
216,No,13,October
302,No,9,October
833,Yes,7,October
435,No,18,September
454,No,8,September
936,Yes,6,September
436,No,10,October
198,No,7,October
2491,No,7,September
1093,No,6,September
481,Yes,7,October
422,No,6,October
1690,Yes,11,September
200,No,11,September
3210,No,6,September
1451,Yes,11,October
1602,Yes,10,October
603,Yes,12,September
5157,No,9,September
1421,No,6,September
1028,No,11,October
1713,No,8,October
891,No,8,September
957,No,7,September
5399,No,7,October
2566,Yes,10,September
2551,No,8,September
1674,Yes,8,September
2790,Yes,8,October
1703,Yes,8,October
4423,Yes,6,October
2009,Yes,8,September
1968,No,7,September
3780,Yes,7,October
5228,Yes,10,September
2279,Yes,9,September
3481,No,6,September
2435,Yes,9,October
1875,No,9,October
1985,Yes,9,September
2194,No,6,September
5753,No,6,October
1736,Yes,15,September
3802,Yes,11,September
1860,Yes,8,September
1741,Yes,13,October
5039,No,10,October
5450,Yes,6,October
4378,Yes,11,September
2931,Yes,9,September
2514,Yes,8,September
2791,No,6,September
1890,Yes,10,October
2419,Yes,9,October
1715,No,7,October
2647,No,10,September
3344,Yes,6,September
4514,Yes,9,October
2564,Yes,6,October
1525,No,8,September
2295,Yes,6,September
2795,No,6,October
1730,Yes,6,October
1687,Yes,15,September
1631,Yes,12,September
3214,Yes,9,September
3219,Yes,8,September
1682,Yes,6,September
4623,No,14,October
3831,No,9,October
3265,Yes,8,October
1773,Yes,6,October
4064,Yes,17,September
3216,Yes,12,September
5253,Yes,7,September
3644,No,6,September
5922,Yes,13,October
1841,Yes,8,October
5488,Yes,6,October
2529,No,6,October
1424,Yes,10,September
1524,Yes,8,September
4476,No,6,September
2808,Yes,8,October
5847,No,7,October
2136,Yes,14,September
4258,Yes,7,September
4638,Yes,6,September
1852,Yes,11,October
1833,Yes,7,October
2038,Yes,17,September
3639,No,7,October
1867,Yes,9,September
2436,Yes,7,September
3720,Yes,7,October
1242,No,14,September
4428,No,7,September
1179,No,6,September
1663,Yes,11,October
4334,No,7,October
1036,Yes,6,October
1191,No,16,September
3612,No,11,September
2256,Yes,9,September
2137,Yes,8,September
5346,Yes,12,October
1288,Yes,11,October
1287,Yes,9,October
4250,No,10,September
4484,Yes,8,September
1614,No,8,September
5292,Yes,6,September
5254,No,8,October
1953,No,8,October
2058,Yes,7,October
5118,Yes,6,October
2704,No,13,September
1132,Yes,11,September
1558,No,9,September
1842,Yes,8,September
3304,Yes,11,October
3658,Yes,10,October
1498,Yes,9,October
3305,Yes,7,October
1664,Yes,22,September
4564,Yes,16,September
5046,No,10,September
4499,Yes,9,September
1372,Yes,7,September
1321,Yes,20,October
1237,Yes,16,October
5743,Yes,9,October
2836,No,7,October
2247,Yes,6,October
4065,Yes,14,September
1268,No,12,September
2772,No,10,September
1352,Yes,9,September
4273,Yes,8,September
1166,Yes,14,October
1767,No,11,October
1392,Yes,10,October
1348,Yes,9,October
