Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
3465,427914852821,1/27/2025,FedEx Ground,F0595,MMCCOY
3568,427914852832,1/27/2025,FedEx Ground,F0595,RHAYES
3751,427914852843,1/27/2025,FedEx Ground,F0595,BTREMBALAY
3833,427914852854,1/27/2025,FedEx Ground,F0595,EROBBINS
4202,427914852865,1/27/2025,FedEx Ground,F0595,CJILES
4430,427914852876,1/27/2025,FedEx Ground,F0595,CHOYTES
5186,427914852887,1/27/2025,FedEx Ground,F0595,JJIM
5190,427914852898,1/27/2025,FedEx Ground,F0595,JDAVIDSON
5233,427914852902,1/27/2025,FedEx Ground,F0595,PPEGGY
5768,427914852924,1/27/2025,FedEx Ground,F0595,MSWEET
6477,427914852935,1/27/2025,FedEx Ground,F0595,JOHN
167,427914853173,1/27/2025,FedEx Ground,F0595,MCOOPER
1110,427914853357,1/27/2025,FedEx Ground,F0595,FDIM
87,427914853552,1/27/2025,FedEx Ground,F0595,MCYNTHIA
1114,427914853964,1/27/2025,FedEx Ground,F0595,WWALMART
1169,427914853997,1/27/2025,FedEx Ground,F0595,MEVANS
2041,427914854375,1/27/2025,FedEx Ground,F0595,JKIRBY
2090,427914854401,1/27/2025,FedEx Ground,F0595,KKAREN
2236,427914854434,1/27/2025,FedEx Ground,F0595,WIRNING
2263,427914854445,1/27/2025,FedEx Ground,F0595,LMILLER
2604,427914854559,1/27/2025,FedEx Ground,F0595,TTERRY
3291,427914854765,1/27/2025,FedEx Ground,F0595,PPAT
3475,427914854787,1/27/2025,FedEx Ground,F0595,BBROWN
3868,427914854916,1/27/2025,FedEx Ground,F0595,FSHEPHERD
5077,427914855040,1/27/2025,FedEx Ground,F0595,RSHAW
2075,427914855268,1/27/2025,FedEx Ground,F0595,XBILL
303,427914855382,1/27/2025,FedEx Ground,F0595,SMCKINNY
469,427914855419,1/27/2025,FedEx Ground,F0595,LDARTEZ
521,427914855430,1/27/2025,FedEx Ground,F0595,ENICOLE
984,427914855441,1/27/2025,FedEx Ground,F0595,CMITCHEM
3274,427914855496,1/27/2025,FedEx Ground,F0595,RYOUNG
3757,427914855500,1/27/2025,FedEx Ground,F0595,GBLANK
4335,427914855511,1/27/2025,FedEx Ground,F0595,FDOROTHEA
5049,427914855533,1/27/2025,FedEx Ground,F0595,TRESTORICK
5073,427914855544,1/27/2025,FedEx Ground,F0595,KKIMBERLY
2207,427914855566,1/27/2025,FedEx Ground,F0595,THERNANDEZ
2307,427914855577,1/27/2025,FedEx Ground,F0595,WWWW
2766,427914855588,1/27/2025,FedEx Ground,F0595,LBAUTISTA
3587,427914855599,1/27/2025,FedEx Ground,F0595,ARAY
3848,427914855603,1/27/2025,FedEx Ground,F0595,SSHABIR
4068,427914855614,1/27/2025,FedEx Ground,F0595,TESCOTTO
4309,427914855625,1/27/2025,FedEx Ground,F0595,AMEETS
5329,427914855636,1/27/2025,FedEx Ground,F0595,LPATTI
1726,427914855912,1/27/2025,FedEx Ground,F0595,BCHRIS
2357,427914856036,1/27/2025,FedEx Ground,F0595,IIMRAN
227,427914857076,1/27/2025,FedEx Ground,,MJOHNSON
344,427914857113,1/27/2025,FedEx Ground,F0595,DDIANE
400,427914857168,1/27/2025,FedEx Ground,F0595,JJADE
442,427914857190,1/27/2025,FedEx Ground,F0595,LLUPITA
