Store,Market,Region,BU,Final Tier,Details
38,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
39,410,44,SOUTWEST BU,Tier 2 - GM Pause,
40,359,40,NORTH BU,Tier 2 - GM Pause,
41,345,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
42,410,44,SOUTWEST BU,Tier 2 - GM Pause,
43,407,47,WEST BU,Tier 1 - ISA On in Total Store,
44,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
45,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
46,357,40,NORTH BU,Tier 2 - GM Pause,
47,351,44,SOUTWEST BU,Tier 2 - GM Pause,
48,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
49,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
50,347,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
51,339,40,NORTH BU,Tier 1 - ISA On in Total Store,
52,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
54,322,42,SOUTHEAST BU,Tier 2 - GM Pause,
55,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
56,333,40,NORTH BU,Tier 1 - ISA On in Total Store,
57,328,42,SOUTHEAST BU,Tier 2 - GM Pause,
58,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
59,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
60,339,40,NORTH BU,Tier 1 - ISA On in Total Store,
61,361,40,NORTH BU,Tier 1 - ISA On in Total Store,
62,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
63,347,44,SOUTWEST BU,Tier 2 - GM Pause,
64,146,41,NORTH BU,Tier 3 - Total Store ISA Pause,
65,336,40,NORTH BU,Tier 2 - GM Pause,
66,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
67,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
68,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
69,335,40,NORTH BU,Tier 2 - GM Pause,
70,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
71,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
72,410,44,SOUTWEST BU,Tier 2 - GM Pause,Per MM request
73,356,44,SOUTWEST BU,Tier 2 - GM Pause,
74,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
75,134,13,SOUTWEST BU,Tier 2 - GM Pause,
76,322,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
77,83,5,SOUTWEST BU,Tier 2 - GM Pause,
78,357,40,NORTH BU,Tier 2 - GM Pause,
79,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
80,359,40,NORTH BU,Tier 2 - GM Pause,
81,347,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
82,335,40,NORTH BU,Tier 1 - ISA On in Total Store,
83,327,42,SOUTHEAST BU,Tier 2 - GM Pause,
85,324,42,SOUTHEAST BU,Tier 2 - GM Pause,
86,357,40,NORTH BU,Tier 2 - GM Pause,
87,127,42,SOUTHEAST BU,Tier 2 - GM Pause,
88,357,40,NORTH BU,Tier 2 - GM Pause,
89,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
90,347,44,SOUTWEST BU,Tier 3 - Total Store ISA Pause,Per MM request
91,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
92,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
93,145,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
94,145,12,SOUTHEAST BU,Tier 2 - GM Pause,
95,335,40,NORTH BU,Tier 2 - GM Pause,
96,361,40,NORTH BU,Tier 1 - ISA On in Total Store,
97,146,41,NORTH BU,Tier 2 - GM Pause,
98,135,42,SOUTHEAST BU,Tier 2 - GM Pause,
99,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
100,323,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
101,336,40,NORTH BU,Tier 3 - Total Store ISA Pause,
102,327,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
103,351,44,SOUTWEST BU,Tier 2 - GM Pause,
104,146,41,NORTH BU,Tier 2 - GM Pause,
105,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
106,146,41,NORTH BU,Tier 3 - Total Store ISA Pause,
107,146,41,NORTH BU,Tier 1 - ISA On in Total Store,
108,344,44,SOUTWEST BU,Tier 2 - GM Pause,
109,360,40,NORTH BU,Tier 3 - Total Store ISA Pause,
110,89,9,SOUTHEAST BU,Tier 2 - GM Pause,
111,410,44,SOUTWEST BU,Tier 2 - GM Pause,
112,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
113,349,44,SOUTWEST BU,Tier 2 - GM Pause,
114,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
115,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
116,127,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
117,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
118,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
119,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
120,146,41,NORTH BU,Tier 3 - Total Store ISA Pause,
121,351,44,SOUTWEST BU,Tier 2 - GM Pause,
122,335,40,NORTH BU,Tier 1 - ISA On in Total Store,
123,351,44,SOUTWEST BU,Tier 2 - GM Pause,
124,324,42,SOUTHEAST BU,Tier 2 - GM Pause,
125,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
126,324,42,SOUTHEAST BU,Tier 2 - GM Pause,
127,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
128,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
129,350,44,SOUTWEST BU,Tier 2 - GM Pause,
130,347,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
131,47,44,SOUTWEST BU,Tier 2 - GM Pause,Per MM request
132,344,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
133,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
134,344,44,SOUTWEST BU,Tier 2 - GM Pause,
135,360,40,NORTH BU,Tier 3 - Total Store ISA Pause,
136,345,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
137,352,44,SOUTWEST BU,Tier 2 - GM Pause,
138,357,40,NORTH BU,Tier 2 - GM Pause,
139,353,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
140,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
141,321,42,SOUTHEAST BU,Tier 2 - GM Pause,
143,253,41,NORTH BU,Tier 1 - ISA On in Total Store,
144,322,42,SOUTHEAST BU,Tier 2 - GM Pause,
145,339,40,NORTH BU,Tier 1 - ISA On in Total Store,
146,46,5,SOUTWEST BU,Tier 2 - GM Pause,
147,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
148,47,44,SOUTWEST BU,Tier 2 - GM Pause,
149,135,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
150,344,44,SOUTWEST BU,Tier 2 - GM Pause,
151,351,44,SOUTWEST BU,Tier 2 - GM Pause,
152,335,40,NORTH BU,Tier 2 - GM Pause,
153,4,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
154,311,20,NORTH BU,Tier 2 - GM Pause,
155,136,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
157,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
158,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
159,359,40,NORTH BU,Tier 3 - Total Store ISA Pause,
160,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
161,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
162,349,44,SOUTWEST BU,Tier 2 - GM Pause,
163,503,6,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
164,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
165,46,5,SOUTWEST BU,Tier 2 - GM Pause,
166,357,40,NORTH BU,Tier 2 - GM Pause,
167,327,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
168,345,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
169,326,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
170,134,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,MM request - wants GM pause only
171,327,42,SOUTHEAST BU,Tier 2 - GM Pause,
172,336,40,NORTH BU,Tier 3 - Total Store ISA Pause,
173,357,40,NORTH BU,Tier 1 - ISA On in Total Store,
174,92,9,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
175,144,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
176,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
177,146,41,NORTH BU,Tier 2 - GM Pause,
178,344,44,SOUTWEST BU,Tier 2 - GM Pause,
179,357,40,NORTH BU,Tier 1 - ISA On in Total Store,
180,46,5,SOUTWEST BU,Tier 2 - GM Pause,
181,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
182,136,12,SOUTHEAST BU,Tier 2 - GM Pause,
183,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
184,361,40,NORTH BU,Tier 2 - GM Pause,
185,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
186,409,44,SOUTWEST BU,Tier 2 - GM Pause,
188,335,40,NORTH BU,Tier 2 - GM Pause,
189,359,40,NORTH BU,Tier 2 - GM Pause,
190,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
192,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
194,60,6,SOUTWEST BU,Tier 2 - GM Pause,
195,360,40,NORTH BU,Tier 2 - GM Pause,
196,271,25,NORTH BU,Tier 3 - Total Store ISA Pause,
197,278,25,NORTH BU,Tier 2 - GM Pause,
198,272,25,NORTH BU,Tier 2 - GM Pause,
199,278,25,NORTH BU,Tier 2 - GM Pause,
200,275,25,NORTH BU,Tier 1 - ISA On in Total Store,
201,341,25,NORTH BU,Tier 1 - ISA On in Total Store,
202,51,5,SOUTWEST BU,Tier 2 - GM Pause,
203,359,40,NORTH BU,Tier 2 - GM Pause,
204,253,41,NORTH BU,Tier 1 - ISA On in Total Store,
205,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
206,52,5,SOUTWEST BU,Tier 2 - GM Pause,
207,345,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
209,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
210,351,44,SOUTWEST BU,Tier 2 - GM Pause,
211,76,5,SOUTWEST BU,Tier 2 - GM Pause,
212,353,44,SOUTWEST BU,Tier 2 - GM Pause,Per RVP direction
213,272,25,NORTH BU,Tier 2 - GM Pause,
214,503,6,SOUTWEST BU,Tier 2 - GM Pause,
216,271,25,NORTH BU,Tier 3 - Total Store ISA Pause,
217,53,5,SOUTWEST BU,Tier 2 - GM Pause,
218,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
219,359,40,NORTH BU,Tier 2 - GM Pause,
220,48,5,SOUTWEST BU,Tier 2 - GM Pause,
221,344,44,SOUTWEST BU,Tier 2 - GM Pause,
222,271,25,NORTH BU,Tier 3 - Total Store ISA Pause,
224,272,25,NORTH BU,Tier 2 - GM Pause,
225,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
226,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
227,344,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
228,48,5,SOUTWEST BU,Tier 2 - GM Pause,
229,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
230,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
231,350,44,SOUTWEST BU,Tier 2 - GM Pause,
232,350,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
233,271,25,NORTH BU,Tier 2 - GM Pause,
234,360,40,NORTH BU,Tier 2 - GM Pause,
236,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
237,271,25,NORTH BU,Tier 2 - GM Pause,
238,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
239,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
240,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
242,410,44,SOUTWEST BU,Tier 2 - GM Pause,
243,339,40,NORTH BU,Tier 1 - ISA On in Total Store,
244,135,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
246,345,44,SOUTWEST BU,Tier 2 - GM Pause,Per RVP direction
247,351,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
248,76,5,SOUTWEST BU,Tier 2 - GM Pause,
249,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
250,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
251,45,5,SOUTWEST BU,Tier 2 - GM Pause,
252,271,25,NORTH BU,Tier 1 - ISA On in Total Store,
253,272,25,NORTH BU,Tier 2 - GM Pause,
254,273,25,NORTH BU,Tier 2 - GM Pause,
256,341,25,NORTH BU,Tier 1 - ISA On in Total Store,
257,254,41,NORTH BU,Tier 1 - ISA On in Total Store,
258,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
259,583,5,SOUTWEST BU,Tier 2 - GM Pause,
260,55,5,SOUTWEST BU,Tier 2 - GM Pause,
261,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
262,271,25,NORTH BU,Tier 3 - Total Store ISA Pause,
264,149,12,SOUTHEAST BU,Tier 2 - GM Pause,
265,45,5,SOUTWEST BU,Tier 2 - GM Pause,
266,50,5,SOUTWEST BU,Tier 2 - GM Pause,
267,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
268,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
269,349,44,SOUTWEST BU,Tier 2 - GM Pause,
271,349,44,SOUTWEST BU,Tier 2 - GM Pause,
272,153,12,SOUTHEAST BU,Tier 2 - GM Pause,
273,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
274,4,12,SOUTHEAST BU,Tier 2 - GM Pause,
275,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
276,351,44,SOUTWEST BU,Tier 2 - GM Pause,
277,353,44,SOUTWEST BU,Tier 2 - GM Pause,
278,127,42,SOUTHEAST BU,Tier 2 - GM Pause,
279,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
280,83,5,SOUTWEST BU,Tier 2 - GM Pause,
281,328,42,SOUTHEAST BU,Tier 2 - GM Pause,
282,253,41,NORTH BU,Tier 2 - GM Pause,
283,66,13,SOUTWEST BU,Tier 2 - GM Pause,
284,44,5,SOUTWEST BU,Tier 2 - GM Pause,
285,503,6,SOUTWEST BU,Tier 2 - GM Pause,
286,55,5,SOUTWEST BU,Tier 2 - GM Pause,
287,11,14,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
288,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
289,327,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
290,77,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
292,87,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
293,85,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
294,253,41,NORTH BU,Tier 1 - ISA On in Total Store,
295,340,40,NORTH BU,Tier 1 - ISA On in Total Store,
296,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
297,59,6,SOUTWEST BU,Tier 2 - GM Pause,
298,5,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
299,254,41,NORTH BU,Tier 2 - GM Pause,
300,3,14,SOUTHEAST BU,Tier 2 - GM Pause,
301,3,14,SOUTHEAST BU,Tier 2 - GM Pause,
302,271,25,NORTH BU,Tier 2 - GM Pause,
303,4,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
304,149,12,SOUTHEAST BU,Tier 2 - GM Pause,
305,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
306,5,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
307,135,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
308,152,41,NORTH BU,Tier 2 - GM Pause,
309,132,13,SOUTWEST BU,Tier 2 - GM Pause,
310,132,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,RVP request
311,129,13,SOUTWEST BU,Tier 2 - GM Pause,
312,134,13,SOUTWEST BU,Tier 2 - GM Pause,
313,335,40,NORTH BU,Tier 2 - GM Pause,
314,151,12,SOUTHEAST BU,Tier 2 - GM Pause,
315,3,14,SOUTHEAST BU,Tier 2 - GM Pause,
316,3,14,SOUTHEAST BU,Tier 2 - GM Pause,
317,272,25,NORTH BU,Tier 2 - GM Pause,
318,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
319,361,40,NORTH BU,Tier 2 - GM Pause,
320,76,5,SOUTWEST BU,Tier 2 - GM Pause,
321,85,6,SOUTWEST BU,Tier 2 - GM Pause,
322,85,6,SOUTWEST BU,Tier 2 - GM Pause,
323,127,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
324,356,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
325,360,40,NORTH BU,Tier 2 - GM Pause,
326,361,40,NORTH BU,Tier 1 - ISA On in Total Store,
328,341,25,NORTH BU,Tier 1 - ISA On in Total Store,
329,10,14,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
330,84,6,SOUTWEST BU,Tier 2 - GM Pause,
331,66,13,SOUTWEST BU,Tier 2 - GM Pause,
332,5,12,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
333,254,41,NORTH BU,Tier 1 - ISA On in Total Store,
334,275,25,NORTH BU,Tier 1 - ISA On in Total Store,
335,146,41,NORTH BU,Tier 2 - GM Pause,
336,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
337,335,40,NORTH BU,Tier 1 - ISA On in Total Store,
338,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
339,327,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
340,351,44,SOUTWEST BU,Tier 2 - GM Pause,
341,407,47,WEST BU,Tier 1 - ISA On in Total Store,
342,411,47,WEST BU,Tier 1 - ISA On in Total Store,
343,275,25,NORTH BU,Tier 1 - ISA On in Total Store,
344,65,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
345,46,5,SOUTWEST BU,Tier 2 - GM Pause,
346,409,44,SOUTWEST BU,Tier 2 - GM Pause,
347,136,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
348,327,42,SOUTHEAST BU,Tier 2 - GM Pause,
350,433,47,WEST BU,Tier 1 - ISA On in Total Store,
351,68,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
352,271,25,NORTH BU,Tier 1 - ISA On in Total Store,
353,48,5,SOUTWEST BU,Tier 2 - GM Pause,
354,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
355,10,14,SOUTHEAST BU,Tier 2 - GM Pause,
356,10,14,SOUTHEAST BU,Tier 2 - GM Pause,
357,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
358,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
359,322,42,SOUTHEAST BU,Tier 2 - GM Pause,
360,352,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
361,341,25,NORTH BU,Tier 2 - GM Pause,
362,11,14,SOUTHEAST BU,Tier 2 - GM Pause,
363,361,40,NORTH BU,Tier 1 - ISA On in Total Store,
364,503,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
365,140,13,SOUTWEST BU,Tier 3 - Total Store ISA Pause,RVP request
366,121,2,SOUTHEAST BU,Tier 2 - GM Pause,
368,410,44,SOUTWEST BU,Tier 2 - GM Pause,
369,406,47,WEST BU,Tier 1 - ISA On in Total Store,
370,406,47,WEST BU,Tier 1 - ISA On in Total Store,
371,48,5,SOUTWEST BU,Tier 2 - GM Pause,
372,406,47,WEST BU,Tier 2 - GM Pause,
373,322,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
374,347,44,SOUTWEST BU,Tier 3 - Total Store ISA Pause,Per MM request
375,5,12,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
376,127,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
377,497,59,NHM BU,Tier 1 - ISA On in Total Store,
378,411,47,WEST BU,Tier 1 - ISA On in Total Store,
379,333,40,NORTH BU,Tier 2 - GM Pause,
381,81,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
382,410,44,SOUTWEST BU,Tier 2 - GM Pause,
383,66,13,SOUTWEST BU,Tier 2 - GM Pause,
384,66,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
385,84,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
386,132,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
387,352,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
388,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
389,352,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
390,149,12,SOUTHEAST BU,Tier 2 - GM Pause,
391,4,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
392,344,44,SOUTWEST BU,Tier 2 - GM Pause,
393,147,12,SOUTHEAST BU,Tier 2 - GM Pause,
394,137,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
395,80,6,SOUTWEST BU,Tier 2 - GM Pause,
396,39,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
397,80,6,SOUTWEST BU,Tier 2 - GM Pause,
398,46,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
399,46,5,SOUTWEST BU,Tier 2 - GM Pause,
400,68,6,SOUTWEST BU,Tier 2 - GM Pause,
401,131,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
402,132,13,SOUTWEST BU,Tier 2 - GM Pause,
403,137,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
404,87,6,SOUTWEST BU,Tier 3 - Total Store ISA Pause,
405,134,13,SOUTWEST BU,Tier 2 - GM Pause,
406,153,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
407,81,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
408,66,13,SOUTWEST BU,Tier 2 - GM Pause,
409,137,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
410,146,41,NORTH BU,Tier 3 - Total Store ISA Pause,
411,138,14,SOUTHEAST BU,Tier 2 - GM Pause,
412,45,5,SOUTWEST BU,Tier 2 - GM Pause,
413,569,6,SOUTWEST BU,Tier 2 - GM Pause,
414,349,44,SOUTWEST BU,Tier 2 - GM Pause,
415,132,13,SOUTWEST BU,Tier 2 - GM Pause,
416,151,12,SOUTHEAST BU,Tier 2 - GM Pause,
417,47,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
418,407,47,WEST BU,Tier 1 - ISA On in Total Store,
419,406,47,WEST BU,Tier 1 - ISA On in Total Store,
420,349,44,SOUTWEST BU,Tier 2 - GM Pause,
421,479,5,SOUTWEST BU,Tier 2 - GM Pause,
422,273,25,NORTH BU,Tier 2 - GM Pause,
423,13,14,SOUTHEAST BU,Tier 2 - GM Pause,
424,8,14,SOUTHEAST BU,Tier 2 - GM Pause,
425,11,14,SOUTHEAST BU,Tier 2 - GM Pause,
426,53,5,SOUTWEST BU,Tier 2 - GM Pause,
427,47,44,SOUTWEST BU,Tier 2 - GM Pause,
428,130,13,SOUTWEST BU,Tier 2 - GM Pause,RVP request
429,80,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
430,253,41,NORTH BU,Tier 1 - ISA On in Total Store,
431,253,41,NORTH BU,Tier 1 - ISA On in Total Store,
432,10,14,SOUTHEAST BU,Tier 2 - GM Pause,
433,5,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
434,5,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
435,272,25,NORTH BU,Tier 2 - GM Pause,
436,272,25,NORTH BU,Tier 1 - ISA On in Total Store,
437,84,6,SOUTWEST BU,Tier 2 - GM Pause,
438,74,5,SOUTWEST BU,Tier 1 - ISA On in Total Store,
440,78,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
442,78,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
443,88,46,SOUTWEST BU,Tier 2 - GM Pause,
444,333,40,NORTH BU,Tier 2 - GM Pause,
445,256,41,NORTH BU,Tier 1 - ISA On in Total Store,
446,85,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
447,88,46,SOUTWEST BU,Tier 1 - ISA On in Total Store,
448,127,42,SOUTHEAST BU,Tier 2 - GM Pause,
449,66,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
450,127,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
451,359,40,NORTH BU,Tier 2 - GM Pause,
452,80,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
453,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
454,273,25,NORTH BU,Tier 2 - GM Pause,
456,569,6,SOUTWEST BU,Tier 2 - GM Pause,
457,66,13,SOUTWEST BU,Tier 1 - ISA On in Total Store,
458,78,6,SOUTWEST BU,Tier 2 - GM Pause,
459,25,2,SOUTHEAST BU,Tier 2 - GM Pause,
461,88,46,SOUTWEST BU,Tier 2 - GM Pause,
462,61,6,SOUTWEST BU,Tier 2 - GM Pause,
463,84,6,SOUTWEST BU,Tier 2 - GM Pause,
464,78,6,SOUTWEST BU,Tier 2 - GM Pause,
465,77,6,SOUTWEST BU,Tier 1 - ISA On in Total Store,
