Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
2167,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,88.90%,91.50%,7.5,85.90%,89.20%,90.00%,90.10%
2660,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,84.60%,94.80%,9,90.70%,81.00%,81.30%,84.60%
2903,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202350,87.80%,94.00%,8.5,92.90%,95.20%,86.10%,75.70%
5076,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,95.90%,94.20%,9.4,97.50%,96.90%,97.50%,87.80%
2140,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,84.50%,97.50%,6.5,86.00%,81.60%,82.40%,88.10%
2634,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202350,77.40%,96.30%,6.6,90.30%,75.30%,66.70%,74.10%
2398,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,74.20%,91.30%,7.2,79.20%,67.30%,71.40%,77.00%
2659,SPARK,Scheduled Standard Delivery,12,At Risk,Recovering,Driver Supply Focus,202350,90.20%,98.30%,7.7,90.10%,92.40%,95.20%,84.50%
2138,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202350,80.30%,100.00%,4.4,72.70%,82.30%,86.60%,79.70%
2224,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202350,86.70%,90.40%,9.2,90.00%,92.10%,93.20%,68.10%
2332,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,87.30%,90.50%,8,93.50%,92.20%,87.70%,76.60%
2424,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202350,87.70%,91.10%,8,75.20%,93.30%,88.30%,96.40%
5498,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,83.40%,99.40%,7.1,81.90%,94.00%,76.40%,77.60%
2097,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,87.10%,97.30%,7.8,83.40%,86.80%,88.70%,89.50%
2854,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,86.20%,93.70%,8.4,88.60%,78.90%,88.70%,89.40%
5201,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,91.00%,98.10%,8.4,93.60%,93.20%,95.90%,83.00%
2024,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,89.60%,99.20%,7.3,89.50%,95.00%,89.90%,84.00%
3443,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,87.70%,97.50%,6.9,85.80%,92.40%,92.70%,81.30%
3520,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,83.30%,99.10%,9.1,84.00%,83.80%,86.90%,78.50%
3562,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,90.90%,95.80%,8.8,88.50%,92.10%,93.60%,89.90%
2164,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Driver Supply Focus,202350,89.90%,98.60%,7.4,91.00%,83.50%,93.90%,92.90%
2663,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,82.30%,97.90%,8.7,74.30%,86.60%,89.90%,78.30%
3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,89.10%,97.80%,5.6,86.90%,87.00%,92.60%,90.50%
3035,UBER,Scheduled Standard Delivery,31,Executive Review,Degrading,Driver Supply Focus,202350,82.10%,97.70%,8.7,86.00%,82.80%,81.50%,78.10%
5968,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,91.80%,92.60%,9,90.20%,89.90%,96.10%,91.60%
2564,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,83.30%,100.00%,6.8,100.00%,62.50%,83.30%,81.80%
1714,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.40%,95.90%,6.9,81.10%,89.40%,86.70%,88.20%
1335,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,81.60%,91.70%,8.4,88.80%,76.70%,87.30%,71.40%
1344,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,79.10%,93.80%,6.7,80.00%,80.00%,76.50%,80.00%
1344,SPARK,Scheduled Standard Delivery,21,Executive Review,Recovering,Driver Supply Focus,202350,91.00%,92.10%,9.7,90.40%,96.30%,92.70%,84.50%
2412,POINTPICKUP,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202350,90.20%,94.30%,8.4,91.30%,89.60%,97.40%,82.90%
1383,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,83.50%,92.90%,9.1,88.40%,93.30%,81.60%,72.10%
1795,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Driver Supply Focus,202350,85.80%,98.10%,6.2,89.70%,90.80%,74.60%,86.70%
5787,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,79.80%,92.90%,8.8,83.70%,84.60%,70.50%,79.20%
2978,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,79.10%,81.50%,21.8,64.30%,86.50%,82.40%,84.10%
2688,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202350,90.30%,89.90%,11.4,91.00%,95.60%,98.60%,85.60%
284,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,76.10%,73.30%,23.3,76.40%,79.90%,64.40%,82.30%
471,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,70.10%,72.50%,23.9,63.00%,71.30%,72.10%,73.90%
3014,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202350,78.80%,85.90%,20.3,37.50%,93.40%,87.90%,87.80%
3432,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202350,83.10%,84.90%,21.6,74.90%,89.10%,84.70%,84.80%
5810,,Scheduled Delivery Standard,6,Active Monitoring,Degrading,Store Focus,202350,88.60%,92.00%,12.7,80.70%,93.90%,94.20%,87.00%
286,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202350,86.70%,87.20%,11.9,81.40%,92.50%,86.20%,86.60%
3406,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,79.40%,90.50%,16.9,73.10%,83.40%,81.50%,81.20%
6963,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,79.00%,87.30%,18.4,69.90%,85.40%,82.10%,79.60%
2086,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,88.20%,95.40%,11.7,88.80%,89.90%,89.80%,84.20%
3225,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,77.60%,77.00%,20.5,70.80%,87.60%,86.50%,66.80%
5823,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,80.10%,88.50%,15.1,81.90%,80.40%,78.90%,79.10%
590,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202350,85.50%,88.40%,16.7,82.80%,92.30%,90.00%,77.70%
2649,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,83.00%,87.60%,16.9,73.40%,79.80%,91.10%,88.80%
5080,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,78.20%,71.00%,18.5,68.90%,86.10%,87.70%,73.20%
1254,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,83.00%,84.20%,16.5,77.10%,86.50%,87.70%,81.30%
813,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202350,89.00%,90.40%,11.3,92.50%,91.50%,86.90%,84.50%
221,,Scheduled Delivery Standard,8,Active Monitoring,Degrading,Store Focus,202350,89.00%,87.60%,18.2,84.30%,95.00%,93.90%,84.00%
1626,,Scheduled Delivery Standard,35,Executive Review,Degrading,Store Focus,202350,89.00%,90.20%,14.5,84.40%,93.80%,96.70%,82.40%
2803,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202350,93.20%,89.90%,11.9,88.70%,98.60%,97.90%,89.10%
517,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,84.00%,88.70%,24.1,83.30%,91.30%,83.90%,79.10%
427,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202350,85.80%,85.20%,10.5,83.50%,94.50%,89.30%,71.00%
794,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202350,90.50%,88.20%,11.5,77.40%,93.20%,97.00%,96.10%
1507,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,87.00%,81.40%,14.8,82.30%,91.60%,90.80%,82.90%
4048,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202350,87.80%,82.20%,15.4,94.30%,97.10%,83.50%,77.00%
542,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,81.90%,78.00%,17.8,88.50%,84.30%,69.50%,81.80%
1016,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202350,87.30%,83.30%,13,93.60%,81.10%,91.50%,82.90%
532,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202350,88.20%,92.10%,11.8,90.60%,95.50%,88.40%,74.90%
839,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202350,71.00%,74.70%,21.9,72.10%,70.00%,90.60%,50.50%
935,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202350,86.80%,87.90%,16.2,92.00%,88.10%,85.30%,81.80%
1102,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,78.60%,85.80%,20.9,89.70%,85.90%,76.70%,56.80%
1206,,Scheduled Delivery Standard,46,Executive Review,Degrading,Store Focus,202350,83.00%,87.40%,19.3,82.90%,88.30%,91.00%,71.00%
1266,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,83.40%,78.80%,14.7,88.00%,87.50%,83.60%,73.70%
4683,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202350,85.20%,86.20%,14.5,93.10%,91.50%,87.20%,69.20%
401,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,82.40%,92.10%,13.9,81.00%,88.50%,77.30%,82.10%
1136,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202350,84.80%,87.70%,16.6,95.50%,93.50%,65.90%,83.60%
2132,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202350,87.40%,86.70%,13.7,92.90%,87.30%,89.10%,80.90%
3288,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,86.60%,87.50%,12.3,88.90%,87.30%,85.40%,84.10%
180,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,73.90%,65.20%,18.3,74.10%,80.40%,76.00%,64.00%
399,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,86.60%,81.10%,18,85.50%,86.50%,88.00%,86.70%
331,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,84.70%,79.60%,15.1,85.90%,85.30%,89.00%,79.20%
449,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,81.80%,83.40%,16.6,88.20%,85.60%,69.00%,81.90%
521,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,69.90%,70.40%,22.7,62.90%,81.00%,57.30%,74.80%
651,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202350,83.30%,77.90%,16.4,90.30%,93.30%,79.10%,68.50%
400,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202350,91.50%,88.50%,11.4,93.50%,96.80%,92.10%,83.30%
602,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,80.50%,79.60%,17.7,83.10%,83.80%,78.90%,75.70%
3390,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202350,82.80%,72.00%,15,86.10%,76.00%,89.80%,79.20%
2938,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,83.80%,80.20%,16.9,86.80%,82.10%,89.70%,77.10%
75,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202350,91.50%,85.70%,11.1,95.00%,93.60%,89.90%,88.20%
170,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,78.60%,77.80%,17.4,73.90%,83.10%,83.70%,76.50%
539,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,86.00%,91.40%,12.5,84.80%,86.20%,88.30%,85.00%
1128,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202350,83.20%,87.30%,15.2,84.20%,87.50%,89.80%,73.10%
4295,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202350,77.40%,79.80%,15.9,76.90%,85.80%,91.50%,56.50%
140,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,85.90%,83.40%,17.8,80.70%,94.00%,85.10%,84.00%
909,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202350,87.10%,94.60%,15.5,91.70%,90.40%,86.00%,79.60%
1163,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202350,86.10%,88.60%,18.6,89.90%,83.90%,91.30%,80.50%
5022,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202350,87.10%,95.80%,14.5,87.60%,88.40%,91.90%,81.20%
489,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202350,82.40%,78.10%,17.1,91.10%,81.70%,87.60%,69.60%
541,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,65.20%,66.60%,14.7,62.40%,67.90%,87.90%,44.80%
803,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202350,79.70%,78.00%,12,77.50%,83.30%,75.10%,82.40%
989,,Scheduled Delivery Standard,48,Executive Review,Recovering,Store Focus,202350,90.60%,92.40%,14.8,95.10%,95.90%,94.70%,77.10%
1353,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202350,86.80%,82.90%,16.1,89.50%,80.30%,93.90%,84.40%
3616,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202350,86.80%,87.10%,10.9,98.20%,88.00%,80.00%,78.20%
4129,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202350,82.50%,80.70%,23.3,84.70%,81.40%,82.40%,81.60%
501,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202350,79.70%,77.40%,13.5,92.70%,83.80%,72.90%,65.00%
1066,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202350,84.80%,73.70%,15.5,85.40%,93.30%,80.70%,78.90%
1129,,Scheduled Delivery Standard,10,At Risk,Degrading,Store Focus,202350,90.20%,76.70%,12.7,87.10%,88.00%,95.50%,91.20%
1253,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202350,91.90%,88.90%,11.5,90.40%,97.90%,91.70%,87.60%
2133,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202350,93.00%,87.80%,10.1,94.10%,96.10%,94.00%,88.60%
2991,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202350,75.00%,62.30%,24.2,68.70%,94.60%,93.70%,47.40%
4163,,Scheduled Delivery Standard,11,At Risk,Degrading,Store Focus,202350,92.00%,91.80%,11.7,89.90%,97.80%,94.60%,87.10%
3169,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202350,70.20%,57.20%,15,80.70%,44.00%,84.20%,74.00%
3569,,Scheduled Delivery Standard,26,Executive Review,Degrading,Store Focus,202350,74.80%,68.00%,14,79.70%,73.10%,75.20%,71.10%
5479,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202350,85.70%,89.40%,15.5,88.80%,92.10%,87.30%,74.80%
