Market,Store,Op Model Tier,Fashion Coach,Move GM Coach,Approved TL Headcount,VizPick Fashion Kit ,RFID Containment Box 
170,2445,2,Yes,NO,4,Week 16,Week 16
170,2446,1,Yes,YES,4,Week 16,Week 16
170,2650,2,Yes,NO,4,Week 16,Week 16
170,3564,2,Yes,YES,4,Week 16,Week 16
170,5130,1,Yes,YES,4,Week 16,Week 16
170,5131,1,Yes,NO,4,Week 16,Week 16
170,5649,2,Yes,NO,4,Week 16,Week 16
178,1844,2,Yes,NO,4,Week 16,Week 16
178,1921,2,Yes,NO,4,Week 16,Week 16
178,1977,2,Yes,YES,4,Week 16,Week 16
178,2195,2,Yes,NO,4,Week 16,Week 16
178,2518,1,Yes,YES,4,Week 16,Week 16
178,3236,2,Yes,YES,4,Week 16,Week 16
178,3266,2,Yes,NO,4,Week 16,Week 16
178,3830,3,No,NO,4,Week 16,Week 16
178,5012,1,Yes,YES,4,Week 16,Week 16
178,5142,1,Yes,YES,4,Week 16,Week 16
178,5414,2,Yes,NO,4,Week 16,Week 16
232,1644,1,Yes,NO,4,Week 16,Week 16
232,1794,1,Yes,YES,4,Week 16,Week 16
232,1887,2,Yes,NO,4,Week 16,Week 16
232,2169,1,Yes,NO,4,Week 16,Week 16
232,2185,2,Yes,NO,4,Week 16,Week 16
232,2255,1,Yes,YES,4,Week 16,Week 16
232,2481,2,Yes,NO,4,Week 16,Week 16
232,2528,2,Yes,YES,4,Week 16,Week 16
232,2535,2,Yes,NO,4,Week 16,Week 16
232,3412,3,No,NO,4,Week 16,Week 16
232,3634,3,No,NO,4,Week 16,Week 16
233,1529,1,Yes,YES,4,Week 16,Week 16
233,2023,2,Yes,YES,4,Week 16,Week 16
233,2205,2,Yes,YES,4,Week 16,Week 16
233,2334,1,Yes,YES,4,Week 16,Week 16
233,2340,2,Yes,YES,4,Week 16,Week 16
233,2519,2,Yes,YES,4,Week 16,Week 16
233,2888,2,Yes,NO,4,Week 16,Week 16
233,4404,3,No,NO,4,Week 16,Week 16
233,5200,2,Yes,YES,4,Week 16,Week 16
234,1537,3,No,NO,3,Week 16,Week 16
234,1591,1,Yes,YES,4,Week 16,Week 16
234,1823,2,Yes,NO,4,Week 16,Week 16
234,1850,2,Yes,YES,4,Week 16,Week 16
234,1886,1,Yes,NO,4,Week 16,Week 16
234,2574,2,Yes,NO,4,Week 16,Week 16
234,3633,2,Yes,NO,4,Week 16,Week 16
234,5358,3,No,NO,4,Week 16,Week 16
234,5469,3,No,NO,4,Week 16,Week 16
234,5888,3,No,NO,3,Week 16,Week 16
237,1607,1,Yes,NO,4,Week 16,Week 16
237,1640,3,No,NO,4,Week 16,Week 16
237,1684,3,No,NO,3,Week 16,Week 16
237,1769,2,Yes,NO,4,Week 16,Week 16
237,1792,3,No,NO,4,Week 16,Week 16
237,2049,1,Yes,YES,4,Week 16,Week 16
237,2129,3,No,NO,4,Week 16,Week 16
237,2230,2,Yes,NO,4,Week 16,Week 16
237,4348,3,No,NO,4,Week 16,Week 16
237,5470,3,No,NO,4,Week 16,Week 16
284,1736,2,Yes,NO,4,Week 16,Week 16
284,1741,1,Yes,NO,4,Week 16,Week 16
284,1860,1,Yes,NO,4,Week 16,Week 16
284,2041,2,Yes,NO,4,Week 16,Week 16
284,2555,2,Yes,NO,4,Week 16,Week 16
284,3802,1,Yes,NO,4,Week 16,Week 16
284,5039,1,Yes,NO,4,Week 16,Week 16
284,5436,2,Yes,NO,4,Week 16,Week 16
284,5795,2,Yes,NO,4,Week 16,Week 16
285,1715,3,No,NO,3,Week 16,Week 16
285,1890,2,Yes,NO,4,Week 16,Week 16
285,2272,3,No,NO,4,Week 16,Week 16
285,2419,2,Yes,NO,4,Week 16,Week 16
285,2460,2,Yes,NO,4,Week 16,Week 16
285,2514,3,No,NO,4,Week 16,Week 16
285,2560,1,Yes,NO,4,Week 16,Week 16
285,2791,2,Yes,NO,4,Week 16,Week 16
285,2931,2,Yes,NO,4,Week 16,Week 16
285,3843,2,Yes,NO,4,Week 16,Week 16
285,4378,3,No,NO,4,Week 16,Week 16
558,1807,2,Yes,NO,4,Week 16,Week 16
558,1869,2,Yes,NO,4,Week 16,Week 16
558,2040,2,Yes,YES,4,Week 16,Week 16
558,2841,2,Yes,NO,4,Week 16,Week 16
558,2871,2,Yes,YES,4,Week 16,Week 16
558,3422,2,Yes,YES,4,Week 16,Week 16
558,4456,2,Yes,YES,4,Week 16,Week 16
558,5047,2,Yes,NO,4,Week 16,Week 16
558,5340,2,Yes,NO,4,Week 16,Week 16
558,5944,3,No,NO,3,Week 16,Week 16
298,1132,1,Yes,YES,4,Week 16,Week 16
298,1498,3,No,NO,4,Week 16,Week 16
298,1558,2,Yes,NO,4,Week 16,Week 16
298,1842,1,Yes,NO,4,Week 16,Week 16
298,2704,3,No,NO,4,Week 16,Week 16
298,3304,2,Yes,NO,4,Week 16,Week 16
298,3305,3,No,NO,4,Week 16,Week 16
298,3658,2,Yes,NO,4,Week 16,Week 16
298,5320,2,Yes,NO,4,Week 16,Week 16
315,1335,3,No,NO,4,Week 16,Week 16
315,1344,2,Yes,NO,4,Week 16,Week 16
315,1350,2,Yes,NO,4,Week 16,Week 16
315,1726,2,Yes,NO,4,Week 16,Week 16
315,1780,2,Yes,NO,4,Week 16,Week 16
315,2565,3,No,NO,4,Week 16,Week 16
315,2807,3,No,NO,4,Week 16,Week 16
315,4682,2,Yes,NO,4,Week 16,Week 16
315,4697,3,No,NO,4,Week 16,Week 16
315,5117,2,Yes,NO,4,Week 16,Week 16
320,1522,2,Yes,YES,4,Week 16,Week 16
320,1544,1,Yes,YES,4,Week 16,Week 16
320,1653,3,No,NO,3,Week 16,Week 16
320,1714,2,Yes,YES,4,Week 16,Week 16
320,2027,1,Yes,YES,4,Week 16,Week 16
320,2083,2,Yes,YES,4,Week 16,Week 16
320,2474,3,No,NO,4,Week 16,Week 16
320,2696,3,No,NO,3,Week 16,Week 16
320,2809,3,No,NO,4,Week 16,Week 16
320,2833,3,No,NO,3,Week 16,Week 16
320,2894,3,No,NO,4,Week 16,Week 16
320,3215,2,Yes,YES,4,Week 16,Week 16
320,4372,3,No,NO,3,Week 16,Week 16
197,1790,2,Yes,YES,4,Week 16,Week 16
197,2631,1,Yes,YES,4,Week 16,Week 16
197,2872,2,Yes,YES,4,Week 16,Week 16
197,2912,1,Yes,YES,4,Week 16,Week 16
197,3336,2,Yes,NO,4,Week 16,Week 16
197,3476,2,Yes,YES,4,Week 16,Week 16
197,4383,1,Yes,YES,4,Week 16,Week 16
197,5761,2,Yes,NO,4,Week 16,Week 16
197,5842,1,Yes,YES,4,Week 16,Week 16
200,1791,3,No,NO,3,Week 16,Week 16
200,1923,2,Yes,NO,4,Week 16,Week 16
200,1942,2,Yes,NO,4,Week 16,Week 16
200,2102,3,No,NO,4,Week 16,Week 16
200,2238,2,Yes,NO,4,Week 16,Week 16
200,2493,2,Yes,NO,4,Week 16,Week 16
200,2567,2,Yes,NO,4,Week 16,Week 16
200,3328,2,Yes,NO,4,Week 16,Week 16
200,3453,2,Yes,YES,4,Week 16,Week 16
200,3458,3,No,NO,3,Week 16,Week 16
200,3876,3,No,NO,4,Week 16,Week 16
200,5386,3,No,NO,3,Week 16,Week 16
201,1540,3,No,NO,4,Week 16,Week 16
201,2010,2,Yes,NO,4,Week 16,Week 16
201,2061,3,No,NO,4,Week 16,Week 16
201,2062,2,Yes,NO,4,Week 16,Week 16
201,2678,1,Yes,YES,4,Week 16,Week 16
201,3436,2,Yes,YES,4,Week 16,Week 16
201,4439,3,No,NO,3,Week 16,Week 16
201,5064,3,No,NO,4,Week 16,Week 16
201,5065,3,No,NO,4,Week 16,Week 16
201,5280,3,No,NO,4,Week 16,Week 16
202,1593,2,Yes,NO,4,Week 16,Week 16
202,1642,3,No,NO,4,Week 16,Week 16
202,1771,3,No,NO,4,Week 16,Week 16
202,1809,2,Yes,NO,4,Week 16,Week 16
202,1836,2,Yes,NO,4,Week 16,Week 16
202,2080,2,Yes,YES,4,Week 16,Week 16
202,2620,3,No,NO,4,Week 16,Week 16
202,3791,3,No,NO,3,Week 16,Week 16
202,5160,1,Yes,YES,4,Week 16,Week 16
202,5411,3,No,NO,3,Week 16,Week 16
202,5472,2,Yes,YES,4,Week 16,Week 16
203,1423,3,No,NO,4,Week 16,Week 16
203,1733,2,Yes,NO,4,Week 16,Week 16
203,1754,2,Yes,YES,4,Week 16,Week 16
203,2618,2,Yes,NO,4,Week 16,Week 16
203,2700,2,Yes,NO,4,Week 16,Week 16
203,2866,3,No,NO,3,Week 16,Week 16
203,2867,2,Yes,NO,4,Week 16,Week 16
203,2869,1,Yes,NO,4,Week 16,Week 16
203,4540,3,No,NO,4,Week 16,Week 16
203,5048,2,Yes,YES,4,Week 16,Week 16
203,5893,3,No,NO,4,Week 16,Week 16
204,1422,3,No,NO,4,Week 16,Week 16
204,1428,1,Yes,YES,4,Week 16,Week 16
204,1432,2,Yes,YES,4,Week 16,Week 16
204,1719,2,Yes,YES,4,Week 16,Week 16
204,1752,2,Yes,YES,4,Week 16,Week 16
204,2014,2,Yes,YES,4,Week 16,Week 16
204,2619,2,Yes,YES,4,Week 16,Week 16
204,2644,2,Yes,YES,4,Week 16,Week 16
204,5097,2,Yes,YES,4,Week 16,Week 16
204,5159,2,Yes,YES,4,Week 16,Week 16
204,5376,3,No,NO,4,Week 16,Week 16
205,1592,3,No,NO,4,Week 16,Week 16
205,1611,1,Yes,YES,4,Week 16,Week 16
205,1798,3,No,NO,4,Week 16,Week 16
205,1928,2,Yes,YES,4,Week 16,Week 16
205,1987,2,Yes,NO,4,Week 16,Week 16
205,2273,2,Yes,NO,4,Week 16,Week 16
205,2354,2,Yes,NO,4,Week 16,Week 16
205,2693,2,Yes,NO,4,Week 16,Week 16
205,3632,3,No,NO,4,Week 16,Week 16
205,3726,1,Yes,YES,4,Week 16,Week 16
205,4243,1,Yes,NO,4,Week 16,Week 16
206,2558,2,Yes,NO,4,Week 16,Week 16
206,2559,1,Yes,NO,4,Week 16,Week 16
206,2692,1,Yes,NO,4,Week 16,Week 16
206,2873,2,Yes,NO,4,Week 16,Week 16
206,2959,1,Yes,YES,4,Week 16,Week 16
206,3487,2,Yes,NO,4,Week 16,Week 16
206,4424,1,Yes,YES,4,Week 16,Week 16
206,4660,2,Yes,NO,4,Week 16,Week 16
206,5844,1,Yes,YES,4,Week 16,Week 16
207,1416,3,No,NO,3,Week 16,Week 16
207,1913,2,Yes,NO,4,Week 16,Week 16
207,2191,3,No,NO,4,Week 16,Week 16
207,2350,2,Yes,NO,4,Week 16,Week 16
207,3445,2,Yes,YES,4,Week 16,Week 16
207,4479,2,Yes,NO,4,Week 16,Week 16
207,5028,2,Yes,YES,4,Week 16,Week 16
207,5029,2,Yes,YES,4,Week 16,Week 16
207,5030,2,Yes,YES,4,Week 16,Week 16
207,5385,2,Yes,NO,4,Week 16,Week 16
213,1429,2,Yes,YES,4,Week 16,Week 16
213,1445,3,No,NO,4,Week 16,Week 16
213,1448,2,Yes,YES,4,Week 16,Week 16
213,1539,2,Yes,YES,4,Week 16,Week 16
213,1622,2,Yes,NO,4,Week 16,Week 16
213,1628,2,Yes,YES,4,Week 16,Week 16
213,1986,2,Yes,YES,4,Week 16,Week 16
213,2613,3,No,NO,3,Week 16,Week 16
213,3809,3,No,NO,3,Week 16,Week 16
213,5309,3,No,NO,4,Week 16,Week 16
213,5471,2,Yes,NO,4,Week 16,Week 16
238,1479,2,Yes,NO,4,Week 16,Week 16
238,1487,2,Yes,YES,4,Week 16,Week 16
238,1576,1,Yes,YES,4,Week 16,Week 16
238,1618,2,Yes,YES,4,Week 16,Week 16
238,2276,2,Yes,NO,4,Week 16,Week 16
238,2544,1,Yes,NO,4,Week 16,Week 16
238,2817,2,Yes,YES,4,Week 16,Week 16
238,2818,1,Yes,YES,4,Week 16,Week 16
238,4631,1,Yes,YES,4,Week 16,Week 16
229,1568,1,Yes,NO,4,Week 16,Week 16
229,1770,2,Yes,YES,4,Week 16,Week 16
229,1820,3,No,NO,4,Week 16,Week 16
229,1883,2,Yes,YES,4,Week 16,Week 16
229,1885,2,Yes,NO,4,Week 16,Week 16
229,2008,3,No,NO,3,Week 16,Week 16
229,2287,2,Yes,NO,4,Week 16,Week 16
229,2540,3,No,NO,4,Week 16,Week 16
229,2603,3,No,NO,3,Week 16,Week 16
229,3223,2,Yes,NO,4,Week 16,Week 16
229,4643,3,No,NO,4,Week 16,Week 16
222,1264,2,Yes,NO,4,Week 16,Week 16
222,1330,2,Yes,YES,4,Week 16,Week 16
222,1333,3,No,NO,4,Week 16,Week 16
222,1433,2,Yes,YES,4,Week 16,Week 16
222,1718,2,Yes,NO,4,Week 16,Week 16
222,1750,2,Yes,YES,4,Week 16,Week 16
222,2542,3,No,NO,2,Week 16,Week 16
222,3206,2,Yes,YES,4,Week 16,Week 16
222,3300,3,No,NO,4,Week 16,Week 16
222,3840,2,Yes,YES,4,Week 16,Week 16
222,5355,3,No,NO,3,Week 16,Week 16
269,1228,2,Yes,YES,4,Week 16,Week 16
269,1404,3,No,NO,4,Week 16,Week 16
269,1489,3,No,NO,3,Week 16,Week 16
269,1668,2,Yes,YES,4,Week 16,Week 16
269,1735,2,Yes,NO,4,Week 16,Week 16
269,3891,1,Yes,YES,4,Week 16,Week 16
269,3893,2,Yes,YES,4,Week 16,Week 16
269,5199,2,Yes,YES,4,Week 16,Week 16
269,5276,3,No,NO,3,Week 16,Week 16
335,9,2,Yes,YES,4,Week 16,Week 16
335,19,1,Yes,NO,4,Week 16,Week 16
335,30,3,No,NO,4,Week 16,Week 16
335,37,2,Yes,NO,4,Week 16,Week 16
335,69,2,Yes,YES,4,Week 16,Week 16
335,82,3,No,NO,3,Week 16,Week 16
335,95,2,Yes,NO,4,Week 16,Week 16
335,122,3,No,NO,4,Week 16,Week 16
335,152,3,No,NO,4,Week 16,Week 16
335,188,1,Yes,YES,4,Week 16,Week 16
335,337,3,No,NO,3,Week 16,Week 16
580,492,2,Yes,YES,4,Week 16,Week 16
580,566,3,No,NO,4,Week 16,Week 16
580,617,3,No,NO,3,Week 16,Week 16
580,870,2,Yes,NO,4,Week 16,Week 16
580,1002,3,No,NO,4,Week 16,Week 16
580,1026,2,Yes,NO,4,Week 16,Week 16
580,1162,2,Yes,NO,4,Week 16,Week 16
580,1371,2,Yes,NO,4,Week 16,Week 16
580,1783,2,Yes,NO,4,Week 16,Week 16
580,2563,3,No,NO,3,Week 16,Week 16
580,4216,2,Yes,NO,4,Week 16,Week 16
440,1366,3,No,NO,3,Week 16,Week 16
440,1453,1,Yes,YES,4,Week 16,Week 16
440,1908,2,Yes,NO,4,Week 16,Week 16
440,1931,2,Yes,NO,4,Week 16,Week 16
440,2127,2,Yes,YES,4,Week 16,Week 16
440,2271,2,Yes,NO,4,Week 16,Week 16
440,2510,3,No,NO,4,Week 16,Week 16
440,2813,2,Yes,NO,4,Week 16,Week 16
440,3268,3,No,NO,4,Week 16,Week 16
440,3643,3,No,NO,3,Week 16,Week 16
440,5090,2,Yes,NO,4,Week 16,Week 16
26,575,2,Yes,NO,4,Week 16,Week 16
26,618,2,Yes,NO,4,Week 16,Week 16
26,937,2,Yes,NO,4,Week 16,Week 16
26,1181,2,Yes,NO,4,Week 16,Week 16
26,1586,2,Yes,NO,4,Week 16,Week 16
26,3403,1,Yes,NO,4,Week 16,Week 16
26,3471,2,Yes,NO,4,Week 16,Week 16
26,3611,2,Yes,NO,4,Week 16,Week 16
26,3748,2,Yes,NO,4,Week 16,Week 16
26,5275,1,Yes,NO,4,Week 16,Week 16
26,5390,1,Yes,YES,4,Week 16,Week 16
98,928,1,Yes,YES,4,Week 16,Week 16
98,977,3,No,NO,3,Week 16,Week 16
98,1082,2,Yes,YES,4,Week 16,Week 16
98,1172,2,Yes,YES,4,Week 16,Week 16
98,1173,2,Yes,NO,4,Week 16,Week 16
98,1444,2,Yes,NO,4,Week 16,Week 16
98,3309,2,Yes,YES,4,Week 16,Week 16
98,3702,1,Yes,YES,4,Week 16,Week 16
98,4444,2,Yes,YES,4,Week 16,Week 16
98,5037,2,Yes,YES,4,Week 16,Week 16
98,5054,2,Yes,NO,4,Week 16,Week 16
90,817,1,Yes,NO,4,Week 16,Week 16
90,908,1,Yes,NO,4,Week 16,Week 16
90,1086,1,Yes,NO,4,Week 16,Week 16
90,1220,1,Yes,NO,4,Week 16,Week 16
90,2881,1,Yes,NO,4,Week 16,Week 16
90,4332,1,Yes,NO,4,Week 16,Week 16
90,4365,2,Yes,NO,4,Week 16,Week 16
90,5214,1,Yes,NO,4,Week 16,Week 16
90,5250,1,Yes,NO,4,Week 16,Week 16
90,5420,1,Yes,YES,4,Week 16,Week 16
91,890,1,Yes,YES,4,Week 16,Week 16
91,943,1,Yes,NO,4,Week 16,Week 16
91,955,1,Yes,NO,4,Week 16,Week 16
91,1084,2,Yes,NO,4,Week 16,Week 16
91,1374,2,Yes,NO,4,Week 16,Week 16
91,3782,1,Yes,NO,4,Week 16,Week 16
91,4588,2,Yes,NO,4,Week 16,Week 16
91,5871,3,No,NO,3,Week 16,Week 16
91,5894,3,No,NO,4,Week 16,Week 16
92,174,2,Yes,NO,4,Week 16,Week 16
92,649,2,Yes,NO,4,Week 16,Week 16
92,771,2,Yes,NO,4,Week 16,Week 16
92,931,2,Yes,NO,4,Week 16,Week 16
92,956,3,No,NO,3,Week 16,Week 16
92,973,1,Yes,NO,4,Week 16,Week 16
92,974,2,Yes,NO,4,Week 16,Week 16
92,1068,2,Yes,NO,4,Week 16,Week 16
92,1702,2,Yes,NO,4,Week 16,Week 16
92,3538,2,Yes,NO,4,Week 16,Week 16
92,5455,1,Yes,NO,4,Week 16,Week 16
105,819,1,Yes,YES,4,Week 16,Week 16
105,987,2,Yes,YES,4,Week 16,Week 16
105,1119,3,No,NO,4,Week 16,Week 16
105,1957,3,No,NO,4,Week 16,Week 16
105,3417,2,Yes,YES,4,Week 16,Week 16
105,4063,3,No,NO,4,Week 16,Week 16
105,5034,1,Yes,YES,4,Week 16,Week 16
105,5055,2,Yes,YES,4,Week 16,Week 16
105,5347,2,Yes,YES,4,Week 16,Week 16
105,5391,1,Yes,YES,4,Week 16,Week 16
107,814,2,Yes,NO,4,Week 16,Week 16
107,929,2,Yes,NO,4,Week 16,Week 16
107,1087,1,Yes,NO,4,Week 16,Week 16
107,1436,2,Yes,NO,4,Week 16,Week 16
107,1541,1,Yes,YES,4,Week 16,Week 16
107,2176,2,Yes,NO,4,Week 16,Week 16
107,3348,2,Yes,NO,4,Week 16,Week 16
107,3527,2,Yes,NO,4,Week 16,Week 16
107,4260,2,Yes,NO,4,Week 16,Week 16
107,4446,2,Yes,NO,4,Week 16,Week 16
107,5301,1,Yes,YES,4,Week 16,Week 16
108,1387,2,Yes,YES,4,Week 16,Week 16
108,1398,2,Yes,NO,4,Week 16,Week 16
108,1517,2,Yes,NO,4,Week 16,Week 16
108,1589,2,Yes,NO,4,Week 16,Week 16
108,1916,2,Yes,NO,4,Week 16,Week 16
108,2789,2,Yes,YES,4,Week 16,Week 16
108,2962,1,Yes,NO,4,Week 16,Week 16
108,2963,2,Yes,NO,4,Week 16,Week 16
108,3858,3,No,NO,4,Week 16,Week 16
108,5882,2,Yes,YES,4,Week 16,Week 16
108,5911,3,No,NO,3,Week 16,Week 16
109,1349,1,Yes,NO,4,Week 16,Week 16
109,1845,2,Yes,NO,4,Week 16,Week 16
109,1851,2,Yes,NO,4,Week 16,Week 16
109,2151,1,Yes,NO,4,Week 16,Week 16
109,2591,1,Yes,YES,4,Week 16,Week 16
109,2946,1,Yes,NO,4,Week 16,Week 16
109,2987,1,Yes,NO,4,Week 16,Week 16
109,3625,2,Yes,NO,4,Week 16,Week 16
109,5325,2,Yes,NO,4,Week 16,Week 16
109,5932,2,Yes,NO,4,Week 16,Week 16
110,1680,1,Yes,YES,4,Week 16,Week 16
110,2091,1,Yes,YES,4,Week 16,Week 16
110,2727,1,Yes,YES,4,Week 16,Week 16
110,2814,1,Yes,YES,4,Week 16,Week 16
110,4161,2,Yes,YES,4,Week 16,Week 16
110,4303,1,Yes,YES,4,Week 16,Week 16
110,5671,2,Yes,YES,4,Week 16,Week 16
110,5854,1,Yes,YES,4,Week 16,Week 16
110,5912,3,No,NO,4,Week 16,Week 16
110,6397,1,Yes,YES,4,Week 16,Week 16
115,528,2,Yes,NO,4,Week 16,Week 16
115,769,2,Yes,NO,4,Week 16,Week 16
115,1004,1,Yes,NO,4,Week 16,Week 16
115,1171,2,Yes,NO,4,Week 16,Week 16
115,2459,2,Yes,YES,4,Week 16,Week 16
115,3370,2,Yes,YES,4,Week 16,Week 16
115,3474,2,Yes,NO,4,Week 16,Week 16
115,5264,2,Yes,NO,4,Week 16,Week 16
115,5727,2,Yes,NO,4,Week 16,Week 16
116,580,2,Yes,NO,4,Week 16,Week 16
116,666,2,Yes,YES,4,Week 16,Week 16
116,718,1,Yes,YES,4,Week 16,Week 16
116,725,1,Yes,NO,4,Week 16,Week 16
116,759,3,No,NO,3,Week 16,Week 16
116,859,2,Yes,NO,4,Week 16,Week 16
116,968,1,Yes,NO,4,Week 16,Week 16
116,3347,2,Yes,NO,4,Week 16,Week 16
116,3887,2,Yes,NO,4,Week 16,Week 16
116,5035,2,Yes,NO,4,Week 16,Week 16
118,623,1,Yes,NO,4,Week 16,Week 16
118,721,2,Yes,NO,4,Week 16,Week 16
118,778,2,Yes,NO,4,Week 16,Week 16
118,811,2,Yes,NO,4,Week 16,Week 16
118,1874,3,No,NO,4,Week 16,Week 16
118,2237,1,Yes,YES,4,Week 16,Week 16
118,2484,2,Yes,NO,4,Week 16,Week 16
118,3349,2,Yes,NO,4,Week 16,Week 16
118,3387,2,Yes,NO,4,Week 16,Week 16
118,6190,2,Yes,YES,4,Week 16,Week 16
553,1511,2,Yes,NO,4,Week 16,Week 16
553,1590,1,Yes,YES,4,Week 16,Week 16
553,1996,1,Yes,NO,4,Week 16,Week 16
553,3163,1,Yes,NO,4,Week 16,Week 16
553,3235,1,Yes,YES,4,Week 16,Week 16
553,3311,2,Yes,NO,4,Week 16,Week 16
553,3397,2,Yes,NO,4,Week 16,Week 16
146,64,3,No,NO,3,Week 16,Week 16
146,93,2,Yes,NO,4,Week 16,Week 16
146,97,3,No,NO,3,Week 16,Week 16
146,104,3,No,NO,4,Week 16,Week 16
146,106,3,No,NO,3,Week 16,Week 16
146,107,3,No,NO,4,Week 16,Week 16
146,120,3,No,NO,4,Week 16,Week 16
146,177,2,Yes,YES,4,Week 16,Week 16
146,335,2,Yes,YES,4,Week 16,Week 16
146,410,2,Yes,NO,4,Week 16,Week 16
146,675,3,No,NO,4,Week 16,Week 16
146,677,2,Yes,YES,4,Week 16,Week 16
151,308,2,Yes,NO,4,Week 16,Week 16
151,406,2,Yes,NO,4,Week 16,Week 16
151,416,2,Yes,NO,4,Week 16,Week 16
151,656,2,Yes,NO,4,Week 16,Week 16
151,667,3,No,NO,4,Week 16,Week 16
151,668,2,Yes,NO,4,Week 16,Week 16
151,682,1,Yes,NO,4,Week 16,Week 16
151,735,2,Yes,NO,4,Week 16,Week 16
151,737,3,No,NO,4,Week 16,Week 16
151,2757,2,Yes,NO,4,Week 16,Week 16
151,5057,2,Yes,YES,4,Week 16,Week 16
97,488,3,No,NO,3,Week 16,Week 16
97,858,3,No,NO,2,Week 16,Week 16
97,1077,2,Yes,YES,4,Week 16,Week 16
97,1223,2,Yes,YES,4,Week 16,Week 16
97,1375,2,Yes,YES,4,Week 16,Week 16
97,1408,2,Yes,NO,4,Week 16,Week 16
97,3307,2,Yes,NO,4,Week 16,Week 16
97,4427,3,No,NO,4,Week 16,Week 16
97,4520,2,Yes,NO,4,Week 16,Week 16
97,5172,3,No,NO,3,Week 16,Week 16
97,5422,2,Yes,NO,4,Week 16,Week 16
127,87,2,Yes,NO,4,Week 16,Week 16
127,116,3,No,NO,2,Week 16,Week 16
127,278,2,Yes,NO,4,Week 16,Week 16
127,323,3,No,NO,3,Week 16,Week 16
127,376,1,Yes,YES,4,Week 16,Week 16
127,448,2,Yes,YES,4,Week 16,Week 16
127,450,2,Yes,YES,4,Week 16,Week 16
127,876,3,No,NO,3,Week 16,Week 16
