Club #,coverage supplier,cov supplier item,mabd,shipping type,club action
4839,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6238,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6342,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8263,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
4731,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6267,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
7189,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8117,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6779,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8241,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8289,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
4761,Prairie Farms,MM,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
8239,DFA,MM,6/18/2025,pallet,sell thru old item- print signs -return tray program
6512,MDVA,MM,6/23/2025,pallet,sell thru old item numbers - print signs
8224,DFA,MM,6/18/2025,pallet,sell thru old item- print signs -return tray program
6422,Prairie Farms,MM,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
8284,Prairie Farms,MM,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
8295,Prairie Farms,HILAND,6/18/2025,crates,SELL THRU CURRENT ITEM - PRINT NEW SIGN - RETURN CRATES
6202,Prairie Farms,MM,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
8275,Prairie Farms,MM,6/18/2025,pallet,SELL THRU CURRENT ITEM - PRINT NEW SIGN
6324,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6331,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8164,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8167,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6436,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8185,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6321,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
6535,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
8149,DFA,OAK GROVE,6/18/2025,pallet,sell thru old item- print signs -return tray program
