Campus,Room Name,Location,Capacity,Floor
Los Angeles,GT-J4-2A-C02-Alhambra,J4-2A-C02,6,Jandy 2nd Floor
Los Angeles,GT-J4-2A-C12-Beverly Hills,J4-2A-C12,4,Jandy 2nd Floor
Bellevue,GEC-BL-13fl-Orcas,,5,13th Floor
Bellevue,GEC-BL-13fl-Lopez,,3,13th Floor
Bellevue,GEC-BL-13fl-Whidbey,,14,13th Floor
Bellevue,GEC-BL-13fl-San Juan,,4,13th Floor
Bellevue,GEC-BL-13fl-Bainbridge,,5,13th Floor
Bellevue,GEC-BL-13fl-Vashon,,2,13th Floor
Bellevue,GEC-BL-13fl-Camano,,8,13th Floor
Carlsbad,Mission,R01,3,
Carlsbad,CARDIFF,R02,4,
Carlsbad,SOLANA,R03,4,
Carlsbad,LEUCADIA,R07,3,
Carlsbad,TORREY PINES,R08,3,
Carlsbad,LA JOLLA SHORES,R06,9,
Carlsbad,DEL MAR,R05,9,
Carlsbad,CORONADO,R04,9,
Carlsbad,Moonlight,R09,4,
Carlsbad,Ponto,R10,5,
Carlsbad,SWAMI'S,R11,2,
Carlsbad,PACIFIC BEACH,R12,4,
Carlsbad,Ocean Beach,R13,3,
Carlsbad,TAMARACK,R14,28,
