Store Number,Event 1 Total Pallets,Event 2 Total Pallets
3370,53,124
3799,59,124
4102,47,124
4103,56,124
4262,61,124
4399,44,124
5055,59,124
5080,54,124
5090,51,124
5144,55,124
5254,49,124
5270,62,124
5488,59,124
5745,52,124
30,47,123
52,61,123
86,58,123
134,56,123
175,48,123
389,51,123
465,53,123
559,63,123
562,51,123
765,63,123
980,57,123
992,58,123
1028,57,123
1101,55,123
1217,51,123
1225,58,123
1232,54,123
1342,51,123
1377,54,123
1381,52,123
1441,51,123
1515,50,123
1593,50,123
1602,48,123
1726,55,123
1734,50,123
1784,52,123
1805,64,123
1887,51,123
1955,60,123
2230,55,123
2453,47,123
2483,57,123
2545,50,123
2605,54,123
2626,52,123
2653,45,123
2796,59,123
2834,54,123
2842,58,123
3301,58,123
3432,48,123
3474,57,123
3537,56,123
3562,58,123
3731,64,123
4132,61,123
4272,51,123
4330,57,123
4332,70,123
4420,48,123
4460,62,123
5105,56,123
5140,64,123
5710,59,123
5728,49,123
6931,49,123
7301,63,123
24,43,122
213,49,122
239,44,122
306,52,122
308,57,122
336,51,122
391,53,122
690,60,122
761,57,122
879,58,122
927,54,122
973,53,122
1090,47,122
1182,52,122
1327,49,122
1396,47,122
1449,54,122
1491,49,122
1561,60,122
1570,52,122
1668,53,122
1700,49,122
1915,57,122
1931,49,122
1986,54,122
2002,59,122
2024,45,122
2110,55,122
2122,52,122
2149,59,122
2238,45,122
2355,51,122
2434,54,122
2472,56,122
2526,64,122
2543,55,122
2656,54,122
2730,45,122
2809,47,122
2827,52,122
2841,54,122
2951,60,122
3112,54,122
3205,48,122
3300,54,122
3477,53,122
3486,58,122
3589,57,122
3861,61,122
3891,58,122
4194,48,122
4497,48,122
4503,67,122
4509,54,122
5101,48,122
5483,50,122
5491,51,122
5497,53,122
5858,53,122
22,53,121
87,50,121
238,57,121
379,52,121
394,53,121
403,54,121
406,55,121
412,50,121
778,57,121
812,64,121
857,60,121
878,54,121
889,52,121
907,51,121
1009,57,121
1024,50,121
1064,57,121
1165,51,121
1185,56,121
1359,53,121
1401,55,121
1406,54,121
1538,56,121
1558,51,121
1590,68,121
1627,61,121
1634,54,121
1652,44,121
1743,53,121
1753,57,121
1883,44,121
1911,57,121
1971,52,121
1979,47,121
2055,51,121
2112,58,121
2194,64,121
2403,67,121
2464,54,121
2716,53,121
2808,54,121
2825,51,121
3366,51,121
3439,54,121
3443,55,121
4049,52,121
4240,50,121
4257,52,121
4404,51,121
4594,49,121
4616,50,121
5126,53,121
5175,58,121
5220,54,121
5334,55,121
47,50,120
93,47,120
121,42,120
158,46,120
248,44,120
733,57,120
839,54,120
995,55,120
1111,52,120
1172,55,120
1200,55,120
1283,48,120
1309,61,120
1326,51,120
1355,54,120
1427,58,120
1448,71,120
1485,60,120
1499,53,120
1503,63,120
1628,54,120
1792,45,120
1923,51,120
1977,62,120
1985,56,120
2151,60,120
2227,52,120
2309,57,120
2323,56,120
2508,60,120
2529,60,120
2567,54,120
2679,59,120
2778,52,120
2964,55,120
3239,53,120
3511,53,120
3526,50,120
3624,55,120
3640,56,120
3730,57,120
3784,53,120
3868,51,120
4064,54,120
4216,52,120
5131,57,120
5150,61,120
5391,47,120
5418,59,120
5460,58,120
5672,47,120
5703,54,120
6789,57,120
114,51,119
137,57,119
450,47,119
572,46,119
579,59,119
663,56,119
676,59,119
1076,52,119
1088,52,119
1173,55,119
1237,55,119
1299,55,119
1420,53,119
1507,51,119
1719,49,119
1775,55,119
1777,52,119
1811,53,119
1864,55,119
1988,55,119
2074,55,119
2158,58,119
2257,58,119
2663,47,119
2723,48,119
2862,49,119
2889,48,119
2948,60,119
2965,54,119
3081,55,119
3208,47,119
3282,49,119
3304,56,119
3328,56,119
3471,56,119
3480,46,119
3543,58,119
3602,54,119
3843,60,119
4115,58,119
4187,57,119
5063,51,119
5076,63,119
5117,50,119
5186,51,119
5317,54,119
5409,55,119
5823,57,119
5938,53,119
6467,59,119
7178,56,119
319,58,118
374,55,118
435,44,118
490,55,118
540,54,118
723,51,118
1079,57,118
1082,55,118
1089,63,118
1130,48,118
1325,54,118
1378,52,118
1431,49,118
1462,48,118
1463,53,118
1468,49,118
1531,57,118
1573,50,118
1605,58,118
1819,53,118
2125,64,118
2213,53,118
2308,51,118
2341,55,118
2458,54,118
2480,50,118
2533,49,118
2990,50,118
3206,50,118
3267,50,118
3379,50,118
3386,45,118
3427,49,118
3487,55,118
3513,54,118
3601,54,118
4065,52,118
4200,54,118
4285,56,118
4477,51,118
5056,53,118
5123,50,118
5261,46,118
5632,52,118
6173,52,118
174,54,117
182,64,117
211,46,117
237,52,117
343,49,117
361,49,117
600,51,117
621,47,117
835,61,117
