Store ,Market ,Store Type,Launch Date 
2477,468,WM Supercenter,TBD
2479,459,WM Supercenter,TBD
2486,512,Neighborhood Market,TBD
2487,515,Neighborhood Market,TBD
2492,475,WM Supercenter,TBD
2494,460,WM Supercenter,TBD
2495,466,Wal-Mart,TBD
2507,447,Wal-Mart,TBD
2516,514,WM Supercenter,TBD
2517,466,WM Supercenter,TBD
2523,464,Wal-Mart,TBD
2526,446,WM Supercenter,TBD
2527,460,Wal-Mart,TBD
2536,581,Wal-Mart,TBD
2537,457,WM Supercenter,TBD
2538,478,Wal-Mart,TBD
2539,474,WM Supercenter,TBD
2546,464,Wal-Mart,TBD
2549,474,WM Supercenter,TBD
2550,476,WM Supercenter,TBD
2553,457,Wal-Mart,TBD
2556,447,Wal-Mart,TBD
2557,447,WM Supercenter,TBD
2568,446,Wal-Mart,TBD
2571,514,Wal-Mart,TBD
2590,550,Neighborhood Market,TBD
2594,471,Wal-Mart,TBD
2595,471,WM Supercenter,TBD
2596,471,WM Supercenter,TBD
2598,453,Wal-Mart,TBD
2609,465,WM Supercenter,TBD
2621,446,Wal-Mart,TBD
2636,466,Wal-Mart,TBD
2648,511,Wal-Mart,TBD
2689,512,Neighborhood Market,TBD
2697,452,WM Supercenter,TBD
2708,460,WM Supercenter,TBD
2710,469,Wal-Mart,TBD
2711,469,Wal-Mart,TBD
2722,469,WM Supercenter,TBD
2735,454,WM Supercenter,TBD
2826,515,Neighborhood Market,TBD
2842,461,WM Supercenter,TBD
2865,474,Wal-Mart,TBD
2886,484,WM Supercenter,TBD
2925,452,WM Supercenter,TBD
2927,476,WM Supercenter,TBD
2947,476,Wal-Mart,TBD
2948,484,WM Supercenter,TBD
2950,448,WM Supercenter,TBD
2951,448,WM Supercenter,TBD
2952,460,Wal-Mart,TBD
2985,449,WM Supercenter,TBD
2989,511,Wal-Mart,TBD
2998,515,Neighborhood Market,TBD
3022,552,Neighborhood Market,TBD
3023,512,Neighborhood Market,TBD
3026,515,Neighborhood Market,TBD
3046,512,Neighborhood Market,TBD
3047,512,Neighborhood Market,TBD
3050,550,Neighborhood Market,TBD
3053,471,WM Supercenter,TBD
3081,454,WM Supercenter,TBD
3084,551,Neighborhood Market,TBD
3087,446,Wal-Mart,TBD
3090,552,Neighborhood Market,TBD
3098,550,Neighborhood Market,TBD
3099,551,Neighborhood Market,TBD
3101,551,Neighborhood Market,TBD
3123,512,Neighborhood Market,TBD
3131,515,Neighborhood Market,TBD
3132,515,Neighborhood Market,TBD
3133,515,Neighborhood Market,TBD
3138,481,Neighborhood Market,TBD
3139,481,Neighborhood Market,TBD
3140,481,Neighborhood Market,TBD
3141,481,Neighborhood Market,TBD
3144,550,Neighborhood Market,TBD
3145,550,Neighborhood Market,TBD
3146,550,Neighborhood Market,TBD
3147,481,Neighborhood Market,TBD
3178,550,Neighborhood Market,TBD
3179,481,Neighborhood Market,TBD
3180,446,WM Supercenter,TBD
3217,473,WM Supercenter,TBD
3218,467,WM Supercenter,TBD
3239,478,WM Supercenter,TBD
3248,464,WM Supercenter,TBD
3258,478,WM Supercenter,TBD
3260,473,WM Supercenter,TBD
3261,475,WM Supercenter,TBD
3276,445,Wal-Mart,TBD
3290,470,Wal-Mart,TBD
3352,452,WM Supercenter,TBD
3380,475,WM Supercenter,TBD
3455,452,Wal-Mart,TBD
3464,462,WM Supercenter,TBD
3477,465,WM Supercenter,TBD
3478,470,Wal-Mart,TBD
3493,452,Wal-Mart,TBD
3494,459,Wal-Mart,TBD
3516,458,WM Supercenter,TBD
3522,484,WM Supercenter,TBD
3523,448,WM Supercenter,TBD
3525,514,WM Supercenter,TBD
3531,467,WM Supercenter,TBD
3537,467,WM Supercenter,TBD
3587,455,WM Supercenter,TBD
3650,446,Wal-Mart,TBD
3652,453,WM Supercenter,TBD
3705,467,WM Supercenter,TBD
3708,453,WM Supercenter,TBD
3712,455,WM Supercenter,TBD
3742,476,WM Supercenter,TBD
3754,473,WM Supercenter,TBD
3757,471,WM Supercenter,TBD
3794,514,WM Supercenter,TBD
3796,462,WM Supercenter,TBD
3801,471,WM Supercenter,TBD
3850,467,WM Supercenter,TBD
3883,470,Wal-Mart,TBD
3947,458,WM Supercenter,TBD
4101,465,WM Supercenter,TBD
4127,552,Neighborhood Market,TBD
4132,465,WM Supercenter,TBD
4134,551,Neighborhood Market,TBD
4137,467,WM Supercenter,TBD
4169,551,Neighborhood Market,TBD
4171,466,WM Supercenter,TBD
4174,512,Neighborhood Market,TBD
4176,477,WM Supercenter,TBD
4178,550,Neighborhood Market,TBD
4202,455,WM Supercenter,TBD
4221,477,WM Supercenter,TBD
4238,449,WM Supercenter,TBD
4309,455,WM Supercenter,TBD
4317,447,WM Supercenter,TBD
4340,445,WM Supercenter,TBD
4359,469,WM Supercenter,TBD
4392,445,WM Supercenter,TBD
4393,453,WM Supercenter,TBD
4394,474,WM Supercenter,TBD
4474,469,WM Supercenter,TBD
4488,451,WM Supercenter,TBD
4757,550,Neighborhood Market,TBD
4759,552,Neighborhood Market,TBD
4762,515,Neighborhood Market,TBD
5007,552,Neighborhood Market,TBD
5008,551,Neighborhood Market,TBD
5023,458,WM Supercenter,TBD
5032,464,Wal-Mart,TBD
5041,514,WM Supercenter,TBD
5072,465,Wal-Mart,TBD
5073,514,Wal-Mart,TBD
5075,460,WM Supercenter,TBD
5078,473,WM Supercenter,TBD
5096,463,WM Supercenter,TBD
5133,457,WM Supercenter,TBD
5134,447,WM Supercenter,TBD
5136,457,WM Supercenter,TBD
5139,453,WM Supercenter,TBD
5140,459,Wal-Mart,TBD
5152,446,Wal-Mart,TBD
5154,484,WM Supercenter,TBD
5156,463,WM Supercenter,TBD
5162,448,WM Supercenter,TBD
5192,455,WM Supercenter,TBD
5193,461,WM Supercenter,TBD
5215,581,WM Supercenter,TBD
5231,454,WM Supercenter,TBD
5272,472,WM Supercenter,TBD
5273,472,WM Supercenter,TBD
5274,470,Wal-Mart,TBD
5305,458,Wal-Mart,TBD
5335,463,WM Supercenter,TBD
5337,449,WM Supercenter,TBD
5338,459,Wal-Mart,TBD
5368,477,WM Supercenter,TBD
5394,581,WM Supercenter,TBD
5396,478,WM Supercenter,TBD
5424,468,WM Supercenter,TBD
5425,461,WM Supercenter,TBD
5426,#N/A,Wal-Mart,TBD
5434,511,Wal-Mart,TBD
5435,451,WM Supercenter,TBD
5440,477,Wal-Mart,TBD
5461,476,WM Supercenter,TBD
5462,476,WM Supercenter,TBD
5600,515,Neighborhood Market,TBD
5601,551,Neighborhood Market,TBD
5602,481,Neighborhood Market,TBD
5603,551,Neighborhood Market,TBD
5604,481,Neighborhood Market,TBD
5605,481,Neighborhood Market,TBD
5606,552,Neighborhood Market,TBD
5608,552,Neighborhood Market,TBD
5609,552,Neighborhood Market,TBD
5610,512,Neighborhood Market,TBD
5611,512,Neighborhood Market,TBD
5627,550,Neighborhood Market,TBD
5628,471,WM Supercenter,TBD
5629,468,Wal-Mart,TBD
5632,449,WM Supercenter,TBD
5633,512,Neighborhood Market,TBD
5634,512,Neighborhood Market,TBD
5635,512,Neighborhood Market,TBD
5637,551,Neighborhood Market,TBD
5640,551,Neighborhood Market,TBD
5641,464,WM Supercenter,TBD
5643,481,Neighborhood Market,TBD
5644,466,WM Supercenter,TBD
5658,481,Neighborhood Market,TBD
5659,481,Neighborhood Market,TBD
5661,551,Neighborhood Market,TBD
5663,515,Neighborhood Market,TBD
5664,481,Neighborhood Market,TBD
5678,550,Neighborhood Market,TBD
5683,552,Neighborhood Market,TBD
5684,551,Neighborhood Market,TBD
5686,448,WM Supercenter,TBD
5689,515,Neighborhood Market,TBD
5691,515,Neighborhood Market,TBD
5701,449,WM Supercenter,TBD
5710,450,WM Supercenter,TBD
5751,451,WM Supercenter,TBD
5766,451,WM Supercenter,TBD
5807,465,WM Supercenter,TBD
5839,468,WM Supercenter,TBD
5843,450,WM Supercenter,TBD
5848,454,Wal-Mart,TBD
5853,467,WM Supercenter,TBD
5859,581,WM Supercenter,TBD
5861,472,WM Supercenter,TBD
5874,465,Wal-Mart,TBD
5883,474,WM Supercenter,TBD
5884,451,WM Supercenter,TBD
5886,459,WM Supercenter,TBD
5890,450,WM Supercenter,TBD
5929,476,WM Supercenter,TBD
5930,464,WM Supercenter,TBD
5935,477,WM Supercenter,TBD
5938,458,Wal-Mart,TBD
5954,#N/A,WM Supercenter,TBD
5956,581,WM Supercenter,TBD
5979,552,Neighborhood Market,TBD
5981,552,Neighborhood Market,TBD
5982,552,Neighborhood Market,TBD
5993,550,Neighborhood Market,TBD
5994,550,Neighborhood Market,TBD
5996,459,Wal-Mart,TBD
8958,515,Neighborhood Market,TBD
1,323,WM Supercenter,TBD
2,322,WM Supercenter,TBD
4,323,WM Supercenter,TBD
5,326,WM Supercenter,TBD
7,326,WM Supercenter,TBD
8,326,WM Supercenter,TBD
9,335,WM Supercenter,TBD
10,347,WM Supercenter,TBD
11,328,WM Supercenter,TBD
12,347,WM Supercenter,TBD
13,334,WM Supercenter,TBD
14,357,WM Supercenter,TBD
15,333,WM Supercenter,TBD
16,321,WM Supercenter,TBD
17,334,WM Supercenter,TBD
18,328,WM Supercenter,TBD
19,335,WM Supercenter,TBD
20,361,WM Supercenter,TBD
21,336,WM Supercenter,TBD
22,347,WM Supercenter,TBD
23,135,WM Supercenter,TBD
24,326,WM Supercenter,TBD
25,359,WM Supercenter,TBD
26,411,WM Supercenter,TBD
27,357,WM Supercenter,TBD
28,347,WM Supercenter,TBD
29,336,WM Supercenter,TBD
30,335,WM Supercenter,TBD
31,351,WM Supercenter,TBD
32,333,Wal-Mart,TBD
33,325,WM Supercenter,TBD
34,334,WM Supercenter,TBD
35,407,WM Supercenter,TBD
36,329,WM Supercenter,TBD
37,335,WM Supercenter,TBD
38,47,WM Supercenter,TBD
39,410,WM Supercenter,TBD
40,359,WM Supercenter,TBD
41,345,WM Supercenter,TBD
42,410,WM Supercenter,TBD
43,407,WM Supercenter,TBD
44,336,Wal-Mart,TBD
45,329,WM Supercenter,TBD
46,357,WM Supercenter,TBD
47,351,WM Supercenter,TBD
48,334,WM Supercenter,TBD
49,47,WM Supercenter,TBD
50,347,WM Supercenter,TBD
51,359,WM Supercenter,TBD
52,325,WM Supercenter,TBD
54,322,WM Supercenter,TBD
55,321,WM Supercenter,TBD
56,333,WM Supercenter,TBD
57,328,Wal-Mart,TBD
58,325,WM Supercenter,TBD
59,334,WM Supercenter,TBD
60,339,WM Supercenter,TBD
61,361,WM Supercenter,TBD
62,329,WM Supercenter,TBD
63,347,WM Supercenter,TBD
64,146,WM Supercenter,TBD
65,336,WM Supercenter,TBD
66,321,WM Supercenter,TBD
67,321,WM Supercenter,TBD
68,329,WM Supercenter,TBD
69,335,WM Supercenter,TBD
70,329,WM Supercenter,TBD
71,328,WM Supercenter,TBD
72,410,WM Supercenter,TBD
73,356,WM Supercenter,TBD
74,329,WM Supercenter,TBD
75,134,WM Supercenter,TBD
76,322,WM Supercenter,TBD
77,83,WM Supercenter,TBD
78,357,WM Supercenter,TBD
80,359,WM Supercenter,TBD
81,347,WM Supercenter,TBD
82,335,WM Supercenter,TBD
83,327,WM Supercenter,TBD
85,324,WM Supercenter,TBD
86,357,WM Supercenter,TBD
87,127,WM Supercenter,TBD
88,357,WM Supercenter,TBD
89,336,WM Supercenter,TBD
90,347,WM Supercenter,TBD
91,329,WM Supercenter,TBD
92,334,WM Supercenter,TBD
93,146,WM Supercenter,TBD
94,145,WM Supercenter,TBD
95,335,WM Supercenter,TBD
96,361,WM Supercenter,TBD
97,146,WM Supercenter,TBD
98,135,WM Supercenter,TBD
99,340,WM Supercenter,TBD
100,323,WM Supercenter,TBD
101,336,WM Supercenter,TBD
102,327,WM Supercenter,TBD
103,351,WM Supercenter,TBD
104,146,WM Supercenter,TBD
105,4,WM Supercenter,TBD
106,146,WM Supercenter,TBD
107,146,WM Supercenter,TBD
108,344,WM Supercenter,TBD
109,360,WM Supercenter,TBD
111,410,WM Supercenter,TBD
112,138,WM Supercenter,TBD
113,349,WM Supercenter,TBD
114,4,WM Supercenter,TBD
115,138,WM Supercenter,TBD
116,127,Wal-Mart,TBD
117,47,Wal-Mart,TBD
118,4,WM Supercenter,TBD
119,328,WM Supercenter,TBD
120,146,WM Supercenter,TBD
121,351,WM Supercenter,TBD
122,335,WM Supercenter,TBD
123,351,WM Supercenter,TBD
124,324,WM Supercenter,TBD
125,321,WM Supercenter,TBD
126,324,WM Supercenter,TBD
127,325,WM Supercenter,TBD
128,329,WM Supercenter,TBD
129,350,WM Supercenter,TBD
130,347,WM Supercenter,TBD
131,47,WM Supercenter,TBD
132,344,WM Supercenter,TBD
133,325,WM Supercenter,TBD
134,344,WM Supercenter,TBD
135,360,WM Supercenter,TBD
136,345,Wal-Mart,TBD
137,352,WM Supercenter,TBD
138,357,WM Supercenter,TBD
139,353,WM Supercenter,TBD
140,503,WM Supercenter,TBD
141,321,WM Supercenter,TBD
143,253,WM Supercenter,TBD
144,322,WM Supercenter,TBD
145,339,WM Supercenter,TBD
146,46,WM Supercenter,TBD
147,350,WM Supercenter,TBD
148,47,WM Supercenter,TBD
149,135,WM Supercenter,TBD
150,344,WM Supercenter,TBD
151,350,WM Supercenter,TBD
152,335,WM Supercenter,TBD
153,4,WM Supercenter,TBD
155,136,WM Supercenter,TBD
157,328,WM Supercenter,TBD
158,350,WM Supercenter,TBD
159,359,WM Supercenter,TBD
160,328,WM Supercenter,TBD
161,147,WM Supercenter,TBD
162,349,WM Supercenter,TBD
163,503,WM Supercenter,TBD
164,4,WM Supercenter,TBD
165,46,WM Supercenter,TBD
166,357,WM Supercenter,TBD
167,327,WM Supercenter,TBD
168,345,WM Supercenter,TBD
169,326,WM Supercenter,TBD
170,134,WM Supercenter,TBD
171,327,WM Supercenter,TBD
172,340,WM Supercenter,TBD
173,357,WM Supercenter,TBD
175,144,WM Supercenter,TBD
176,4,Wal-Mart,TBD
177,146,WM Supercenter,TBD
178,344,WM Supercenter,TBD
179,357,WM Supercenter,TBD
180,46,WM Supercenter,TBD
181,47,WM Supercenter,TBD
182,136,WM Supercenter,TBD
183,138,WM Supercenter,TBD
184,361,WM Supercenter,TBD
185,350,WM Supercenter,TBD
186,409,WM Supercenter,TBD
188,335,WM Supercenter,TBD
189,359,WM Supercenter,TBD
190,329,WM Supercenter,TBD
192,153,WM Supercenter,TBD
194,60,WM Supercenter,TBD
195,360,WM Supercenter,TBD
196,271,WM Supercenter,TBD
197,278,WM Supercenter,TBD
198,272,WM Supercenter,TBD
199,278,WM Supercenter,TBD
200,275,WM Supercenter,TBD
201,341,WM Supercenter,TBD
202,51,WM Supercenter,TBD
203,359,WM Supercenter,TBD
204,253,WM Supercenter,TBD
205,138,WM Supercenter,TBD
206,52,WM Supercenter,TBD
207,345,WM Supercenter,TBD
209,321,Wal-Mart,TBD
210,351,Wal-Mart,TBD
211,76,WM Supercenter,TBD
212,353,WM Supercenter,TBD
213,272,WM Supercenter,TBD
214,503,WM Supercenter,TBD
216,271,WM Supercenter,TBD
217,53,WM Supercenter,TBD
218,147,WM Supercenter,TBD
219,336,WM Supercenter,TBD
220,48,WM Supercenter,TBD
221,344,WM Supercenter,TBD
222,271,WM Supercenter,TBD
224,272,WM Supercenter,TBD
225,350,WM Supercenter,TBD
226,47,WM Supercenter,TBD
227,344,WM Supercenter,TBD
228,48,WM Supercenter,TBD
229,329,WM Supercenter,TBD
230,321,Wal-Mart,TBD
231,351,WM Supercenter,TBD
232,350,Wal-Mart,TBD
233,271,WM Supercenter,TBD
234,360,WM Supercenter,TBD
236,503,WM Supercenter,TBD
237,271,WM Supercenter,TBD
238,147,WM Supercenter,TBD
239,138,WM Supercenter,TBD
240,47,WM Supercenter,TBD
242,410,WM Supercenter,TBD
243,339,WM Supercenter,TBD
244,135,WM Supercenter,TBD
246,345,WM Supercenter,TBD
247,351,Wal-Mart,TBD
248,76,WM Supercenter,TBD
249,503,WM Supercenter,TBD
250,357,WM Supercenter,TBD
251,45,WM Supercenter,TBD
252,271,WM Supercenter,TBD
253,341,WM Supercenter,TBD
254,273,WM Supercenter,TBD
256,341,WM Supercenter,TBD
257,254,WM Supercenter,TBD
258,4,WM Supercenter,TBD
259,583,WM Supercenter,TBD
260,55,WM Supercenter,TBD
261,325,WM Supercenter,TBD
262,271,WM Supercenter,TBD
264,149,WM Supercenter,TBD
265,45,WM Supercenter,TBD
267,334,WM Supercenter,TBD
268,147,WM Supercenter,TBD
269,349,WM Supercenter,TBD
271,349,WM Supercenter,TBD
272,153,WM Supercenter,TBD
273,4,WM Supercenter,TBD
274,4,Wal-Mart,TBD
275,503,WM Supercenter,TBD
276,351,WM Supercenter,TBD
277,353,WM Supercenter,TBD
278,127,WM Supercenter,TBD
279,321,WM Supercenter,TBD
280,83,WM Supercenter,TBD
281,328,WM Supercenter,TBD
282,253,WM Supercenter,TBD
283,66,Wal-Mart,TBD
284,49,WM Supercenter,TBD
285,503,WM Supercenter,TBD
286,55,WM Supercenter,TBD
287,11,WM Supercenter,TBD
288,503,WM Supercenter,TBD
289,327,Wal-Mart,TBD
290,77,WM Supercenter,TBD
292,87,WM Supercenter,TBD
293,85,Wal-Mart,TBD
294,253,WM Supercenter,TBD
295,340,WM Supercenter,TBD
296,325,WM Supercenter,TBD
297,59,WM Supercenter,TBD
298,3,WM Supercenter,TBD
299,254,WM Supercenter,TBD
300,3,WM Supercenter,TBD
301,3,WM Supercenter,TBD
302,271,WM Supercenter,TBD
303,4,WM Supercenter,TBD
304,149,WM Supercenter,TBD
305,138,WM Supercenter,TBD
306,5,WM Supercenter,TBD
307,135,WM Supercenter,TBD
308,151,WM Supercenter,TBD
309,132,WM Supercenter,TBD
310,132,WM Supercenter,TBD
311,129,Wal-Mart,TBD
312,134,WM Supercenter,TBD
313,340,WM Supercenter,TBD
314,5,WM Supercenter,TBD
315,3,WM Supercenter,TBD
316,3,WM Supercenter,TBD
317,272,WM Supercenter,TBD
318,325,WM Supercenter,TBD
319,361,WM Supercenter,TBD
320,76,Wal-Mart,TBD
321,85,WM Supercenter,TBD
322,85,WM Supercenter,TBD
323,127,WM Supercenter,TBD
324,356,WM Supercenter,TBD
325,360,WM Supercenter,TBD
326,361,Wal-Mart,TBD
328,341,WM Supercenter,TBD
329,10,WM Supercenter,TBD
330,84,WM Supercenter,TBD
331,66,WM Supercenter,TBD
332,5,WM Supercenter,TBD
333,254,WM Supercenter,TBD
334,275,WM Supercenter,TBD
335,146,WM Supercenter,TBD
336,325,WM Supercenter,TBD
337,335,WM Supercenter,TBD
338,334,WM Supercenter,TBD
339,327,Wal-Mart,TBD
340,351,WM Supercenter,TBD
341,407,WM Supercenter,TBD
342,411,WM Supercenter,TBD
343,275,WM Supercenter,TBD
344,65,WM Supercenter,TBD
345,46,WM Supercenter,TBD
346,409,WM Supercenter,TBD
347,136,WM Supercenter,TBD
348,327,WM Supercenter,TBD
350,433,WM Supercenter,TBD
351,68,WM Supercenter,TBD
352,271,Wal-Mart,TBD
353,48,WM Supercenter,TBD
354,336,WM Supercenter,TBD
355,10,WM Supercenter,TBD
356,10,WM Supercenter,TBD
357,336,WM Supercenter,TBD
358,321,WM Supercenter,TBD
359,322,WM Supercenter,TBD
360,352,WM Supercenter,TBD
361,341,WM Supercenter,TBD
362,11,WM Supercenter,TBD
363,359,WM Supercenter,TBD
364,503,WM Supercenter,TBD
365,140,WM Supercenter,TBD
368,410,WM Supercenter,TBD
369,406,WM Supercenter,TBD
370,406,WM Supercenter,TBD
371,48,WM Supercenter,TBD
372,406,WM Supercenter,TBD
373,322,WM Supercenter,TBD
374,347,WM Supercenter,TBD
375,5,WM Supercenter,TBD
376,127,WM Supercenter,TBD
378,411,WM Supercenter,TBD
379,333,WM Supercenter,TBD
381,81,WM Supercenter,TBD
382,410,WM Supercenter,TBD
383,66,WM Supercenter,TBD
384,66,WM Supercenter,TBD
385,84,Wal-Mart,TBD
386,132,WM Supercenter,TBD
387,352,WM Supercenter,TBD
388,321,WM Supercenter,TBD
389,352,WM Supercenter,TBD
390,149,WM Supercenter,TBD
391,4,WM Supercenter,TBD
392,344,WM Supercenter,TBD
393,147,WM Supercenter,TBD
394,137,WM Supercenter,TBD
395,80,WM Supercenter,TBD
397,80,WM Supercenter,TBD
398,46,WM Supercenter,TBD
399,46,WM Supercenter,TBD
400,68,WM Supercenter,TBD
401,131,WM Supercenter,TBD
402,132,WM Supercenter,TBD
403,137,WM Supercenter,TBD
404,87,WM Supercenter,TBD
405,134,WM Supercenter,TBD
406,151,WM Supercenter,TBD
407,81,WM Supercenter,TBD
408,66,WM Supercenter,TBD
409,137,WM Supercenter,TBD
410,146,WM Supercenter,TBD
411,138,Wal-Mart,TBD
412,45,WM Supercenter,TBD
413,569,WM Supercenter,TBD
414,349,WM Supercenter,TBD
415,132,WM Supercenter,TBD
416,151,WM Supercenter,TBD
417,47,WM Supercenter,TBD
418,407,WM Supercenter,TBD
419,406,WM Supercenter,TBD
420,349,WM Supercenter,TBD
421,479,WM Supercenter,TBD
422,273,WM Supercenter,TBD
423,13,WM Supercenter,TBD
424,8,WM Supercenter,TBD
425,11,WM Supercenter,TBD
427,47,WM Supercenter,TBD
428,130,WM Supercenter,TBD
429,80,WM Supercenter,TBD
430,253,WM Supercenter,TBD
431,253,WM Supercenter,TBD
432,10,WM Supercenter,TBD
433,5,WM Supercenter,TBD
434,5,WM Supercenter,TBD
435,272,WM Supercenter,TBD
