Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5262,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202229,60.00%,56.55%,29.5,93.90%,41.10%,58.70%,69.00%
5262,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202229,72.57%,70.28%,18.6,85.70%,50.00%,70.40%,85.20%
990,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202229,63.34%,68.68%,19.2,56.60%,49.90%,74.00%,69.30%
990,UBER,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202229,82.86%,68.11%,19.7,89.70%,75.00%,84.20%,82.90%
1224,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202229,64.84%,71.06%,16.3,67.40%,64.40%,62.20%,65.40%
1224,UBER,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,202229,81.58%,68.03%,19.1,90.90%,91.20%,70.80%,80.00%
1605,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,83.86%,92.98%,9.9,84.30%,74.30%,87.00%,88.60%
3484,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202229,75.57%,93.74%,11.5,73.20%,70.00%,79.90%,80.80%
3484,UBER,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202229,91.12%,92.23%,13.4,95.00%,90.30%,91.20%,88.30%
3785,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202229,82.08%,89.59%,9,83.00%,70.50%,86.90%,86.40%
3785,UBER,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202229,91.30%,87.87%,11.8,92.60%,89.20%,91.80%,91.50%
818,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202229,88.26%,96.71%,7.7,91.30%,87.50%,83.20%,90.70%
919,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202229,86.45%,85.94%,12.1,92.70%,85.20%,89.50%,80.90%
919,UBER,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202229,78.21%,82.93%,10.9,85.00%,80.80%,74.40%,74.50%
944,UBER,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202229,76.62%,89.90%,11.5,81.00%,80.00%,74.20%,77.30%
1032,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202229,80.85%,82.79%,11.1,89.80%,68.90%,75.80%,88.20%
1362,DOORDASH,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202229,86.66%,96.61%,13.1,96.20%,89.70%,80.60%,82.50%
1362,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202229,84.81%,86.36%,10,95.00%,66.70%,100.00%,83.30%
1362,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202229,85.00%,97.47%,9.6,87.90%,80.40%,81.00%,89.20%
3075,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Store Focus,202229,85.07%,96.67%,10,92.20%,80.50%,75.70%,89.40%
5845,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Store Focus,202229,89.06%,97.70%,10.5,94.30%,88.50%,83.70%,90.30%
5872,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202229,76.70%,89.62%,10.4,97.40%,78.60%,66.00%,72.20%
5872,SPARK,Scheduled Standard Delivery,7,Executive Review,Recovering,Driver Supply Focus,202229,89.88%,97.11%,6.9,90.90%,91.90%,89.50%,88.00%
495,DOORDASH,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202229,78.05%,97.56%,19.6,85.70%,37.50%,85.70%,91.70%
3424,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202229,75.00%,100.00%,9.3,100.00%,66.70%,100.00%,66.70%
4504,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202229,77.91%,90.14%,9.9,87.10%,69.10%,64.00%,84.50%
5623,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202229,77.93%,95.60%,8,76.70%,79.40%,81.20%,74.50%
5740,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202229,86.19%,91.80%,10.9,79.60%,89.30%,82.20%,92.30%
5744,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Recovering,Store Focus,202229,75.00%,92.31%,13.3,100.00%,50.00%,100.00%,
1801,SPARK,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202229,65.63%,55.50%,20,60.20%,69.50%,63.30%,69.10%
3284,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,78.01%,68.70%,12.7,66.70%,74.80%,82.20%,88.90%
3631,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,66.82%,83.09%,12.5,75.80%,58.90%,58.90%,73.80%
4279,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,77.78%,86.96%,16.7,60.00%,83.30%,81.80%,100.00%
4279,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202229,87.57%,80.76%,13.4,86.20%,85.40%,89.70%,89.10%
