Store,,MAY,73,YTD,74,MAY,75,YTD,76,MAY,77,YTD,78,MAY,79,YTD,80,MAY,81,YTD,82,MAY,83,YTD,84,MAY,85,YTD,86,MAY,87,YTD,88,MAY,89,YTD,90,MAY,91,YTD,92
3402,,-3.62%,R,-4.99%,R,-0.19%,R,3.09%,R,-11.38%,R,-3.22%,,15.59%,,1.95%,R,21,,57,,43.74%,,49.82%,G,29,G,90,G,68.04%,,69.97%,,1:11:52,R,1:11:18,R,2111/2577,R,2237/2577,R
3709,,1.35%,,9.64%,G,32.52%,G,45.60%,G,18.29%,,42.36%,G,28.93%,,31.93%,G,15,,98,,30.30%,,37.04%,,7,,39,,65.05%,,61.24%,,0:24:23,G,0:23:52,G,444/2577,G,47/2577,G
Total,B,5.24%,,5.33%,,37.24%,G,36.68%,G,20.39%,G,29.72%,G,47.17%,G,31.14%,G,0.75,,0.51,,35.89%,,41.09%,,0.32,,0.34,,50.25%,,51.74%,,0:48:56,,0:49:24,,15/394,G,33/394,G
1184,,-7.30%,R,-0.34%,R,32.00%,G,27.47%,,13.00%,,17.30%,G,18.88%,,6.76%,,9,,62,,51.50%,G,52.92%,G,5,,22,,50.43%,,62.33%,,0:53:10,,0:51:11,,1074/2577,,1062/2577,
1340,,15.49%,G,17.33%,G,57.14%,G,41.82%,G,31.94%,G,29.42%,G,48.87%,G,21.26%,,14,,35,,39.47%,,44.39%,,12,G,35,,43.26%,,46.73%,,1:08:17,R,1:09:02,R,143/2577,G,278/2577,G
2475,,1.98%,,5.01%,,43.17%,G,41.72%,G,18.61%,G,14.32%,,34.57%,G,37.58%,G,1,R,2,R,35.52%,,38.69%,,0,R,3,R,45.69%,,51.66%,,0:53:15,,0:57:22,,756/2577,,733/2577,
2584,,-2.52%,,5.82%,,25.02%,,17.56%,,0.00%,,-12.25%,R,29.43%,,27.16%,,30,G,130,G,51.31%,G,47.25%,,11,,48,G,36.42%,,34.87%,,0:49:04,,0:54:33,,1087/2577,,1166/2577,
Total,B,1.78%,,6.82%,,39.00%,G,32.62%,G,15.86%,G,12.78%,G,32.61%,G,23.33%,,0.44,,0.48,,43.91%,G,45.25%,,0.23,,0.23,,43.91%,,48.85%,,0:55:56,,0:57:47,,69/394,G,47/394,G
3,,-4.02%,R,-1.72%,R,17.44%,,17.87%,,0.13%,,-1.99%,,0.89%,,6.48%,,47,G,187,G,38.91%,,37.08%,,66,G,166,G,88.40%,G,81.93%,G,0:40:19,,0:40:23,,1392/2577,,1420/2577,
510,,-1.28%,,3.39%,,-0.70%,R,11.25%,,-20.58%,R,-8.19%,R,-3.32%,,22.72%,,1,R,3,R,19.68%,R,18.95%,R,0,R,4,R,62.01%,,48.24%,,0:46:27,,0:38:07,,2393/2577,R,1841/2577,
1111,,2.23%,,-1.59%,R,52.71%,G,18.98%,,20.39%,G,-0.79%,,41.18%,G,18.86%,,0,R,4,R,30.70%,,34.83%,,1,R,10,,108.77%,G,100.28%,G,0:31:02,G,0:30:02,G,365/2577,G,1422/2577,
1121,,-6.39%,R,-1.51%,R,-0.52%,R,4.09%,R,-2.15%,,-14.47%,R,-4.15%,R,7.69%,,2,,18,,15.00%,R,22.96%,R,1,R,5,R,50.00%,,55.99%,,0:21:40,G,0:24:41,G,2287/2577,R,2228/2577,R
1363,,7.53%,,10.08%,G,18.00%,,19.73%,,5.26%,,8.49%,,8.68%,,19.74%,,16,,112,G,22.43%,R,28.18%,R,4,,19,,76.43%,,59.50%,,0:20:25,G,0:19:53,G,781/2577,,545/2577,
1400,,-3.71%,R,-4.52%,R,9.05%,,-6.18%,R,-1.96%,,-18.78%,R,16.37%,,-4.09%,R,5,,5,R,19.83%,R,20.86%,R,1,R,4,R,14.75%,R,29.40%,R,0:55:14,,0:54:57,,2181/2577,R,2554/2577,R
2811,,0.06%,,6.18%,,-4.73%,R,18.90%,,-16.26%,R,-1.53%,,3.70%,,30.33%,,3,,13,,22.32%,R,27.62%,R,2,,5,R,36.38%,,34.68%,,0:37:22,,0:39:13,,2270/2577,R,1202/2577,
3627,,4.41%,,2.16%,,23.55%,,7.15%,,2.88%,,-2.98%,,23.89%,,9.15%,,7,,14,,35.41%,,35.53%,,5,,12,,29.40%,,26.93%,R,0:23:43,G,0:28:00,G,759/2577,,1925/2577,
5482,,-1.65%,,0.66%,,7.40%,,-3.20%,R,-6.03%,,-12.59%,R,-3.03%,,2.99%,R,12,,64,,37.05%,,31.70%,,2,,12,,30.13%,,25.11%,R,0:45:55,,0:46:35,,2093/2577,R,2347/2577,R
Total,B,-0.42%,R,1.35%,R,13.23%,,10.15%,R,-3.13%,R,-5.06%,R,9.54%,,12.05%,,0.33,,0.39,,28.40%,R,29.53%,R,0.29,,0.22,,53.46%,,50.96%,,0:34:57,G,0:35:06,G,283/394,,337/394,R
594,,-4.06%,R,-1.19%,R,-4.87%,R,-14.53%,R,-24.16%,R,-36.00%,R,3.09%,,6.97%,,12,,57,,39.80%,,38.56%,,5,,12,,35.00%,,34.99%,,0:34:40,G,0:30:58,G,2230/2577,R,2284/2577,R
722,,14.36%,G,5.51%,,70.33%,G,39.18%,G,73.67%,G,33.49%,G,29.44%,,9.10%,,80,G,233,G,33.81%,,36.49%,,18,G,49,G,67.03%,,65.58%,,0:55:34,,0:57:05,,63/2577,G,523/2577,
727,,9.99%,G,13.07%,G,61.47%,G,54.92%,G,29.66%,G,31.22%,G,50.42%,G,56.29%,G,41,G,57,,24.02%,R,34.46%,,14,G,29,,61.45%,,57.63%,,0:41:14,,0:32:24,G,68/2577,G,33/2577,G
787,,6.04%,,6.06%,,30.27%,,16.78%,,29.93%,G,4.87%,,6.48%,,4.24%,,0,R,25,,47.68%,G,53.34%,G,0,R,1,R,41.74%,,36.99%,,0:38:55,,0:45:29,,630/2577,,1351/2577,
855,,-9.87%,R,-7.08%,R,-19.10%,R,-0.61%,R,-11.98%,R,5.65%,,-22.96%,R,-11.85%,R,2,,22,,28.24%,,33.33%,,0,R,10,,45.10%,,41.89%,,1:21:47,R,1:02:30,,2570/2577,R,2454/2577,R
856,,2.32%,,3.56%,,17.14%,,14.17%,,8.23%,,4.69%,,-6.85%,R,3.09%,R,25,,79,,45.08%,,40.11%,,30,G,96,G,69.63%,,47.78%,,0:51:49,,0:52:02,,1244/2577,,1492/2577,
1488,,-1.00%,,-3.39%,R,22.50%,,10.30%,,12.50%,,0.70%,,16.18%,,8.54%,,20,,26,,31.14%,,36.64%,,12,G,16,,40.00%,,25.51%,R,0:40:25,,0:41:21,,1068/2577,,2053/2577,
2732,,-4.67%,R,-1.75%,R,7.96%,,10.28%,,8.76%,,5.09%,,2.27%,,12.88%,,5,,21,,35.06%,,37.91%,,2,,9,,44.38%,,39.12%,,0:54:01,,0:47:53,,2071/2577,R,1984/2577,
4409,,-2.51%,,1.76%,,-2.34%,R,1.71%,R,-8.90%,R,-10.69%,R,-1.59%,,10.84%,,12,,74,,27.22%,R,28.30%,R,6,,50,G,64.96%,,66.77%,,1:29:44,R,1:25:26,R,2383/2577,R,2221/2577,R
Total,B,1.13%,,1.48%,R,16.76%,,12.67%,,10.23%,,2.27%,,3.50%,,6.19%,R,0.71,,0.55,,36.57%,,38.72%,,0.31,,0.25,,52.55%,,46.30%,,0:51:36,,0:49:24,,217/394,,328/394,R
1578,,6.03%,,10.81%,G,46.79%,G,42.43%,G,43.51%,G,28.54%,G,52.44%,G,45.47%,G,26,,114,G,29.12%,,34.75%,,6,,32,,10.08%,R,12.05%,R,0:46:16,,0:49:20,,296/2577,G,231/2577,G
3205,,4.17%,,12.90%,G,59.47%,G,52.61%,G,54.38%,G,62.55%,G,36.52%,G,34.79%,G,4,,5,R,41.68%,,43.02%,,7,,11,,8.09%,R,16.13%,R,0:51:56,,0:45:10,,393/2577,G,228/2577,G
5390,,4.45%,,10.85%,G,11.46%,,10.93%,,-3.09%,,-5.30%,,26.14%,,22.10%,,137,G,276,G,36.14%,,37.97%,,13,G,24,,17.95%,R,16.47%,R,0:57:28,,0:54:55,,1407/2577,,1299/2577,
Total,B,4.82%,,11.52%,G,32.64%,G,29.73%,G,21.24%,G,16.99%,G,36.32%,G,32.41%,G,1.80,G,1.10,G,35.75%,,38.47%,,0.28,,0.19,,12.58%,R,14.99%,R,0:51:59,,0:50:07,,37/394,G,29/394,G
575,,3.99%,,2.19%,,13.75%,,16.21%,,-3.75%,,3.67%,,7.46%,,1.31%,R,6,,52,,38.06%,,51.95%,G,4,,34,,30.00%,,28.45%,R,0:56:51,,0:49:45,,1629/2577,,1555/2577,
878,,-0.34%,,3.55%,,-14.86%,R,-13.14%,R,-28.85%,R,-24.58%,R,3.16%,,5.11%,,6,,13,,26.35%,R,26.05%,R,6,,9,,1.41%,R,3.10%,R,0:44:13,,0:40:17,,2368/2577,R,2355/2577,R
1314,,3.05%,,6.20%,,14.44%,,18.44%,,-3.77%,,-0.37%,,19.22%,,19.70%,,15,,94,,25.41%,R,33.97%,,12,G,88,G,8.20%,R,10.97%,R,0:29:39,G,0:33:10,G,1298/2577,,964/2577,
1373,,23.56%,G,22.30%,G,51.09%,G,43.18%,G,36.69%,G,30.37%,G,50.32%,G,26.46%,,36,G,167,G,55.51%,G,52.42%,G,2,,38,,61.30%,,47.66%,,0:42:07,,0:39:50,,19/2577,G,36/2577,G
2154,,11.75%,G,15.16%,G,31.98%,G,48.77%,G,26.42%,G,48.91%,G,43.28%,G,53.74%,G,0,R,2,R,23.65%,R,22.47%,R,2,,6,R,11.31%,R,22.54%,R,0:49:31,,0:49:04,,519/2577,,341/2577,G
2941,,5.28%,,1.91%,,32.20%,G,2.06%,R,15.42%,,-11.15%,R,144.40%,G,33.68%,G,9,,10,,14.22%,R,21.32%,R,2,,3,R,18.17%,R,17.54%,R,0:44:17,,0:43:50,,608/2577,,2197/2577,R
3462,,8.89%,G,0.38%,,15.45%,,-4.12%,R,13.66%,,-15.84%,R,50.82%,G,10.69%,,4,,5,R,19.38%,R,20.79%,R,0,R,0,R,11.78%,R,17.65%,R,0:45:38,,0:47:17,,1048/2577,,2471/2577,R
4436,,3.08%,,7.16%,,33.79%,G,38.43%,G,15.46%,,18.62%,G,6.20%,,31.89%,G,0,R,0,R,23.37%,R,24.89%,R,0,R,5,R,22.34%,R,22.05%,R,0:45:46,,0:46:04,,1103/2577,,678/2577,
7185,,2.48%,,2.33%,,17.21%,,10.51%,,10.89%,,-2.87%,,-1.59%,,7.51%,,0,R,2,R,29.65%,,33.70%,,3,,5,R,80.86%,,82.40%,G,0:46:25,,0:57:16,,1446/2577,,2041/2577,
Total,B,7.90%,G,8.02%,G,22.41%,,19.17%,,10.27%,,6.96%,,34.09%,G,21.91%,,0.27,,0.32,,28.86%,R,32.77%,,0.11,,0.17,,27.01%,R,29.37%,R,0:44:24,,0:44:38,,71/394,G,109/394,
459,,0.89%,,3.37%,,0.08%,R,2.34%,R,-14.64%,R,-8.10%,R,2.56%,,2.97%,R,0,R,1,R,31.86%,,35.04%,,2,,7,,32.44%,,35.98%,,1:12:42,R,1:03:33,R,2360/2577,R,2343/2577,R
520,,5.46%,,8.89%,,23.83%,,21.17%,,-2.10%,,4.12%,,22.13%,,30.81%,,2,,4,R,32.62%,,30.39%,,6,,16,,78.09%,,55.71%,,0:56:52,,1:01:03,,1006/2577,,1003/2577,
548,,9.56%,G,9.93%,G,33.43%,G,16.48%,,5.13%,,6.15%,,31.76%,G,16.33%,,36,G,60,,25.30%,R,25.05%,R,7,,34,,42.03%,,34.88%,,1:08:23,R,0:57:50,,584/2577,,1132/2577,
780,,11.51%,G,9.88%,G,23.86%,,15.77%,,7.12%,,-3.15%,,30.17%,G,12.53%,,7,,43,,57.81%,G,64.95%,G,12,G,43,,47.66%,,56.73%,,0:37:53,,0:36:44,,337/2577,G,839/2577,
1720,,9.96%,G,11.39%,G,35.09%,G,36.30%,G,16.67%,,15.77%,,38.35%,G,30.76%,,43,G,149,G,42.64%,,50.15%,G,7,,26,,74.63%,,75.19%,,0:56:59,,0:53:22,,214/2577,G,181/2577,G
3388,,6.58%,,3.88%,,13.88%,,-6.37%,R,-6.80%,,-31.80%,R,23.75%,,13.33%,,44,G,50,,40.56%,,40.32%,,8,,35,,42.28%,,52.32%,,0:52:11,,0:55:17,,1143/2577,,2121/2577,R
3389,,-1.49%,,0.33%,,2.46%,R,5.99%,,-15.63%,R,-4.83%,,-1.12%,,0.96%,R,41,G,81,,35.89%,,41.96%,,1,R,7,,78.56%,,46.11%,,0:36:39,,0:40:34,,2035/2577,,2069/2577,R
3786,,12.59%,G,17.43%,G,36.45%,G,44.46%,G,16.67%,,11.61%,,39.04%,G,46.30%,G,0,R,10,,35.88%,,43.21%,,0,R,3,R,74.52%,,67.32%,,1:01:29,,1:09:56,R,434/2577,G,351/2577,G
5252,,-0.92%,,0.22%,,13.75%,,25.72%,,-5.60%,,9.19%,,29.74%,G,18.33%,,16,,117,G,44.08%,,50.54%,G,15,G,119,G,96.47%,G,97.00%,G,0:39:21,,0:42:37,,1241/2577,,732/2577,
Total,B,5.53%,,6.86%,,19.79%,,17.73%,,-0.08%,,0.69%,,22.50%,G,18.49%,,0.68,,0.48,,37.74%,,41.18%,,0.21,,0.27,,62.08%,,56.99%,,0:52:57,,0:52:36,,103/394,,144/394,
518,,5.78%,,9.99%,G,33.31%,G,30.30%,G,11.47%,,15.90%,,24.16%,,24.80%,,13,,114,G,46.56%,,46.48%,,4,,31,,102.52%,G,97.00%,G,0:41:43,,0:42:23,,316/2577,G,186/2577,G
615,,5.96%,,9.13%,,34.28%,G,37.27%,G,22.48%,G,16.54%,G,30.62%,G,40.29%,G,33,G,66,,40.65%,,46.23%,,24,G,103,G,55.93%,,64.64%,,0:38:22,,0:37:17,,199/2577,G,109/2577,G
937,,-11.57%,R,-5.97%,R,-19.31%,R,-19.82%,R,-32.52%,R,-39.97%,R,14.33%,,17.14%,,4,,10,,35.57%,,35.89%,,0,R,3,R,13.70%,R,9.47%,R,0:48:13,,0:47:55,,2495/2577,R,2501/2577,R
1586,,21.17%,G,15.93%,G,66.29%,G,39.46%,G,41.06%,G,22.38%,G,74.78%,G,37.08%,G,61,G,61,,27.33%,R,33.59%,,46,G,76,G,61.80%,,54.10%,,0:41:34,,0:45:29,,15/2577,G,140/2577,G
3403,,10.53%,G,17.60%,G,56.08%,G,63.70%,G,34.83%,G,44.65%,G,65.90%,G,63.90%,G,122,G,295,G,36.72%,,41.61%,,31,G,139,G,79.33%,,78.59%,,0:40:22,,0:40:10,,16/2577,G,8/2577,G
5275,,7.44%,,13.80%,G,45.56%,G,46.39%,G,28.06%,G,21.41%,G,53.04%,G,47.75%,G,32,G,69,,34.20%,,33.64%,,8,,24,,27.33%,R,34.57%,,0:37:28,,0:37:21,,150/2577,G,117/2577,G
Total,B,6.97%,G,10.84%,G,37.83%,G,35.92%,G,19.99%,G,16.49%,G,41.74%,G,39.09%,G,1.42,G,0.85,G,37.98%,,40.90%,,0.61,G,0.52,G,65.22%,,65.70%,,0:40:31,G,0:41:01,G,2/394,G,1/394,G
1024,,-4.62%,R,-1.75%,R,-3.15%,R,2.93%,R,-11.15%,R,-13.33%,R,-12.98%,R,-0.21%,R,3,,17,,15.26%,R,15.57%,R,0,R,0,R,48.25%,,45.48%,,0:39:46,,0:35:11,G,2442/2577,R,2376/2577,R
1143,,-9.15%,R,-4.95%,R,-11.88%,R,-7.56%,R,-17.48%,R,-18.78%,R,-7.82%,R,-1.94%,R,2,,3,R,18.70%,R,20.12%,R,4,,10,,7.61%,R,7.06%,R,0:52:42,,1:02:35,,2549/2577,R,2558/2577,R
1227,,-0.24%,,2.21%,,8.98%,,14.19%,,-4.83%,,-2.24%,,21.76%,,23.70%,,4,,22,,25.48%,R,28.46%,R,7,,20,,2.51%,R,2.54%,R,1:30:30,R,1:23:47,R,2079/2577,R,1926/2577,
3570,,1.22%,,-4.90%,R,44.76%,G,13.84%,,16.46%,,11.55%,,46.76%,G,-4.61%,R,7,,19,,34.30%,,37.22%,,20,G,35,,46.49%,,30.74%,,0:48:54,,0:41:38,,527/2577,,1889/2577,
Total,B,-2.65%,R,-1.88%,R,9.86%,,7.13%,R,-2.80%,R,-4.19%,R,12.05%,,8.64%,R,0.13,R,0.13,R,24.44%,R,25.62%,R,0.25,,0.14,,21.35%,R,16.48%,R,1:00:47,R,0:57:34,,381/394,R,390/394,R
555,,5.36%,,0.22%,,23.98%,,4.28%,R,27.81%,G,-16.75%,R,28.33%,,15.63%,,0,R,4,R,21.68%,R,24.29%,R,0,R,3,R,38.96%,,37.26%,,0:27:13,G,0:29:32,G,714/2577,,2208/2577,R
758,,0.13%,,3.63%,,25.27%,,15.81%,,20.80%,G,9.39%,,17.87%,,13.77%,,0,R,0,R,40.21%,,40.58%,,4,,8,,75.58%,,76.00%,,0:44:06,,0:47:10,,918/2577,,1415/2577,
1076,,-1.78%,,-1.31%,R,11.97%,,6.92%,,-6.53%,,3.99%,,10.08%,,-5.56%,R,32,G,118,G,67.03%,G,64.61%,G,0,R,24,,21.25%,R,20.15%,R,0:40:17,,0:39:23,,1728/2577,,1934/2577,
1153,,-13.15%,R,-8.93%,R,-19.15%,R,-18.63%,R,-24.63%,R,-25.29%,R,-22.73%,R,-30.39%,R,17,,67,,32.03%,,36.80%,,3,,5,R,22.88%,R,19.89%,R,0:31:08,G,0:30:10,G,2460/2577,R,2478/2577,R
1367,,0.16%,,1.92%,,23.86%,,9.70%,,6.73%,,-2.49%,,35.16%,G,19.85%,,1,R,11,,41.06%,,44.20%,,3,,8,,43.09%,,33.33%,,0:54:22,,1:01:34,,1185/2577,,1982/2577,
2733,,1.13%,,8.38%,,33.82%,G,26.41%,,33.53%,G,22.37%,G,2.67%,,15.00%,,1,R,16,,37.34%,,34.80%,,1,R,6,R,80.19%,,66.18%,,0:42:43,,0:46:16,,824/2577,,685/2577,
2890,,18.22%,G,14.08%,G,95.73%,G,51.74%,G,75.71%,G,38.09%,G,72.12%,G,48.93%,G,8,,56,,39.33%,,46.34%,,0,R,10,,40.62%,,39.46%,,0:50:06,,0:43:42,,112/2577,G,91/2577,G
3750,,-8.35%,R,-2.17%,R,7.41%,,9.03%,,-3.34%,,3.84%,,16.79%,,4.72%,,1,R,3,R,66.67%,G,74.00%,G,1,R,9,,44.58%,,51.08%,,0:28:46,G,0:29:21,G,1885/2577,,1881/2577,
Total,B,-0.23%,,1.73%,R,23.58%,G,13.31%,,13.13%,G,4.59%,,21.42%,,12.07%,,0.24,,0.29,,41.42%,,43.57%,,0.05,R,0.08,R,47.44%,,45.13%,,0:42:22,,0:43:53,,131/394,,303/394,
&nbsp;,B,2.96%,,4.79%,,22.48%,G,18.96%,,8.22%,G,5.32%,,21.45%,G,17.96%,,0.59,,0.47,,35.13%,,37.40%,,0.26,,0.24,,49.46%,,48.61%,,0:47:35,,0:47:21,,6/34,G,11/34,
588,,-1.45%,,5.79%,,15.24%,,35.38%,G,11.90%,,18.44%,G,-2.14%,,18.09%,,17,,183,G,51.45%,G,49.43%,G,1,R,6,R,81.64%,G,69.37%,,0:45:58,,0:40:14,,1496/2577,,384/2577,G
889,,-1.34%,,1.69%,,35.03%,G,21.77%,,18.58%,G,7.62%,,17.17%,,28.33%,,2,,2,R,43.77%,,37.98%,,8,,34,,35.16%,,33.00%,,0:27:05,G,0:32:06,G,663/2577,,1053/2577,
899,,1.78%,,3.05%,,34.30%,G,16.76%,,2.85%,,-0.59%,,24.04%,,15.58%,,173,G,514,G,54.85%,G,48.36%,G,39,G,143,G,63.51%,,56.13%,,0:34:56,G,0:38:40,,394/2577,G,1060/2577,
952,,5.19%,,6.44%,,26.77%,,17.38%,,6.38%,,6.25%,,27.11%,,10.29%,,12,,76,,35.16%,,41.27%,,7,,63,G,75.50%,,78.45%,,0:38:25,,0:38:50,,530/2577,,845/2577,
1006,,5.94%,,5.42%,,5.63%,,15.29%,,7.37%,,10.78%,,-9.97%,R,8.26%,,4,,36,,31.73%,,38.31%,,0,R,2,R,23.25%,R,24.66%,R,0:31:17,G,0:36:14,,1699/2577,,1341/2577,
1072,,-6.56%,R,-3.88%,R,-5.43%,R,-0.85%,R,-6.35%,,-3.41%,,-10.14%,R,-12.73%,R,28,G,121,G,29.57%,,35.48%,,6,,25,,44.80%,,47.83%,,1:02:11,R,1:11:36,R,2431/2577,R,2417/2577,R
2615,,-14.59%,R,-9.87%,R,4.17%,,13.39%,,20.13%,G,9.57%,,-26.94%,R,6.53%,,14,,44,,24.88%,R,31.48%,,3,,16,,34.10%,,40.56%,,0:34:09,G,0:41:53,,2121/2577,R,1888/2577,
Total,B,-1.99%,R,1.00%,R,15.92%,,17.70%,,8.30%,,7.27%,,2.16%,R,9.74%,,1.15,G,1.16,G,40.85%,,40.99%,,0.29,,0.34,,53.73%,,50.59%,,0:40:44,G,0:43:20,,225/394,,215/394,
556,,-2.05%,,6.09%,,14.31%,,20.27%,,16.40%,,22.54%,G,-13.77%,R,5.22%,,23,,27,,47.22%,G,44.31%,,90,G,220,G,66.15%,,58.02%,,0:25:56,G,0:29:07,G,1232/2577,,653/2577,
593,,5.44%,,6.65%,,0.07%,R,8.06%,,-17.05%,R,4.22%,,3.24%,,8.33%,,1,R,1,R,53.28%,G,47.71%,,10,,21,,29.34%,,26.92%,R,0:56:29,,0:46:02,,1977/2577,,1642/2577,
639,,7.28%,,8.22%,,35.60%,G,26.14%,,10.15%,,8.93%,,30.76%,G,33.57%,G,1,R,1,R,55.51%,G,52.81%,G,0,R,1,R,67.20%,,64.17%,,1:20:21,R,1:15:41,R,614/2577,,806/2577,
686,,2.08%,,-1.42%,R,10.09%,,-0.38%,R,6.40%,,-0.59%,,1.70%,,-4.78%,R,22,,27,,42.34%,,41.11%,,2,,9,,24.40%,R,20.79%,R,0:31:03,G,0:32:19,G,1504/2577,,2257/2577,R
836,,-0.66%,,5.09%,,3.68%,,15.85%,,-20.74%,R,-11.79%,R,15.47%,,23.45%,,0,R,13,,49.60%,G,59.33%,G,3,,16,,55.98%,,53.65%,,1:07:01,R,1:17:34,R,2152/2577,R,1531/2577,
862,,0.50%,,1.28%,,34.28%,G,18.69%,,10.14%,,1.39%,,27.87%,,20.48%,,0,R,0,R,38.14%,,34.00%,,3,,5,R,22.92%,R,15.27%,R,0:46:39,,0:51:45,,948/2577,,1779/2577,
864,,5.13%,,5.42%,,16.26%,,15.90%,,10.22%,,8.43%,,9.82%,,3.40%,,0,R,0,R,25.19%,R,28.17%,R,0,R,0,R,1.64%,R,3.96%,R,0:31:21,G,0:39:17,,1355/2577,,1648/2577,
1018,,-1.00%,,-0.59%,R,-3.94%,R,2.64%,R,-7.00%,R,4.48%,,-6.29%,R,-8.87%,R,7,,82,,25.12%,R,24.79%,R,0,R,0,R,19.90%,R,21.05%,R,0:37:54,,0:36:08,,2344/2577,R,2255/2577,R
2630,,-1.79%,,-0.78%,R,22.53%,,16.12%,,1.94%,,2.34%,,29.57%,G,12.46%,,12,,46,,30.17%,,29.95%,,1,R,1,R,60.35%,,61.55%,,0:29:22,G,0:27:30,G,1143/2577,,1601/2577,
5392,,4.68%,,5.30%,,32.41%,G,26.76%,,9.49%,,4.45%,,15.68%,,15.42%,,14,,45,,36.97%,,35.43%,,12,G,81,G,86.09%,G,79.48%,G,1:00:40,,1:07:37,R,634/2577,,942/2577,
Total,B,1.95%,,3.85%,,17.10%,,15.68%,,3.24%,,4.68%,,11.09%,,11.25%,,0.26,,0.20,R,40.63%,,40.61%,,0.39,G,0.30,,44.96%,,42.18%,,0:45:19,,0:46:59,,200/394,,256/394,
110,,-10.50%,R,-2.55%,R,-17.86%,R,-11.80%,R,-32.98%,R,-31.49%,R,-8.42%,R,6.37%,,15,,36,,35.30%,,39.77%,,76,G,177,G,55.17%,,44.08%,,1:57:41,R,2:24:50,R,2504/2577,R,2459/2577,R
942,,6.39%,,5.55%,,25.63%,,19.43%,,-1.59%,,1.17%,,8.66%,,4.78%,,78,G,394,G,52.16%,G,54.03%,G,45,G,282,G,52.51%,,68.16%,,1:01:59,R,1:02:48,,762/2577,,1070/2577,
959,,1.79%,,4.27%,,14.11%,,20.23%,,4.44%,,11.68%,,5.20%,,11.68%,,149,G,274,G,47.62%,G,50.35%,G,23,G,88,G,82.78%,G,76.15%,,0:40:34,,0:44:47,,1080/2577,,750/2577,
2695,,9.34%,G,11.65%,G,40.77%,G,39.44%,G,18.29%,,19.39%,G,13.04%,,8.93%,,569,G,1512,G,66.46%,G,63.25%,G,84,G,320,G,60.21%,,58.57%,,0:39:29,,0:38:52,,95/2577,G,126/2577,G
2843,,2.34%,,5.21%,,14.97%,,14.74%,,6.54%,,5.93%,,8.56%,,15.50%,,20,,110,G,38.31%,,41.47%,,21,G,133,G,78.31%,,76.45%,,0:42:17,,0:45:11,,1123/2577,,1028/2577,
4262,,12.55%,G,8.88%,,28.26%,,27.01%,,14.06%,,1.92%,,12.68%,,12.97%,,99,G,565,G,57.95%,G,53.66%,G,37,G,234,G,85.94%,G,80.86%,G,0:47:20,,0:46:54,,205/2577,G,418/2577,G
