Store Number,Ship By Date,Must Arrive By Date,Construction Start
3081,1/16/2023,1/30/2023,02/06/2023
3090,1/16/2023,1/30/2023,02/06/2023
3177,1/16/2023,1/30/2023,02/06/2023
3587,1/16/2023,1/30/2023,02/06/2023
3727,1/16/2023,1/30/2023,02/06/2023
3846,1/16/2023,1/30/2023,02/06/2023
3896,1/16/2023,1/30/2023,02/06/2023
4202,1/16/2023,1/30/2023,02/06/2023
4275,1/16/2023,1/30/2023,02/06/2023
4295,1/16/2023,1/30/2023,02/06/2023
4519,1/16/2023,1/30/2023,02/06/2023
4543,1/16/2023,1/30/2023,02/06/2023
5033,1/16/2023,1/30/2023,02/06/2023
5189,1/16/2023,1/30/2023,02/06/2023
5190,1/16/2023,1/30/2023,02/06/2023
5304,1/16/2023,1/30/2023,02/06/2023
5310,1/16/2023,1/30/2023,02/06/2023
5327,1/16/2023,1/30/2023,02/06/2023
5328,1/16/2023,1/30/2023,02/06/2023
5349,1/16/2023,1/30/2023,02/06/2023
5638,1/16/2023,1/30/2023,02/06/2023
5751,1/16/2023,1/30/2023,02/06/2023
5982,1/16/2023,1/30/2023,02/06/2023
6477,1/16/2023,1/30/2023,02/06/2023
7262,1/16/2023,1/30/2023,02/06/2023
7301,1/16/2023,1/30/2023,02/06/2023
149,1/23/2023,2/6/2023,02/13/2023
485,1/23/2023,2/6/2023,02/13/2023
498,1/23/2023,2/6/2023,02/13/2023
502,1/23/2023,2/6/2023,02/13/2023
542,1/23/2023,2/6/2023,02/13/2023
605,1/23/2023,2/6/2023,02/13/2023
773,1/23/2023,2/6/2023,02/13/2023
842,1/23/2023,2/6/2023,02/13/2023
889,1/23/2023,2/6/2023,02/13/2023
935,1/23/2023,2/6/2023,02/13/2023
1240,1/23/2023,2/6/2023,02/13/2023
1328,1/23/2023,2/6/2023,02/13/2023
1512,1/23/2023,2/6/2023,02/13/2023
1554,1/23/2023,2/6/2023,02/13/2023
1598,1/23/2023,2/6/2023,02/13/2023
1977,1/23/2023,2/6/2023,02/13/2023
2486,1/23/2023,2/6/2023,02/13/2023
2554,1/23/2023,2/6/2023,02/13/2023
2858,1/23/2023,2/6/2023,02/13/2023
3022,1/23/2023,2/6/2023,02/13/2023
3023,1/23/2023,2/6/2023,02/13/2023
3042,1/23/2023,2/6/2023,02/13/2023
3049,1/23/2023,2/6/2023,02/13/2023
3123,1/23/2023,2/6/2023,02/13/2023
3483,1/23/2023,2/6/2023,02/13/2023
3708,1/23/2023,2/6/2023,02/13/2023
3730,1/23/2023,2/6/2023,02/13/2023
3805,1/23/2023,2/6/2023,02/13/2023
4174,1/23/2023,2/6/2023,02/13/2023
4218,1/23/2023,2/6/2023,02/13/2023
4293,1/23/2023,2/6/2023,02/13/2023
4355,1/23/2023,2/6/2023,02/13/2023
4530,1/23/2023,2/6/2023,02/13/2023
4556,1/23/2023,2/6/2023,02/13/2023
4603,1/23/2023,2/6/2023,02/13/2023
4747,1/23/2023,2/6/2023,02/13/2023
5003,1/23/2023,2/6/2023,02/13/2023
5102,1/23/2023,2/6/2023,02/13/2023
5198,1/23/2023,2/6/2023,02/13/2023
5303,1/23/2023,2/6/2023,02/13/2023
5370,1/23/2023,2/6/2023,02/13/2023
5658,1/23/2023,2/6/2023,02/13/2023
5659,1/23/2023,2/6/2023,02/13/2023
5774,1/23/2023,2/6/2023,02/13/2023
5799,1/23/2023,2/6/2023,02/13/2023
5828,1/23/2023,2/6/2023,02/13/2023
5884,1/23/2023,2/6/2023,02/13/2023
7241,1/23/2023,2/6/2023,02/13/2023
7245,1/23/2023,2/6/2023,02/13/2023
153,1/30/2023,2/13/2023,02/20/2023
183,1/30/2023,2/13/2023,02/20/2023
205,1/30/2023,2/13/2023,02/20/2023
239,1/30/2023,2/13/2023,02/20/2023
323,1/30/2023,2/13/2023,02/20/2023
469,1/30/2023,2/13/2023,02/20/2023
521,1/30/2023,2/13/2023,02/20/2023
533,1/30/2023,2/13/2023,02/20/2023
876,1/30/2023,2/13/2023,02/20/2023
887,1/30/2023,2/13/2023,02/20/2023
903,1/30/2023,2/13/2023,02/20/2023
962,1/30/2023,2/13/2023,02/20/2023
989,1/30/2023,2/13/2023,02/20/2023
1066,1/30/2023,2/13/2023,02/20/2023
1192,1/30/2023,2/13/2023,02/20/2023
1196,1/30/2023,2/13/2023,02/20/2023
1204,1/30/2023,2/13/2023,02/20/2023
1231,1/30/2023,2/13/2023,02/20/2023
1271,1/30/2023,2/13/2023,02/20/2023
1630,1/30/2023,2/13/2023,02/20/2023
1813,1/30/2023,2/13/2023,02/20/2023
1831,1/30/2023,2/13/2023,02/20/2023
1903,1/30/2023,2/13/2023,02/20/2023
1973,1/30/2023,2/13/2023,02/20/2023
2040,1/30/2023,2/13/2023,02/20/2023
2053,1/30/2023,2/13/2023,02/20/2023
2094,1/30/2023,2/13/2023,02/20/2023
2104,1/30/2023,2/13/2023,02/20/2023
2223,1/30/2023,2/13/2023,02/20/2023
2504,1/30/2023,2/13/2023,02/20/2023
2547,1/30/2023,2/13/2023,02/20/2023
2637,1/30/2023,2/13/2023,02/20/2023
2732,1/30/2023,2/13/2023,02/20/2023
2773,1/30/2023,2/13/2023,02/20/2023
3019,1/30/2023,2/13/2023,02/20/2023
3167,1/30/2023,2/13/2023,02/20/2023
3188,1/30/2023,2/13/2023,02/20/2023
3824,1/30/2023,2/13/2023,02/20/2023
3842,1/30/2023,2/13/2023,02/20/2023
3990,1/30/2023,2/13/2023,02/20/2023
4127,1/30/2023,2/13/2023,02/20/2023
4421,1/30/2023,2/13/2023,02/20/2023
4426,1/30/2023,2/13/2023,02/20/2023
4570,1/30/2023,2/13/2023,02/20/2023
5007,1/30/2023,2/13/2023,02/20/2023
5022,1/30/2023,2/13/2023,02/20/2023
5079,1/30/2023,2/13/2023,02/20/2023
5081,1/30/2023,2/13/2023,02/20/2023
5498,1/30/2023,2/13/2023,02/20/2023
5606,1/30/2023,2/13/2023,02/20/2023
5608,1/30/2023,2/13/2023,02/20/2023
5609,1/30/2023,2/13/2023,02/20/2023
5732,1/30/2023,2/13/2023,02/20/2023
5776,1/30/2023,2/13/2023,02/20/2023
5832,1/30/2023,2/13/2023,02/20/2023
5859,1/30/2023,2/13/2023,02/20/2023
6177,1/30/2023,2/13/2023,02/20/2023
6583,1/30/2023,2/13/2023,02/20/2023
6732,1/30/2023,2/13/2023,02/20/2023
7099,1/30/2023,2/13/2023,02/20/2023
75,2/6/2023,2/20/2023,02/27/2023
112,2/6/2023,2/20/2023,02/27/2023
115,2/6/2023,2/20/2023,02/27/2023
155,2/6/2023,2/20/2023,02/27/2023
164,2/6/2023,2/20/2023,02/27/2023
244,2/6/2023,2/20/2023,02/27/2023
391,2/6/2023,2/20/2023,02/27/2023
401,2/6/2023,2/20/2023,02/27/2023
553,2/6/2023,2/20/2023,02/27/2023
686,2/6/2023,2/20/2023,02/27/2023
708,2/6/2023,2/20/2023,02/27/2023
761,2/6/2023,2/20/2023,02/27/2023
875,2/6/2023,2/20/2023,02/27/2023
953,2/6/2023,2/20/2023,02/27/2023
970,2/6/2023,2/20/2023,02/27/2023
1106,2/6/2023,2/20/2023,02/27/2023
1107,2/6/2023,2/20/2023,02/27/2023
1136,2/6/2023,2/20/2023,02/27/2023
1195,2/6/2023,2/20/2023,02/27/2023
1492,2/6/2023,2/20/2023,02/27/2023
1705,2/6/2023,2/20/2023,02/27/2023
1744,2/6/2023,2/20/2023,02/27/2023
1835,2/6/2023,2/20/2023,02/27/2023
1909,2/6/2023,2/20/2023,02/27/2023
2293,2/6/2023,2/20/2023,02/27/2023
2294,2/6/2023,2/20/2023,02/27/2023
2355,2/6/2023,2/20/2023,02/27/2023
2360,2/6/2023,2/20/2023,02/27/2023
2444,2/6/2023,2/20/2023,02/27/2023
2840,2/6/2023,2/20/2023,02/27/2023
2859,2/6/2023,2/20/2023,02/27/2023
2871,2/6/2023,2/20/2023,02/27/2023
2939,2/6/2023,2/20/2023,02/27/2023
3008,2/6/2023,2/20/2023,02/27/2023
3060,2/6/2023,2/20/2023,02/27/2023
3070,2/6/2023,2/20/2023,02/27/2023
3071,2/6/2023,2/20/2023,02/27/2023
3212,2/6/2023,2/20/2023,02/27/2023
3221,2/6/2023,2/20/2023,02/27/2023
3280,2/6/2023,2/20/2023,02/27/2023
3329,2/6/2023,2/20/2023,02/27/2023
3339,2/6/2023,2/20/2023,02/27/2023
3582,2/6/2023,2/20/2023,02/27/2023
3635,2/6/2023,2/20/2023,02/27/2023
3736,2/6/2023,2/20/2023,02/27/2023
3830,2/6/2023,2/20/2023,02/27/2023
4048,2/6/2023,2/20/2023,02/27/2023
4525,2/6/2023,2/20/2023,02/27/2023
4597,2/6/2023,2/20/2023,02/27/2023
4599,2/6/2023,2/20/2023,02/27/2023
4619,2/6/2023,2/20/2023,02/27/2023
5012,2/6/2023,2/20/2023,02/27/2023
5125,2/6/2023,2/20/2023,02/27/2023
5142,2/6/2023,2/20/2023,02/27/2023
5414,2/6/2023,2/20/2023,02/27/2023
5464,2/6/2023,2/20/2023,02/27/2023
5476,2/6/2023,2/20/2023,02/27/2023
5944,2/6/2023,2/20/2023,02/27/2023
6577,2/6/2023,2/20/2023,02/27/2023
6588,2/6/2023,2/20/2023,02/27/2023
