State,Store ID,CBSA,Type,Address,Zip Code,City
TX,1313,"San Antonio-New Braunfels, TX",SUP,1200 Se Military Dr,78214-2851,San Antonio
GA,1314,"Atlanta-Sandy Springs-Roswell, GA",SUP,3795 Buford Dr,30519-4906,Buford
LA,1342,"New Orleans-Metairie, LA",SUP,300 W Esplanade Ave,70065-2540,Kenner
TX,1347,"San Antonio-New Braunfels, TX",SUP,1430 Austin Hwy,78209-4338,San Antonio
FL,1349,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,3306 N University Dr,33351-6720,Sunrise
LA,1353,"New Orleans-Metairie, LA",SUP,5110 Jefferson Hwy,70123-5302,Harahan
GA,1373,"Atlanta-Sandy Springs-Roswell, GA",SUP,4004 Lawrenceville Hwy Nw,30047-2820,Lilburn
IL,1377,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,3801 Running Brk Farm Blvd,60050-5425,Johnsburg
AZ,1381,"Phoenix-Mesa-Scottsdale, AZ",SUP,2555 W Apache Trl,85120-5204,Apache Junction
NC,1385,"Charlotte-Concord-Gastonia, NC-SC",SUP,3000 E Franklin Blvd,28056-9451,Gastonia
FL,1387,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,3801 Turtle Creek Dr,33067-4282,Coral Springs
FL,1390,"Tampa-St. Petersburg-Clearwater, FL",SUP,8001 Us Highway 19 N,33781-1744,Pinellas Park
FL,1398,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,4545 Hypoluxo Rd,33463-7508,Lake Worth
IL,1401,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,2552 W 75th St,60564-7572,Naperville
IL,1404,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,820 S Rand Rd,60047-2465,Lake Zurich
TX,1409,"Houston-The Woodlands-Sugar Land, TX",SUP,10750 Westview Dr,77043-5019,Houston
IL,1413,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,1205 S Il Route 31,60014-8213,Crystal Lake
IL,1418,"St. Louis, MO-IL",SUP,1530 West Hwy 50,62269-1619,O Fallon
IL,1420,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,850 S Barrington Rd,60107-2255,Streamwood
VA,1424,"Richmond, VA",SUP,671 Southpark Blvd,23834-3617,Colonial Heights
CO,1434,"Colorado Springs, CO",SUP,707 S 8th St,80905-1811,Colorado Springs
FL,1436,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,6294 Forest Hill Blvd,33415-6109,Greenacres
OH,1441,"Cincinnati, OH-KY-IN",SUP,5303 Bowen Dr,45040-6732,Mason
OH,1443,"Cincinnati, OH-KY-IN",SUP,4370 Eastgate Square Dr,45245-4502,Cincinnati
FL,1444,"Jacksonville, FL",SUP,9890 Hutchinson Park Dr,32225-7205,Jacksonville
TX,1455,"Dallas-Fort Worth-Arlington, TX",SUP,8401 Anderson Blvd,76120-3857,Fort Worth
GA,1458,"Chattanooga, TN-GA",SUP,3040 Battlefield Pkwy,30742-4004,Fort Oglethorpe
IN,1459,"Indianapolis-Carmel-Anderson, IN",SUP,7245 Us 31 S,46227-8538,Indianapolis
NC,1464,"Charlotte-Concord-Gastonia, NC-SC",SUP,8180 S Tryon St,28273-3325,Charlotte
TN,1469,"Chattanooga, TN-GA",SUP,2020 Gunbarrel Rd Ste 250,37421-2663,Chattanooga
IN,1476,"Louisville-Jefferson County, KY-IN",SUP,1351 Veterans Pkwy,47129-7747,Clarksville
AL,1481,"Birmingham-Hoover, AL",SUP,209 Lakeshore Pkwy,35209-7105,Homewood
GA,1488,"Atlanta-Sandy Springs-Roswell, GA",SUP,7001 Concourse Pkwy,30134-4549,Douglasville
CO,1492,"Denver-Aurora-Lakewood, CO",SUP,14000 E Exposition Ave,80012-2538,Aurora
IL,1497,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,22401 Central Ave,60471-2062,Richton Park
KS,1507,"Wichita, KS",SUP,3030 N Rock Rd,67226-1309,Wichita
KY,1510,"Cincinnati, OH-KY-IN",SUP,7625 Doering Dr,41042-4211,Florence
FL,1511,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,1800 South University Drive,33025-2231,Miramar
AZ,1512,"Phoenix-Mesa-Scottsdale, AZ",SUP,800 W Warner Rd,85225-2939,Chandler
FL,1513,"Tampa-St. Petersburg-Clearwater, FL",SUP,35404 Us Highway 19 N,34684-1738,Palm Harbor
MO,1514,"St. Louis, MO-IL",SUP,2201 Michigan Ave,63010-2151,Arnold
FL,1517,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,5001 N Federal Highway,33064-7056,Pompano Beach
VA,1523,"Richmond, VA",SUP,11400 W Broad St Rd,23060-5821,Glen Allen
VA,1524,"Richmond, VA",SUP,12000 Iron Bridge Rd,23831-1459,Chester
VA,1525,"Richmond, VA",SUP,7430 Bell Creek Rd,23111-3550,Mechanicsville
IL,1531,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,365 Lake Marian Road,60110-2096,Carpentersville
AZ,1532,"Phoenix-Mesa-Scottsdale, AZ",SUP,5845 W Bell Rd,85308-3871,Glendale
AZ,1533,"Phoenix-Mesa-Scottsdale, AZ",SUP,7975 W Peoria Ave,85345-5941,Peoria
FL,1536,"Tampa-St. Petersburg-Clearwater, FL",SUP,10237 Bay Pines Blvd,33708-4106,St Petersburg
FL,1541,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,9990 Belvedere Rd,33411-3518,West Palm Beach
AZ,1549,"Phoenix-Mesa-Scottsdale, AZ",SUP,2020 N 75th Ave,85035-3200,Phoenix
NC,1552,"Charlotte-Concord-Gastonia, NC-SC",SUP,323 S Arlington St,28144-5163,Salisbury
IL,1553,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,314 West Army Trail Road,60108-2300,Bloomingdale
IL,1556,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,9265 159th St,60487-5977,Orland Hills
IN,1557,"Indianapolis-Carmel-Anderson, IN",SUP,8300 E 96th St,46037-9795,Fishers
NV,1560,"Las Vegas-Henderson-Paradise, NV",SUP,6005 S Eastern Ave,89119-3135,Las Vegas
TN,1561,"Memphis, TN-MS-AR",SUP,3950 Austin Peay Hwy,38128-2516,Memphis
CA,1563,"Los Angeles-Long Beach-Anaheim, CA",SUP,44665 Valley Central Way,93536-6500,Lancaster
GA,1578,"Atlanta-Sandy Springs-Roswell, GA",SUP,970 Mansell Rd,30076-1506,Roswell
NV,1584,"Las Vegas-Henderson-Paradise, NV",SUP,3615 S Rainbow Blvd,89103-1057,Las Vegas
GA,1586,"Atlanta-Sandy Springs-Roswell, GA",SUP,1133 E W Connector,30106-1779,Austell
FL,1589,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,16205 S Military Trl,33484-6503,Delray Beach
FL,1590,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,5851 Nw 177th St,33015-5127,Hialeah
OH,1594,"Columbus, OH",SUP,911 Hebron Rd,43056-1182,Heath
IL,1596,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,200 S Bolingbrook Dr,60440-0000,Bolingbrook
OK,1597,"Tulsa, OK",SUP,10938 S Memorial Dr,74133-7352,Tulsa
AZ,1598,"Phoenix-Mesa-Scottsdale, AZ",SUP,4617 E Bell Rd,85032-2305,Phoenix
KS,1599,"Kansas City, MO-KS",SUP,11701 Metcalf Ave,66210-2202,Overland Park
IN,1601,"Indianapolis-Carmel-Anderson, IN",SUP,2001 E 151st St,46033-7737,Carmel
TN,1606,"Chattanooga, TN-GA",SUP,5764 Highway 153,37343-3727,Hixson
IN,1618,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,2936 E 79th Ave,46410-5748,Merrillville
OK,1626,"Oklahoma City, OK",SUP,2000 W Memorial Rd,73134-6506,Oklahoma City
VA,1631,"Virginia Beach-Norfolk-Newport News, VA-NC",SUP,1900 Cunningham Dr,23666-4260,Hampton
NE,1637,"Omaha-Council Bluffs, NE-IA",SUP,6304 N 99th St,68134-1528,Omaha
AZ,1646,"Phoenix-Mesa-Scottsdale, AZ",SUP,6131 E Southern Ave,85206-3734,Mesa
CA,1660,"Los Angeles-Long Beach-Anaheim, CA",SUP,40130 10th St W,93551-3005,Palmdale
