Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
59,Wednesday,11/8/2023,0,0,0,3
59,Thursday,11/9/2023,3,3,1,3
59,Friday,11/10/2023,1,1,1,0
59,Saturday,11/11/2023,1,1,1,0
59,Sunday,11/12/2023,1,1,1,0
59,Monday,11/13/2023,1,1,1,0
60,Wednesday,11/8/2023,0,0,0,2
60,Thursday,11/9/2023,3,3,1,2
60,Friday,11/10/2023,1,1,1,0
60,Saturday,11/11/2023,1,1,1,0
60,Sunday,11/12/2023,1,1,1,0
60,Monday,11/13/2023,1,1,1,0
61,Wednesday,11/8/2023,0,0,0,2
61,Thursday,11/9/2023,3,3,1,2
61,Friday,11/10/2023,1,1,1,0
61,Saturday,11/11/2023,1,1,1,0
61,Sunday,11/12/2023,1,1,1,0
61,Monday,11/13/2023,1,1,1,0
62,Wednesday,11/8/2023,0,0,0,2
62,Thursday,11/9/2023,1,1,1,2
62,Friday,11/10/2023,1,1,1,0
62,Saturday,11/11/2023,1,1,1,0
62,Sunday,11/12/2023,1,1,1,0
62,Monday,11/13/2023,1,1,1,0
63,Wednesday,11/8/2023,0,0,0,2
63,Thursday,11/9/2023,3,3,1,2
63,Friday,11/10/2023,1,1,1,0
63,Saturday,11/11/2023,1,1,1,0
63,Sunday,11/12/2023,1,1,1,0
63,Monday,11/13/2023,1,1,1,0
64,Wednesday,11/8/2023,0,0,0,2
64,Thursday,11/9/2023,1,1,1,2
64,Friday,11/10/2023,1,1,1,0
64,Saturday,11/11/2023,1,1,1,0
64,Sunday,11/12/2023,1,1,1,0
64,Monday,11/13/2023,1,1,1,0
65,Wednesday,11/8/2023,0,0,0,2
65,Thursday,11/9/2023,1,1,1,2
65,Friday,11/10/2023,1,1,1,0
65,Saturday,11/11/2023,1,1,1,0
65,Sunday,11/12/2023,1,1,1,0
65,Monday,11/13/2023,1,1,1,0
66,Wednesday,11/8/2023,0,0,0,2
66,Thursday,11/9/2023,1,1,1,2
66,Friday,11/10/2023,1,1,1,0
66,Saturday,11/11/2023,1,1,1,0
66,Sunday,11/12/2023,1,1,1,0
66,Monday,11/13/2023,1,1,1,0
67,Wednesday,11/8/2023,0,0,0,2
67,Thursday,11/9/2023,1,1,1,2
67,Friday,11/10/2023,1,1,1,0
67,Saturday,11/11/2023,1,1,1,0
67,Sunday,11/12/2023,1,1,1,0
67,Monday,11/13/2023,1,1,1,0
68,Wednesday,11/8/2023,0,0,0,2
68,Thursday,11/9/2023,1,1,1,2
68,Friday,11/10/2023,1,1,1,0
68,Saturday,11/11/2023,1,1,1,0
68,Sunday,11/12/2023,1,1,1,0
68,Monday,11/13/2023,1,1,1,0
69,Wednesday,11/8/2023,0,0,0,4
69,Thursday,11/9/2023,4,4,1,4
69,Friday,11/10/2023,1,1,1,0
69,Saturday,11/11/2023,1,1,1,0
69,Sunday,11/12/2023,1,1,1,0
69,Monday,11/13/2023,1,1,1,0
70,Wednesday,11/8/2023,0,0,0,3
70,Thursday,11/9/2023,4,4,1,3
70,Friday,11/10/2023,1,1,1,0
70,Saturday,11/11/2023,1,1,1,0
70,Sunday,11/12/2023,1,1,1,0
70,Monday,11/13/2023,1,1,1,0
71,Wednesday,11/8/2023,0,0,0,2
71,Thursday,11/9/2023,3,3,1,2
71,Friday,11/10/2023,1,1,1,0
71,Saturday,11/11/2023,1,1,1,0
71,Sunday,11/12/2023,1,1,1,0
71,Monday,11/13/2023,1,1,1,0
72,Wednesday,11/8/2023,0,0,0,2
72,Thursday,11/9/2023,3,3,1,2
72,Friday,11/10/2023,3,3,1,0
72,Saturday,11/11/2023,1,1,1,0
72,Sunday,11/12/2023,1,1,1,0
72,Monday,11/13/2023,1,1,1,0
73,Wednesday,11/8/2023,0,0,0,2
73,Thursday,11/9/2023,3,3,1,2
73,Friday,11/10/2023,1,1,1,0
73,Saturday,11/11/2023,1,1,1,0
73,Sunday,11/12/2023,1,1,1,0
73,Monday,11/13/2023,1,1,1,0
74,Wednesday,11/8/2023,0,0,0,2
74,Thursday,11/9/2023,1,1,1,2
74,Friday,11/10/2023,1,1,1,0
74,Saturday,11/11/2023,1,1,1,0
74,Sunday,11/12/2023,1,1,1,0
74,Monday,11/13/2023,1,1,1,0
