Store,Dept,Inventory Dollars,Format
69,98,"$32,542.49",WM Supercenter
70,80,"$12,693.82",WM Supercenter
70,93,"$79,135.46",WM Supercenter
70,94,"$28,889.74",WM Supercenter
70,98,"$22,229.14",WM Supercenter
71,80,"$10,999.16",WM Supercenter
71,93,"$56,481.75",WM Supercenter
71,94,"$23,407.36",WM Supercenter
71,98,"$11,448.33",WM Supercenter
72,80,"$15,625.63",WM Supercenter
72,93,"$71,729.45",WM Supercenter
72,94,"$34,852.50",WM Supercenter
72,98,"$22,593.40",WM Supercenter
73,80,"$19,400.65",WM Supercenter
73,93,"$74,661.31",WM Supercenter
73,94,"$29,320.84",WM Supercenter
73,98,"$20,767.82",WM Supercenter
74,80,"$2,617.10",WM Supercenter
74,93,"$33,402.01",WM Supercenter
74,94,"$15,231.44",WM Supercenter
74,98,"$12,434.13",WM Supercenter
75,80,"$23,812.68",WM Supercenter
75,93,"$66,660.15",WM Supercenter
75,94,"$17,299.05",WM Supercenter
75,98,"$22,503.62",WM Supercenter
76,80,"$20,521.97",WM Supercenter
76,93,"$47,617.02",WM Supercenter
76,94,"$20,666.42",WM Supercenter
76,98,"$19,003.72",WM Supercenter
77,80,"$41,836.08",WM Supercenter
77,93,"$45,303.11",WM Supercenter
77,94,"$18,123.79",WM Supercenter
77,98,"$20,167.01",WM Supercenter
78,80,"$11,956.59",WM Supercenter
78,93,"$54,075.42",WM Supercenter
78,94,"$30,252.37",WM Supercenter
78,98,"$18,262.13",WM Supercenter
79,80,"$20,407.13",WM Supercenter
79,93,"$66,848.34",WM Supercenter
79,94,"$27,879.71",WM Supercenter
79,98,"$29,914.42",WM Supercenter
80,80,"$13,299.01",WM Supercenter
80,93,"$64,260.39",WM Supercenter
80,94,"$38,324.90",WM Supercenter
80,98,"$18,997.39",WM Supercenter
81,80,"$10,616.65",WM Supercenter
81,93,"$44,148.53",WM Supercenter
81,94,"$18,602.11",WM Supercenter
81,98,"$13,779.88",WM Supercenter
82,80,"$8,365.91",WM Supercenter
82,93,"$36,338.09",WM Supercenter
82,94,"$15,378.26",WM Supercenter
82,98,"$9,238.01",WM Supercenter
83,80,"$6,789.52",WM Supercenter
83,93,"$67,215.50",WM Supercenter
83,94,"$33,401.03",WM Supercenter
83,98,"$16,890.36",WM Supercenter
85,80,"$27,932.81",WM Supercenter
85,93,"$74,810.41",WM Supercenter
85,94,"$30,171.07",WM Supercenter
85,98,"$21,387.58",WM Supercenter
86,80,"$17,735.97",WM Supercenter
86,93,"$69,261.21",WM Supercenter
86,94,"$29,186.32",WM Supercenter
86,98,"$22,638.84",WM Supercenter
87,80,"$12,942.04",WM Supercenter
87,93,"$99,193.83",WM Supercenter
87,94,"$43,854.62",WM Supercenter
87,98,"$20,405.24",WM Supercenter
88,80,"$15,263.98",WM Supercenter
88,93,"$49,669.48",WM Supercenter
88,94,"$22,572.51",WM Supercenter
88,98,"$8,656.87",WM Supercenter
89,80,"$19,686.79",WM Supercenter
89,93,"$62,940.43",WM Supercenter
89,94,"$36,771.33",WM Supercenter
89,98,"$23,361.49",WM Supercenter
90,80,"$16,170.09",WM Supercenter
90,93,"$79,999.60",WM Supercenter
90,94,"$33,507.58",WM Supercenter
90,98,"$26,598.61",WM Supercenter
91,80,"$26,198.81",WM Supercenter
91,93,"$77,875.55",WM Supercenter
91,94,"$21,958.79",WM Supercenter
91,98,"$28,370.49",WM Supercenter
92,80,"$16,465.25",WM Supercenter
92,93,"$60,970.20",WM Supercenter
92,94,"$31,796.92",WM Supercenter
92,98,"$21,100.72",WM Supercenter
93,80,"$16,121.39",WM Supercenter
93,93,"$90,460.75",WM Supercenter
93,94,"$37,654.65",WM Supercenter
93,98,"$20,121.76",WM Supercenter
94,80,"$26,388.42",WM Supercenter
94,93,"$95,437.83",WM Supercenter
94,94,"$28,864.41",WM Supercenter
94,98,"$24,100.53",WM Supercenter
95,80,"$16,761.01",WM Supercenter
95,93,"$91,792.42",WM Supercenter
95,94,"$35,946.79",WM Supercenter
95,98,"$23,085.38",WM Supercenter
96,80,"$13,411.22",WM Supercenter
96,93,"$60,642.97",WM Supercenter
96,94,"$30,195.88",WM Supercenter
96,98,"$20,701.14",WM Supercenter
97,80,$648.68,WM Supercenter
97,93,"$63,291.92",WM Supercenter
97,94,"$23,187.55",WM Supercenter
97,98,"$8,943.98",WM Supercenter
98,80,"$8,775.43",WM Supercenter
98,93,"$63,908.31",WM Supercenter
98,94,"$22,016.95",WM Supercenter
98,98,"$12,799.69",WM Supercenter
99,80,"$12,230.22",WM Supercenter
99,93,"$41,091.76",WM Supercenter
99,94,"$22,495.11",WM Supercenter
99,98,"$13,133.19",WM Supercenter
100,80,"$22,260.54",WM Supercenter
100,93,"$88,892.40",WM Supercenter
100,94,"$54,604.50",WM Supercenter
100,98,"$28,506.76",WM Supercenter
101,80,"$15,925.01",WM Supercenter
101,93,"$71,681.40",WM Supercenter
101,94,"$42,662.40",WM Supercenter
101,98,"$20,448.12",WM Supercenter
102,80,"$10,065.49",WM Supercenter
102,93,"$66,008.58",WM Supercenter
102,94,"$37,124.47",WM Supercenter
102,98,"$5,138.55",WM Supercenter
103,80,"$20,637.04",WM Supercenter
103,93,"$95,674.21",WM Supercenter
103,94,"$30,756.82",WM Supercenter
103,98,"$32,189.71",WM Supercenter
104,80,"$17,951.57",WM Supercenter
104,93,"$59,449.01",WM Supercenter
