Store Number,Holiday ,Additional Pallets
1063,4th of July,2
1064,4th of July,1
1064,Memorial Day,1
1065,4th of July,2
1066,4th of July,2
1066,Memorial Day,2
1067,4th of July,2
1068,4th of July,1
1068,Memorial Day,1
1069,4th of July,2
1070,4th of July,2
1070,Memorial Day,2
1073,4th of July,2
1076,4th of July,1
1077,4th of July,2
1078,4th of July,2
1079,4th of July,3
1079,Memorial Day,3
1082,4th of July,2
1083,4th of July,2
1085,4th of July,2
1085,Memorial Day,2
1087,4th of July,2
1087,Memorial Day,2
1088,4th of July,2
1088,Memorial Day,2
1090,4th of July,2
1091,4th of July,2
1094,4th of July,2
1095,4th of July,2
1096,4th of July,2
1097,4th of July,2
1098,4th of July,2
1098,Memorial Day,2
1100,4th of July,2
1101,4th of July,2
1102,4th of July,2
1103,4th of July,2
1103,Memorial Day,2
1104,4th of July,2
1104,Memorial Day,2
1107,4th of July,2
1108,4th of July,2
1109,4th of July,2
1110,4th of July,2
1117,4th of July,2
1117,Memorial Day,2
1118,4th of July,2
1119,4th of July,2
1122,4th of July,2
1126,4th of July,2
1126,Memorial Day,2
1129,4th of July,2
1131,4th of July,1
1131,Memorial Day,1
1132,4th of July,2
1132,Memorial Day,2
1134,4th of July,2
1134,Memorial Day,2
1135,4th of July,2
1136,4th of July,2
1137,4th of July,1
1137,Memorial Day,1
1144,4th of July,1
1144,Memorial Day,1
1146,4th of July,2
1148,4th of July,2
1148,Memorial Day,2
1149,4th of July,3
1149,Memorial Day,3
1150,4th of July,2
1152,4th of July,1
1152,Memorial Day,1
1154,4th of July,3
1154,Memorial Day,3
1155,4th of July,2
1156,4th of July,2
1156,Memorial Day,2
1163,4th of July,2
1166,4th of July,2
1168,4th of July,2
1169,4th of July,2
1171,4th of July,1
1171,Memorial Day,1
1172,4th of July,1
1172,Memorial Day,1
1173,4th of July,2
1175,4th of July,3
1175,Memorial Day,3
1178,4th of July,1
1178,Memorial Day,1
1182,4th of July,2
1182,Memorial Day,2
1185,4th of July,3
1186,4th of July,2
1191,4th of July,1
1191,Memorial Day,1
1193,4th of July,2
1195,4th of July,3
1195,Memorial Day,3
1197,4th of July,2
1198,4th of July,2
1198,Memorial Day,2
1200,4th of July,2
1200,Memorial Day,2
1202,4th of July,1
1202,Memorial Day,1
1203,4th of July,2
1203,Memorial Day,2
1204,4th of July,2
1205,4th of July,1
1205,Memorial Day,1
1206,4th of July,1
1206,Memorial Day,1
1207,4th of July,2
1207,Memorial Day,2
1209,4th of July,2
1212,4th of July,2
1213,4th of July,2
1213,Memorial Day,2
1214,4th of July,2
1214,Memorial Day,2
1216,4th of July,2
1216,Memorial Day,2
1218,4th of July,3
1218,Memorial Day,3
1219,4th of July,2
1222,4th of July,2
1222,Memorial Day,2
1223,4th of July,2
1224,4th of July,2
1224,Memorial Day,2
1225,4th of July,2
1230,4th of July,3
1230,Memorial Day,3
1231,4th of July,2
1231,Memorial Day,2
1232,4th of July,2
1235,4th of July,2
1236,4th of July,2
1237,4th of July,2
1238,4th of July,2
1240,4th of July,3
1240,Memorial Day,3
1242,4th of July,2
1243,4th of July,2
1245,4th of July,2
1245,Memorial Day,2
1249,4th of July,2
1249,Memorial Day,2
1253,4th of July,2
1253,Memorial Day,1
1254,4th of July,2
1255,4th of July,2
1255,Memorial Day,1
1257,4th of July,2
1257,Memorial Day,2
1260,4th of July,2
1261,4th of July,2
1268,4th of July,2
1271,4th of July,2
1272,4th of July,2
1272,Memorial Day,2
1279,4th of July,1
1279,Memorial Day,1
1280,4th of July,3
1280,Memorial Day,3
1283,4th of July,2
1284,4th of July,2
1287,4th of July,1
1287,Memorial Day,1
1288,4th of July,2
1290,4th of July,1
1290,Memorial Day,1
1291,4th of July,2
1291,Memorial Day,2
1292,4th of July,1
1292,Memorial Day,1
1296,4th of July,2
1297,4th of July,2
1297,Memorial Day,2
1298,4th of July,2
1298,Memorial Day,2
1299,4th of July,3
1299,Memorial Day,3
1300,4th of July,2
1301,4th of July,2
