Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
194,76,2164,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202344,78.30%,100.00%,6.8,69.20%,74.00%,87.70%,81.80%
195,76,2210,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202344,82.10%,97.50%,9.3,70.80%,83.60%,87.40%,84.00%
498,59,7304,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202344,92.40%,100.00%,4.8,100.00%,87.50%,88.90%,88.90%
280,76,1703,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202344,89.70%,97.00%,5.6,93.50%,93.30%,82.50%,89.80%
283,76,3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202344,80.90%,95.50%,7.5,79.50%,71.70%,88.80%,80.30%
283,76,5968,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202344,89.10%,96.60%,7.9,85.20%,86.70%,94.40%,88.80%
286,76,3573,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202344,84.10%,94.20%,8.1,83.60%,83.60%,87.30%,81.50%
320,76,2833,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202344,89.80%,99.60%,5.4,96.40%,91.00%,84.30%,86.60%
293,75,2850,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202344,84.50%,95.20%,8.5,81.80%,86.00%,88.20%,82.50%
294,4,1795,SPARK,Scheduled Standard Delivery,41,Executive Review,Recovering,Driver Supply Focus,202344,87.00%,99.30%,5.7,92.50%,86.20%,92.40%,74.10%
497,59,3724,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202344,91.10%,91.10%,9.7,92.80%,93.10%,89.30%,88.20%
49,5,471,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202344,90.90%,97.30%,15.5,92.50%,92.20%,87.10%,92.00%
49,5,3014,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202344,84.30%,91.50%,17.7,85.00%,84.30%,86.50%,80.50%
