Store,XS Men ,S Men ,M Men ,L Men ,XL Men ,2X Men ,3X Men ,4X Men ,5X Men ,6X Men ,7X Men ,8X Men ,XS Women ,S Women ,M Women ,L Women ,XL Women ,2X Women ,3X Women ,4X Women ,5X Women ,6X Women ,7X Women ,8X Women 
473,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
476,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
480,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
485,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
488,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
490,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
498,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
502,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
503,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
519,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
524,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
525,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
526,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
527,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
550,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
552,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
561,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
568,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
606,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
617,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
626,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
627,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
646,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
647,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
693,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
696,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
707,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
713,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
714,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
727,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
738,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
748,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
750,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
757,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
759,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
783,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
784,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
788,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
795,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
798,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
803,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
825,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
829,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
833,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
834,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
840,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
846,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
851,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
858,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
863,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
871,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
873,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
876,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
885,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
898,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
920,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
921,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
925,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
933,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
951,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
954,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
962,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
976,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
977,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
982,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
986,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
996,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1013,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1038,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1051,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1052,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1057,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1063,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1067,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1069,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1073,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1084,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1095,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1098,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1100,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1106,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1107,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1108,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1109,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1115,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1119,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1138,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1147,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1152,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1154,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1157,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1159,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1166,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1170,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1174,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1175,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1189,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1196,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1199,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1211,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1214,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1257,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1272,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1274,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1275,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1282,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1295,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1308,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1316,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1323,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1325,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1334,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1352,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1365,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1366,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1368,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1374,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1398,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1409,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1435,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1436,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1456,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1471,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1475,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1480,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1482,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1489,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1493,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1501,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1506,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1509,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1512,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1513,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1517,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1537,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1546,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1548,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1550,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1562,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1576,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1579,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1587,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1603,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1610,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1615,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1616,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1621,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1629,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1630,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1638,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1639,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1641,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
1653,0,1,3,2,3,2,1,1,1,1,0,0,2,1,5,4,2,2,2,0,1,1,0,0
