Store Number,Link,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor,Floorplan,Give Feedback
41,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0041_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,781699655247; 781699655707; 781699658739; 781699660636; 781699661070,7/11/2023,Telaid,8/9/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
42,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0042_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/14/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
43,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0043_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/5/2023,Telaid,10/12/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
45,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0045_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/5/2023,Wachter,10/12/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
46,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0046_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,12/5/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
47,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0047_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/23/2023,Telaid,8/31/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
48,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0048_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Telaid,6/27/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
49,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0049_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
50,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0050_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781454966002; 781454966252; 781454967969; 781454969354,7/13/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
51,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0051_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/17/2023,Telaid,8/10/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
52,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0052_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/16/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
54,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0054_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,6/25/2023,Wachter,8/14/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
55,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0055_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781541555154; 781541557087; 781541557710; 781541559881,8/2/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
56,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0056_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/30/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
58,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0058_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781458619633; 781458621335; 781458622456; 781458622695,7/31/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
59,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0059_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/24/2023,Telaid,8/11/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
60,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0060_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/23/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
61,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0061_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/19/2023,Telaid,8/4/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
62,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0062_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/19/2023,Wachter,10/23/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
63,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0063_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/31/2023,Telaid,9/13/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
64,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0064_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/15/2023,Wachter,8/28/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
65,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0065_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/20/2023,Telaid,9/25/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
66,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0066_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781367877379; 781367878250; 781367878798; 781367882893,7/20/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
67,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0067_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,781594578468; 781594580023; 781594580630; 781594582622,8/3/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
68,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/0068_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/1/2023,Wachter,10/5/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
