STORE,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
692,37,0,20,16,0
693,37,0,8,8,0
694,37,0,20,20,0
695,37,0,12,12,0
696,37,0,12,8,0
697,37,0,0,24,0
698,37,0,20,12,0
699,37,0,20,32,0
700,37,0,20,24,8
701,37,0,20,16,0
702,37,0,20,20,0
703,37,0,20,24,0
705,37,0,12,32,0
706,37,0,20,32,0
707,37,0,12,12,0
708,37,0,12,32,0
709,37,0,20,16,0
710,37,28,0,0,0
711,37,0,20,12,0
712,37,0,0,8,0
713,37,0,8,8,0
714,37,0,12,12,0
715,37,0,20,20,0
716,37,0,12,16,0
718,37,0,20,32,0
719,37,0,20,20,0
720,37,0,20,20,0
721,37,0,12,32,0
722,37,0,20,16,0
723,37,0,20,24,8
724,37,0,20,8,0
725,37,0,12,20,0
726,37,24,0,0,0
727,37,24,0,0,0
728,37,0,12,8,0
729,37,0,20,28,0
730,37,0,20,20,0
731,37,0,12,16,0
733,37,0,20,16,0
734,37,0,20,24,8
735,37,0,20,8,0
736,37,0,20,8,0
737,37,0,12,8,0
738,37,0,20,28,0
739,37,0,20,24,0
740,37,0,20,8,0
741,37,0,0,16,0
742,37,0,20,20,0
743,37,0,12,20,0
744,37,0,20,20,0
745,37,0,20,16,0
746,37,0,20,24,0
748,37,0,12,8,0
749,37,0,20,20,0
750,37,0,12,20,0
751,37,0,12,20,0
752,37,0,20,20,0
753,37,0,20,20,8
754,37,0,0,12,0
755,37,0,20,28,0
756,37,0,12,12,0
757,37,0,20,24,8
758,37,0,20,16,0
759,37,0,12,8,0
760,37,0,8,8,0
761,37,0,12,20,0
762,37,0,12,20,0
764,37,0,0,20,0
765,37,36,0,0,0
766,37,0,20,16,0
767,37,0,20,24,0
768,37,28,0,0,0
769,37,0,12,32,0
770,37,0,12,20,8
771,37,0,12,28,0
772,37,20,0,0,0
773,37,0,12,20,0
774,37,0,20,20,0
775,37,0,12,8,0
776,37,0,20,24,0
777,37,0,20,12,0
778,37,0,12,20,0
779,37,0,20,32,0
780,37,0,20,16,0
