sn,Procedure,Equipment,Compliance,Compliance2,Compliance3,Compliance4,Operational,Operational2,Operational3,Operational4
154,1,1,1,0,1,1,0,0,0,1
155,0,0,0,0,0,0,0,0,0,0
157,1,1,1,1,1,1,1,1,1,1
159,1,1,1,1,1,0,1,1,1,0
160,0,0,0,1,0,0,0,0,0,1
163,1,1,1,1,1,1,1,1,1,0
164,1,1,1,1,1,1,1,1,1,1
165,1,1,1,1,0,1,1,1,0,1
167,1,1,1,1,1,1,1,1,1,1
168,1,1,1,1,1,1,1,1,1,1
170,0,1,1,1,1,0,1,1,1,0
171,1,1,1,1,1,1,1,1,1,1
172,1,1,1,0,1,1,1,1,1,1
174,1,1,0,1,1,1,0,1,1,1
175,1,1,1,1,1,1,1,1,1,1
177,1,1,1,1,1,1,1,1,1,1
179,1,1,1,1,1,1,1,1,1,1
180,1,1,1,1,1,1,1,1,1,1
181,1,1,1,1,1,1,1,1,1,1
182,1,1,1,1,0,1,1,1,0,1
184,0,1,1,1,1,1,1,1,1,1
185,1,1,1,1,1,1,1,1,1,1
186,1,1,1,1,1,1,1,1,1,1
188,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1,1,1
190,1,1,1,1,1,1,1,1,1,1
192,1,1,1,1,1,1,1,1,1,0
194,1,1,1,1,1,1,1,1,1,1
195,1,1,1,1,0,0,1,1,0,0
196,1,1,1,1,1,1,1,1,0,1
197,1,1,1,1,1,1,1,1,1,1
198,1,1,1,1,1,1,1,1,1,1
199,1,1,0,1,0,0,0,1,0,0
200,1,1,0,0,0,0,0,0,0,0
201,0,1,0,0,0,1,0,0,0,1
202,1,1,1,1,1,1,1,1,1,1
204,1,1,1,1,1,1,1,1,1,1
205,1,1,1,1,1,1,1,1,1,1
206,1,1,1,1,1,1,1,1,1,1
211,1,1,1,1,1,0,1,1,1,0
212,1,1,0,1,1,1,0,1,1,1
213,1,1,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1,1,1
217,1,1,1,1,1,1,1,1,1,1
218,1,1,1,1,1,1,1,1,1,1
219,1,1,1,1,1,1,1,1,1,1
220,1,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1,1
222,0,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1
226,1,1,1,1,1,1,1,1,1,1
227,1,1,1,0,1,1,1,0,1,1
228,1,1,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1,1,1
234,1,1,0,1,1,0,0,1,1,0
237,1,1,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1,1,1
246,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1
251,1,1,1,1,1,1,0,1,1,1
253,1,1,1,1,1,1,1,1,1,1
254,0,1,1,1,0,1,1,1,0,1
256,1,1,1,1,1,1,1,1,1,1
258,1,1,1,1,1,1,1,1,1,1
259,1,1,1,1,1,1,1,0,1,1
260,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,0,1,1,1,0,1
262,1,1,1,0,1,1,1,0,1,1
264,0,1,1,1,1,1,1,1,1,1
265,1,1,1,1,1,1,1,1,1,1
266,1,1,1,0,1,1,1,0,1,1
267,1,1,0,1,0,0,0,1,0,0
268,1,1,1,1,1,1,1,1,1,1
269,1,1,1,1,1,1,1,1,1,1
272,0,0,0,0,0,1,0,0,0,1
275,1,1,1,1,1,1,1,1,1,1
277,1,1,1,1,1,1,1,1,1,1
278,1,1,0,0,1,0,0,0,1,0
282,1,1,1,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,0,1,1,1
286,1,1,1,1,1,1,1,1,1,1
287,1,1,1,1,1,1,1,1,1,1
288,1,1,1,0,1,1,1,0,1,1
290,1,1,1,1,1,1,1,0,1,1
292,1,1,1,1,1,1,0,1,0,1
294,1,1,1,1,1,1,1,1,1,1
295,1,1,1,1,1,1,1,1,1,1
297,1,1,1,1,1,1,1,1,1,1
298,1,1,1,1,1,1,1,1,1,1
299,1,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1,1,1,1
302,1,1,1,1,1,1,1,1,1,1
304,0,1,1,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1,1,1,1
307,1,1,0,1,1,1,0,1,1,1
308,1,1,1,1,1,1,1,1,1,1
309,1,1,1,1,1,1,1,1,1,1
310,1,1,1,1,1,1,1,1,1,1
312,1,1,1,1,1,1,1,1,1,1
313,1,1,1,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1,1,1,1
315,1,1,1,1,1,1,1,1,1,1
316,1,1,1,1,1,1,1,1,1,1
317,1,1,1,1,1,1,1,1,1,1
318,1,1,1,1,1,1,1,1,1,1
319,1,1,1,1,1,1,1,1,1,1
320,1,1,1,0,1,1,1,0,1,1
321,1,1,1,0,1,1,1,0,0,1
322,1,1,1,1,1,1,1,1,1,1
324,1,1,1,1,1,1,1,1,1,1
325,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1
328,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,0,1
330,1,1,1,1,1,1,1,1,1,1
331,1,1,0,0,1,0,0,0,0,0
332,1,1,0,1,0,1,0,1,0,1
333,1,1,1,1,1,1,1,1,1,1
335,1,1,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1
342,1,1,1,1,1,1,1,1,1,1
343,1,1,1,1,1,1,1,1,1,1
344,1,1,1,1,1,0,0,1,1,0
345,1,1,1,1,1,1,1,1,1,1
347,1,1,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1,1,1
350,1,1,1,1,1,1,1,1,1,1
351,1,1,1,1,1,1,1,1,1,1
353,1,1,1,1,1,1,1,1,1,1
355,1,1,1,1,1,1,1,1,1,1
356,1,1,1,1,1,1,1,1,1,1
358,1,1,1,1,1,1,1,1,1,1
359,0,1,1,1,1,1,1,0,1,1
360,1,1,1,1,1,1,1,1,1,1
361,1,1,1,1,1,1,1,1,1,1
363,1,1,1,1,1,1,1,1,1,1
364,1,1,1,1,1,1,1,1,1,1
365,1,1,1,0,1,1,1,0,1,1
366,1,1,1,1,1,1,1,1,1,1
368,1,1,1,1,1,1,1,1,1,1
369,1,1,1,1,1,1,1,1,1,1
371,1,1,1,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1,1,1,1
374,1,1,1,1,0,1,1,1,0,1
376,0,0,1,0,0,0,1,0,0,0
379,1,1,1,1,1,1,1,1,1,1
381,1,1,1,1,1,1,1,1,1,1
382,1,1,1,1,1,1,0,1,1,1
383,1,1,1,1,1,1,1,1,1,1
384,1,1,1,1,1,1,1,1,1,1
385,1,1,1,1,1,1,1,1,1,1
386,1,1,1,1,1,1,1,1,1,1
388,1,0,1,0,1,1,0,0,1,1
391,1,1,1,1,1,1,1,1,1,1
393,1,1,1,1,1,1,1,1,1,1
394,1,1,1,1,1,1,1,1,1,1
395,1,1,1,1,1,1,1,1,1,1
396,1,0,0,1,1,1,0,1,1,1
397,1,1,1,1,1,1,1,1,1,1
398,1,1,1,1,1,1,1,1,1,1
399,1,1,1,1,1,1,1,1,1,1
400,1,1,1,1,1,1,1,1,1,1
402,1,1,1,1,0,1,1,1,0,1
403,1,1,1,1,1,1,1,1,1,1
404,1,1,1,1,1,1,1,1,1,1
405,1,1,1,1,1,1,1,1,1,1
406,1,1,1,0,1,1,0,0,1,1
407,1,1,1,1,1,1,1,1,1,1
408,1,1,1,1,1,1,1,1,1,1
410,1,1,1,1,1,1,1,1,1,1
412,1,1,1,1,1,1,1,1,1,1
413,1,1,1,1,1,1,1,1,1,1
414,1,1,1,1,1,1,1,1,1,1
415,1,1,1,1,1,1,1,1,1,1
417,1,1,1,1,1,1,1,1,1,1
419,1,1,1,1,1,1,1,1,1,1
420,1,1,1,1,1,1,1,1,1,1
421,1,1,1,1,1,1,0,1,1,1
422,1,1,1,1,1,1,1,1,1,1
423,1,1,1,0,1,1,1,0,1,1
424,1,1,1,1,1,1,0,0,1,1
426,1,1,1,1,1,1,1,1,1,1
427,1,1,1,1,1,1,1,1,1,1
428,1,1,0,1,0,1,0,1,0,1
429,1,1,1,1,1,1,1,1,1,1
430,1,1,1,1,1,1,1,1,1,1
431,1,1,1,1,1,1,1,1,1,1
432,1,1,1,1,1,1,1,1,1,1
433,1,1,1,0,1,1,1,0,1,1
434,1,1,1,0,1,1,1,0,1,1
435,1,1,1,1,1,0,1,1,1,0
437,1,1,1,1,1,1,1,1,1,1
440,1,1,1,1,1,1,1,1,1,1
442,1,1,1,1,1,1,1,1,1,1
443,1,1,1,1,1,1,1,1,1,1
445,1,1,1,1,1,1,1,1,1,1
447,1,1,1,1,1,1,1,1,1,1
448,1,1,1,1,1,1,1,1,1,1
449,1,1,1,1,1,1,1,1,1,1
450,1,1,1,1,0,0,1,1,0,1
451,0,1,1,0,1,1,1,0,1,1
452,1,1,1,1,1,1,1,1,1,1
454,1,1,1,1,1,1,1,1,1,1
456,1,1,1,1,1,1,1,1,1,1
457,1,1,1,1,1,1,1,1,1,1
458,0,1,1,0,1,1,0,0,1,1
459,1,1,1,0,1,0,1,0,1,0
461,1,1,1,1,1,1,1,1,1,1
462,1,1,0,1,1,1,0,1,1,1
463,1,1,0,1,1,1,1,1,1,1
464,1,1,1,1,0,1,0,1,0,1
467,1,1,1,1,0,1,1,1,0,1
468,1,1,1,1,1,1,1,1,1,1
469,1,1,1,1,1,0,1,1,1,0
470,1,1,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,1,1,1
475,1,1,1,1,1,1,0,1,1,1
476,1,1,1,1,1,1,1,1,1,1
477,1,1,1,1,1,1,1,1,1,1
479,1,1,1,1,1,1,1,1,1,1
481,0,0,1,1,0,1,0,1,0,1
483,1,1,1,1,1,1,1,1,1,1
484,1,1,1,1,1,1,1,1,1,1
486,1,1,0,1,1,1,0,1,1,1
489,1,1,1,1,1,1,1,1,1,1
491,1,1,1,1,0,1,1,1,0,1
492,1,1,1,1,0,1,1,1,0,1
493,1,1,1,1,1,1,1,1,1,1
494,0,1,1,1,1,1,0,0,1,0
495,1,1,1,1,1,1,1,1,1,1
497,1,1,1,1,1,1,1,1,1,1
499,1,1,1,1,1,1,1,1,1,1
500,1,1,1,1,1,1,1,1,1,1
501,1,1,1,1,1,1,1,1,1,1
502,1,1,1,1,1,1,1,1,1,1
504,1,0,0,0,0,0,0,0,0,0
505,1,1,1,1,1,1,1,1,1,1
506,1,1,1,0,1,1,1,0,1,1
507,1,1,1,1,0,0,1,1,0,0
508,1,1,1,0,1,1,1,0,1,1
510,1,1,1,0,0,1,1,0,0,1
511,1,1,0,0,1,0,0,0,1,0
512,1,1,1,1,1,1,1,1,1,1
513,1,1,1,1,1,1,1,1,1,1
514,0,0,1,1,1,1,1,1,1,1
515,1,1,1,1,1,1,1,1,1,1
516,1,1,1,1,1,1,1,1,1,1
517,1,1,1,1,1,1,1,1,1,1
518,1,1,1,1,1,1,1,1,1,1
519,1,1,1,1,1,1,1,1,1,1
520,1,1,1,1,1,1,1,1,1,1
521,1,1,1,0,0,0,1,0,0,0
522,1,1,1,1,1,1,1,1,1,1
527,1,1,1,1,1,1,1,1,1,1
528,1,1,1,0,0,1,1,0,0,1
529,1,1,1,0,1,1,1,0,1,1
530,0,0,0,0,0,0,0,0,0,0
531,1,1,1,1,0,1,1,1,1,1
532,1,1,1,1,0,1,1,1,0,1
533,1,1,1,1,1,1,1,1,0,1
535,1,1,0,1,1,1,0,1,1,1
536,1,1,1,1,0,1,1,1,0,1
537,1,1,1,1,0,1,1,1,0,1
539,1,1,1,1,1,1,1,1,1,1
540,1,1,1,1,1,1,1,1,1,1
541,1,1,1,1,1,0,1,1,1,0
542,1,1,1,1,1,1,1,1,1,1
543,0,1,0,1,1,1,0,1,1,1
544,1,1,1,1,1,1,1,1,1,1
546,1,1,1,1,1,1,1,1,1,1
548,1,1,1,0,1,1,1,0,1,1
549,1,1,1,1,1,1,1,1,1,1
551,1,1,1,1,1,1,1,1,1,1
553,1,1,1,1,1,1,1,1,1,1
554,1,1,1,1,1,1,1,1,1,1
555,1,1,0,1,1,1,0,0,1,1
556,1,1,1,1,1,1,1,1,1,1
557,1,1,1,1,1,1,1,1,1,1
558,1,1,1,1,1,1,1,1,1,1
559,1,1,1,1,1,1,1,1,1,1
560,1,1,1,1,1,1,1,1,1,1
562,1,1,1,1,1,1,1,1,1,1
563,0,0,1,1,0,0,1,1,0,0
564,1,1,1,1,1,1,0,1,1,1
565,1,1,0,1,1,1,0,1,1,1
566,1,1,0,1,1,0,0,1,1,0
571,1,1,0,1,1,1,0,1,1,1
572,1,1,1,1,1,1,1,1,1,1
573,0,0,1,1,1,1,1,1,1,1
575,1,0,1,0,1,1,1,0,1,1
576,1,1,1,1,1,1,1,0,1,1
577,1,1,1,1,0,1,1,1,0,0
578,1,1,1,1,1,1,1,1,1,1
579,1,1,1,0,1,1,1,0,1,1
580,1,1,1,1,1,1,1,0,1,1
581,1,1,1,1,1,1,1,1,1,1
582,1,1,1,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1,1,1,1
584,1,1,1,1,1,1,1,1,1,1
585,1,1,0,1,0,0,0,1,0,0
586,1,1,1,1,0,1,1,1,0,1
587,1,1,1,1,1,1,1,1,1,1
588,1,1,1,1,1,1,1,1,1,1
589,1,1,1,0,1,1,1,0,0,1
590,1,1,1,1,1,1,1,1,1,1
591,1,1,1,1,1,1,1,1,1,1
592,1,1,1,1,1,1,1,1,1,1
593,1,1,1,1,1,1,1,1,1,1
594,1,1,1,1,1,1,0,1,1,1
595,1,1,1,1,1,1,1,1,1,1
598,1,1,1,0,1,1,1,0,1,1
599,1,1,1,1,1,1,1,1,1,1
600,1,1,1,1,1,1,1,1,1,1
601,1,1,1,1,1,1,1,1,1,1
603,1,1,1,1,1,1,1,1,1,1
604,1,1,1,1,1,1,1,1,1,1
605,1,1,1,1,1,1,0,1,1,1
608,1,1,1,1,1,1,1,1,1,1
609,1,1,1,1,1,1,1,1,1,1
610,1,1,1,1,1,1,1,1,1,1
611,1,1,1,1,1,1,1,1,1,1
612,1,1,1,1,1,1,1,1,1,1
613,1,1,1,1,1,1,1,1,1,1
614,1,1,0,0,1,1,0,0,1,1
615,0,1,1,1,1,1,1,1,1,1
616,1,1,1,1,1,1,1,1,1,1
619,1,1,1,1,1,1,1,1,1,1
620,1,1,1,1,1,1,1,1,1,1
622,1,1,1,1,1,1,1,1,1,1
623,1,1,0,1,1,1,0,1,0,1
624,1,1,1,1,1,1,1,1,1,1
627,1,1,1,0,1,1,1,0,0,1
628,1,1,1,1,1,1,1,1,1,1
630,1,1,1,0,1,1,1,0,1,1
633,1,1,1,1,1,1,1,1,1,1
634,1,1,1,1,1,1,1,1,1,1
635,1,1,0,1,1,1,0,1,1,1
636,0,1,1,1,1,1,1,1,1,1
637,1,1,1,1,1,1,1,1,1,1
638,1,1,1,1,1,1,1,1,1,1
639,1,1,1,1,1,1,1,1,1,1
640,1,1,1,1,1,0,1,0,1,0
641,1,1,1,1,1,1,1,1,1,1
642,1,1,0,1,1,1,0,1,1,1
643,1,1,1,1,1,1,1,1,1,1
644,1,1,1,1,1,1,1,1,1,1
645,1,1,1,1,1,1,1,1,1,1
648,0,0,0,1,0,0,0,1,0,0
649,0,0,1,1,1,1,1,1,1,1
651,1,1,0,1,1,1,0,0,0,0
652,1,1,1,1,1,1,1,1,1,1
653,1,1,1,1,1,1,1,1,1,1
655,1,1,1,1,1,1,1,1,1,1
656,1,1,1,1,1,1,1,1,1,1
657,1,1,1,1,1,0,1,1,1,0
658,1,1,1,1,1,0,1,1,1,0
659,1,1,1,1,1,1,1,1,1,1
660,1,1,1,1,1,1,1,1,1,1
661,1,1,1,1,1,1,1,1,1,1
662,1,1,1,1,1,1,1,1,1,1
663,1,1,1,1,1,1,1,1,1,1
664,1,1,1,1,1,1,1,1,1,1
665,1,1,1,1,1,1,1,1,1,1
667,1,1,1,1,1,1,1,1,1,1
668,1,1,1,1,1,1,1,1,1,1
669,1,1,1,1,1,0,1,1,1,0
670,1,1,0,1,1,1,1,0,1,1
671,1,1,0,1,0,1,0,0,0,0
672,1,1,1,1,1,1,1,1,1,1
673,1,1,1,1,1,1,1,1,1,1
674,1,1,1,1,1,1,1,1,1,1
675,1,1,1,1,1,1,1,1,1,1
676,1,1,1,1,0,0,1,1,0,0
677,1,1,1,0,1,1,1,0,1,1
678,0,1,1,0,1,1,0,0,1,0
680,1,1,1,1,1,1,1,1,1,1
681,1,1,1,1,1,1,1,1,1,1
682,1,1,1,1,1,1,1,1,1,1
683,1,1,1,1,1,1,1,1,1,1
684,1,1,1,1,1,1,1,1,1,1
685,1,1,1,1,1,1,1,1,1,1
686,1,1,1,1,1,1,1,1,1,1
687,1,1,1,1,1,1,1,1,1,1
688,1,1,1,1,1,0,1,1,1,0
689,1,1,1,1,1,1,1,1,1,1
690,1,1,1,1,1,1,1,1,1,1
691,1,1,1,1,1,1,1,1,1,1
692,1,1,1,1,1,1,1,1,1,1
694,1,1,1,1,1,1,1,1,1,1
695,0,0,0,0,0,0,0,0,0,0
697,0,1,0,1,0,1,0,1,0,1
698,1,1,1,1,1,1,1,1,1,0
699,1,1,0,1,1,0,0,0,1,0
700,1,1,1,1,1,1,1,1,1,1
701,1,1,1,1,1,1,1,1,1,1
702,1,1,1,1,1,1,1,1,1,1
703,1,1,1,1,1,1,1,1,1,1
706,1,1,0,0,0,1,0,0,1,1
707,1,1,1,1,0,1,1,1,0,1
708,1,0,1,1,1,1,1,1,1,1
710,1,1,1,0,1,1,1,0,1,1
711,1,1,1,1,1,1,1,1,1,1
712,1,1,0,0,0,1,1,0,0,1
714,1,1,1,1,1,1,1,1,1,1
715,1,1,1,1,1,1,1,1,1,1
716,1,1,1,1,1,1,1,1,1,1
718,1,1,1,1,1,1,1,1,1,1
719,1,1,1,1,1,0,1,1,1,0
720,1,1,1,1,1,1,1,1,1,1
721,0,0,0,0,0,0,0,0,0,0
722,0,0,0,1,1,0,0,1,1,0
723,1,1,1,1,1,1,1,1,1,1
724,0,1,1,0,0,0,1,0,0,0
725,1,1,1,0,0,1,0,0,0,1
726,1,1,1,1,1,1,1,1,1,1
727,1,1,1,1,0,1,1,1,0,1
728,1,1,1,1,1,1,1,1,1,1
729,1,1,1,1,1,1,1,1,1,1
730,1,1,1,0,1,0,1,0,1,0
731,1,0,0,0,1,0,0,0,1,0
733,1,1,1,1,0,1,1,1,0,1
734,1,1,1,1,1,1,1,1,1,1
735,1,1,1,1,1,1,1,1,1,1
736,1,1,1,1,1,1,1,1,1,1
737,1,1,1,1,1,1,1,1,1,1
738,1,1,1,1,1,1,1,1,1,1
740,0,0,1,0,1,0,1,0,1,0
741,1,1,1,1,1,1,1,1,1,1
742,1,1,1,1,1,1,1,1,1,1
743,1,1,1,1,1,1,1,1,0,1
744,1,1,1,1,1,1,1,1,1,1
746,1,1,1,1,1,1,1,1,1,1
748,1,1,1,1,1,1,1,1,1,1
752,1,1,1,1,1,0,1,1,1,1
753,1,1,1,1,1,1,1,1,0,1
755,1,1,1,1,1,1,1,1,1,1
756,1,1,1,1,1,1,1,1,1,1
757,1,1,1,1,1,1,1,1,1,1
758,1,1,1,1,0,1,1,1,0,1
761,1,1,1,1,1,1,1,1,1,1
762,1,1,1,1,1,1,1,1,1,1
764,1,1,1,1,1,0,1,1,1,0
765,1,1,1,1,1,0,1,1,1,0
766,1,1,1,1,1,1,1,1,1,1
767,1,1,1,1,1,1,1,1,1,1
768,1,1,1,1,1,1,1,1,1,1
769,1,1,1,0,1,1,1,0,1,1
770,1,1,1,1,1,1,1,1,1,1
771,1,1,1,0,1,1,1,0,0,1
772,1,1,1,1,1,1,0,1,1,1
773,1,1,1,1,1,1,1,1,1,1
774,1,1,1,1,1,1,1,1,1,1
775,0,1,0,0,1,1,0,0,1,1
776,1,1,1,1,1,1,1,1,1,1
777,0,0,1,0,1,1,1,0,1,1
778,1,1,0,1,0,1,0,1,0,1
780,1,1,1,1,1,1,1,1,1,1
781,1,1,1,1,1,1,1,0,1,1
782,1,1,1,1,1,1,0,1,1,1
783,1,1,1,1,0,1,1,1,0,1
784,1,1,1,1,1,1,1,1,1,1
785,1,1,1,1,1,1,1,1,1,1
786,1,1,1,1,1,1,1,1,1,1
787,1,1,1,1,1,1,1,1,1,1
788,1,1,1,1,1,1,1,1,1,1
789,1,1,1,1,1,1,1,1,1,1
790,1,1,1,1,1,1,1,1,1,1
791,1,1,1,1,1,1,1,1,1,1
793,1,1,1,1,1,1,1,1,1,1
794,1,1,1,1,1,1,1,1,1,1
796,0,1,1,1,1,1,1,1,1,1
797,1,1,1,1,1,1,1,1,1,1
799,1,1,1,1,1,1,1,1,1,1
801,1,1,1,1,1,1,1,1,1,1
802,1,1,1,1,0,1,1,1,0,1
804,1,1,1,1,1,1,1,1,1,1
805,1,1,1,1,0,1,1,1,0,1
806,1,1,1,1,1,1,1,1,1,1
807,0,1,1,1,1,1,1,1,1,1
808,1,1,1,1,1,1,1,1,1,1
809,1,1,1,0,0,1,1,0,0,1
810,1,1,1,1,1,1,1,1,1,1
811,1,1,0,1,1,1,0,1,1,1
812,1,1,1,1,1,1,1,1,1,1
813,1,1,1,1,1,1,1,1,1,1
814,1,1,1,1,1,1,1,1,1,1
815,1,1,1,1,1,1,1,1,1,1
816,0,0,0,0,1,1,0,0,0,1
817,1,1,1,1,1,1,1,1,1,1
818,1,1,1,1,1,1,1,1,0,1
819,1,1,1,0,1,1,1,0,1,1
821,0,1,1,1,1,1,1,1,0,1
822,1,1,1,1,1,1,1,1,1,1
823,1,1,1,1,1,1,1,1,1,1
826,1,1,0,1,0,1,0,1,0,1
827,1,1,1,1,1,1,1,1,1,1
828,1,1,1,1,1,1,1,1,1,1
836,1,1,1,1,1,1,1,1,1,1
838,1,1,1,1,1,1,1,1,1,1
839,0,0,1,1,1,1,1,1,1,1
842,1,1,1,1,1,0,1,1,1,0
844,1,1,1,1,1,1,1,1,1,1
847,1,1,1,1,1,1,1,1,1,1
848,1,0,1,0,1,1,1,0,1,1
