Store #,DSL Start Date,Sections ,Head Count,Total hours ,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42
995,10/5/2025,4463,17,3740,170,340,510,680,680,680,680,0,0,0
996,10/12/2025,1766,7,1540,0,70,140,210,280,280,280,280,0,0
999,10/5/2025,4638,18,3960,180,360,540,720,720,720,720,0,0,0
1012,10/12/2025,4428,17,3740,0,170,340,510,680,680,680,680,0,0
1029,10/12/2025,3530,14,3080,0,140,280,420,560,560,560,560,0,0
1048,10/12/2025,3676,14,3080,0,140,280,420,560,560,560,560,0,0
1053,10/5/2025,4953,19,4180,190,380,570,760,760,760,760,0,0,0
1138,10/12/2025,3694,14,3080,0,140,280,420,560,560,560,560,0,0
1162,10/12/2025,4752,18,3960,0,180,360,540,720,720,720,720,0,0
1167,10/5/2025,4457,17,3740,170,340,510,680,680,680,680,0,0,0
1170,10/5/2025,3320,13,2860,130,260,390,520,520,520,520,0,0,0
1176,10/12/2025,3806,15,3300,0,150,300,450,600,600,600,600,0,0
1190,10/12/2025,3891,15,3300,0,150,300,450,600,600,600,600,0,0
1267,10/5/2025,3799,15,3300,150,300,450,600,600,600,600,0,0,0
1277,10/5/2025,3562,14,3080,140,280,420,560,560,560,560,0,0,0
1285,10/19/2025,4612,18,3960,0,0,180,360,540,720,720,720,720,0
1292,10/5/2025,4585,18,3960,180,360,540,720,720,720,720,0,0,0
1316,10/12/2025,3108,12,2640,0,120,240,360,480,480,480,480,0,0
1327,10/5/2025,4729,18,3960,180,360,540,720,720,720,720,0,0,0
1335,10/12/2025,4465,17,3740,0,170,340,510,680,680,680,680,0,0
1344,10/12/2025,4827,19,4180,0,190,380,570,760,760,760,760,0,0
1345,10/12/2025,4570,18,3960,0,180,360,540,720,720,720,720,0,0
1365,10/12/2025,3154,12,2640,0,120,240,360,480,480,480,480,0,0
1380,10/5/2025,3844,15,3300,150,300,450,600,600,600,600,0,0,0
1394,10/5/2025,3878,15,3300,150,300,450,600,600,600,600,0,0,0
1411,10/5/2025,4643,18,3960,180,360,540,720,720,720,720,0,0,0
1413,10/12/2025,4394,17,3740,0,170,340,510,680,680,680,680,0,0
1414,10/5/2025,4581,18,3960,180,360,540,720,720,720,720,0,0,0
1424,10/12/2025,5139,20,4400,0,200,400,600,800,800,800,800,0,0
1430,10/12/2025,4638,18,3960,0,180,360,540,720,720,720,720,0,0
1435,10/19/2025,3395,13,2860,0,0,130,260,390,520,520,520,520,0
1465,10/5/2025,5231,20,4400,200,400,600,800,800,800,800,0,0,0
1472,10/5/2025,4888,19,4180,190,380,570,760,760,760,760,0,0,0
1486,10/12/2025,4327,17,3740,0,170,340,510,680,680,680,680,0,0
1523,10/12/2025,4597,18,3960,0,180,360,540,720,720,720,720,0,0
1524,10/12/2025,4632,18,3960,0,180,360,540,720,720,720,720,0,0
1525,10/12/2025,4947,19,4180,0,190,380,570,760,760,760,760,0,0
1548,10/12/2025,3293,13,2860,0,130,260,390,520,520,520,520,0,0
1556,10/5/2025,4864,19,4180,190,380,570,760,760,760,760,0,0,0
1571,10/5/2025,4944,19,4180,190,380,570,760,760,760,760,0,0,0
1596,10/5/2025,4064,16,3520,160,320,480,640,640,640,640,0,0,0
1601,10/5/2025,3503,14,3080,140,280,420,560,560,560,560,0,0,0
1612,10/5/2025,5219,20,4400,200,400,600,800,800,800,800,0,0,0
1631,10/12/2025,4680,18,3960,0,180,360,540,720,720,720,720,0,0
1634,10/26/2025,4826,19,4322.5,0,0,0,285,427.5,570,760,760,760,760
1643,10/5/2025,4737,18,3960,180,360,540,720,720,720,720,0,0,0
1646,10/12/2025,4663,18,3960,0,180,360,540,720,720,720,720,0,0
1652,10/5/2025,3630,14,3080,140,280,420,560,560,560,560,0,0,0
1656,10/12/2025,4627,18,3960,0,180,360,540,720,720,720,720,0,0
1657,10/5/2025,4903,19,4180,190,380,570,760,760,760,760,0,0,0
1669,10/12/2025,4817,19,4180,0,190,380,570,760,760,760,760,0,0
1672,10/5/2025,3915,15,3300,150,300,450,600,600,600,600,0,0,0
1676,10/5/2025,4891,19,4180,190,380,570,760,760,760,760,0,0,0
1678,10/12/2025,2920,11,2420,0,110,220,330,440,440,440,440,0,0
1682,10/12/2025,5243,20,4400,0,200,400,600,800,800,800,800,0,0
1688,10/5/2025,3876,15,3300,150,300,450,600,600,600,600,0,0,0
1713,10/12/2025,2701,11,2420,0,110,220,330,440,440,440,440,0,0
1737,10/12/2025,3875,15,3300,0,150,300,450,600,600,600,600,0,0
1740,10/5/2025,4481,17,3740,170,340,510,680,680,680,680,0,0,0
1749,10/12/2025,4819,19,4180,0,190,380,570,760,760,760,760,0,0
1765,10/12/2025,4354,17,3740,0,170,340,510,680,680,680,680,0,0
1776,10/5/2025,4620,18,3960,180,360,540,720,720,720,720,0,0,0
1780,10/12/2025,3928,15,3300,0,150,300,450,600,600,600,600,0,0
1814,10/12/2025,4554,18,3960,0,180,360,540,720,720,720,720,0,0
1841,10/12/2025,4635,18,3960,0,180,360,540,720,720,720,720,0,0
1855,10/5/2025,2818,11,2420,110,220,330,440,440,440,440,0,0,0
1883,10/12/2025,4680,18,3960,0,180,360,540,720,720,720,720,0,0
1892,10/12/2025,4835,19,4180,0,190,380,570,760,760,760,760,0,0
1893,10/12/2025,3437,13,2860,0,130,260,390,520,520,520,520,0,0
1897,10/12/2025,3741,15,3300,0,150,300,450,600,600,600,600,0,0
1898,10/5/2025,3713,14,3080,140,280,420,560,560,560,560,0,0,0
1904,10/5/2025,4814,19,4180,190,380,570,760,760,760,760,0,0,0
1926,10/5/2025,3693,14,3080,140,280,420,560,560,560,560,0,0,0
1931,10/12/2025,4723,18,3960,0,180,360,540,720,720,720,720,0,0
1936,10/5/2025,4300,17,3740,170,340,510,680,680,680,680,0,0,0
1952,10/12/2025,3670,14,3080,0,140,280,420,560,560,560,560,0,0
1955,10/12/2025,4670,18,3960,0,180,360,540,720,720,720,720,0,0
1968,10/19/2025,4324,17,3740,0,0,170,340,510,680,680,680,680,0
1981,10/5/2025,4833,19,4180,190,380,570,760,760,760,760,0,0,0
1982,10/12/2025,4619,18,3960,0,180,360,540,720,720,720,720,0,0
1991,10/12/2025,4577,18,3960,0,180,360,540,720,720,720,720,0,0
2023,10/12/2025,4832,19,4180,0,190,380,570,760,760,760,760,0,0
2045,10/12/2025,3701,14,3080,0,140,280,420,560,560,560,560,0,0
2083,10/5/2025,4624,18,3960,180,360,540,720,720,720,720,0,0,0
2087,10/12/2025,3891,15,3300,0,150,300,450,600,600,600,600,0,0
2112,10/5/2025,4167,16,3520,160,320,480,640,640,640,640,0,0,0
2127,10/5/2025,4438,17,3740,170,340,510,680,680,680,680,0,0,0
2129,10/12/2025,3680,14,3080,0,140,280,420,560,560,560,560,0,0
2136,10/12/2025,4618,18,3960,0,180,360,540,720,720,720,720,0,0
2160,10/5/2025,3537,14,3080,140,280,420,560,560,560,560,0,0,0
2248,10/12/2025,3659,14,3080,0,140,280,420,560,560,560,560,0,0
2282,10/5/2025,4362,17,3740,170,340,510,680,680,680,680,0,0,0
2295,10/12/2025,4484,17,3740,0,170,340,510,680,680,680,680,0,0
2326,10/12/2025,3732,15,3300,0,150,300,450,600,600,600,600,0,0
2335,10/12/2025,4665,18,3960,0,180,360,540,720,720,720,720,0,0
2338,10/12/2025,4157,16,3520,0,160,320,480,640,640,640,640,0,0
2352,10/26/2025,4431,17,3867.5,0,0,0,255,382.5,510,680,680,680,680
2355,10/5/2025,4417,17,3740,170,340,510,680,680,680,680,0,0,0
2412,10/12/2025,3844,15,3300,0,150,300,450,600,600,600,600,0,0
2417,10/12/2025,4547,18,3960,0,180,360,540,720,720,720,720,0,0
2421,10/12/2025,4434,17,3740,0,170,340,510,680,680,680,680,0,0
2435,10/12/2025,4253,16,3520,0,160,320,480,640,640,640,640,0,0
2436,10/12/2025,4792,19,4180,0,190,380,570,760,760,760,760,0,0
2446,10/5/2025,4474,17,3740,170,340,510,680,680,680,680,0,0,0
2529,10/5/2025,4742,18,3960,180,360,540,720,720,720,720,0,0,0
2532,10/5/2025,4743,18,3960,180,360,540,720,720,720,720,0,0,0
2551,10/12/2025,3120,12,2640,0,120,240,360,480,480,480,480,0,0
2577,10/12/2025,4997,19,4180,0,190,380,570,760,760,760,760,0,0
2647,10/12/2025,3906,15,3300,0,150,300,450,600,600,600,600,0,0
2658,10/5/2025,4765,18,3960,180,360,540,720,720,720,720,0,0,0
2668,10/5/2025,4625,18,3960,180,360,540,720,720,720,720,0,0,0
2671,10/12/2025,4449,17,3740,0,170,340,510,680,680,680,680,0,0
2674,10/12/2025,3923,15,3300,0,150,300,450,600,600,600,600,0,0
2691,10/12/2025,4879,19,4180,0,190,380,570,760,760,760,760,0,0
2705,10/5/2025,3580,14,3080,140,280,420,560,560,560,560,0,0,0
2728,10/12/2025,4582,18,3960,0,180,360,540,720,720,720,720,0,0
2741,10/12/2025,981,6,1000,0,0,0,40,240,240,240,240,0,0
2742,10/12/2025,956,6,1000,0,0,0,40,240,240,240,240,0,0
2756,10/5/2025,4720,18,3960,180,360,540,720,720,720,720,0,0,0
2762,10/12/2025,3839,15,3300,0,150,300,450,600,600,600,600,0,0
2786,10/5/2025,4647,18,3960,180,360,540,720,720,720,720,0,0,0
2788,10/5/2025,4381,17,3740,170,340,510,680,680,680,680,0,0,0
2790,10/5/2025,4016,16,3520,160,320,480,640,640,640,640,0,0,0
2795,10/12/2025,3873,15,3300,0,150,300,450,600,600,600,600,0,0
2799,10/12/2025,3970,15,3300,0,150,300,450,600,600,600,600,0,0
2807,10/12/2025,3752,15,3300,0,150,300,450,600,600,600,600,0,0
2812,10/12/2025,4410,17,3740,0,170,340,510,680,680,680,680,0,0
2821,10/5/2025,5150,20,4400,200,400,600,800,800,800,800,0,0,0
2835,10/5/2025,1157,7,1160,0,0,40,280,280,280,280,0,0,0
2909,10/12/2025,2724,11,2420,0,110,220,330,440,440,440,440,0,0
2921,10/5/2025,4631,18,3960,180,360,540,720,720,720,720,0,0,0
2922,10/12/2025,4868,19,4180,0,190,380,570,760,760,760,760,0,0
2986,10/12/2025,4753,18,3960,0,180,360,540,720,720,720,720,0,0
3077,10/12/2025,4172,16,3520,0,160,320,480,640,640,640,640,0,0
3215,10/12/2025,4703,18,3960,0,180,360,540,720,720,720,720,0,0
3216,10/12/2025,4948,19,4180,0,190,380,570,760,760,760,760,0,0
3219,10/5/2025,4641,18,3960,180,360,540,720,720,720,720,0,0,0
3228,10/12/2025,3809,15,3300,0,150,300,450,600,600,600,600,0,0
3232,10/5/2025,4763,18,3960,180,360,540,720,720,720,720,0,0,0
3253,10/5/2025,3748,15,3300,150,300,450,600,600,600,600,0,0,0
3255,10/12/2025,4521,17,3740,0,170,340,510,680,680,680,680,0,0
3265,10/12/2025,4798,19,4180,0,190,380,570,760,760,760,760,0,0
3280,10/12/2025,4247,16,3520,0,160,320,480,640,640,640,640,0,0
3294,10/5/2025,4943,19,4180,190,380,570,760,760,760,760,0,0,0
3296,10/12/2025,4399,17,3740,0,170,340,510,680,680,680,680,0,0
3362,10/5/2025,3720,14,3080,140,280,420,560,560,560,560,0,0,0
3363,10/12/2025,4929,19,4180,0,190,380,570,760,760,760,760,0,0
3383,10/5/2025,5009,19,4180,190,380,570,760,760,760,760,0,0,0
3388,10/12/2025,4825,19,4180,0,190,380,570,760,760,760,760,0,0
3428,10/5/2025,4950,19,4180,190,380,570,760,760,760,760,0,0,0
3434,10/12/2025,4792,19,4180,0,190,380,570,760,760,760,760,0,0
3454,10/5/2025,4572,18,3960,180,360,540,720,720,720,720,0,0,0
3460,10/12/2025,4798,19,4180,0,190,380,570,760,760,760,760,0,0
3481,10/12/2025,3147,12,2640,0,120,240,360,480,480,480,480,0,0
3568,10/12/2025,4692,18,3960,0,180,360,540,720,720,720,720,0,0
3589,10/5/2025,4498,17,3740,170,340,510,680,680,680,680,0,0,0
3596,10/5/2025,4325,17,3740,170,340,510,680,680,680,680,0,0,0
3620,10/5/2025,4426,17,3740,170,340,510,680,680,680,680,0,0,0
3633,10/12/2025,4688,18,3960,0,180,360,540,720,720,720,720,0,0
3643,10/12/2025,2936,12,2640,0,120,240,360,480,480,480,480,0,0
3761,10/19/2025,3402,13,2860,0,0,130,260,390,520,520,520,520,0
3861,10/12/2025,4850,19,4180,0,190,380,570,760,760,760,760,0,0
3869,10/12/2025,3027,12,2640,0,120,240,360,480,480,480,480,0,0
3884,10/12/2025,2938,12,2640,0,120,240,360,480,480,480,480,0,0
3893,10/12/2025,4934,19,4180,0,190,380,570,760,760,760,760,0,0
4049,10/5/2025,4784,18,3960,180,360,540,720,720,720,720,0,0,0
4118,10/5/2025,4738,18,3960,180,360,540,720,720,720,720,0,0,0
4208,10/12/2025,3034,12,2640,0,120,240,360,480,480,480,480,0,0
4210,10/12/2025,1095,7,1160,0,0,0,40,280,280,280,280,0,0
4272,10/12/2025,4560,18,3960,0,180,360,540,720,720,720,720,0,0
4286,10/12/2025,5017,19,4180,0,190,380,570,760,760,760,760,0,0
4348,10/5/2025,3987,15,3300,150,300,450,600,600,600,600,0,0,0
4374,10/12/2025,3555,14,3080,0,140,280,420,560,560,560,560,0,0
4511,10/5/2025,4333,17,3740,170,340,510,680,680,680,680,0,0,0
4514,10/5/2025,3804,15,3300,150,300,450,600,600,600,600,0,0,0
4529,10/12/2025,4400,17,3740,0,170,340,510,680,680,680,680,0,0
4531,10/12/2025,5020,19,4180,0,190,380,570,760,760,760,760,0,0
4638,10/5/2025,3833,15,3300,150,300,450,600,600,600,600,0,0,0
4641,10/5/2025,4440,17,3740,170,340,510,680,680,680,680,0,0,0
4686,10/12/2025,1094,7,1160,0,0,0,40,280,280,280,280,0,0
4699,10/5/2025,3347,13,2860,130,260,390,520,520,520,520,0,0,0
5027,10/5/2025,3695,14,3080,140,280,420,560,560,560,560,0,0,0
5044,10/5/2025,2862,11,2420,110,220,330,440,440,440,440,0,0,0
5157,10/5/2025,3825,15,3300,150,300,450,600,600,600,600,0,0,0
5199,10/5/2025,4523,18,3960,180,360,540,720,720,720,720,0,0,0
5227,10/5/2025,3319,13,2860,130,260,390,520,520,520,520,0,0,0
5233,10/5/2025,4660,18,3960,180,360,540,720,720,720,720,0,0,0
5234,10/5/2025,4628,18,3960,180,360,540,720,720,720,720,0,0,0
5235,10/12/2025,4871,19,4180,0,190,380,570,760,760,760,760,0,0
5343,10/5/2025,5156,20,4400,200,400,600,800,800,800,800,0,0,0
5345,10/12/2025,2449,10,2200,0,100,200,300,400,400,400,400,0,0
5358,10/5/2025,3806,15,3300,150,300,450,600,600,600,600,0,0,0
5373,10/5/2025,5041,19,4180,190,380,570,760,760,760,760,0,0,0
5397,10/5/2025,4777,18,3960,180,360,540,720,720,720,720,0,0,0
5403,10/5/2025,4497,17,3740,170,340,510,680,680,680,680,0,0,0
5418,10/5/2025,4932,19,4180,190,380,570,760,760,760,760,0,0,0
5428,10/5/2025,5064,20,4400,200,400,600,800,800,800,800,0,0,0
5430,10/5/2025,4579,18,3960,180,360,540,720,720,720,720,0,0,0
5463,10/5/2025,4267,17,3740,170,340,510,680,680,680,680,0,0,0
5669,10/5/2025,3644,14,3080,140,280,420,560,560,560,560,0,0,0
5731,10/12/2025,3377,13,2860,0,130,260,390,520,520,520,520,0,0
5763,10/5/2025,3649,14,3080,140,280,420,560,560,560,560,0,0,0
5799,10/5/2025,2681,11,2420,110,220,330,440,440,440,440,0,0,0
5976,10/26/2025,3814,15,3412.5,0,0,0,225,337.5,450,600,600,600,600
6159,10/5/2025,1200,8,1320,0,0,40,320,320,320,320,0,0,0
6971,10/12/2025,1155,7,1160,0,0,0,40,280,280,280,280,0,0
7220,10/12/2025,1084,7,1160,0,0,0,40,280,280,280,280,0,0
