Userid2,Store,Store Rank
JLB011I,325,2
LLTALLI,326,2
RWS001S,328,2
KRH002W,329,2
SMB006M,330,2
HCMCMIL,333,2
CMKIRKW,334,2
JLR00HB,335,2
GBS000X,336,2
JLH00WM,337,2
ARP009Q,338,2
T0P0AHU,339,2
MMC00DT,340,2
W0M04W1,341,2
NEKELLE,342,2
WRLAMB,343,2
KCKREJC,344,2
E0L01ZZ,345,2
MAL00BG,346,2
S0S0W8T,347,2
LNS003F,348,2
A0W0AQJ,350,2
J0P051Q,352,2
DJNEWLA,353,2
RDJETT,354,2
D0M02FP,356,2
LLD003L,357,2
KYH000G,358,2
J0F0JQS,359,2
LAM00KF,360,2
S0M0CC2,361,2
GLEIDSO,363,2
ADHEWIT,364,2
LBYISRA,365,2
C0H05CI,366,2
BRHALL,369,2
ADHAYS,370,2
A0A066Z,371,2
MEMUSQU,372,2
KGW001C,373,2
JACIRGE,374,2
LDT002D,376,2
RNYOUNG,377,2
TPHOWAR,378,2
JBCOGGI,379,2
P0P00XN,381,2
JDRAND,382,2
IJHARKN,384,2
R0E00VK,385,2
TRMATTH,387,2
ARB00E3,388,2
CNANGLI,389,2
D0B0C31,390,2
CLBAREF,391,2
KLGADDY,393,2
ALJ00AR,394,2
COCHOAD,395,2
LCB006Z,396,2
A0W0G74,398,2
JCB007F,399,2
M0M0KM3,403,2
A0L06UE,405,2
RPS0035,406,2
K0A05D1,407,2
ASG0064,408,2
D0B0D8C,409,2
BLDOWNS,410,2
T0M0ACZ,411,2
JTZIGLE,412,2
CCROCHE,415,2
KWDUNCA,416,2
PWDALTO,417,2
JSMCLAI,418,2
CDHOFFM,419,2
JGJ000X,421,2
A0W0GFS,422,2
J0V01IA,423,2
MRENNIS,425,2
JEC00EU,428,2
KBURGIN,430,2
AJBERKE,431,2
SFGROGA,432,2
ENO000I,433,2
ABJOURD,436,2
J0K01TO,437,2
A0W04EB,438,2
D0W0LDQ,440,2
L0M0CY7,443,2
MRS00AP,444,2
P0B00TM,445,2
RLSWANN,446,2
DDF0048,447,2
CMC00KU,448,2
M0H0CTH,449,2
C0M0RGU,450,2
MWENTZ,451,2
JED001F,453,2
M0L04S3,454,2
MAJ00CY,456,2
B0K034H,457,2
NNGUTIE,458,2
ALM00OH,461,2
JDB00E9,462,2
RRB0043,463,2
VBBAIYE,464,2
JAG00UT,465,2
LLMCCUT,466,2
G0A01HA,472,2
RMMERED,473,2
C0P014H,475,2
CAPEARS,476,2
R0B00WM,477,2
ALBONIL,479,2
JRW00GR,480,2
SMM00FW,481,2
S1B017S,482,2
RKBRAND,483,2
JDN0023,484,2
TENORA,485,2
K0M0774,486,2
MAA00DK,490,2
TJERWIN,491,2
A0M189H,493,2
MDB00FC,495,2
N0B0BBT,498,2
K0M01RR,500,2
SJBOUDR,502,2
RCHUYNH,503,2
J0H04VF,504,2
TMH0019,506,2
KJDOSS,507,2
J0A0PXX,508,2
J0T025Z,510,2
C0A00T5,512,2
PGE0008,513,2
RFBARTO,514,2
MBREHM,515,2
DRBOW,516,2
AMP00KQ,517,2
RGHIGHT,518,2
CDM009M,520,2
DRALFAR,522,2
SDS00A7,523,2
SVALDON,524,2
DWEHREN,525,2
TMD0091,526,2
A0J08XK,527,2
SRPHELP,528,2
JAMCDON,529,2
CRS004N,530,2
SWLAGRA,531,2
KJM005J,533,2
A0S04UN,535,2
AMS019Y,536,2
CML001B,537,2
JNDELOS,538,2
JAH017D,542,2
EMS00A4,543,2
T0T09HU,544,2
TMCOTTR,545,2
PAO001F,546,2
JRZ000H,549,2
CJW00FU,550,2
TLBOND,551,2
S0Y012M,552,2
S0O017I,554,2
SRJ0077,555,2
J0H10IG,557,2
WAFIEDL,558,2
MJMULLE,559,2
CMLEADE,560,2
M0R0RG2,561,2
SAW004O,562,2
RFSMIGL,563,2
JPTUCKE,564,2
CDKEEN,565,2
JMPAGE,566,2
I0T00Z4,567,2
PPLUMLE,568,2
PCGARMO,569,2
JWM006E,571,2
S0D07A3,572,2
DDLEVES,573,2
MSDEME,575,2
RTH001D,576,2
S0V00LO,577,2
KKHILTO,578,2
AENAVE,580,2
RAGRAVE,581,2
RSROBER,582,2
KAT007A,583,2
CCWUEBB,584,2
A0L08KA,585,2
SKW006K,586,2
B0W074E,587,2
SLEMBER,589,2
S1B04CM,590,2
W0J01HO,591,2
DEBRILL,592,2
TMR00AN,595,2
TSL003P,596,2
OAC000Z,598,2
HDM0032,599,2
RTVANWI,601,2
RDT002Z,602,2
JMM00SW,603,2
ECGOLDE,604,2
SDMCCAN,607,2
H0R0464,608,2
MSMARIN,609,2
FEFAMBR,610,2
TLW00EZ,611,2
TLCUNNI,612,2
RMROGER,613,2
JJBUICE,614,2
CRB00B9,615,2
MADEVIN,617,2
M0E01EV,618,2
RBR0019,619,2
CATIDWE,620,2
A0R05IK,623,2
CRM00G0,624,2
LWPRITC,626,2
SMR00J2,635,2
LLKIERS,636,2
CKARMST,637,2
J0V027P,644,2
S0I00L6,645,2
NJCOLEH,646,2
LDWEBB,647,2
A0S0CZW,649,2
MMM005I,651,2
VSBRANT,652,2
JEBBING,653,2
L0B03JA,655,2
NAT002P,656,2
J0B10PO,657,2
MDLECR1,658,2
DJT008O,659,2
M0D0792,660,2
TAR000Q,662,2
DDK001V,663,2
TJLANG,664,2
DAP00CT,665,2
R0G0BBP,666,2
T0O02DL,667,2
BCW0044,668,2
JCO002Q,669,2
AHW001H,670,2
JSS006F,671,2
MMOOTEN,672,2
MLW00A5,673,2
CLTROUT,674,2
J0C095H,675,2
CVWALKE,676,2
RMA001B,677,2
M0U0061,678,2
M0S05DX,680,2
JHH0018,681,2
C0K00G2,682,2
JAD00Q5,683,2
M0K024X,684,2
MWLOVEL,685,2
M0M126U,687,2
CNHA,688,2
S0H0CAK,689,2
DAR00GZ,690,2
JLJOLLE,691,2
RAS00LS,692,2
TLT00B1,693,2
JAGOINS,694,2
RYBLAIR,695,2
TLB00PG,696,2
D0E01IB,697,2
ARZRUBE,698,2
A0L061U,699,2
JCPUCKE,701,2
WDHALL,702,2
FDB0011,703,2
NGRANT,705,2
MEK002G,706,2
M0C0JYU,708,2
NLNOTTI,709,2
BDSHEPH,710,2
VLSETTL,711,2
A0G0DHP,712,2
AFS001F,713,2
KLL0080,715,2
L0R03A3,716,2
D0H027B,719,2
DRWALDR,720,2
MJESU14,721,2
PMD001E,722,2
JTC009I,723,2
SJDEVOT,724,2
R0P00YR,725,2
R0P015I,726,2
C0A02GG,727,2
R0H0CUE,729,2
TDG006B,730,2
D0C07LJ,731,2
P0C07JD,733,2
TDC007B,734,2
CASTROP,735,2
B0C0AV3,736,2
CBCULBE,737,2
RAMETZS,738,2
S0L05NF,739,2
JRTILLM,740,2
SJKEENA,741,2
H0S04EU,742,2
CRD0053,743,2
DDN0029,744,2
A0O01RO,746,2
J0B0VB3,748,2
HIHAJI,749,2
SRB00A2,750,2
BMH0059,751,2
D0K02H7,752,2
DAGOTHA,753,2
A0G0132,754,2
SLSTRAC,756,2
A0A0288,758,2
TPC001C,759,2
CRM00F8,760,2
V0M04LC,761,2
SDJ002H,762,2
TJB00BR,764,2
AJDUNCA,766,2
N0R07QI,767,2
RACARVE,769,2
VLVAZQU,770,2
D0H06CD,771,2
C0G0ESE,773,2
RJKOUMA,774,2
TMGOEBE,776,2
ADH0030,778,2
KRROLLI,779,2
G0B00IW,780,2
JMC014N,781,2
S0G024K,782,2
GRB001A,783,2
H0M07XN,784,2
TEWATSO,788,2
C0M08DJ,789,2
DDGRASS,790,2
CRZAMBR,791,2
A0W01ZI,794,2
K0M06GF,795,2
T0R01VT,796,2
MMG008Q,797,2
MAC00NA,799,2
V0H00I7,800,2
L0W0ADC,801,2
E0H07IX,802,2
B0K05JU,804,2
A0H05AC,805,2
A0E00HT,806,2
JCFLOOD,807,2
SLCOLGR,809,2
LDHEITL,810,2
D0B0252,811,2
C0C031Q,813,2
KES001E,814,2
BKG002I,815,2
BECOLON,817,2
VLBRANS,818,2
GDMUCHA,819,2
K0J04MB,820,2
J0R0HDM,821,2
HLD001X,822,2
MDW006B,823,2
MMR008H,824,2
TSSHELT,825,2
T0C05BJ,827,2
ZREBMAN,828,2
JUPIZAN,829,2
RSWARRE,830,2
B0N0206,833,2
CETURNE,834,2
VJL000A,835,2
J0N07WT,836,2
TJP0030,837,2
GJVANGO,838,2
DJW00EZ,841,2
DISALIN,842,2
N0H03A0,843,2
C0D00H1,846,2
JROXNEM,847,2
CSSTACY,848,2
M0Y011N,850,2
HMSHEND,851,2
JLW00P9,854,2
ANA004Y,856,2
K0D03RV,857,2
DQCAREY,858,2
BGMARUS,859,2
JNBACK,860,2
A0B08YU,861,2
JLLATHI,863,2
BMGREGO,866,2
K0F01EE,867,2
KRDONAL,869,2
KBPOWER,870,2
SDHAYNE,871,2
EAFRANC,872,2
IVGURUL,873,2
TGHARME,876,2
CDLOVE,879,2
NMM004B,881,2
A0W0A97,882,2
J0H0YJ5,885,2
VLRUBY,886,2
DKHERTZ,888,2
L0F019M,890,2
JMB00DX,892,2
GGOLIVA,893,2
BMJORDO,894,2
JDHOCK,895,2
KCARRIO,896,2
JANUNEZ,898,2
SSW005N,899,2
TRGEORG,900,2
TJWOODS,901,2
J0R08UO,902,2
JKBERRY,903,2
VADEAN,904,2
TNK000Q,905,2
J0J02RL,906,2
ARWILKE,907,2
KPWIEME,910,2
LASTELL,911,2
EDW001F,912,2
TAM00HE,914,2
MJBICKE,917,2
RHS0027,918,2
C0S0HHS,921,2
SSAMBRO,923,2
GDTEIGE,924,2
MMD009R,927,2
LMKITTL,928,2
SVIRTS,929,2
MAC010G,930,2
J0M1PKW,931,2
JLW00FA,933,2
A0P01QP,934,2
S0M06T7,937,2
BDS006A,939,2
Y0Y02EU,941,2
N0F00CQ,942,2
G0C011W,943,2
JDEANDR,944,2
MCA000D,945,2
L0H0CA5,948,2
GDELAY,950,2
KRR002I,951,2
SDM003L,953,2
CDN002H,954,2
JDT00BX,955,2
RGQUINO,956,2
M0M03X3,958,2
RALAURE,959,2
KMHUGGI,960,2
DAK003D,961,2
D0V01SZ,962,2
MST0031,963,2
C0A00HL,964,2
KLC00DX,965,2
CRDRAPE,966,2
E0P020D,967,2
KLB00IC,968,2
MAMCDAV,969,2
LTTHIGP,970,2
NRNOFSI,971,2
TYERENA,973,2
PACASAN,974,2
PSTAPLE,976,2
RLLOVEJ,977,2
L0J077R,978,2
DWHUBBA,979,2
TMR0013,980,2
LFWARD,981,2
G0K016J,982,2
HAMADIS,984,2
J0K01VQ,985,2
J0L08OI,986,2
JPLATTE,988,2
JRMCDUF,990,2
HMCOLLI,991,2
AZPULLE,992,2
BHVIBOC,993,2
DJWITTB,994,2
S1B01BE,998,2
DDVENEG,999,2
LGMCKIN,1001,2
JRBONEB,1002,2
CLB00QH,1003,2
SNP003Y,1004,2
C0P09EH,1005,2
JMUNBEH,1007,2
NAV001P,1008,2
KLA0055,1009,2
KLTREPT,1012,2
JWKRAFT,1013,2
A0F00KZ,1014,2
DMRIVET,1016,2
SBS002G,1019,2
R0G01E7,1020,2
K0F05AJ,1021,2
CLJ007O,1022,2
VLCARIC,1023,2
KTHACKE,1026,2
M0A089A,1029,2
MDESTES,1030,2
J0P0OKW,1032,2
K0B0GQR,1033,2
M0S0QGZ,1034,2
A0G08NO,1038,2
ACS009R,1039,2
SKOSTEE,1040,2
L0G01MC,1041,2
V0Y007B,1042,2
CDTHORN,1043,2
R0C027N,1044,2
A0P07ZN,1045,2
GGG001X,1046,2
JJE002T,1048,2
M0R05RM,1051,2
SLB00QJ,1052,2
DMC00LY,1053,2
BAM00BB,1054,2
Z0R017Z,1055,2
LDG003Y,1056,2
DRJ0046,1057,2
M0R01U6,1058,2
MWISECU,1059,2
AJGIFFI,1060,2
KEDAWSO,1061,2
KJF004Y,1063,2
C0I008Q,1065,2
M0H02PI,1067,2
M0K00GR,1068,2
EABUCKL,1069,2
HMB004Q,1070,2
K0H0G1S,1071,2
ISHALL,1075,2
SBRAKE,1076,2
KLM00DT,1077,2
CZDURAN,1078,2
PAL0031,1079,2
JWH001Z,1080,2
DELATHA,1081,2
DRH008A,1082,2
R0M0647,1084,2
M0L09JG,1085,2
WJF001L,1086,2
MAS00X9,1087,2
K0B0AVI,1089,2
RFT000R,1090,2
ARLOVE,1091,2
SLR0071,1094,2
SVMAGAN,1095,2
MDP00BR,1096,2
J0L0EU7,1097,2
CLTHEDF,1098,2
SLROSEB,1099,2
CSDILLA,1100,2
DNJ001F,1101,2
CRH005C,1102,2
JAALFRI,1103,2
CJB00K9,1104,2
LBM0011,1105,2
B0G064H,1107,2
JIBARTL,1108,2
CMW00JJ,1109,2
J0V07C3,1110,2
KMCOBBI,1112,2
RDHOBBS,1113,2
K0G01VH,1114,2
KRPULLE,1115,2
BJS00CL,1116,2
SKHAN5,1117,2
YFUNDOR,1119,2
B0H04W6,1120,2
NLP001H,1121,2
PGRECTO,1122,2
LNT000G,1123,2
TLS0080,1124,2
BJHORIN,1125,2
HDBOHAR,1128,2
AWWILLI,1130,2
JLMUNDA,1131,2
BJJ001R,1133,2
NMSMALL,1134,2
VJACOBO,1137,2
R0D043K,1138,2
K0C06I1,1139,2
TRW003X,1140,2
SMCOOPE,1141,2
AMA00A7,1142,2
PRB002C,1147,2
BJR006R,1150,2
A0O01SW,1151,2
ADHIYKE,1152,2
BRWALDO,1157,2
LMW00AD,1158,2
TWBUSH,1159,2
AMGRAMK,1160,2
TLF0052,1162,2
ADBAILE,1163,2
M0K06AZ,1165,2
L0E01SJ,1167,2
C0J0330,1169,2
LSNIDER,1171,2
JLT0079,1172,2
N0M07W1,1173,2
WLM002K,1174,2
D0W0891,1175,2
TKHANSO,1176,2
LANABOR,1178,2
FFWIGGI,1184,2
W0S01BH,1185,2
AZB000B,1186,2
C0S0NTE,1187,2
S0S02CV,1189,2
TRABSHE,1190,2
S0S0F7C,1192,2
LLB008I,1193,2
TCRASS,1194,2
M0F01TE,1196,2
LCBYRD,1197,2
A0M02DL,1198,2
M0Z05FJ,1199,2
LFH0007,1200,2
LAT004U,1201,2
VMT001K,1202,2
L0R05JG,1203,2
ECO000V,1205,2
AFD000R,1207,2
EDKING,1209,2
HLSTIDH,1210,2
J0H04UV,1211,2
JAD00MX,1213,2
S0F07LC,1214,2
AVD0012,1215,2
MAG00T4,1216,2
ADR00AN,1218,2
YJSTERL,1219,2
MHMANES,1220,2
TCORZA,1221,2
D0G03BB,1222,2
LAH008X,1223,2
MSGOULD,1224,2
JDC0095,1225,2
KJH00A7,1226,2
NBT000E,1227,2
A0R02B5,1228,2
BSIVEY,1229,2
A0R03S1,1230,2
J0T0JYJ,1231,2
TLS00G3,1233,2
K0A04OP,1234,2
JDM00G0,1241,2
AMCARDI,1245,2
EJC007M,1247,2
CRB00CN,1248,2
DEZAPAT,1249,2
DAM00I9,1252,2
PMACEYR,1254,2
S0L09R1,1255,2
RTSOLAN,1256,2
K0W01IQ,1257,2
R0B08ZW,1259,2
RLINDEE,1260,2
ARVICKE,1263,2
LDFRY,1264,2
C0G0EKN,1267,2
A0M0BM2,1270,2
PJM005H,1271,2
KCG002I,1273,2
LRWAMPO,1274,2
BELOWER,1275,2
LJM009T,1276,2
JCW007S,1277,2
J0R02U0,1280,2
JKR002B,1282,2
JRCONNE,1285,2
KCS005G,1286,2
RTHOM12,1289,2
A0E081U,1290,2
DLN0017,1291,2
ADGOAD,1292,2
YAROSMA,1294,2
T0L07WV,1295,2
ADF0019,1297,2
JDELMAS,1298,2
DMH00HA,1299,2
AADUNLA,1300,2
JCLANGF,1303,2
MCELLIS,1305,2
S0S0E4W,1306,2
MBDELVE,1308,2
DSBRUEC,1309,2
ANL004P,1310,2
A0W02XE,1311,2
WRC002A,1314,2
M0P01GI,1315,2
M0S0WXB,1316,2
T0R00R3,1318,2
T0R0BIN,1319,2
K0D0231,1320,2
YRS000E,1322,2
RAF005M,1324,2
J0S0M6T,1325,2
Y0G052B,1326,2
J0L0R74,1328,2
TAREINH,1330,2
ALKNISL,1331,2
JLVAZQU,1332,2
GGOULET,1333,2
ARB00F6,1335,2
B0T06XX,1336,2
GKSOMER,1337,2
TGOSHA,1338,2
EED001S,1339,2
HAGOULD,1341,2
JLS00BY,1344,2
M0N06K4,1345,2
ASHANDL,1346,2
D0D054E,1350,2
TAGRIFF,1351,2
HMW004P,1354,2
JKM0050,1355,2
DRSHINK,1356,2
N0T02YR,1361,2
DAT0060,1362,2
NKT000E,1363,2
M0E03SF,1364,2
SSUNAR,1365,2
RMRHINE,1366,2
D0K05GO,1367,2
K0H0DJE,1368,2
A0E04TQ,1369,2
S0C09S4,1370,2
RDH0075,1371,2
DCDAVY,1373,2
IMMUNER,1374,2
RIW0007,1375,2
S0M04B3,1376,2
W0P00DB,1377,2
E0S0586,1378,2
URK0000,1382,2
P0G038T,1384,2
VBD0003,1387,2
EWILLS,1388,2
J0R04EL,1389,2
M0R051T,1391,2
S0C0APC,1393,2
VMDANIE,1394,2
M0S03E5,1396,2
MMCGLOT,1397,2
MCAYCED,1398,2
D0L05RU,1399,2
SMPRATH,1400,2
DGHALLM,1403,2
RJK003O,1404,2
MLS00O7,1405,2
NCM001N,1407,2
JDB00I0,1408,2
W0L04A2,1409,2
LNW001U,1410,2
RAP007H,1411,2
J0D03RY,1412,2
RAH004B,1413,2
R0F012L,1414,2
AML00E2,1415,2
KLE0026,1416,2
MDW0097,1417,2
MJG00DC,1418,2
REH0060,1419,2
DAA00AB,1421,2
B0H04EN,1422,2
DACOFFM,1423,2
DDPARHA,1424,2
BJPINSO,1426,2
ALW00B8,1428,2
ERIEDMA,1429,2
VMG000T,1430,2
DPSUTER,1431,2
DLSISCO,1432,2
KSSTITH,1433,2
TNSPALL,1434,2
S0R088Z,1435,2
K0L00TF,1436,2
N0G03CX,1437,2
MLY0005,1438,2
JAF00B8,1439,2
M0C0AT8,1440,2
K0C04MC,1441,2
A0M0J8Y,1442,2
CWWASHI,1443,2
J0B0Q0Z,1444,2
JABETTE,1445,2
MLB00HC,1446,2
R0G01ZV,1447,2
K0F0379,1448,2
KRABITZ,1449,2
TLW00LZ,1450,2
C0R08ZZ,1451,2
L0R00WG,1452,2
GAPINNE,1453,2
T0E01TB,1454,2
KPBIORN,1456,2
WRY0006,1457,2
ALCOOP1,1458,2
CLH00FC,1459,2
R0M029J,1460,2
GMB004M,1461,2
LTGREGO,1462,2
DASTERN,1463,2
M0C03NA,1465,2
JWYEARY,1466,2
PLSHARP,1467,2
AFLEONA,1468,2
BSR0030,1469,2
G0A044E,1470,2
J0A0QTQ,1471,2
BVGAMAC,1472,2
JCJ002S,1473,2
A0M064F,1474,2
J0C0S62,1475,2
MELLOYD,1476,2
TRS00A7,1478,2
J0G0EZO,1479,2
S0H07A0,1480,2
TRA003X,1481,2
A0A0TXM,1483,2
CAC00HS,1485,2
WDAVI11,1486,2
AWSTONE,1487,2
A0P0AWF,1488,2
C0B09DC,1489,2
LAG009M,1490,2
EJHENNI,1491,2
OYEBOA,1492,2
K0B09DI,1493,2
M0A0JTR,1494,2
T0G0650,1495,2
GJSMOCK,1496,2
JDERSKI,1499,2
K0J00ST,1500,2
CLM00TN,1503,2
H0D03K7,1504,2
S0S03MN,1505,2
BJFLACK,1506,2
S0W0681,1507,2
R0A01NC,1508,2
B0T0424,1509,2
JSS002T,1511,2
VMH001R,1512,2
BJE0023,1513,2
LAC00HP,1514,2
SLLUSKG,1515,2
K0D01SY,1516,2
LBJ0015,1517,2
J0C0C4F,1519,2
JMW00C2,1520,2
EMK0022,1521,2
V0R00AF,1526,2
X0I0009,1528,2
JMFLICK,1529,2
MCS0052,1530,2
T0H02OB,1531,2
LCD000N,1532,2
AJO0015,1533,2
TMB00FX,1534,2
A0J032X,1535,2
AALAWVE,1537,2
G0B0624,1538,2
W0H02TQ,1539,2
C0A07WV,1541,2
MLM008Y,1542,2
JJJ004L,1543,2
MAB00L6,1544,2
JDF004H,1545,2
CAR00FK,1546,2
C0H022Z,1547,2
PJDAUKS,1548,2
DWEICHE,1550,2
JAH00K4,1551,2
AAMADIS,1552,2
A0B04V7,1554,2
JCA006X,1555,2
A0H03ZU,1559,2
MDLIMQU,1560,2
R0S0LV7,1562,2
E0M00Y7,1563,2
A0B15VJ,1564,2
NLS004B,1565,2
A0C0VIR,1567,2
ESMYERS,1569,2
M0K07WE,1570,2
T0M04SO,1571,2
LDO001B,1572,2
T0R090Z,1573,2
SMB00HL,1574,2
MJB00H9,1575,2
H0H03Z9,1576,2
G0S02I5,1577,2
ARB00CW,1580,2
C0S07EE,1581,2
Y0P01F2,1583,2
VAT000X,1584,2
E0J02X5,1585,2
PMHAMBY,1586,2
FJT000R,1588,2
I0K00A9,1589,2
M0I00LU,1590,2
MAD00FO,1593,2
MADARBY,1594,2
CRHAYES,1595,2
APH0039,1596,2
W0M02D6,1597,2
J0R09UY,1598,2
JAHANNE,1599,2
J0C0UPY,1600,2
AJR00DT,1604,2
LOSULLI,1605,2
ZSWORTM,1606,2
ELHARMO,1607,2
HJHASKI,1608,2
JAL00K7,1609,2
D0A0A8P,1610,2
ACB00A5,1611,2
DRROBLE,1612,2
CHSCOTT,1613,2
B0A01E9,1615,2
DBABINS,1616,2
CRL004Z,1617,2
KMR00DC,1619,2
A0F06RB,1620,2
KLHORNB,1621,2
MLB007W,1622,2
E0F0088,1624,2
D0R04VM,1625,2
TDHAMRE,1627,2
J0B0H94,1628,2
RAR00C6,1629,2
BAF004T,1630,2
K0P0E1M,1632,2
S0L0916,1633,2
TASCHNE,1634,2
A0W0CL4,1635,2
A0SCHEL,1636,2
KMH00EI,1637,2
J0R08NP,1638,2
ALKRULL,1642,2
A0V08TA,1643,2
ZAHENRY,1644,2
A0W0JC8,1645,2
KJSHIFF,1647,2
V0B04FY,1648,2
CMK0051,1649,2
R0E00BD,1650,2
MAI000J,1651,2
WMWALKE,1653,2
JJBRADE,1654,2
JPFOOR,1656,2
D0F00XH,1659,2
SKOBADI,1660,2
CLSIDDE,1662,2
C0I00H1,1663,2
