Store #,Tier Name,Article #
1857,Tier 03,100673607
1858,Tier 04,100673608
1859,Tier 03,100673607
1860,Tier 05,100673609
1861,Tier 04,100673608
1862,Tier 05,100673609
1863,Tier 05,100673609
1864,Tier 04,100673608
1865,Tier 05,100673609
1866,Tier 03,100673607
1867,Tier 03,100673607
1868,Tier 04,100673608
1869,Tier 03,100673607
1870,Tier 05,100673609
1871,Tier 03,100673607
1872,Tier 05,100673609
1873,Tier 04,100673608
1874,Tier 02 ,100673606
1875,Tier 03,100673607
1876,Tier 05,100673609
1877,Tier 04,100673608
1878,Tier 04,100673608
1879,Tier 05,100673609
1880,Tier 05,100673609
1881,Tier 05,100673609
1882,Tier 04,100673608
1883,Tier 02 ,100673606
1884,Tier 02 ,100673606
1885,Tier 04,100673608
1886,Tier 05,100673609
1887,Tier 04,100673608
1888,Tier 04,100673608
1889,Tier 05,100673609
1890,Tier 03,100673607
1891,Tier 05,100673609
1892,Tier 02 ,100673606
1893,Tier 05,100673609
1894,Tier 05,100673609
1895,Tier 04,100673608
1896,Tier 05,100673609
1897,Tier 02 ,100673606
1898,Tier 05,100673609
1899,Tier 05,100673609
1900,Tier 04,100673608
1901,Tier 05,100673609
1902,Tier 04,100673608
1903,Tier 04,100673608
1904,Tier 04,100673608
1905,Tier 04,100673608
1906,Tier 04,100673608
1907,Tier 02 ,100673606
1908,Tier 05,100673609
1909,Tier 02 ,100673606
1910,Tier 05,100673609
1911,Tier 03,100673607
1912,Tier 05,100673609
1913,Tier 04,100673608
1914,Tier 05,100673609
1915,Tier 05,100673609
1916,Tier 03,100673607
1917,Tier 05,100673609
1918,Tier 04,100673608
1919,Tier 03,100673607
1920,Tier 05,100673609
1921,Tier 03,100673607
1922,Tier 05,100673609
1923,Tier 05,100673609
1924,Tier 03,100673607
1925,Tier 05,100673609
1926,Tier 02 ,100673606
1927,Tier 05,100673609
1928,Tier 05,100673609
1929,Tier 05,100673609
1930,Tier 04,100673608
1931,Tier 05,100673609
1932,Tier 03,100673607
1933,Tier 02 ,100673606
1934,Tier 03,100673607
1935,Tier 03,100673607
1936,Tier 05,100673609
1937,Tier 04,100673608
1938,Tier 02 ,100673606
1939,Tier 03,100673607
1940,Tier 02 ,100673606
1941,Tier 05,100673609
1942,Tier 05,100673609
1943,Tier 05,100673609
1945,Tier 02 ,100673606
1946,Tier 02 ,100673606
1948,Tier 04,100673608
1949,Tier 02 ,100673606
1950,Tier 03,100673607
1951,Tier 05,100673609
1952,Tier 04,100673608
1953,Tier 03,100673607
1954,Tier 04,100673608
1955,Tier 05,100673609
1956,Tier 05,100673609
1957,Tier 02 ,100673606
1958,Tier 03,100673607
1959,Tier 05,100673609
1960,Tier 01 ,100673605
1961,Tier 04,100673608
1962,Tier 04,100673608
1963,Tier 05,100673609
1964,Tier 04,100673608
1965,Tier 04,100673608
1966,Tier 02 ,100673606
1967,Tier 04,100673608
1968,Tier 03,100673607
1969,Tier 03,100673607
1970,Tier 02 ,100673606
1971,Tier 05,100673609
1972,Tier 05,100673609
1973,Tier 02 ,100673606
1974,Tier 03,100673607
1975,Tier 02 ,100673606
1976,Tier 02 ,100673606
1977,Tier 03,100673607
1978,Tier 04,100673608
1979,Tier 05,100673609
1980,Tier 05,100673609
1981,Tier 05,100673609
1982,Tier 05,100673609
1983,Tier 05,100673609
1984,Tier 02 ,100673606
1985,Tier 04,100673608
1986,Tier 05,100673609
1987,Tier 05,100673609
1988,Tier 05,100673609
1989,Tier 05,100673609
1990,Tier 05,100673609
1991,Tier 04,100673608
1992,Tier 05,100673609
1993,Tier 02 ,100673606
1994,Tier 02 ,100673606
1995,Tier 04,100673608
1996,Tier 02 ,100673606
1997,Tier 02 ,100673606
1998,Tier 02 ,100673606
1999,Tier 04,100673608
2000,Tier 03,100673607
2001,Tier 05,100673609
2002,Tier 05,100673609
2003,Tier 05,100673609
2004,Tier 05,100673609
2005,Tier 04,100673608
2006,Tier 05,100673609
2007,Tier 04,100673608
2008,Tier 04,100673608
2009,Tier 03,100673607
2010,Tier 05,100673609
2012,Tier 02 ,100673606
2013,Tier 03,100673607
2014,Tier 05,100673609
2015,Tier 04,100673608
2016,Tier 05,100673609
2019,Tier 04,100673608
2020,Tier 05,100673609
2021,Tier 05,100673609
2022,Tier 01 ,100673605
2023,Tier 05,100673609
2024,Tier 02 ,100673606
2025,Tier 05,100673609
2026,Tier 04,100673608
2027,Tier 04,100673608
2028,Tier 05,100673609
2030,Tier 05,100673609
2031,Tier 05,100673609
2032,Tier 05,100673609
2033,Tier 05,100673609
2035,Tier 04,100673608
2036,Tier 04,100673608
2037,Tier 05,100673609
2038,Tier 04,100673608
2039,Tier 04,100673608
2040,Tier 03,100673607
2041,Tier 05,100673609
2043,Tier 02 ,100673606
2044,Tier 05,100673609
2045,Tier 04,100673608
2046,Tier 03,100673607
2047,Tier 04,100673608
2048,Tier 05,100673609
2049,Tier 03,100673607
2050,Tier 04,100673608
2051,Tier 04,100673608
2052,Tier 05,100673609
2053,Tier 05,100673609
2054,Tier 05,100673609
2055,Tier 02 ,100673606
2056,Tier 03,100673607
2057,Tier 04,100673608
2058,Tier 03,100673607
2059,Tier 04,100673608
2061,Tier 05,100673609
2062,Tier 05,100673609
2063,Tier 04,100673608
2064,Tier 02 ,100673606
2065,Tier 02 ,100673606
2066,Tier 04,100673608
2067,Tier 04,100673608
2068,Tier 03,100673607
2069,Tier 05,100673609
2070, Tier HIAK,100674085
2071, Tier HIAK,100674085
2072,Tier 04,100673608
2073,Tier 05,100673609
2074, Tier HIAK,100674085
2075,Tier 05,100673609
2077,Tier 05,100673609
2078,Tier 04,100673608
2079,Tier 05,100673609
2080,Tier 05,100673609
2081,Tier 02 ,100673606
2082,Tier 05,100673609
2083,Tier 04,100673608
2084,Tier 05,100673609
2085,Tier 04,100673608
2086,Tier 03,100673607
2087,Tier 04,100673608
2088,Tier 02 ,100673606
2089,Tier 04,100673608
2090,Tier 03,100673607
2091,Tier 01 ,100673605
2092,Tier 02 ,100673606
2093,Tier 02 ,100673606
2094,Tier 04,100673608
2095,Tier 05,100673609
2096,Tier 03,100673607
2097,Tier 02 ,100673606
2098,Tier 05,100673609
2099,Tier 05,100673609
2100,Tier 05,100673609
2101,Tier 04,100673608
2102,Tier 05,100673609
2103,Tier 05,100673609
2104,Tier 05,100673609
2105,Tier 04,100673608
2106,Tier 05,100673609
2107,Tier 02 ,100673606
2108,Tier 03,100673607
2109,Tier 03,100673607
2110,Tier 05,100673609
2111,Tier 01 ,100673605
2112,Tier 04,100673608
2113,Tier 04,100673608
2114,Tier 01 ,100673605
2115,Tier 04,100673608
2116,Tier 02 ,100673606
2117,Tier 05,100673609
2118,Tier 04,100673608
2119,Tier 05,100673609
2120,Tier 02 ,100673606
2121,Tier 05,100673609
2122,Tier 05,100673609
2123,Tier 03,100673607
2124,Tier 02 ,100673606
2125,Tier 05,100673609
2126, Tier HIAK,100674085
2127,Tier 05,100673609
2128,Tier 05,100673609
2129,Tier 03,100673607
2130,Tier 04,100673608
2131,Tier 05,100673609
2132,Tier 05,100673609
2133,Tier 03,100673607
2134,Tier 03,100673607
2135,Tier 02 ,100673606
2136,Tier 03,100673607
2137,Tier 04,100673608
2138,Tier 02 ,100673606
2139,Tier 04,100673608
2140,Tier 02 ,100673606
2141,Tier 03,100673607
2142,Tier 04,100673608
2143,Tier 03,100673607
2144,Tier 05,100673609
2145,Tier 05,100673609
2146,Tier 02 ,100673606
2147,Tier 05,100673609
2149,Tier 04,100673608
2150,Tier 05,100673609
2151,Tier 03,100673607
2152,Tier 02 ,100673606
2153,Tier 02 ,100673606
2154,Tier 02 ,100673606
2155,Tier 02 ,100673606
2157,Tier 04,100673608
2158,Tier 02 ,100673606
2159,Tier 02 ,100673606
2160,Tier 04,100673608
2161,Tier 05,100673609
2163,Tier 05,100673609
2164,Tier 02 ,100673606
2166,Tier 02 ,100673606
2167,Tier 03,100673607
2169,Tier 02 ,100673606
2170,Tier 05,100673609
2175,Tier 05,100673609
2176,Tier 03,100673607
2177,Tier 05,100673609
2178,Tier 03,100673607
2180,Tier 04,100673608
2181,Tier 04,100673608
2183,Tier 03,100673607
2184,Tier 04,100673608
2185,Tier 05,100673609
2187,Tier 05,100673609
2188, Tier HIAK,100674085
2189,Tier 05,100673609
2190,Tier 05,100673609
2191,Tier 04,100673608
2192,Tier 05,100673609
2193,Tier 04,100673608
2194,Tier 04,100673608
2195,Tier 03,100673607
2196,Tier 05,100673609
2197,Tier 04,100673608
2198,Tier 03,100673607
2199,Tier 04,100673608
2200,Tier 05,100673609
2201,Tier 05,100673609
2202,Tier 02 ,100673606
2204,Tier 02 ,100673606
2205,Tier 05,100673609
2206,Tier 05,100673609
2207,Tier 04,100673608
2208,Tier 02 ,100673606
2209,Tier 04,100673608
2210,Tier 02 ,100673606
2211,Tier 04,100673608
2213,Tier 03,100673607
2214,Tier 03,100673607
2215,Tier 02 ,100673606
2218,Tier 05,100673609
2221,Tier 05,100673609
2222,Tier 04,100673608
2223,Tier 05,100673609
2224,Tier 02 ,100673606
2225,Tier 04,100673608
2226,Tier 05,100673609
2227,Tier 05,100673609
2228,Tier 03,100673607
2230,Tier 04,100673608
2231,Tier 05,100673609
2232,Tier 05,100673609
2233,Tier 04,100673608
2234,Tier 03,100673607
2236,Tier 03,100673607
2237,Tier 02 ,100673606
2238,Tier 05,100673609
2239,Tier 03,100673607
2240,Tier 04,100673608
2241,Tier 04,100673608
2242,Tier 05,100673609
2243,Tier 05,100673609
2244,Tier 04,100673608
2245,Tier 05,100673609
2247,Tier 01 ,100673605
2248,Tier 04,100673608
2249,Tier 05,100673609
2250,Tier 03,100673607
2251,Tier 05,100673609
2252,Tier 02 ,100673606
2253,Tier 05,100673609
2254,Tier 03,100673607
2255,Tier 02 ,100673606
2256,Tier 03,100673607
2257,Tier 03,100673607
2258,Tier 04,100673608
2259,Tier 05,100673609
2261,Tier 04,100673608
2262,Tier 03,100673607
2263,Tier 03,100673607
2264,Tier 02 ,100673606
2265,Tier 03,100673607
2266,Tier 05,100673609
2267,Tier 02 ,100673606
2269,Tier 05,100673609
2270,Tier 05,100673609
2271,Tier 05,100673609
2272,Tier 03,100673607
2273,Tier 04,100673608
2274,Tier 04,100673608
2275,Tier 04,100673608
2276,Tier 04,100673608
2277,Tier 05,100673609
2278,Tier 02 ,100673606
2279,Tier 04,100673608
2280,Tier 05,100673609
2281,Tier 02 ,100673606
2282,Tier 05,100673609
2283,Tier 04,100673608
2284,Tier 05,100673609
2285,Tier 03,100673607
2287,Tier 02 ,100673606
2288,Tier 05,100673609
2289,Tier 02 ,100673606
2290,Tier 04,100673608
2291,Tier 05,100673609
2292,Tier 05,100673609
