Stores,Dept, July End Inv 
63,80," 8,094 "
63,93," 46,363 "
63,94," 18,773 "
63,98," 13,734 "
64,80," 10,591 "
64,93," 38,454 "
64,94," 19,536 "
64,98," 12,897 "
65,80," 18,411 "
65,93," 56,098 "
65,94," 33,207 "
65,98," 18,566 "
66,80," 16,989 "
66,93," 38,033 "
66,94," 15,235 "
66,98," 20,166 "
67,80," 12,207 "
67,93," 42,443 "
67,94," 12,507 "
67,98," 17,170 "
68,80," 10,814 "
68,93," 35,478 "
68,94," 16,180 "
68,98," 7,127 "
69,80," 18,448 "
69,93," 65,413 "
69,94," 24,118 "
69,98," 30,768 "
70,80," 12,306 "
70,93," 47,924 "
70,94," 34,782 "
70,98," 25,967 "
71,80," 6,291 "
71,93," 50,246 "
71,94," 9,942 "
71,98," 11,540 "
72,80," 13,857 "
72,93," 47,812 "
72,94," 18,121 "
72,98," 20,643 "
73,80," 14,233 "
73,93," 55,632 "
73,94," 17,638 "
73,98," 18,424 "
74,80," 2,671 "
74,93," 32,270 "
74,94," 21,402 "
74,98," 8,995 "
75,80," 18,387 "
75,93," 61,583 "
75,94," 28,642 "
75,98," 19,543 "
76,80," 13,067 "
76,93," 40,497 "
76,94," 7,077 "
76,98," 15,690 "
77,80," 13,416 "
77,93," 23,731 "
77,94," 15,497 "
77,98," 18,801 "
78,80," 9,085 "
78,93," 44,807 "
78,94," 18,917 "
78,98," 18,822 "
79,80," 12,794 "
79,93," 65,017 "
79,94," 20,835 "
79,98," 28,564 "
80,80," 14,745 "
80,93," 58,032 "
80,94," 34,355 "
80,98," 19,588 "
81,80," 7,462 "
81,93," 37,645 "
81,94," 17,240 "
81,98," 11,721 "
82,80," 9,356 "
82,93," 31,996 "
82,94," 17,874 "
82,98," 8,852 "
83,80," 7,385 "
83,93," 53,380 "
83,94," 25,530 "
83,98," 17,055 "
85,80," 16,606 "
85,93," 76,259 "
85,94," 26,647 "
85,98," 25,814 "
86,80," 18,343 "
86,93," 48,204 "
86,94," 28,149 "
86,98," 19,932 "
87,80," 18,159 "
87,93," 56,856 "
87,94," 37,522 "
87,98," 62,822 "
88,80," 14,401 "
88,93," 42,837 "
88,94," 20,773 "
88,98," 6,556 "
89,80," 13,495 "
89,93," 54,015 "
89,94," 34,934 "
89,98," 26,857 "
90,80," 18,925 "
90,93," 53,143 "
90,94," 15,180 "
90,98," 29,970 "
91,80," 20,582 "
91,93," 47,909 "
91,94," 22,643 "
91,98," 23,019 "
92,80," 21,758 "
92,93," 41,612 "
92,94," 12,352 "
92,98," 16,278 "
93,80," 17,622 "
93,93," 65,347 "
93,94," 27,801 "
93,98," 21,535 "
94,80," 22,669 "
94,93," 75,919 "
94,94," 50,914 "
94,98," 53,000 "
95,80," 14,062 "
95,93," 55,517 "
95,94," 24,259 "
95,98," 24,991 "
96,80," 14,072 "
96,93," 54,504 "
96,94," 27,860 "
96,98," 21,691 "
97,80, 7 
97,93," 43,554 "
97,94," 28,690 "
97,98," 5,740 "
98,80," 9,075 "
98,93," 59,538 "
98,94," 12,961 "
98,98," 13,662 "
99,80," 13,099 "
99,93," 29,807 "
99,94," 13,885 "
99,98," 12,908 "
100,80," 25,647 "
100,93," 37,317 "
100,94," 17,798 "
100,98," 23,875 "
101,80," 9,911 "
101,93," 63,783 "
101,94," 37,349 "
101,98," 19,011 "
102,80," 9,036 "
102,93," 49,834 "
102,94," 23,280 "
102,98," 5,125 "
103,80," 12,967 "
103,93," 81,928 "
103,94," 34,628 "
103,98," 29,384 "
104,80," 19,461 "
104,93," 42,068 "
104,94," 20,320 "
104,98," 17,782 "
105,80," 12,377 "
105,93," 56,245 "
105,94," 22,358 "
105,98," 20,618 "
106,80," 9,964 "
106,93," 31,500 "
106,94," 18,646 "
106,98," 3,559 "
107,80," 16,103 "
107,93," 32,545 "
107,94," 14,860 "
107,98," 22,487 "
108,80," 7,107 "
108,93," 52,774 "
108,94," 21,722 "
108,98," 19,506 "
109,80," 9,134 "
109,93," 38,783 "
109,94," 19,256 "
109,98," 6,573 "
110,80," 22,669 "
110,93," 61,747 "
110,94," 38,799 "
110,98," 21,685 "
111,80," 9,508 "
111,93," 35,095 "
111,94," 14,940 "
111,98," 17,451 "
112,80," 17,342 "
112,93," 44,491 "
112,94," 37,238 "
112,98," 21,739 "
113,80," 14,895 "
113,93," 50,528 "
113,94," 22,615 "
113,98," 21,673 "
114,80," 15,031 "
114,93," 41,560 "
114,94," 16,430 "
114,98," 21,074 "
115,80," 12,331 "
115,93," 45,504 "
115,94," 19,322 "
115,98," 12,284 "
118,80," 13,960 "
118,93," 32,461 "
118,94," 20,931 "
118,98," 18,144 "
119,80," 13,133 "
119,93," 32,864 "
119,94," 25,969 "
119,98," 21,138 "
120,80," 12,585 "
120,93," 58,200 "
120,94," 22,284 "
120,98," 13,203 "
121,80," 24,592 "
121,93," 57,307 "
121,94," 28,435 "
121,98," 23,015 "
122,80, (44)
122,93," 29,205 "
122,94," 12,744 "
122,98," 7,126 "
123,80," 10,676 "
123,93," 40,707 "
123,94," 13,433 "
123,98," 5,243 "
124,80," 14,282 "
124,93," 57,115 "
124,94," 11,070 "
124,98," 16,756 "
125,80," 14,452 "
125,93," 70,717 "
125,94," 13,751 "
125,98," 23,649 "
126,80," 25,875 "
126,93," 63,929 "
126,94," 19,576 "
126,98," 23,361 "
127,80," 17,813 "
127,93," 40,317 "
127,94," 22,209 "
127,98," 18,426 "
128,80," 10,771 "
128,93," 35,144 "
128,94," 19,405 "
128,98," 18,717 "
129,80," 12,163 "
129,93," 98,152 "
129,94," (7,656)"
129,98," 22,343 "
130,80," 25,532 "
130,93," 76,688 "
130,94," 28,916 "
130,98," 23,502 "
131,80," 13,932 "
131,93," 42,308 "
131,94," 46,430 "
131,98," 20,070 "
132,80," 4,946 "
132,93," 34,000 "
132,94," 15,939 "
132,98," 8,423 "
133,80," 10,221 "
133,93," 32,252 "
133,94," 17,991 "
133,98," 11,344 "
134,80," 15,218 "
134,93," 71,898 "
134,94," 25,960 "
134,98," 21,681 "
135,80," 13,146 "
135,93," 30,419 "
135,94," 16,867 "
135,98," 16,715 "
137,80," 15,610 "
137,93," 72,154 "
137,94," 33,947 "
137,98," 21,491 "
138,80," 15,135 "
138,93," 58,187 "
138,94," 21,068 "
138,98," 18,016 "
139,80," 10,607 "
139,93," 36,796 "
139,94," 18,767 "
139,98," 16,271 "
140,80," 17,396 "
140,93," 100,201 "
140,94," 30,513 "
140,98," 19,152 "
141,80," 7,907 "
141,93," 61,045 "
141,94," 5,620 "
141,98," 17,688 "
143,80," 11,636 "
143,93," 34,218 "
143,94," 13,917 "
143,98," 18,968 "
144,80," 17,816 "
144,93," 52,706 "
144,94," 15,971 "
144,98," 17,328 "
145,80," 5,848 "
145,93," 30,299 "
145,94," 16,472 "
145,98," 12,549 "
146,80," 15,265 "
146,93," 40,765 "
146,94," 23,985 "
146,98," 9,225 "
147,80," 18,102 "
147,93," 68,494 "
147,94," 31,013 "
147,98," 21,778 "
148,80," 20,279 "
148,93," 53,051 "
148,94," 25,848 "
148,98," 21,271 "
149,80," 9,912 "
149,93," 39,834 "
149,94," 16,886 "
149,98," 8,861 "
150,80," 11,897 "
150,93," 39,777 "
150,94," 12,677 "
150,98," 18,597 "
151,80," 14,626 "
151,93," 60,833 "
151,94," 19,374 "
151,98," 24,521 "
152,80," 19,484 "
152,93," 53,694 "
152,94," 21,981 "
152,98," 20,623 "
153,80," 9,371 "
153,93," 34,012 "
153,94," 12,577 "
153,98," 6,680 "
154,80," 10,841 "
154,93," 47,802 "
154,94," 31,554 "
154,98," 18,421 "
155,80," 22,443 "
155,93," 52,580 "
155,94," 21,017 "
155,98," 18,489 "
157,80," 16,087 "
157,93," 50,303 "
157,94," 25,057 "
157,98," 21,031 "
158,80," 6,060 "
158,93," 36,153 "
158,94," 13,375 "
158,98," 8,277 "
159,80," 22,066 "
159,93," 45,364 "
159,94," 36,879 "
159,98," 20,767 "
160,80, (105)
160,93," 50,746 "
160,94," 18,309 "
160,98," 9,589 "
161,80," 7,868 "
161,93," 39,536 "
161,94," 22,859 "
161,98," 7,699 "
162,80," 5,046 "
162,93," 35,535 "
162,94," 16,363 "
162,98," 3,277 "
163,80," 12,603 "
163,93," 60,464 "
163,94," 35,787 "
163,98," 22,152 "
164,80," 22,498 "
164,93," 36,789 "
164,94," 28,934 "
164,98," 20,576 "
165,80," 11,895 "
165,93," 28,310 "
165,94," 10,634 "
165,98," 17,789 "
166,80," 7,068 "
166,93," 32,741 "
166,94," 13,733 "
166,98," 7,898 "
167,80," 18,935 "
167,93," 43,194 "
167,94," 21,680 "
167,98," 19,828 "
168,80," 15,457 "
168,93," 69,006 "
168,94," 27,325 "
168,98," 14,536 "
169,80," 14,024 "
169,93," 23,741 "
169,94," 11,421 "
169,98," 11,545 "
170,80," 13,629 "
170,93," 44,568 "
170,94," 18,499 "
170,98," 18,249 "
171,80," 13,704 "
171,93," 44,815 "
171,94," 37,343 "
171,98," 17,090 "
172,80," 20,683 "
172,93," 63,281 "
172,94," 21,125 "
172,98," 26,687 "
173,80," 10,723 "
173,93," 27,834 "
173,94," 18,788 "
173,98," 8,964 "
174,80," 25,855 "
174,93," 67,820 "
174,94," 39,636 "
174,98," 21,078 "
175,80," 8,184 "
175,93," 36,165 "
175,94," 20,930 "
175,98," 18,629 "
177,80," 17,080 "
177,93," 47,911 "
177,94," 26,494 "
177,98," 26,521 "
178,80," 5,709 "
178,93," 27,093 "
178,94," 15,268 "
178,98," 5,240 "
179,80," 13,436 "
179,93," 35,241 "
179,94," 14,118 "
179,98," 19,367 "
180,80," 19,985 "
180,93," 29,056 "
180,94," 10,571 "
180,98," 17,136 "
181,80," 13,280 "
181,93," 28,836 "
181,94," 12,787 "
181,98," 13,391 "
182,80," 24,578 "
182,93," 92,771 "
182,94," 37,180 "
182,98," 22,291 "
183,80," 14,411 "
183,93," 19,337 "
183,94," 13,549 "
183,98," 9,005 "
184,80," 8,871 "
184,93," 49,885 "
184,94," 22,695 "
184,98," 18,262 "
185,80," 17,561 "
185,93," 49,957 "
185,94," 15,347 "
185,98," 18,043 "
186,80," 9,671 "
186,93," 57,784 "
186,94," 26,044 "
186,98," 17,035 "
188,80," 16,871 "
188,93," 53,563 "
188,94," 33,911 "
188,98," 16,094 "
189,80," 12,242 "
189,93," 52,550 "
189,94," 24,479 "
189,98," 21,526 "
190,80," 20,657 "
190,93," 29,275 "
190,94," 13,562 "
190,98," 17,126 "
192,80," 13,149 "
192,93," 59,890 "
192,94," 13,690 "
192,98," 19,982 "
194,80," 26,987 "
194,93," 48,801 "
194,94," 13,958 "
194,98," 22,163 "
195,80," 8,734 "
195,93," 37,864 "
195,94," 14,432 "
195,98," 14,003 "
196,80," 21,141 "
196,93," 55,823 "
196,94," 22,438 "
196,98," 31,282 "
197,80," 13,463 "
197,93," 51,063 "
197,94," 22,353 "
197,98," 21,966 "
198,80," 9,667 "
198,93," 38,918 "
198,94," 11,181 "
198,98," 16,937 "
199,80," 18,316 "
199,93," 57,613 "
199,94," 28,886 "
199,98," 20,274 "
200,80," 15,848 "
200,93," 60,046 "
200,94," 24,106 "
200,98," 27,252 "
201,80," 29,362 "
201,93," 72,853 "
201,94," 47,681 "
201,98," 26,337 "
202,80," 8,484 "
202,93," 49,180 "
202,94," 28,004 "
202,98," 20,836 "
203,80," 8,352 "
203,93," 26,412 "
203,94," 18,565 "
203,98," 5,573 "
204,80," 17,034 "
204,93," 26,445 "
204,94," 12,098 "
204,98," 16,911 "
205,80," 13,783 "
205,93," 58,033 "
205,94," 25,335 "
205,98," 21,611 "
206,80," 17,210 "
206,93," 66,975 "
206,94," 41,576 "
206,98," 20,938 "
207,80, 922 
207,93," 32,425 "
207,94," 13,282 "
207,98," 9,019 "
211,80," 12,386 "
211,93," 39,557 "
211,94," 18,368 "
211,98," 17,700 "
212,80," 13,894 "
212,93," 55,175 "
212,94," 23,076 "
212,98," 22,737 "
213,80," 25,354 "
213,93," 43,086 "
213,94," 8,817 "
213,98," 22,392 "
214,80," 8,013 "
214,93," 48,868 "
214,94," 9,450 "
214,98," 18,842 "
216,80," 18,779 "
216,93," 43,976 "
216,94," 22,232 "
216,98," 18,394 "
217,80," 18,251 "
217,93," 78,597 "
217,94," 27,602 "
217,98," 19,100 "
218,80, 220 
218,93," 24,875 "
218,94," 14,268 "
218,98," 4,195 "
219,80," 10,424 "
219,93," 92,638 "
219,94," 40,972 "
219,98," 25,272 "
220,80," 17,136 "
220,93," 57,181 "
220,94," 29,903 "
220,98," 20,673 "
221,80," 5,749 "
221,93," 45,535 "
221,94," 16,970 "
221,98," 20,655 "
222,80," 19,738 "
222,93," 40,034 "
222,94," 21,058 "
222,98," 21,174 "
224,80," 7,288 "
224,93," 36,373 "
224,94," 9,873 "
224,98," 27,012 "
225,80," 13,997 "
225,93," 40,919 "
225,94," 22,702 "
225,98," 9,693 "
226,80," 11,330 "
226,93," 29,560 "
226,94," 14,955 "
226,98," 16,717 "
227,80," 8,807 "
227,93," 45,731 "
227,94," 20,530 "
227,98," 19,271 "
228,80," 15,513 "
228,93," 33,200 "
228,94," 18,778 "
228,98," 24,558 "
229,80," 9,297 "
229,93," 36,587 "
229,94," 17,726 "
229,98," 9,484 "
231,80," 13,464 "
231,93," 70,313 "
231,94," 17,732 "
231,98," 33,749 "
233,80," 10,019 "
233,93," 26,610 "
233,94," 14,975 "
233,98," 5,055 "
234,80," 16,403 "
234,93," 59,228 "
234,94," 51,327 "
234,98," 20,438 "
236,80," 8,896 "
236,93," 26,080 "
236,94," 12,900 "
236,98," 7,716 "
237,80," 18,141 "
237,93," 43,786 "
237,94," 21,929 "
237,98," 20,085 "
238,80," 9,988 "
238,93," 35,241 "
238,94," 15,288 "
238,98," 19,051 "
239,80," 17,115 "
239,93," 27,443 "
239,94," 12,452 "
239,98," 5,328 "
240,80," 11,456 "
240,93," 48,234 "
240,94," 14,024 "
240,98," 6,113 "
241,80," 5,461 "
241,94, 587 
241,98, 57 
242,80," 7,825 "
242,93," 32,646 "
242,94," 15,472 "
242,98," 14,836 "
243,80," 16,733 "
243,93," 66,077 "
243,94," 22,800 "
243,98," 21,822 "
244,80," 14,576 "
244,93," 75,519 "
244,94," 41,409 "
244,98," 9,410 "
245,80," 3,845 "
245,94, 77 
245,98, 79 
246,80," 10,954 "
246,93," 35,610 "
246,94," 12,698 "
246,98," 10,867 "
248,80," 12,565 "
248,93," 27,615 "
248,94," 16,045 "
248,98," 17,766 "
249,80," 37,251 "
249,93," 46,285 "
249,94," 26,239 "
249,98," 25,522 "
250,80," 9,010 "
250,93," 42,574 "
250,94," 24,805 "
250,98," 8,981 "
251,80," 15,356 "
251,93," 42,363 "
251,94," 21,644 "
251,98," 20,889 "
252,80," 6,526 "
252,93," 33,350 "
252,94," 26,610 "
252,98," 7,312 "
253,80," 11,853 "
253,93," 49,363 "
253,94," 26,941 "
253,98," 88,302 "
254,80," 5,034 "
254,93," 27,047 "
254,94," 12,869 "
254,98," 16,632 "
256,80," 23,708 "
256,93," 40,551 "
256,94," 26,088 "
256,98," 24,055 "
257,80," 7,004 "
257,93," 31,144 "
257,94," 13,028 "
257,98," 5,685 "
258,80," 13,687 "
258,93," 45,386 "
258,94," 17,680 "
258,98," 17,890 "
259,80," 15,527 "
259,93," 56,942 "
259,94," 29,058 "
259,98," 21,290 "
260,80," 8,828 "
260,93," 68,205 "
260,94," 33,358 "
260,98," 22,419 "
261,80," 17,970 "
261,93," 51,461 "
261,94," 15,858 "
261,98," 22,511 "
262,80," 19,283 "
262,93," 27,651 "
262,94," 12,514 "
262,98," 21,916 "
263,80, -   
263,93, -   
263,94, -   
263,98, -   
264,80," 8,586 "
264,93," 60,977 "
264,94," 11,917 "
264,98," 19,900 "
265,80," 7,616 "
265,93," 49,885 "
265,94," 35,914 "
265,98," 19,358 "
266,80," 10,771 "
266,93," 64,163 "
266,94," 34,563 "
266,98," 17,092 "
267,80," 17,268 "
267,93," 42,879 "
267,94," 10,210 "
267,98," 15,541 "
268,80," 18,705 "
268,93," 34,445 "
268,94," 17,586 "
268,98," 21,431 "
269,80," 16,230 "
269,93," 94,972 "
269,94," 20,126 "
269,98," 25,581 "
271,80," 11,558 "
271,93," 33,696 "
271,94," 30,526 "
271,98," 13,428 "
272,80," 18,028 "
272,93," 67,670 "
272,94," (6,849)"
272,98," 23,744 "
273,80," 13,768 "
273,93," 32,000 "
273,94," 23,998 "
273,98," 8,969 "
275,80," 11,091 "
275,93," 80,627 "
275,94," 21,191 "
275,98," 27,112 "
276,80," 13,126 "
276,93," 46,779 "
276,94," 17,361 "
276,98," 11,181 "
277,80," 18,330 "
277,93," 48,412 "
277,94," 1,719 "
277,98," 22,711 "
278,80," 10,396 "
278,93," 52,906 "
278,94," 26,721 "
278,98," 17,128 "
279,80," 4,494 "
279,93," 38,959 "
279,94," 12,225 "
279,98," 6,396 "
280,80," 5,932 "
280,93," 27,740 "
280,94," 11,036 "
280,98," 11,009 "
281,80," 10,081 "
281,93," 32,156 "
281,94," 10,133 "
281,98," 10,331 "
282,80," 13,007 "
282,93," 35,526 "
282,94," 21,393 "
282,98," 15,064 "
284,80," 33,381 "
284,93," 124,827 "
284,94," 88,138 "
284,98," 37,590 "
285,80," 8,553 "
285,93," 63,022 "
285,94," 20,024 "
285,98," 18,381 "
286,80," 12,080 "
286,93," 50,089 "
286,94," 20,072 "
286,98," 17,444 "
287,80," 23,687 "
287,93," 46,136 "
287,94," 21,780 "
287,98," 22,479 "
288,80," 18,594 "
288,93," 53,603 "
288,94," 16,786 "
288,98," 9,213 "
290,80," 8,248 "
290,93," 34,379 "
290,94," 16,329 "
290,98," 15,694 "
292,80," 1,640 "
292,93," 30,000 "
292,94," 12,526 "
292,98," 12,132 "
294,80," 14,783 "
294,93," 34,591 "
294,94," 17,085 "
294,98," 12,510 "
295,80," 17,617 "
295,93," 53,883 "
295,94," 16,836 "
295,98," 18,200 "
296,80," 10,773 "
296,93," 35,047 "
296,94," 13,587 "
296,98," 11,379 "
297,80," 11,485 "
297,93," 81,567 "
297,94," 24,271 "
297,98," 21,207 "
298,80," 15,743 "
298,93," 53,179 "
298,94," 31,337 "
298,98," 21,271 "
299,80," 19,365 "
299,93," 75,812 "
299,94," 28,580 "
299,98," 20,348 "
300,80," 8,221 "
300,93," 31,949 "
300,94," 17,374 "
300,98," 16,680 "
301,80," 15,908 "
301,93," 41,485 "
301,94," 33,686 "
301,98," 19,176 "
302,80," 26,782 "
302,93," 32,744 "
302,94," 18,120 "
302,98," 14,390 "
303,80," 9,641 "
303,93," 41,778 "
303,94," 12,593 "
303,98," 10,891 "
304,80," 15,301 "
304,93," 57,180 "
304,94," 18,419 "
304,98," 20,182 "
305,80," 12,140 "
305,93," 36,942 "
305,94," 13,774 "
305,98," 4,517 "
306,80," 10,598 "
306,93," 48,888 "
306,94," 26,023 "
306,98," 19,717 "
307,80," 18,849 "
307,93," 64,239 "
307,94," 38,655 "
307,98," 20,751 "
308,80," 10,119 "
308,93," 50,741 "
308,94," 29,946 "
308,98," 18,310 "
309,80," 17,120 "
309,93," 54,156 "
309,94," 23,204 "
309,98," 15,618 "
310,80," 10,400 "
310,93," 42,548 "
310,94," 21,200 "
310,98," 14,111 "
312,80," 6,103 "
312,93," 25,160 "
312,94," 11,837 "
312,98," 10,811 "
313,80," 15,898 "
313,93," 54,178 "
313,94," 29,150 "
313,98," 27,284 "
314,80," 19,090 "
314,93," 58,627 "
314,94," 21,137 "
314,98," 17,271 "
315,80," 10,453 "
315,93," 32,661 "
315,94," 10,246 "
315,98," 15,439 "
316,80," 6,001 "
316,93," 32,677 "
316,94," 21,480 "
316,98," 15,637 "
317,80," 8,690 "
317,93," 38,958 "
317,94," 20,244 "
317,98," 21,462 "
318,80," 13,415 "
318,93," 42,348 "
318,94," 15,801 "
318,98," 19,561 "
319,80," 17,340 "
319,93," 76,134 "
319,94," 33,635 "
319,98," 21,801 "
321,80," 7,848 "
321,93," 21,465 "
321,94," 11,799 "
321,98," 17,029 "
322,80," 16,775 "
322,93," 31,783 "
322,94," 27,187 "
322,98," 24,011 "
323,80," 8,669 "
323,93," 34,278 "
323,94," 14,529 "
323,98," 9,776 "
324,80," 13,739 "
324,93," 32,624 "
324,94," 11,055 "
324,98," 12,057 "
325,80," 8,176 "
325,93," 49,189 "
325,94," 23,474 "
325,98," 18,232 "
328,80," 15,890 "
328,93," 36,973 "
328,94," 28,095 "
328,98," 21,012 "
329,80," 18,083 "
329,93," 47,260 "
329,94," 20,063 "
329,98," 19,333 "
330,80," 12,676 "
330,93," 54,980 "
330,94," 31,038 "
330,98," 20,101 "
331,80," 15,009 "
331,93," 62,385 "
331,94," 21,511 "
331,98," 19,280 "
332,80," 19,759 "
332,93," 75,617 "
332,94," 26,425 "
332,98," 18,623 "
333,80," 7,654 "
333,93," 29,149 "
333,94," 16,141 "
333,98," 20,959 "
334,80," 6,860 "
334,93," 31,923 "
334,94," 15,595 "
334,98," 13,690 "
335,80," 12,232 "
335,93," 50,018 "
335,94," 20,367 "
335,98," 21,586 "
336,80," 11,167 "
336,93," 31,408 "
336,94," 12,656 "
336,98," 13,783 "
337,80," 3,815 "
337,93," 33,470 "
337,94," 14,821 "
337,98," 12,691 "
338,80," 13,608 "
338,93," 31,963 "
338,94," 18,157 "
338,98," 7,099 "
340,80," 18,291 "
340,93," 52,237 "
340,94," 15,830 "
340,98," 17,902 "
341,80," 8,785 "
341,93," 31,341 "
341,94," 15,740 "
341,98," 9,505 "
342,80," 8,850 "
342,93," 46,288 "
342,94," 18,767 "
342,98," 10,436 "
343,80," 18,708 "
343,93," 34,381 "
343,94," 21,803 "
343,98," 19,705 "
344,80," 8,708 "
344,93," 68,446 "
344,94," 13,133 "
344,98," 15,717 "
345,80," 12,320 "
345,93," 57,300 "
345,94," 15,287 "
345,98," 24,441 "
346,80," 3,662 "
346,93," 29,901 "
346,94," 14,950 "
346,98," 10,928 "
347,80," 15,683 "
347,93," 46,256 "
347,94," 23,125 "
347,98," 14,083 "
348,80," 13,136 "
348,93," 70,752 "
348,94," 15,641 "
348,98," 6,525 "
350,80," 12,171 "
350,93," 32,640 "
350,94," 20,150 "
350,98," 17,142 "
351,80," 16,262 "
351,93," 77,240 "
351,94," 24,876 "
351,98," 21,208 "
353,80," 9,902 "
353,93," 27,268 "
353,94," 18,645 "
353,98," 15,295 "
354,80," 12,850 "
354,93," 29,552 "
354,94," 19,625 "
354,98," 10,971 "
355,80," 11,718 "
355,93," 40,372 "
355,94," 36,867 "
355,98," 14,107 "
356,80," 16,916 "
356,93," 35,667 "
356,94," 37,757 "
356,98," 15,313 "
357,80," 8,628 "
357,93," 29,016 "
357,94," 16,187 "
357,98," 11,737 "
