Store Nbr,City,State,Return or Store Inventory?,Quantity,Date (Only for Customer Returns),Item Nbr (Only for Customer Returns),UPC (Only for Customer Returns)
1223,Tallahassee,FL,Customer Return,1,2/3/2022,,84140411420
810,Mason City,IA,Customer Return,1,2/3/2022,,84140411425
941,Valrico,FL,Customer Return,1,2/3/2022,,84140411424
941,Valrico,FL,Customer Return,1,2/3/2022,,84140411425
4195,CHOCTAW,OK,Customer Return,1,2/6/2022,,84140411425
1397,ALBUQUERQUE,NM,Customer Return,1,2/6/2022,,84140411424
1215,CALHOUN,GA,Customer Return,1,2/5/2022,,84140411421
1116,DUNCAN,OK,Customer Return,1,2/5/2022,,84140411420
941,VALRICO,FL,Customer Return,1,2/4/2022,,84140411425
896,GRAND PRAIRIE,TX,Customer Return,1,2/5/2022,,84140411425
810,MASON CITY,IA,Customer Return,1,2/6/2022,,84140411420
4226,DUNLAP,TN,Customer Return,2,2/6/2022,,84140411421
1161,Saint Charles,MO,Customer Return,1,2/7/2022,,84140411424
1463,XENIA,OH,Customer Return,1,2/10/2022,,84140411421
838,SAND SPRINGS,OK,Customer Return,1,2/10/2022,,84140411420
838,SAND SPRINGS,OK,Customer Return,1,2/10/2022,,84140411421
1012,BEAVER DAM,WI,Customer Return,1,2/10/2022,,84140411422
1496,WATERLOO,IA,Customer Return,1,2/9/2022,,84140411422
1438,CEDAR CITY,UT,Customer Return,1,2/9/2022,,84140411425
861,LUBBOCK,TX,Customer Return,1,2/9/2022,,84140411424
715,TUSCALOOSA,AL,Customer Return,1,2/9/2022,,84140411421
1012,BEAVER DAM,WI,Customer Return,1,2/9/2022,,84140411421
1012,BEAVER DAM,WI,Customer Return,1,2/9/2022,,84140411424
5216,AMARILLO,TX,Customer Return,1,2/8/2022,,84140411425
1214,COLBY,KS,Customer Return,1,2/8/2022,,84140411421
823,PONCA CITY,OK,Customer Return,1,2/8/2022,,84140411421
775,GALESBURG,IL,Customer Return,1,2/8/2022,,84140411423
4475,OLATHE,KS,Customer Return,1,2/11/2022,,84140411425
775,GALESBURG,IL,Customer Return,1,2/12/2022,,84140411423
622,OKLAHOMA CITY,OK,Customer Return,1,2/12/2022,,84140411425
207,CLEVELAND,OK,Customer Return,1,2/13/2022,,84140411422
5416,ARLINGTON,TX,Customer Return,2,2/13/2022,,84140411425
2161,PLEASANTON,CA,Customer Return,4,2/12/2022,,84140411421
4503,GRAND PRAIRIE,TX,Customer Return,1,2/14/2022,,84140411422
1331,SIDNEY,OH,Customer Return,1,2/14/2022,,84140411423
890,ORLANDO,FL,Customer Return,1,2/14/2022,,84140411424
821,CLOVIS,NM,Customer Return,1,2/14/2022,,84140411423
793,CANYON,TX,Customer Return,1,2/14/2022,,84140411425
603,PEKIN,IL,Customer Return,1,2/14/2022,,84140411421
577,OLATHE,KS,Customer Return,1,2/14/2022,,84140411422
576,TULSA,OK,Customer Return,2,2/14/2022,,84140411425
622,OKLAHOMA CITY,OK,Customer Return,2,2/14/2022,,84140411422
947,SHERMAN,TX,Customer Return,1,2/14/2022,,84140411420
947,SHERMAN,TX,Customer Return,1,2/14/2022,,84140411420
947,SHERMAN,TX,Customer Return,1,2/14/2022,,84140411421
947,SHERMAN,TX,Customer Return,1,2/14/2022,,84140411422
947,SHERMAN,TX,Customer Return,1,2/14/2022,,84140411423
947,SHERMAN,TX,Customer Return,2,2/14/2022,,84140411424
5831,LARGO,FL,Customer Return,1,2/16/2022,,84140411424
5312,FORT WORTH,TX,Customer Return,1,2/16/2022,,84140411424
2803,EDMOND,OK,Customer Return,1,2/16/2022,,84140411423
1428,MOUNT PLEASANT,MI,Customer Return,1,2/16/2022,,84140411422
1397,ALBUQUERQUE,NM,Customer Return,1,2/16/2022,,84140411420
1188,BRIDGETON,MO,Customer Return,1,2/16/2022,,84140411423
1116,DUNCAN,OK,Customer Return,1,2/16/2022,,84140411421
972,LAKE WORTH,TX,Customer Return,2,2/16/2022,,84140411422
826,FARMINGTON,NM,Customer Return,1,2/16/2022,,84140411422
810,MASON CITY,IA,Customer Return,1,2/16/2022,,84140411421
807,NORTH RICHLAND HILLS,TX,Customer Return,1,2/16/2022,,84140411423
670,CULLMAN,AL,Customer Return,1,2/16/2022,,84140411425
577,OLATHE,KS,Customer Return,1,2/16/2022,,84140411421
4187,FLORENCE,AL,Customer Return,1,2/15/2022,,84140411424
4183,BRYAN,TX,Customer Return,1,2/15/2022,,84140411425
1428,MOUNT PLEASANT,MI,Customer Return,1,2/15/2022,,84140411423
1331,SIDNEY,OH,Customer Return,1,2/15/2022,,84140411423
1331,SIDNEY,OH,Customer Return,1,2/15/2022,,84140411423
1280,GRAND JUNCTION,CO,Customer Return,1,2/15/2022,,84140411424
1215,CALHOUN,GA,Customer Return,1,2/15/2022,,84140411421
1116,DUNCAN,OK,Customer Return,1,2/15/2022,,84140411425
972,LAKE WORTH,TX,Customer Return,4,2/15/2022,,84140411424
821,CLOVIS,NM,Customer Return,1,2/15/2022,,84140411425
809,OXFORD,AL,Customer Return,1,2/15/2022,,84140411423
670,CULLMAN,AL,Customer Return,1,2/15/2022,,84140411424
670,CULLMAN,AL,Customer Return,1,2/17/2022,,84140411424
1089,KIMBALL,TN,Customer Return,1,2/17/2022,,84140411421
1215,CALHOUN,GA,Customer Return,1,2/17/2022,,84140411423
1801,ARLINGTON,TX,Customer Return,1,2/17/2022,,84140411421
4635,CLINTON,TN,Customer Return,1,2/17/2022,,84140411425
794,HUTCHINSON,KS,Customer Return,1,2/20/2022,,84140411423
880,IRVING,TX,Customer Return,1,2/20/2022,,84140411420
894,TULSA,OK,Customer Return,1,2/20/2022,,84140411421
894,TULSA,OK,Customer Return,1,2/20/2022,,84140411425
1264,BELLEFONTAINE,OH,Customer Return,1,2/20/2022,,84140411423
511,SUMTER,SC,Customer Return,1,2/19/2022,,84140411425
664,HAYS,KS,Customer Return,1,2/19/2022,,84140411421
810,MASON CITY,IA,Customer Return,1,2/19/2022,,84140411422
972,LAKE WORTH,TX,Customer Return,1,2/19/2022,,84140411422
1215,CALHOUN,GA,Customer Return,1,2/19/2022,,84140411421
5003,PAGOSA SPRINGS,CO,Customer Return,1,2/19/2022,,84140411422
145,BOWLING GREEN,MO,Customer Return,1,2/18/2022,,84140411421
145,BOWLING GREEN,MO,Customer Return,1,2/18/2022,,84140411421
664,HAYS,KS,Customer Return,1,2/18/2022,,84140411424
794,HUTCHINSON,KS,Customer Return,1,2/18/2022,,84140411423
810,MASON CITY,IA,Customer Return,1,2/18/2022,,84140411424
945,LUBBOCK,TX,Customer Return,1,2/18/2022,,84140411424
1215,CALHOUN,GA,Customer Return,1,2/18/2022,,84140411423
1221,WICHITA,KS,Customer Return,1,2/18/2022,,84140411424
1442,PAGE,AZ,Customer Return,1,2/18/2022,,84140411420
5316,SAGINAW,TX,Customer Return,1,2/18/2022,,84140411423
664,HAYS,KS,Customer Return,1,2/21/2022,,84140411421
794,HUTCHINSON,KS,Customer Return,1,2/21/2022,,84140411422
835,ALBUQUERQUE,NM,Customer Return,1,2/21/2022,,84140411422
835,ALBUQUERQUE,NM,Customer Return,1,2/21/2022,,84140411423
838,SAND SPRINGS,OK,Customer Return,1,2/21/2022,,84140411424
838,SAND SPRINGS,OK,Customer Return,1,2/21/2022,,84140411425
993,MCPHERSON,KS,Customer Return,1,2/21/2022,,84140411425
