Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
9,,4293,2398,High,32,2,18,0,100,3
9,,4324,2214,Medium,29,6,96,1,100,8
9,,4473,1683,Low,22,2,3,0,-100,5
9,,4490,1939,Medium,26,4,19,0,100,12.33
9,,4603,1967,Medium,26,2,23,0,-17,29.2
9,,5304,1900,Medium,25,4,68,1,20,16.6
9,,5725,1967,Medium,26,3,4,0,0,2
10,Mkt Avg,,15766,,207,14,363,5,57,6.39
10,,329,18457,Medium,243,16,411,5,63,6.27
10,,355,26031,High,343,25,681,9,42,7.32
10,,356,18774,Medium,247,22,456,6,45,6.89
10,,432,11034,Low,145,7,224,3,55,4.57
10,,726,15676,Low,206,14,307,4,54,8.32
10,,730,15739,Low,207,12,294,4,59,7.44
10,,733,13473,Low,177,9,319,4,58,5.86
10,,809,23438,Medium,308,22,609,8,60,7.46
10,,863,7854,Low,103,7,160,2,79,3.93
10,,1057,7184,Low,95,5,170,2,53,5.82
11,Mkt Avg,,16653,,219,16,368,5,41,7.94
11,,287,21839,Medium,287,25,473,6,39,9.22
11,,362,8919,Low,117,7,146,2,62,3.12
11,,425,7611,Low,100,5,160,2,-43,9.5
11,,715,29397,High,387,32,772,10,62,8.28
11,,731,10912,Low,144,6,68,1,57,9.4
11,,764,18381,Medium,242,17,401,5,53,9.88
11,,1052,8434,Low,111,6,166,2,42,5.48
11,,2306,27731,High,365,29,758,10,53,8.63
13,Mkt Avg,,24638,,324,28,611,8,46,9.08
13,,423,25835,Medium,340,31,655,9,54,6.11
13,,1229,34129,High,449,42,936,12,36,7.93
13,,1481,21558,Medium,284,20,354,5,-3,15.49
13,,2111,36147,High,476,48,866,11,52,8.72
13,,3271,18379,Medium,242,16,438,6,50,5.03
13,,4330,18847,Medium,248,25,469,6,57,4.84
13,,4497,18222,Medium,240,16,505,7,56,15.98
13,,5262,23989,Medium,316,22,662,9,66,8.54
14,Mkt Avg,,20535,,270,19,493,6,69,6.94
14,,990,41794,High,550,49,1284,17,65,4.83
14,,1174,10132,Low,133,6,131,2,75,12
14,,1222,36200,High,476,39,939,12,68,5.19
14,,1224,36494,High,480,37,997,13,54,6.56
14,,1493,11011,Low,145,9,218,3,70,6.76
14,,1605,24161,Medium,318,18,497,7,49,9.54
14,,1620,12487,Low,164,10,251,3,88,10.58
14,,2533,27541,High,362,29,703,9,79,5.94
14,,2739,12588,Low,166,10,251,3,68,4.35
14,,2760,9937,Low,131,6,224,3,100,6.62
14,,3484,24302,Medium,320,23,519,7,61,5.04
14,,3785,12853,Low,169,9,249,3,63,8.8
14,,7247,7456,Low,98,5,152,2,63,4
15,Mkt Avg,,23053,,303,25,555,7,64,6.37
15,,818,18320,Medium,241,17,391,5,80,5.55
15,,919,29219,High,384,27,668,9,57,10.1
15,,944,29008,High,382,30,806,11,57,6.17
15,,1032,27470,High,361,32,722,10,61,5.77
15,,1207,22960,Medium,302,21,498,7,64,6.57
15,,1362,23633,Medium,311,24,559,7,62,5.96
15,,3075,18648,Medium,245,17,403,5,82,6.24
15,,3119,18837,Medium,248,17,464,6,73,4.54
15,,3439,26993,High,355,29,587,8,85,5.67
15,,5845,27157,High,357,42,637,8,46,5.82
15,,5872,11336,Low,149,16,370,5,42,7.69
16,Mkt Avg,,25329,,333,26,656,9,54,7.48
16,,494,34875,High,459,43,1065,14,59,6.37
16,,614,24870,Medium,327,20,612,8,59,10.62
16,,932,27540,High,362,26,424,6,55,6.95
16,,1112,18066,Medium,238,16,449,6,69,4.11
16,,1284,24799,Medium,326,23,666,9,64,8.22
16,,1311,27727,High,365,39,698,9,51,7.13
16,,1338,13453,Low,177,11,302,4,29,7.25
16,,3461,36894,High,485,49,1095,14,52,9.54
16,,4200,20520,Medium,270,22,674,9,68,5.24
16,,4283,24106,Medium,317,22,659,9,68,4.47
16,,5363,25763,Medium,339,21,568,7,19,12.34
18,Mkt Avg,,21092,,278,21,492,6,63,6.21
18,,515,23600,Medium,311,19,590,8,71,5.59
18,,1070,19176,Medium,252,19,418,6,64,5.55
18,,1122,19074,Medium,251,16,361,5,67,5.9
18,,1403,22294,Medium,293,23,502,7,61,8.27
18,,2513,16615,Low,219,15,337,4,61,4.64
18,,2753,14164,Low,186,12,256,3,62,6.77
18,,3485,23108,Medium,304,23,574,8,68,6.25
18,,3874,32208,High,424,33,783,10,63,5.85
18,,4616,20717,Medium,273,20,449,6,45,7.08
18,,5786,18224,Medium,240,18,429,6,56,5.46
18,,5812,17898,Medium,236,17,425,6,61,6.83
18,,7185,26021,High,342,35,781,10,76,6.31
19,Mkt Avg,,27512,,362,26,577,8,55,9.06
19,,594,38279,High,504,41,863,11,70,10.36
19,,745,24701,Medium,325,20,517,7,44,8.88
19,,787,22501,Medium,296,14,337,4,35,10.21
19,,3201,25745,Medium,339,26,787,10,39,10.02
19,,3402,35453,High,466,34,778,10,67,7.69
19,,3609,22382,Medium,295,20,517,7,63,6.26
19,,5709,23523,Medium,310,24,242,3,63,10
20,Mkt Avg,,23401,,308,17,437,6,42,10.06
20,,855,25118,Medium,331,19,553,7,27,6.52
20,,1047,22876,Medium,301,16,421,6,48,11.08
20,,3118,28020,High,369,31,901,12,52,9.07
20,,3401,17770,Medium,234,11,444,6,61,9.59
20,,3709,24804,Medium,326,18,451,6,53,5.78
20,,3710,17790,Medium,234,11,287,4,37,10.91
20,,6998,27427,High,361,13,2,0,14,17.45
21,Mkt Avg,,22353,,294,23,540,7,64,7.27
21,,3,22555,Medium,297,19,492,6,67,7.64
21,,510,25606,Medium,337,22,683,9,64,8.96
21,,520,28202,High,371,30,797,10,68,5.37
21,,780,26251,High,345,28,632,8,71,5.44
