Store,DD Sat,DD Sun,DD Mon,DD Tue,DD Wed,DD Thu,DD Fri,DD Total
2315,X,X,X,X,X,X,X,7
2317,X,X,X,X,X,X,X,7
2332,X,X,X,X,X,X,X,7
2395,X,X,X,X,X,X,X,7
2401,X,X,X,X,X,X,X,7
2419,X,X,X,X,X,X,X,7
2422,X,X,X,X,X,X,X,7
2441,X,X,X,X,X,X,X,7
2487,X,X,X,X,X,X,X,7
2503,X,X,X,X,X,X,X,7
2518,X,X,X,X,X,X,X,7
5259,X,X,X,X,X,X,X,7
2582,X,X,X,X,X,X,X,7
2584,X,X,X,X,X,X,X,7
2603,X,X,X,X,X,X,X,7
2604,X,X,X,,X,X,X,6
2636,X,X,X,X,X,X,X,7
2659,X,X,X,X,X,X,X,7
2666,X,X,X,X,X,X,X,7
2699,X,X,X,X,X,X,X,7
2730,X,X,X,X,X,X,X,7
2731,X,X,X,X,X,X,X,7
2741,X,X,X,X,X,X,X,7
2785,X,X,X,X,X,X,,6
2797,X,X,X,X,X,X,X,7
2801,X,X,X,X,X,X,X,7
2840,X,X,X,X,X,X,X,7
2885,X,X,X,X,X,X,X,7
2897,X,X,X,X,X,X,X,7
2900,X,X,X,X,X,X,X,7
2901,X,X,X,X,X,X,X,7
2904,X,X,X,X,X,X,X,7
2905,X,X,X,X,X,X,X,7
2935,X,X,X,X,X,X,X,7
2968,X,X,X,X,X,X,X,7
3069,X,X,X,X,X,X,X,7
3071,X,X,X,X,X,X,X,7
5634,X,X,X,X,X,X,X,7
3204,X,X,X,X,X,X,X,7
3234,X,X,X,X,X,X,X,7
3266,X,X,X,X,X,X,X,7
3301,X,X,X,X,X,X,X,7
3309,X,X,X,X,X,X,X,7
3327,X,X,X,X,X,X,X,7
1583,X,X,X,X,X,X,X,7
3412,X,X,X,X,X,X,X,7
3414,X,X,X,X,X,X,X,7
3443,X,X,X,X,X,X,X,7
3456,X,X,X,X,X,X,X,7
3512,X,X,X,X,X,X,X,7
3524,X,X,X,X,X,X,X,7
3535,X,X,X,X,X,X,X,7
3541,X,X,X,X,X,X,X,7
3643,X,X,X,X,X,X,X,7
3788,X,X,X,X,X,X,X,7
3723,X,X,X,X,X,X,X,7
3727,X,X,X,X,X,X,X,7
3736,X,X,X,X,X,X,X,7
3765,X,X,X,X,X,X,X,7
5269,X,X,X,X,X,X,X,7
3803,X,X,X,X,X,X,X,7
3869,X,X,X,X,X,X,X,7
3875,X,X,X,X,X,X,X,7
3988,X,X,X,X,X,X,X,7
4046,X,X,X,X,X,X,X,7
4138,X,X,X,X,X,X,X,7
4209,X,X,X,X,X,X,X,7
4226,X,X,X,X,X,X,X,7
4246,X,X,X,X,X,X,X,7
4247,X,X,X,X,X,X,X,7
4259,X,X,X,X,X,X,X,7
4281,X,X,X,X,X,X,X,7
4322,X,X,X,X,X,X,X,7
4377,X,X,X,X,X,X,X,7
4414,X,X,X,X,X,X,X,7
4457,X,X,X,X,X,,X,6
4461,X,X,X,X,X,X,X,7
4465,X,X,X,X,X,X,X,7
4468,X,X,X,X,X,X,X,7
4504,X,X,X,X,X,X,X,7
4517,X,X,X,X,X,X,X,7
4525,X,X,X,X,X,X,X,7
4667,X,X,X,X,X,X,X,7
5040,X,X,X,X,X,X,X,7
5044,X,X,X,,X,X,X,6
5047,X,X,X,X,X,X,X,7
5064,X,X,X,X,X,X,X,7
5110,X,X,X,X,X,X,X,7
5198,X,X,X,X,X,X,X,7
5201,X,X,X,X,X,X,X,7
5205,X,X,X,X,X,X,X,7
5219,X,X,X,X,X,X,X,7
5221,X,X,X,X,X,X,X,7
5224,X,X,X,X,X,X,X,7
5226,X,X,X,X,X,X,X,7
5766,X,X,X,X,X,X,X,7
5258,,,X,X,X,X,X,5
5267,X,X,X,X,X,X,X,7
5635,X,X,X,X,X,X,X,7
5281,X,X,X,X,X,X,X,7
5306,X,X,X,X,X,X,X,7
5328,X,X,X,X,X,X,X,7
5332,X,X,,X,X,X,X,6
5345,X,X,X,X,X,X,X,7
5355,X,X,X,X,X,X,X,7
5372,X,X,X,X,X,X,X,7
5392,X,X,X,X,X,X,X,7
5426,X,X,X,X,X,X,X,7
5440,X,X,X,X,X,X,,6
5492,X,X,X,X,X,X,X,7
5627,X,X,X,X,X,X,X,7
5629,X,,X,X,,X,X,5
3355,X,X,X,X,X,X,X,7
5632,X,X,X,X,X,X,X,7
3141,X,X,X,X,X,X,X,7
5700,X,X,X,X,X,X,X,7
5702,X,X,X,X,X,X,X,7
2277,X,X,X,X,X,X,X,7
2001,X,X,X,X,X,X,X,7
5791,X,X,X,X,X,X,X,7
5815,X,X,X,X,X,X,X,7
5817,X,X,X,X,X,X,X,7
5820,X,X,X,X,X,X,X,7
5835,X,X,X,X,X,X,X,7
5855,X,X,X,X,X,X,X,7
5863,X,X,X,X,X,X,X,7
5990,X,X,X,X,X,X,X,7
5991,X,X,X,X,X,X,X,7
6078,X,X,X,X,X,X,X,7
6159,X,X,X,X,X,X,X,7
6588,X,X,X,X,X,X,X,7
6732,X,X,X,X,X,X,X,7
6786,X,X,X,X,X,X,X,7
6850,X,X,X,X,X,X,X,7
6851,X,X,X,X,X,X,X,7
6960,X,X,X,X,X,X,X,7
7098,X,X,X,X,X,X,X,7
7218,X,X,X,X,X,X,X,7
7220,X,X,X,X,X,X,X,7
7245,X,X,X,X,X,X,,6
7249,X,X,X,,X,X,X,6
7329,X,X,X,X,X,X,X,7
7334,X,X,X,X,X,X,X,7
7339,X,X,X,X,X,X,X,7
8930,X,X,X,X,X,X,X,7
145,X,X,X,X,X,X,X,7
171,X,X,X,X,X,X,X,7
2873,X,X,X,X,X,X,X,7
5170,X,X,X,,X,X,X,6
378,X,X,X,X,X,X,X,7
1695,X,X,X,X,X,X,X,7
271,X,X,X,X,X,X,X,7
642,X,X,X,X,X,X,X,7
2700,X,X,X,X,X,X,X,7
