Store #,Bag Size,Bunzl Delivery,Qty,3rd Party Tracking,3rd party carrier
74,Small,9/20/2022,3,N/A,N/A
75,Small,9/28/2022,3,N/A,N/A
75,Med,9/28/2022,2,N/A,N/A
77,Small,9/22/2022,3,N/A,N/A
77,Med,9/22/2022,2,N/A,N/A
78,Small,9/17/2022,3,N/A,N/A
78,Med,9/17/2022,2,N/A,N/A
79,Small,9/17/2022,3,N/A,N/A
79,Med,9/17/2022,2,N/A,N/A
80,Med,9/17/2022,7,N/A,N/A
80,Small,9/17/2022,3,N/A,N/A
81,Small,9/21/2022,3,N/A,N/A
81,Med,9/21/2022,3,N/A,N/A
82,Med,9/17/2022,6,N/A,N/A
82,Small,9/17/2022,3,N/A,N/A
83,Med,9/21/2022,7,N/A,N/A
83,Small,9/21/2022,3,N/A,N/A
83,Med,9/21/2022,2,N/A,N/A
85,Small,9/17/2022,3,N/A,N/A
86,Med,9/22/2022,7,N/A,N/A
86,Small,9/22/2022,3,N/A,N/A
86,Med,9/22/2022,2,N/A,N/A
87,Small,9/15/2022,3,N/A,N/A
87,Med,9/15/2022,2,N/A,N/A
88,Med,9/17/2022,7,N/A,N/A
88,Small,9/17/2022,3,N/A,N/A
88,Med,9/17/2022,2,N/A,N/A
89,Med,9/22/2022,7,N/A,N/A
89,Small,9/22/2022,3,N/A,N/A
89,Med,9/22/2022,2,N/A,N/A
90,Small,9/21/2022,3,N/A,N/A
90,Med,9/21/2022,3,N/A,N/A
91,Small,9/21/2022,3,N/A,N/A
91,Med,9/21/2022,3,N/A,N/A
92,Med,9/21/2022,6,N/A,N/A
92,Small,9/21/2022,3,N/A,N/A
92,Med,9/21/2022,2,N/A,N/A
93,Small,9/20/2022,3,N/A,N/A
94,Small,9/20/2022,3,N/A,N/A
94,Med,9/20/2022,3,N/A,N/A
95,Small,9/17/2022,3,N/A,N/A
95,Med,9/17/2022,2,N/A,N/A
96,Med,9/17/2022,7,N/A,N/A
96,Small,9/17/2022,3,N/A,N/A
96,Med,9/17/2022,2,N/A,N/A
97,Small,9/20/2022,3,N/A,N/A
97,Med,9/20/2022,3,N/A,N/A
98,Med,9/21/2022,7,N/A,N/A
98,Small,9/21/2022,3,N/A,N/A
98,Med,9/21/2022,2,N/A,N/A
99,Med,9/16/2022,6,N/A,N/A
99,Small,9/16/2022,3,N/A,N/A
100,Med,9/21/2022,3,N/A,N/A
101,Small,9/16/2022,3,N/A,N/A
102,Small,9/17/2022,3,N/A,N/A
103,Small,9/20/2022,3,N/A,N/A
103,Med,9/20/2022,3,N/A,N/A
104,Small,9/17/2022,3,N/A,N/A
105,Small,9/22/2022,3,N/A,N/A
105,Med,9/22/2022,3,N/A,N/A
106,Med,9/16/2022,7,N/A,N/A
106,Small,9/16/2022,3,N/A,N/A
107,Med,9/20/2022,7,N/A,N/A
107,Small,9/20/2022,3,N/A,N/A
108,Small,9/17/2022,3,N/A,N/A
108,Med,9/17/2022,3,N/A,N/A
109,Med,9/21/2022,7,N/A,N/A
109,Small,9/21/2022,3,N/A,N/A
109,Med,9/21/2022,2,N/A,N/A
110,Med,9/21/2022,7,N/A,N/A
110,Small,9/21/2022,3,N/A,N/A
111,Med,9/21/2022,6,N/A,N/A
111,Small,9/21/2022,3,N/A,N/A
111,Med,9/21/2022,2,N/A,N/A
112,Small,9/21/2022,3,N/A,N/A
112,Med,9/21/2022,3,N/A,N/A
113,Small,9/22/2022,3,N/A,N/A
113,Med,9/22/2022,2,N/A,N/A
114,Small,9/22/2022,3,N/A,N/A
115,Small,9/21/2022,3,N/A,N/A
115,Med,9/21/2022,3,N/A,N/A
116,Small,9/21/2022,3,N/A,N/A
116,Med,9/21/2022,2,N/A,N/A
117,Med,9/23/2022,7,N/A,N/A
117,Small,9/23/2022,3,N/A,N/A
117,Med,9/23/2022,2,N/A,N/A
118,Small,9/21/2022,3,N/A,N/A
118,Med,9/21/2022,3,N/A,N/A
119,Small,9/17/2022,3,N/A,N/A
119,Med,9/17/2022,3,N/A,N/A
120,Small,9/17/2022,3,N/A,N/A
121,Small,9/22/2022,3,N/A,N/A
121,Med,9/22/2022,3,N/A,N/A
122,Med,9/20/2022,7,N/A,N/A
122,Small,9/20/2022,3,N/A,N/A
123,Small,9/20/2022,3,N/A,N/A
123,Med,9/20/2022,2,N/A,N/A
124,Med,9/21/2022,7,N/A,N/A
124,Small,9/21/2022,3,N/A,N/A
125,Small,9/20/2022,3,N/A,N/A
125,Med,9/20/2022,3,N/A,N/A
126,Small,9/20/2022,3,N/A,N/A
127,Med,9/17/2022,6,N/A,N/A
127,Small,9/17/2022,3,N/A,N/A
128,Small,9/16/2022,3,N/A,N/A
129,Small,9/22/2022,3,N/A,N/A
129,Med,9/22/2022,3,N/A,N/A
130,Small,9/20/2022,3,N/A,N/A
130,Med,9/20/2022,3,N/A,N/A
131,Small,9/15/2022,3,N/A,N/A
131,Med,9/15/2022,2,N/A,N/A
133,Med,9/15/2022,7,N/A,N/A
133,Small,9/15/2022,3,N/A,N/A
133,Med,9/15/2022,2,N/A,N/A
134,Small,9/22/2022,3,N/A,N/A
134,Med,9/22/2022,3,N/A,N/A
135,Med,9/17/2022,7,N/A,N/A
135,Small,9/17/2022,3,N/A,N/A
135,Med,9/17/2022,2,N/A,N/A
136,Med,9/17/2022,6,N/A,N/A
136,Small,9/17/2022,3,N/A,N/A
136,Med,9/17/2022,2,N/A,N/A
137,Med,9/17/2022,7,N/A,N/A
137,Small,9/17/2022,3,N/A,N/A
137,Med,9/17/2022,2,N/A,N/A
138,Med,9/20/2022,7,N/A,N/A
138,Small,9/20/2022,3,N/A,N/A
139,Med,9/22/2022,7,N/A,N/A
139,Small,9/22/2022,3,N/A,N/A
139,Med,9/22/2022,2,N/A,N/A
140,Small,9/15/2022,3,N/A,N/A
141,Small,9/20/2022,3,N/A,N/A
141,Med,9/20/2022,3,N/A,N/A
143,Small,9/16/2022,3,N/A,N/A
143,Med,9/16/2022,3,N/A,N/A
144,Small,9/21/2022,3,N/A,N/A
144,Med,9/21/2022,3,N/A,N/A
145,Med,9/17/2022,5,N/A,N/A
145,Small,9/17/2022,3,N/A,N/A
146,Med,9/21/2022,7,N/A,N/A
146,Small,9/21/2022,3,N/A,N/A
146,Med,9/21/2022,2,N/A,N/A
147,Small,9/16/2022,3,N/A,N/A
147,Med,9/16/2022,2,N/A,N/A
148,Small,9/16/2022,3,N/A,N/A
148,Med,9/16/2022,2,N/A,N/A
150,Med,9/21/2022,6,N/A,N/A
150,Small,9/21/2022,3,N/A,N/A
150,Med,9/21/2022,2,N/A,N/A
152,Small,9/17/2022,3,N/A,N/A
153,Small,9/22/2022,3,N/A,N/A
153,Med,9/22/2022,3,N/A,N/A
154,Small,9/17/2022,3,N/A,N/A
154,Med,9/17/2022,3,N/A,N/A
155,Med,9/22/2022,7,N/A,N/A
155,Small,9/22/2022,3,N/A,N/A
157,Small,9/23/2022,3,N/A,N/A
157,Med,9/23/2022,3,N/A,N/A
158,Small,9/16/2022,3,N/A,N/A
158,Med,9/16/2022,2,N/A,N/A
159,Med,9/17/2022,7,N/A,N/A
159,Small,9/17/2022,3,N/A,N/A
160,Med,9/17/2022,7,N/A,N/A
160,Small,9/17/2022,3,N/A,N/A
161,Med,9/17/2022,7,N/A,N/A
161,Small,9/17/2022,3,N/A,N/A
162,Med,9/22/2022,7,N/A,N/A
162,Small,9/22/2022,3,N/A,N/A
162,Med,9/22/2022,2,N/A,N/A
163,Small,9/15/2022,3,N/A,N/A
164,Small,9/22/2022,3,N/A,N/A
164,Med,9/22/2022,3,N/A,N/A
165,Small,9/21/2022,3,N/A,N/A
165,Med,9/21/2022,2,N/A,N/A
166,Med,9/17/2022,6,N/A,N/A
166,Small,9/17/2022,3,N/A,N/A
167,Med,9/17/2022,7,N/A,N/A
167,Small,9/17/2022,3,N/A,N/A
168,Small,9/21/2022,3,N/A,N/A
168,Med,9/21/2022,3,N/A,N/A
169,Med,9/21/2022,7,N/A,N/A
169,Small,9/21/2022,3,N/A,N/A
171,Small,9/17/2022,3,N/A,N/A
172,Small,9/16/2022,3,N/A,N/A
173,Med,9/17/2022,6,N/A,N/A
173,Small,9/17/2022,3,N/A,N/A
174,Small,9/21/2022,3,N/A,N/A
175,Med,9/20/2022,7,N/A,N/A
175,Small,9/20/2022,3,N/A,N/A
176,Small,9/22/2022,3,N/A,N/A
177,Small,9/17/2022,3,N/A,N/A
177,Med,9/17/2022,3,N/A,N/A
179,Small,9/22/2022,3,N/A,N/A
179,Med,9/22/2022,2,N/A,N/A
180,Small,9/21/2022,3,N/A,N/A
180,Med,9/21/2022,2,N/A,N/A
181,Small,9/15/2022,3,N/A,N/A
181,Med,9/15/2022,2,N/A,N/A
182,Med,9/21/2022,7,N/A,N/A
182,Small,9/21/2022,3,N/A,N/A
183,Small,9/21/2022,3,N/A,N/A
183,Med,9/21/2022,3,N/A,N/A
184,Small,9/22/2022,3,N/A,N/A
184,Med,9/22/2022,2,N/A,N/A
185,Small,9/16/2022,3,N/A,N/A
185,Med,9/16/2022,2,N/A,N/A
188,Med,9/20/2022,2,N/A,N/A
189,Small,9/17/2022,3,N/A,N/A
190,Med,9/20/2022,7,N/A,N/A
190,Small,9/20/2022,3,N/A,N/A
192,Small,9/21/2022,3,N/A,N/A
192,Med,9/21/2022,3,N/A,N/A
194,Small,9/17/2022,3,N/A,N/A
194,Med,9/17/2022,3,N/A,N/A
195,Med,9/23/2022,7,N/A,N/A
195,Small,9/23/2022,3,N/A,N/A
196,Med,9/22/2022,7,N/A,N/A
196,Small,9/22/2022,3,N/A,N/A
197,Med,9/20/2022,7,N/A,N/A
197,Small,9/20/2022,3,N/A,N/A
199,Med,9/17/2022,7,N/A,N/A
199,Small,9/17/2022,3,N/A,N/A
200,Small,9/22/2022,3,N/A,N/A
201,Small,9/22/2022,3,N/A,N/A
202,Med,9/16/2022,5,N/A,N/A
202,Small,9/16/2022,3,N/A,N/A
202,Med,9/16/2022,2,N/A,N/A
203,Med,9/17/2022,6,N/A,N/A
203,Small,9/17/2022,3,N/A,N/A
204,Small,9/17/2022,3,N/A,N/A
204,Med,9/17/2022,3,N/A,N/A
205,Small,9/21/2022,3,N/A,N/A
205,Med,9/21/2022,3,N/A,N/A
206,Med,9/16/2022,7,N/A,N/A
206,Small,9/16/2022,3,N/A,N/A
206,Med,9/16/2022,2,N/A,N/A
211,Small,9/17/2022,3,N/A,N/A
211,Med,9/17/2022,2,N/A,N/A
212,Small,9/23/2022,3,N/A,N/A
212,Med,9/23/2022,3,N/A,N/A
213,Small,9/22/2022,3,N/A,N/A
214,Small,9/15/2022,3,N/A,N/A
214,Med,9/15/2022,3,N/A,N/A
216,Small,9/22/2022,3,N/A,N/A
216,Med,9/22/2022,2,N/A,N/A
217,Med,9/15/2022,7,N/A,N/A
217,Small,9/15/2022,3,N/A,N/A
217,Med,9/15/2022,2,N/A,N/A
218,Small,9/21/2022,3,N/A,N/A
218,Med,9/21/2022,3,N/A,N/A
219,Small,9/22/2022,3,N/A,N/A
219,Med,9/22/2022,2,N/A,N/A
220,Med,9/15/2022,2,N/A,N/A
221,Small,9/23/2022,3,N/A,N/A
221,Med,9/23/2022,3,N/A,N/A
222,Med,9/22/2022,7,N/A,N/A
222,Small,9/22/2022,3,N/A,N/A
224,Small,9/22/2022,3,N/A,N/A
225,Small,9/22/2022,3,N/A,N/A
225,Med,9/22/2022,3,N/A,N/A
226,Small,9/16/2022,3,N/A,N/A
226,Med,9/16/2022,2,N/A,N/A
227,Small,9/22/2022,3,N/A,N/A
227,Med,9/22/2022,3,N/A,N/A
228,Small,9/15/2022,3,N/A,N/A
228,Med,9/15/2022,2,N/A,N/A
229,Med,9/16/2022,6,N/A,N/A
229,Small,9/16/2022,3,N/A,N/A
231,Small,9/22/2022,3,N/A,N/A
231,Med,9/22/2022,3,N/A,N/A
234,Small,9/23/2022,3,N/A,N/A
236,Small,9/16/2022,3,N/A,N/A
236,Med,9/16/2022,3,N/A,N/A
237,Med,9/22/2022,6,N/A,N/A
237,Small,9/22/2022,3,N/A,N/A
238,Small,9/21/2022,3,N/A,N/A
238,Med,9/21/2022,3,N/A,N/A
239,Small,9/21/2022,3,N/A,N/A
240,Small,9/21/2022,3,N/A,N/A
240,Med,9/21/2022,2,N/A,N/A
242,Med,9/21/2022,6,N/A,N/A
242,Small,9/21/2022,3,N/A,N/A
243,Med,9/21/2022,2,N/A,N/A
244,Med,9/22/2022,6,N/A,N/A
244,Small,9/22/2022,3,N/A,N/A
244,Med,9/22/2022,2,N/A,N/A
246,Med,9/21/2022,6,N/A,N/A
246,Small,9/21/2022,3,N/A,N/A
246,Med,9/21/2022,2,N/A,N/A
247,Small,9/22/2022,3,N/A,N/A
247,Med,9/22/2022,2,N/A,N/A
248,Small,9/17/2022,3,N/A,N/A
248,Med,9/17/2022,2,N/A,N/A
249,Small,9/20/2022,3,N/A,N/A
249,Med,9/20/2022,3,N/A,N/A
250,Med,9/22/2022,6,N/A,N/A
250,Small,9/22/2022,3,N/A,N/A
251,Small,9/17/2022,3,N/A,N/A
251,Med,9/17/2022,2,N/A,N/A
252,Med,9/22/2022,6,N/A,N/A
252,Small,9/22/2022,3,N/A,N/A
253,Med,9/21/2022,7,N/A,N/A
253,Small,9/21/2022,3,N/A,N/A
254,Med,9/22/2022,7,N/A,N/A
254,Small,9/22/2022,3,N/A,N/A
256,Med,9/22/2022,2,N/A,N/A
258,Small,9/21/2022,3,N/A,N/A
258,Med,9/21/2022,3,N/A,N/A
259,Small,9/21/2022,3,N/A,N/A
259,Med,9/21/2022,2,N/A,N/A
260,Small,9/17/2022,3,N/A,N/A
260,Med,9/17/2022,2,N/A,N/A
261,Small,9/17/2022,3,N/A,N/A
261,Med,9/17/2022,3,N/A,N/A
264,Small,9/21/2022,3,N/A,N/A
264,Med,9/21/2022,3,N/A,N/A
265,Small,9/21/2022,3,N/A,N/A
265,Med,9/21/2022,2,N/A,N/A
266,Small,9/16/2022,3,N/A,N/A
266,Med,9/16/2022,2,N/A,N/A
267,Small,9/17/2022,3,N/A,N/A
267,Med,9/17/2022,2,N/A,N/A
268,Small,9/21/2022,3,N/A,N/A
268,Med,9/21/2022,3,N/A,N/A
269,Small,9/22/2022,3,N/A,N/A
269,Med,9/22/2022,3,N/A,N/A
271,Med,9/15/2022,7,N/A,N/A
271,Small,9/15/2022,3,N/A,N/A
271,Med,9/15/2022,2,N/A,N/A
272,Small,9/17/2022,3,N/A,N/A
273,Small,9/21/2022,3,N/A,N/A
273,Med,9/21/2022,3,N/A,N/A
274,Small,9/17/2022,3,N/A,N/A
274,Med,9/17/2022,3,N/A,N/A
275,Small,9/15/2022,3,N/A,N/A
275,Med,9/15/2022,3,N/A,N/A
276,Small,9/23/2022,3,N/A,N/A
276,Med,9/23/2022,2,N/A,N/A
277,Med,9/17/2022,5,N/A,N/A
277,Small,9/17/2022,3,N/A,N/A
278,Small,9/21/2022,3,N/A,N/A
279,Med,9/20/2022,7,N/A,N/A
279,Small,9/20/2022,3,N/A,N/A
281,Small,9/17/2022,3,N/A,N/A
282,Small,9/28/2022,3,N/A,N/A
283,Med,9/15/2022,6,N/A,N/A
283,Small,9/15/2022,3,N/A,N/A
284,Small,9/20/2022,3,N/A,N/A
284,Med,9/20/2022,2,N/A,N/A
285,Small,9/16/2022,3,N/A,N/A
285,Med,9/16/2022,3,N/A,N/A
286,Small,9/17/2022,3,N/A,N/A
286,Med,9/17/2022,2,N/A,N/A
287,Small,9/15/2022,3,N/A,N/A
287,Med,9/22/2022,3,N/A,N/A
288,Small,9/15/2022,3,N/A,N/A
288,Med,9/15/2022,3,N/A,N/A
289,Med,9/17/2022,7,N/A,N/A
289,Small,9/17/2022,3,N/A,N/A
290,Small,9/24/2022,3,N/A,N/A
290,Med,9/24/2022,2,N/A,N/A
292,Small,9/22/2022,3,N/A,N/A
293,Med,9/21/2022,7,N/A,N/A
293,Small,9/21/2022,3,N/A,N/A
294,Med,9/17/2022,6,N/A,N/A
294,Small,9/17/2022,3,N/A,N/A
295,Med,9/16/2022,7,N/A,N/A
295,Small,9/16/2022,3,N/A,N/A
296,Med,9/22/2022,6,N/A,N/A
296,Small,9/22/2022,3,N/A,N/A
297,Small,9/20/2022,3,N/A,N/A
297,Med,9/20/2022,3,N/A,N/A
298,Small,9/15/2022,3,N/A,N/A
298,Med,9/22/2022,3,N/A,N/A
299,Small,9/28/2022,3,N/A,N/A
299,Med,9/28/2022,2,N/A,N/A
300,Small,9/22/2022,3,N/A,N/A
301,Small,9/22/2022,3,N/A,N/A
301,Med,9/22/2022,3,N/A,N/A
302,Med,9/22/2022,6,N/A,N/A
302,Small,9/22/2022,3,N/A,N/A
303,Small,9/22/2022,3,N/A,N/A
304,Small,9/17/2022,3,N/A,N/A
304,Med,9/17/2022,3,N/A,N/A
305,Small,9/21/2022,3,N/A,N/A
305,Med,9/21/2022,3,N/A,N/A
306,Small,9/22/2022,3,N/A,N/A
307,Small,9/21/2022,3,N/A,N/A
307,Med,9/21/2022,2,N/A,N/A
308,Small,9/20/2022,3,N/A,N/A
309,Small,9/28/2022,3,N/A,N/A
309,Med,9/28/2022,2,N/A,N/A
310,Med,9/28/2022,7,N/A,N/A
310,Small,9/28/2022,3,N/A,N/A
310,Med,9/28/2022,2,N/A,N/A
311,Small,9/30/2022,3,N/A,N/A
311,Med,9/30/2022,2,N/A,N/A
312,Med,9/28/2022,7,N/A,N/A
312,Small,9/28/2022,3,N/A,N/A
312,Med,9/28/2022,2,N/A,N/A
313,Small,9/21/2022,3,N/A,N/A
314,Small,9/21/2022,3,N/A,N/A
314,Med,9/21/2022,3,N/A,N/A
315,Small,9/22/2022,3,N/A,N/A
315,Med,9/22/2022,3,N/A,N/A
316,Small,9/22/2022,3,N/A,N/A
317,Med,9/16/2022,7,N/A,N/A
317,Small,9/16/2022,3,N/A,N/A
318,Med,9/20/2022,6,N/A,N/A
318,Small,9/20/2022,3,N/A,N/A
319,Small,9/23/2022,3,N/A,N/A
320,Med,9/20/2022,7,N/A,N/A
320,Small,9/20/2022,3,N/A,N/A
321,Small,9/20/2022,3,N/A,N/A
321,Med,9/20/2022,3,N/A,N/A
322,Small,9/20/2022,3,N/A,N/A
322,Med,9/20/2022,3,N/A,N/A
323,Med,9/22/2022,5,N/A,N/A
323,Small,9/22/2022,3,N/A,N/A
324,Small,9/22/2022,3,N/A,N/A
324,Med,9/22/2022,3,N/A,N/A
325,Med,9/23/2022,6,N/A,N/A
325,Small,9/23/2022,3,N/A,N/A
326,Med,9/22/2022,6,N/A,N/A
326,Small,9/22/2022,3,N/A,N/A
328,Small,9/22/2022,3,N/A,N/A
329,Small,9/20/2022,3,N/A,N/A
329,Med,9/20/2022,3,N/A,N/A
330,Small,9/17/2022,3,N/A,N/A
330,Med,9/17/2022,3,N/A,N/A
331,Small,9/15/2022,3,N/A,N/A
331,Med,9/15/2022,3,N/A,N/A
332,Med,9/22/2022,7,N/A,N/A
332,Small,9/22/2022,3,N/A,N/A
333,Small,9/17/2022,3,N/A,N/A
334,Med,9/22/2022,6,N/A,N/A
334,Small,9/22/2022,3,N/A,N/A
335,Small,9/17/2022,3,N/A,N/A
335,Med,9/17/2022,3,N/A,N/A
336,Small,9/21/2022,3,N/A,N/A
337,Med,9/17/2022,6,N/A,N/A
337,Small,9/17/2022,3,N/A,N/A
338,Med,9/17/2022,6,N/A,N/A
338,Small,9/17/2022,3,N/A,N/A
339,Small,9/17/2022,3,N/A,N/A
339,Med,9/17/2022,3,N/A,N/A
340,Small,9/20/2022,3,N/A,N/A
340,Med,9/20/2022,3,N/A,N/A
341,Med,9/17/2022,5,N/A,N/A
341,Small,9/17/2022,3,N/A,N/A
342,Med,9/17/2022,6,N/A,N/A
342,Small,9/17/2022,3,N/A,N/A
344,Small,9/17/2022,3,N/A,N/A
344,Med,9/17/2022,3,N/A,N/A
345,Small,9/21/2022,3,N/A,N/A
345,Med,9/21/2022,2,N/A,N/A
346,Med,9/17/2022,6,N/A,N/A
346,Small,9/17/2022,3,N/A,N/A
346,Med,9/17/2022,2,N/A,N/A
347,Small,9/21/2022,3,N/A,N/A
348,Small,9/17/2022,3,N/A,N/A
348,Med,9/17/2022,3,N/A,N/A
350,Med,9/20/2022,6,N/A,N/A
350,Small,9/20/2022,3,N/A,N/A
351,Med,9/21/2022,6,N/A,N/A
351,Small,9/21/2022,3,N/A,N/A
352,Med,9/17/2022,5,N/A,N/A
352,Small,9/17/2022,3,N/A,N/A
353,Small,9/20/2022,3,N/A,N/A
354,Med,9/17/2022,6,N/A,N/A
354,Small,9/17/2022,3,N/A,N/A
355,Small,9/20/2022,3,N/A,N/A
355,Med,9/20/2022,3,N/A,N/A
356,Small,9/20/2022,3,N/A,N/A
357,Med,9/22/2022,5,N/A,N/A
357,Small,9/22/2022,3,N/A,N/A
358,Med,9/20/2022,7,N/A,N/A
358,Small,9/20/2022,3,N/A,N/A
358,Med,9/20/2022,2,N/A,N/A
359,Small,9/21/2022,3,N/A,N/A
359,Med,9/21/2022,3,N/A,N/A
360,Med,9/22/2022,6,N/A,N/A
360,Small,9/22/2022,3,N/A,N/A
360,Med,9/22/2022,2,N/A,N/A
361,Small,9/22/2022,3,N/A,N/A
361,Med,9/22/2022,2,N/A,N/A
362,Small,9/17/2022,3,N/A,N/A
363,Med,9/22/2022,7,N/A,N/A
363,Small,9/22/2022,3,N/A,N/A
364,Small,9/15/2022,3,N/A,N/A
364,Med,9/15/2022,3,N/A,N/A
365,Small,9/21/2022,3,N/A,N/A
366,Small,9/15/2022,3,N/A,N/A
368,Med,9/21/2022,7,N/A,N/A
368,Small,9/21/2022,3,N/A,N/A
369,Med,9/17/2022,6,N/A,N/A
369,Small,9/17/2022,3,N/A,N/A
