Store Numbers,Store Footage,Status,Status For Comms,Store Messaging,Expected Service,
836,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
639,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
862,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
593,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
686,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
5299,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
4262,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
2695,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
110,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
705,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
697,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1297,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
551,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1081,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1847,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
538,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
4368,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1079,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1182,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
579,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1391,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
928,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1172,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3702,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1082,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1173,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3309,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
4444,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
977,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
767,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
2920,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1205,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3308,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1225,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
967,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1213,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
5266,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
994,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1104,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1085,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3415,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
988,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
5772,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3526,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1029,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1536,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1712,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1390,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1513,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
3372,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
4690,8ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
1960,16ft,Retrofit,WK 49 MOD & RETROFIT OF EXISTING WALL FIXTURE,You will be receiving the new Wk 49 Modular Reset & a Retrofit Kit for your Existing Wall Shelves. Premium Service Reps will be visting your store twice to assist with the project; starting Wk 50 & Wk 52. The first visit they will help complete setting the new Wk 49 modular assortment. The second visit they will be resetting the shelves on your wall fixture to improve RFID scanning. ,Visit 1 Between WK 50 - WK 2 Visit 2 Between WK 53 - WK 6,
