Store Number,Week,Day,Remodel
3724,32,9/11/2025,No
2731,32,9/11/2025,No
5695,33,9/15/2025,No
3713,33,9/15/2025,No
5297,33,9/15/2025,No
198,34,9/25/2025,No
506,34,9/25/2025,No
1287,31,9/4/2025,Remodel Site
4182,33,9/15/2025,No
5393,33,9/15/2025,No
5610,33,9/15/2025,No
2491,34,9/25/2025,Remodel Site
4484,31,9/4/2025,No
7315,32,9/11/2025,No
5224,33,9/15/2025,No
6850,33,9/15/2025,No
4516,33,9/15/2025,No
4057,33,9/15/2025,No
3489,34,9/25/2025,Remodel Site
3305,31,9/4/2025,No
4104,32,9/11/2025,No
3023,32,9/11/2025,No
3727,33,9/15/2025,No
1875,34,9/25/2025,No
4350,34,9/25/2025,No
2730,31,9/4/2025,No
5837,32,9/11/2025,No
3168,32,9/11/2025,No
3736,33,9/15/2025,No
5204,33,9/15/2025,No
6531,33,9/15/2025,No
2773,33,9/15/2025,No
5903,33,9/15/2025,No
1773,34,9/25/2025,No
1524,34,9/25/2025,No
7179,31,9/4/2025,No
4470,32,9/11/2025,No
5791,32,9/11/2025,No
3144,33,9/15/2025,No
3084,33,9/15/2025,No
2821,34,9/25/2025,No
3588,34,9/25/2025,No
1191,34,9/25/2025,No
2058,34,9/25/2025,No
4410,31,9/4/2025,No
5981,33,9/15/2025,No
5320,34,9/25/2025,No
3397,33,9/15/2025,No
3658,34,9/25/2025,Remodel Site
5481,31,9/4/2025,No
5722,32,9/11/2025,No
3042,32,9/11/2025,Remodel Site
3635,33,9/15/2025,No
5205,33,9/15/2025,No
595,33,9/15/2025,No
3225,33,9/15/2025,No
1372,34,9/25/2025,No
1298,34,9/25/2025,No
2423,33,9/15/2025,No
2908,31,9/4/2025,Remodel Site
2467,32,9/11/2025,New Store
2858,32,9/11/2025,No
3235,32,9/11/2025,No
2346,33,9/15/2025,No
1091,33,9/16/2025,No
6958,31,9/4/2025,No
2871,32,9/11/2025,No
5063,34,9/25/2025,No
1302,34,9/25/2025,No
3243,34,9/25/2025,Remodel Site
5117,34,9/25/2025,No
154,31,9/4/2025,No
3204,32,9/11/2025,No
3530,32,9/11/2025,No
3049,33,9/16/2025,No
1111,33,9/16/2025,No
3188,33,9/16/2025,No
1340,33,9/16/2025,No
952,33,9/16/2025,No
2610,34,9/25/2025,Remodel Site
6951,34,9/25/2025,Remodel Site
3770,31,9/4/2025,No
7342,32,9/11/2025,No
456,32,9/11/2025,No
566,32,9/11/2025,No
2223,32,9/11/2025,Remodel Site
2733,33,9/16/2025,No
2928,33,9/16/2025,No
1035,33,9/16/2025,No
2933,31,9/4/2025,No
4372,31,9/4/2025,No
5363,32,9/10/2025,No
745,32,9/10/2025,No
3014,33,9/16/2025,No
2105,33,9/16/2025,No
2833,34,9/25/2025,Remodel Site
279,34,9/25/2025,No
124,34,9/25/2025,No
3653,33,9/16/2025,No
1065,31,9/4/2025,No
878,32,9/10/2025,No
2890,32,9/10/2025,No
6578,33,9/16/2025,No
504,33,9/16/2025,No
3510,33,9/16/2025,No
128,34,9/25/2025,No
190,34,9/25/2025,No
1244,32,9/10/2025,No
56,34,9/25/2025,No
337,31,9/4/2025,No
616,32,9/10/2025,No
1164,32,9/10/2025,No
3433,32,9/10/2025,No
5288,32,9/10/2025,No
2066,33,9/16/2025,No
48,34,9/25/2025,No
888,34,9/25/2025,No
89,31,9/4/2025,No
3482,32,9/10/2025,No
438,33,9/16/2025,No
536,33,9/16/2025,No
475,33,9/16/2025,No
95,34,9/25/2025,No
173,34,9/25/2025,No
1188,31,9/4/2025,No
5210,32,9/10/2025,No
2926,32,9/10/2025,No
744,32,9/10/2025,No
1235,33,9/16/2025,No
800,33,9/16/2025,No
4553,34,9/25/2025,Remodel Site
5150,31,9/4/2025,No
1103,32,9/10/2025,No
4332,33,9/16/2025,No
5250,33,9/16/2025,No
4355,34,9/25/2025,Remodel Site
250,31,9/4/2025,No
3298,32,9/10/2025,No
3500,32,9/10/2025,No
462,32,9/10/2025,No
563,33,9/16/2025,No
860,33,9/16/2025,No
3526,33,9/16/2025,No
1492,34,9/25/2025,No
159,31,9/4/2025,No
872,32,9/10/2025,No
1172,33,9/16/2025,No
6968,33,9/16/2025,No
4617,33,9/16/2025,No
4639,34,9/25/2025,Remodel Site
4590,31,9/4/2025,No
4284,34,9/25/2025,No
906,34,9/25/2025,No
4611,31,9/4/2025,No
1409,32,9/10/2025,No
1129,32,9/10/2025,No
2930,33,9/16/2025,Remodel Site
929,33,9/16/2025,No
5155,34,9/25/2025,No
486,31,9/4/2025,Remodel Site
5301,33,9/16/2025,No
5835,31,9/4/2025,No
5299,32,9/10/2025,No
2592,34,9/25/2025,No
2831,34,9/25/2025,No
5676,31,9/4/2025,No
1916,33,9/16/2025,No
824,31,9/4/2025,No
1086,32,9/10/2025,No
955,32,9/10/2025,No
5220,33,9/16/2025,No
1245,33,9/16/2025,No
2453,31,9/4/2025,Remodel Site
488,32,9/10/2025,No
1171,33,9/16/2025,No
778,33,9/16/2025,No
1163,33,9/16/2025,No
3454,34,9/25/2025,No
3728,31,9/4/2025,No
1223,32,9/10/2025,No
1059,33,9/16/2025,No
1248,33,9/16/2025,No
64,33,9/16/2025,No
1560,31,9/4/2025,No
1085,32,9/10/2025,No
2740,32,9/10/2025,No
2789,32,9/10/2025,No
3848,34,9/25/2025,No
5841,31,9/4/2025,No
161,33,9/16/2025,No
1442,34,9/25/2025,No
4208,31,9/4/2025,No
4681,32,9/10/2025,No
541,32,9/10/2025,No
304,33,9/16/2025,No
372,34,9/25/2025,No
1214,31,9/4/2025,No
1266,32,9/10/2025,No
4209,31,9/4/2025,No
879,33,9/16/2025,No
978,34,9/25/2025,No
418,31,9/4/2025,Remodel Site
4435,32,9/10/2025,No
1967,33,9/16/2025,No
558,34,9/25/2025,No
242,31,9/4/2025,Remodel Site
2893,34,9/25/2025,Remodel Site
5748,31,9/4/2025,No
5219,34,9/25/2025,Remodel Site
1389,31,9/4/2025,Remodel Site
3761,34,9/25/2025,Remodel Site
1999,31,9/4/2025,Remodel Site
5616,32,9/10/2025,No
2289,33,9/16/2025,No
751,34,9/25/2025,No
2764,34,9/25/2025,No
2937,34,9/25/2025,No
882,31,9/4/2025,No
1762,32,9/10/2025,No
4374,34,9/25/2025,Remodel Site
2448,34,9/25/2025,Remodel Site
4568,31,9/4/2025,No
3339,32,9/10/2025,No
3823,31,9/4/2025,No
2352,34,9/25/2025,Remodel Site
1819,31,9/4/2025,No
3774,32,9/10/2025,No
1873,33,9/16/2025,Remodel Site
2509,31,9/4/2025,No
3501,32,9/10/2025,No
1810,33,9/16/2025,No
5881,33,9/16/2025,No
776,34,9/25/2025,No
5669,31,9/4/2025,No
1777,33,9/16/2025,No
1749,33,9/16/2025,No
2668,34,9/25/2025,No
1983,31,9/4/2025,No
2053,31,9/4/2025,Remodel Site
2859,33,9/16/2025,No
5886,31,9/4/2025,No
1862,31,9/4/2025,No
5282,32,9/10/2025,No
5386,32,9/10/2025,No
1973,33,9/16/2025,No
2828,34,9/25/2025,No
5807,31,9/4/2025,No
2873,32,9/10/2025,No
1828,34,9/25/2025,No
5853,31,9/4/2025,No
3607,33,9/16/2025,No
2477,31,9/4/2025,Remodel Site
4176,31,9/4/2025,No
2350,32,9/10/2025,No
3445,32,9/10/2025,No
2426,32,9/10/2025,No
1942,33,9/16/2025,No
2557,34,9/25/2025,No
2075,31,9/4/2025,No
1798,33,9/16/2025,Remodel Site
1628,33,9/16/2025,No
1289,32,9/10/2025,No
4165,31,9/4/2025,No
3141,31,9/4/2025,No
6476,31,9/4/2025,No
1407,32,9/10/2025,No
5154,31,9/4/2025,No
2425,31,9/4/2025,No
6967,31,9/4/2025,No
1656,33,9/16/2025,No
3740,31,9/4/2025,No
5409,32,9/10/2025,No
5701,34,9/25/2025,Remodel Site
3110,31,9/4/2025,No
5135,31,9/4/2025,No
2255,33,9/16/2025,No
3411,31,9/4/2025,No
1510,32,9/10/2025,No
1607,32,9/10/2025,No
1580,33,9/16/2025,No
1210,33,9/16/2025,No
3521,31,9/4/2025,No
237,33,9/16/2025,No
2647,33,9/16/2025,No
6170,31,9/4/2025,No
1157,32,9/10/2025,No
884,32,9/10/2025,No
711,32,9/10/2025,No
8861,31,9/4/2025,No
1969,33,9/16/2025,No
5292,33,9/16/2025,No
1132,33,9/16/2025,No
1498,33,9/16/2025,No
6732,31,9/4/2025,No
5606,31,9/4/2025,No
702,32,9/10/2025,No
4458,33,9/16/2025,No
1392,33,9/16/2025,No
5944,31,9/4/2025,No
6149,31,9/4/2025,No
4676,31,9/4/2025,No
3159,31,9/4/2025,No
2735,34,9/25/2025,Remodel Site
3531,34,9/25/2025,Remodel Site
5394,31,9/4/2025,No
1139,32,9/10/2025,No
5461,34,9/25/2025,Remodel Site
3824,31,9/4/2025,No
1925,34,9/25/2025,No
863,31,9/3/2025,No
1950,33,9/16/2025,No
362,31,9/3/2025,No
4200,31,9/3/2025,No
972,34,9/25/2025,No
3609,31,9/3/2025,No
3139,34,9/25/2025,Remodel Site
3741,31,9/3/2025,No
1662,33,9/16/2025,No
3067,31,9/3/2025,No
5452,34,9/25/2025,No
3611,31,9/3/2025,No
1420,32,9/10/2025,No
4286,32,9/10/2025,No
1061,31,9/3/2025,Remodel Site
3601,32,9/10/2025,No
3191,31,9/3/2025,No
1892,32,9/10/2025,No
4224,33,9/16/2025,No
2703,31,9/3/2025,No
1668,32,9/10/2025,No
5488,32,9/10/2025,No
3176,34,9/25/2025,No
6887,31,9/3/2025,No
1852,32,9/10/2025,No
1552,33,9/16/2025,Remodel Site
2136,32,9/10/2025,No
3631,31,9/3/2025,No
1774,32,9/10/2025,No
1292,33,9/16/2025,No
3153,34,9/25/2025,No
1022,31,9/3/2025,No
5,32,9/10/2025,No
1009,32,9/10/2025,No
37,32,9/10/2025,No
2645,33,9/16/2025,No
2792,33,9/16/2025,No
152,32,9/10/2025,No
6300,31,9/3/2025,No
6579,31,9/3/2025,No
849,31,9/3/2025,Remodel Site
2849,33,9/16/2025,No
3899,34,9/25/2025,Remodel Site
2439,31,9/3/2025,No
1021,32,9/10/2025,No
225,32,9/10/2025,No
4460,33,9/16/2025,No
805,33,9/16/2025,No
1761,33,9/16/2025,No
3338,34,9/25/2025,Remodel Site
3584,31,9/3/2025,No
269,33,9/16/2025,No
651,31,9/3/2025,No
1598,33,9/16/2025,No
324,32,9/10/2025,No
351,31,9/3/2025,No
801,32,9/10/2025,No
3628,34,9/25/2025,Remodel Site
2653,31,9/3/2025,No
2778,33,9/16/2025,No
842,33,9/16/2025,No
1099,33,9/16/2025,No
939,31,9/3/2025,Remodel Site
577,32,9/10/2025,No
4452,34,9/25/2025,Remodel Site
5813,34,9/25/2025,Remodel Site
917,31,9/3/2025,Remodel Site
3354,32,9/10/2025,No
3655,32,9/10/2025,No
3603,34,9/25/2025,Remodel Site
4148,34,9/25/2025,Remodel Site
3518,31,9/3/2025,No
2004,33,9/16/2025,No
110,31,9/3/2025,No
4368,31,9/3/2025,No
581,32,9/10/2025,No
2820,33,9/16/2025,No
3418,31,9/3/2025,No
1535,33,9/16/2025,No
7004,34,9/25/2025,Remodel Site
2946,31,9/3/2025,No
5964,31,9/3/2025,No
749,32,9/10/2025,No
6226,34,9/25/2025,No
5300,31,9/3/2025,No
886,32,9/10/2025,No
637,32,9/10/2025,No
1176,32,9/10/2025,No
4358,33,9/16/2025,No
4220,34,9/25/2025,Remodel Site
3887,31,9/3/2025,No
500,34,9/25/2025,No
5251,31,9/3/2025,No
2526,32,9/10/2025,No
3763,34,9/25/2025,No
3340,34,9/25/2025,No
6263,34,9/25/2025,Remodel Site
2310,31,9/3/2025,No
2985,32,9/10/2025,No
3477,32,9/10/2025,No
3604,34,9/25/2025,No
3234,31,9/3/2025,No
4101,32,9/10/2025,No
774,33,9/16/2025,No
3026,34,9/25/2025,No
4762,34,9/25/2025,No
3829,31,9/3/2025,No
3138,32,9/10/2025,No
3781,32,9/10/2025,No
5758,32,9/10/2025,No
4525,32,9/10/2025,No
1515,33,9/16/2025,No
2887,34,9/25/2025,No
6098,34,9/25/2025,Remodel Site
3868,31,9/3/2025,No
7337,32,9/10/2025,No
5754,32,9/10/2025,No
2995,32,9/10/2025,No
964,32,9/10/2025,No
4683,31,9/3/2025,No
3053,33,9/16/2025,No
3140,33,9/16/2025,No
7301,31,9/3/2025,No
1110,31,9/3/2025,No
6264,32,9/10/2025,No
1655,33,9/16/2025,No
4375,34,9/25/2025,No
5692,34,9/25/2025,No
1271,31,9/3/2025,No
5693,34,9/25/2025,No
954,31,9/3/2025,No
4524,33,9/16/2025,No
2940,34,9/25/2025,No
6807,31,9/3/2025,No
5635,32,9/10/2025,No
5691,32,9/10/2025,No
3752,34,9/25/2025,Remodel Site
6577,34,9/25/2025,No
6849,34,9/25/2025,No
3137,31,9/3/2025,No
3661,32,9/10/2025,No
7220,32,9/10/2025,No
2876,32,9/10/2025,No
7340,33,9/16/2025,No
6588,34,9/25/2025,Remodel Site
1376,31,9/3/2025,Remodel Site
4579,32,9/10/2025,No
5278,31,9/3/2025,No
4048,32,9/10/2025,No
4387,31,9/3/2025,No
7233,32,9/10/2025,No
4691,34,9/25/2025,No
5100,34,9/25/2025,No
3409,31,9/3/2025,Remodel Site
4193,32,9/10/2025,No
3703,32,9/10/2025,No
3156,33,9/16/2025,No
4657,34,9/25/2025,No
4210,34,9/25/2025,Remodel Site
4517,34,9/25/2025,No
3114,31,9/3/2025,No
7099,32,9/10/2025,No
3184,32,9/10/2025,No
512,33,9/16/2025,No
2122,31,9/3/2025,No
2983,32,9/10/2025,New Store
4421,32,9/10/2025,No
3013,34,9/25/2025,No
5670,34,9/25/2025,No
3145,34,9/25/2025,No
5095,31,9/3/2025,No
3810,31,9/3/2025,Remodel Site
5678,34,9/25/2025,No
2391,32,9/10/2025,No
8331,31,9/3/2025,No
5831,32,9/10/2025,No
5293,31,9/3/2025,No
5993,32,9/10/2025,No
4528,32,9/10/2025,No
5947,33,9/16/2025,No
1797,31,9/3/2025,No
1975,31,9/3/2025,No
5267,32,9/10/2025,No
5689,33,9/16/2025,No
2142,31,9/3/2025,No
6786,33,9/16/2025,No
3842,31,9/3/2025,No
5741,32,9/10/2025,No
4169,34,9/25/2025,No
4383,31,9/3/2025,No
1826,32,9/10/2025,No
2240,32,9/10/2025,No
2302,32,9/10/2025,No
5684,34,9/25/2025,Remodel Site
3453,31,9/3/2025,No
5376,31,9/3/2025,No
5304,32,9/9/2025,Remodel Site
5872,32,9/9/2025,No
518,32,9/9/2025,No
5110,34,9/25/2025,No
2354,31,9/3/2025,No
4686,33,9/16/2025,No
5206,34,9/25/2025,No
2211,31,9/3/2025,No
3745,33,9/16/2025,No
3817,34,9/25/2025,No
2362,31,9/3/2025,No
2154,32,9/9/2025,No
5740,33,9/16/2025,No
3414,33,9/16/2025,No
2852,31,9/3/2025,No
640,32,9/9/2025,No
1135,32,9/9/2025,No
1339,32,9/9/2025,No
5255,33,9/16/2025,No
3606,33,9/16/2025,No
5816,33,9/16/2025,No
3812,31,9/3/2025,No
638,32,9/9/2025,No
896,32,9/9/2025,No
4134,33,9/16/2025,No
4046,34,9/25/2025,No
3429,31,9/3/2025,No
1178,32,9/9/2025,No
2973,32,9/9/2025,No
260,32,9/9/2025,No
1935,31,9/3/2025,No
7224,34,9/25/2025,No
7361,34,9/25/2025,No
2481,31,9/3/2025,No
194,32,9/9/2025,No
290,32,9/9/2025,No
2420,31,9/3/2025,No
395,32,9/9/2025,No
4700,33,9/16/2025,No
7043,33,9/16/2025,No
4631,31,9/3/2025,No
5713,32,9/9/2025,Remodel Site
3747,31,9/3/2025,No
2040,33,9/16/2025,No
5418,31,9/3/2025,No
5988,33,9/16/2025,No
3512,33,9/16/2025,No
5823,34,9/25/2025,No
853,34,9/24/2025,Remodel Site
1462,34,9/24/2025,No
715,34,9/24/2025,No
5417,31,9/3/2025,No
942,32,9/9/2025,No
5987,33,9/16/2025,No
1481,34,9/24/2025,No
1647,31,9/3/2025,No
4588,32,9/9/2025,No
2449,33,9/16/2025,No
1493,34,9/24/2025,No
902,31,9/3/2025,No
3362,31,9/3/2025,No
2501,33,9/16/2025,No
4264,33,9/17/2025,No
4118,31,9/3/2025,No
1233,31,9/3/2025,No
919,34,9/24/2025,No
3439,34,9/24/2025,No
4699,31,9/3/2025,No
1070,34,9/24/2025,No
2532,31,9/3/2025,No
4405,31,9/3/2025,No
3415,32,9/9/2025,No
731,33,9/17/2025,No
3004,31,9/3/2025,No
819,32,9/9/2025,No
3597,31,9/3/2025,No
1451,31,9/3/2025,Remodel Site
814,32,9/9/2025,No
1436,32,9/9/2025,No
2513,33,9/17/2025,No
5482,33,9/17/2025,No
787,34,9/24/2025,No
5382,31,9/3/2025,No
2962,32,9/9/2025,No
1047,34,9/24/2025,No
510,34,9/24/2025,No
2279,31,9/3/2025,Remodel Site
1851,32,9/9/2025,No
1488,33,9/17/2025,No
1766,34,9/24/2025,No
5795,31,9/3/2025,No
5912,32,9/9/2025,No
2732,33,9/17/2025,No
1373,33,9/17/2025,No
1072,34,9/24/2025,No
5743,31,9/3/2025,No
1720,33,9/17/2025,No
3389,33,9/17/2025,No
635,34,9/24/2025,No
728,34,9/24/2025,No
3700,31,9/3/2025,No
4303,32,9/9/2025,Remodel Site
1712,32,9/9/2025,No
5218,32,9/9/2025,No
779,32,9/9/2025,No
1227,34,9/24/2025,Remodel Site
