Region,Market,Store Number,Total Five Star,AES,W+ Enrolled,Sales Comp,Controllable Profit,OPD Growth,Presub,Shrink
2,23,3741,4.36,68.1%,61.45,9.7%,8.9%,44.8%,85.5%,-6.6%
2,23,5390,4.51,66.2%,57.26,7.4%,13.6%,46.9%,92.5%,-4.5%
2,24,575,4.65,75.8%,91.58,8.2%,16.4%,97.6%,95.3%,-1.8%
2,24,878,4.51,70.8%,83.94,11.7%,16.1%,50.6%,93.9%,-2.5%
2,24,1314,4.56,71.4%,82.99,9.2%,15.4%,56.8%,93.8%,-3.2%
2,24,1373,4.61,69.6%,89.37,8.5%,17.8%,43.0%,95.6%,-3.3%
2,24,2154,4.53,80.5%,88.97,5.3%,14.6%,42.1%,92.3%,-3.4%
2,24,2941,4.56,71.6%,86.30,2.6%,10.6%,35.7%,92.3%,-3.2%
2,24,3462,4.59,64.1%,84.97,4.4%,15.7%,30.9%,93.4%,-2.0%
2,24,4185,4.63,74.5%,86.23,7.3%,12.3%,33.6%,93.3%,-4.3%
2,24,4436,4.58,76.5%,86.00,3.1%,11.6%,40.6%,94.1%,-2.2%
2,24,7185,4.59,74.1%,88.51,3.2%,14.2%,35.0%,95.4%,-2.3%
2,25,459,4.41,67.5%,57.57,6.0%,18.3%,30.9%,91.6%,-1.6%
2,25,520,4.46,60.9%,73.68,12.5%,16.8%,49.8%,93.2%,-1.8%
2,25,548,4.55,70.0%,53.89,7.8%,16.7%,26.7%,93.8%,-3.6%
2,25,780,4.45,61.1%,75.90,10.3%,16.7%,52.3%,92.8%,-1.8%
2,25,1720,4.61,73.1%,74.50,5.7%,17.1%,45.3%,93.6%,-2.9%
2,25,3388,4.59,71.9%,54.25,2.9%,15.1%,39.0%,92.9%,-3.4%
2,25,3389,4.49,72.0%,43.18,6.7%,12.9%,38.0%,92.7%,-4.2%
2,25,3786,4.5,66.0%,68.80,7.4%,15.7%,49.1%,92.0%,-2.7%
2,25,4558,4.49,65.1%,55.84,6.4%,16.6%,42.5%,92.1%,-2.5%
2,25,5252,4.48,63.2%,64.02,4.4%,16.6%,35.2%,93.1%,-2.4%
2,26,518,4.51,65.3%,84.71,9.4%,18.1%,33.8%,94.0%,-1.0%
2,26,615,4.56,66.3%,73.81,8.7%,15.9%,51.6%,92.2%,
2,26,618,4.5,71.1%,69.55,5.7%,15.8%,37.1%,92.2%,-2.7%
2,26,937,4.6,73.0%,69.59,0.0%,13.7%,56.6%,91.4%,-3.7%
2,26,1586,4.53,67.8%,73.22,12.6%,13.9%,99.9%,90.3%,-3.2%
2,26,3403,4.56,69.6%,73.14,14.2%,17.6%,87.2%,95.6%,-2.1%
2,26,3471,4.66,67.8%,90.83,13.3%,14.3%,32.4%,93.6%,-1.3%
2,26,3611,4.53,71.0%,79.23,7.9%,14.9%,40.7%,93.0%,-2.5%
2,26,3748,4.5,69.7%,66.76,5.5%,14.5%,69.6%,91.8%,-2.1%
2,26,5275,4.54,71.6%,75.72,11.7%,17.5%,53.0%,93.8%,-2.0%
2,26,5814,4.53,65.8%,88.21,3.3%,16.7%,24.1%,92.1%,-2.5%
2,30,754,4.4,59.1%,70.63,2.1%,17.1%,37.4%,84.7%,-1.9%
2,30,1024,4.62,65.7%,80.66,7.0%,15.9%,32.7%,94.8%,-0.3%
2,30,1143,4.64,69.2%,70.83,8.2%,14.5%,54.7%,94.2%,-1.5%
2,30,1227,4.48,60.5%,85.63,1.9%,16.8%,40.4%,92.0%,-2.9%
2,30,1293,4.5,65.0%,71.22,3.8%,12.5%,43.3%,90.6%,-4.0%
2,30,1658,4.39,60.5%,66.42,6.2%,14.9%,11.6%,90.6%,-1.9%
2,30,2754,4.58,77.5%,86.41,3.9%,13.7%,31.5%,92.8%,-3.2%
2,30,3570,4.47,63.8%,67.37,5.2%,18.6%,46.5%,92.5%,-1.1%
2,30,4144,4.56,66.3%,73.55,3.5%,14.2%,38.6%,95.1%,-2.9%
2,30,5735,4.53,66.0%,83.87,8.6%,18.4%,51.7%,94.2%,-1.6%
2,32,555,4.39,57.6%,54.86,6.7%,14.9%,28.4%,88.5%,-1.9%
2,32,758,4.54,75.4%,66.31,5.5%,12.7%,21.1%,94.1%,-1.5%
2,32,907,4.61,73.1%,73.01,15.1%,15.9%,37.5%,95.1%,-0.6%
2,32,1076,4.57,73.8%,84.79,1.5%,15.1%,15.2%,93.4%,-2.2%
2,32,1153,4.4,72.2%,73.81,2.8%,11.4%,104.6%,90.7%,-2.8%
2,32,1367,4.41,65.4%,48.41,3.1%,17.7%,33.7%,88.0%,-2.0%
2,32,2733,4.61,64.1%,72.26,10.8%,16.6%,62.0%,91.1%,-1.6%
2,32,2890,4.51,67.8%,83.38,6.7%,15.5%,32.6%,90.0%,-2.2%
2,32,3750,4.45,69.0%,69.84,0.8%,16.8%,10.8%,92.4%,-1.5%
2,32,7246,4.65,67.2%,67.66,8.1%,15.0%,56.3%,95.6%,-1.3%
3,27,588,4.5,64.6%,54.37,4.6%,16.9%,22.3%,94.6%,-2.7%
3,27,843,4.5,72.0%,88.70,9.7%,11.4%,48.4%,93.8%,-2.1%
3,27,889,4.42,54.7%,70.93,3.6%,15.2%,27.8%,91.4%,-3.1%
3,27,899,4.37,59.2%,64.42,0.8%,14.5%,8.0%,88.7%,-3.4%
3,27,952,4.5,77.1%,57.01,8.6%,14.4%,17.2%,92.9%,-2.6%
3,27,1006,4.56,73.6%,82.55,5.2%,14.5%,21.7%,91.8%,-1.8%
3,27,1072,4.51,63.8%,70.76,4.3%,14.5%,17.8%,92.0%,-2.8%
3,27,2615,4.43,65.6%,79.71,6.0%,15.1%,42.2%,90.8%,-3.3%
3,27,5797,4.4,69.8%,49.18,2.5%,11.6%,17.0%,91.5%,-3.1%
3,27,7194,4.67,79.2%,68.09,10.2%,15.7%,44.6%,95.8%,-1.8%
3,27,7245,4.71,71.4%,88.44,11.8%,12.4%,43.3%,96.6%,-0.9%
3,28,556,4.46,78.7%,81.82,8.8%,15.1%,33.9%,94.3%,-2.8%
3,28,593,4.5,70.5%,69.49,10.6%,15.2%,25.0%,93.0%,-2.2%
3,28,639,4.37,59.2%,74.34,12.0%,16.3%,46.0%,94.0%,-2.9%
3,28,686,4.57,75.1%,82.85,5.8%,12.8%,11.0%,94.5%,
3,28,836,4.42,67.5%,85.95,10.1%,17.9%,55.0%,94.0%,-1.4%
3,28,862,4.35,68.0%,87.79,2.4%,17.9%,10.6%,93.4%,-2.2%
