Region,Market,Store Number,Total Five Star,AES,W+ Enrolled,Sales Comp,Controllable Profit,OPD Growth,Presub,Shrink
12,119,619,4.56,69.4%,87.05,9.9%,16.9%,39.1%,95.1%,-1.9%
12,119,663,4.56,67.1%,79.35,9.0%,17.7%,37.5%,94.7%,-1.8%
12,119,698,4.47,64.1%,66.58,10.0%,18.2%,40.4%,94.2%,-2.1%
12,119,1089,4.55,73.0%,58.64,10.3%,17.7%,36.1%,95.2%,-1.2%
12,119,1606,4.5,60.2%,78.59,10.8%,17.7%,73.5%,94.5%,-2.3%
12,119,3659,4.44,60.1%,73.91,7.1%,16.7%,34.1%,93.9%,-2.6%
12,119,3835,4.42,65.4%,72.71,5.9%,19.4%,23.8%,92.3%,-1.5%
12,119,4226,4.6,62.0%,86.26,16.6%,16.6%,35.1%,96.3%,-1.4%
12,119,5263,4.4,59.3%,72.40,11.2%,18.0%,35.1%,94.0%,
12,120,658,4.52,62.3%,83.97,3.4%,16.4%,19.9%,94.0%,-1.3%
12,120,669,4.48,54.6%,64.11,2.7%,15.5%,7.6%,92.2%,-1.0%
12,120,756,4.65,75.9%,91.76,8.5%,13.8%,37.3%,96.9%,-1.7%
12,120,1215,4.52,69.6%,71.11,10.7%,17.8%,53.7%,94.1%,-1.1%
12,120,1458,4.48,74.5%,85.36,7.4%,18.7%,46.2%,94.2%,-1.5%
12,120,1469,4.48,66.1%,74.29,10.5%,15.9%,66.2%,92.8%,-3.0%
12,120,2988,4.69,74.4%,87.75,7.9%,16.8%,16.1%,97.4%,
12,120,3660,4.53,75.3%,84.33,7.6%,15.3%,19.1%,94.8%,-1.9%
12,120,5151,4.63,67.0%,87.13,4.3%,16.7%,25.7%,94.3%,-1.5%
12,120,5173,4.58,72.6%,82.71,9.6%,16.9%,35.7%,94.8%,-1.2%
12,120,5251,4.53,68.4%,78.11,15.0%,14.4%,108.0%,93.7%,-3.4%
12,121,366,4.67,71.9%,83.67,8.9%,18.3%,38.0%,96.1%,-0.4%
12,121,583,4.56,66.9%,88.76,6.9%,16.1%,25.8%,95.5%,-0.9%
12,121,676,4.68,73.2%,80.72,7.8%,17.7%,33.0%,95.9%,-0.8%
12,121,687,4.54,59.5%,70.94,9.7%,20.3%,33.2%,96.3%,-0.7%
12,121,741,4.5,62.1%,67.79,10.1%,18.4%,39.5%,93.9%,-1.2%
12,121,1466,4.52,70.4%,73.21,10.4%,16.8%,29.6%,95.4%,-1.1%
12,121,1467,4.63,78.2%,83.16,12.7%,16.5%,38.9%,96.3%,-1.0%
12,121,4166,4.57,65.4%,84.84,9.8%,14.5%,29.7%,95.8%,-1.2%
12,121,4635,4.54,75.0%,67.27,7.8%,17.1%,18.9%,95.0%,-1.6%
12,122,672,4.5,67.4%,81.16,6.6%,18.0%,29.9%,94.4%,-1.6%
12,122,1194,4.51,72.9%,80.06,9.9%,18.8%,22.7%,93.6%,-1.4%
12,122,1318,4.46,57.5%,80.80,6.0%,16.5%,28.7%,90.7%,-2.9%
12,122,1319,4.55,66.6%,75.91,11.2%,17.6%,45.6%,94.6%,-2.0%
12,122,1320,4.49,54.3%,61.45,7.0%,18.0%,39.6%,92.3%,
12,122,2065,4.66,63.2%,58.73,8.6%,17.6%,28.4%,91.9%,
12,122,2932,4.56,73.4%,73.24,11.0%,17.1%,41.2%,95.5%,-1.8%
12,122,4223,4.52,67.4%,68.17,9.5%,17.2%,34.1%,94.8%,-1.7%
12,123,578,4.4,61.5%,78.25,5.8%,18.6%,43.2%,91.5%,-2.2%
12,123,678,4.64,72.2%,74.43,10.2%,17.6%,40.9%,94.6%,-1.8%
12,123,680,4.45,63.6%,71.43,8.9%,18.8%,29.8%,93.4%,-0.5%
12,123,685,4.44,61.7%,73.78,7.7%,17.4%,36.5%,94.8%,-2.2%
12,123,724,4.58,71.9%,64.83,8.1%,17.6%,52.9%,95.4%,
12,123,1159,4.76,79.5%,81.29,10.2%,14.9%,121.0%,96.3%,-0.4%
12,123,2310,4.43,57.7%,62.46,8.0%,16.2%,27.6%,92.8%,-2.2%
12,123,3234,4.65,66.6%,83.40,11.1%,17.9%,39.3%,95.8%,-0.9%
12,123,6370,4.5,64.8%,75.81,9.4%,18.2%,28.8%,94.9%,-1.0%
12,124,599,4.51,69.7%,78.67,8.8%,18.3%,26.2%,94.1%,-1.0%
12,124,620,4.53,67.0%,87.25,10.5%,16.3%,39.9%,95.0%,-1.3%
12,124,690,4.56,73.0%,84.22,9.1%,17.8%,36.7%,93.7%,-1.9%
12,124,742,4.51,77.7%,89.61,7.3%,17.0%,36.6%,94.1%,-1.2%
12,124,1080,4.5,64.6%,86.93,9.2%,18.2%,34.2%,93.0%,-1.5%
12,124,1694,4.7,76.3%,81.55,7.9%,16.2%,33.1%,96.8%,-1.2%
12,124,2496,4.59,63.2%,79.87,5.8%,17.7%,17.7%,93.8%,-2.2%
12,124,2749,4.71,70.4%,89.24,5.2%,16.2%,10.2%,96.7%,-1.3%
12,124,3289,4.61,72.2%,88.31,6.4%,15.2%,12.9%,95.8%,-1.7%
12,124,3829,4.51,70.0%,81.03,10.1%,17.5%,38.9%,95.3%,-1.7%
12,124,3852,4.74,75.4%,90.42,9.0%,15.0%,25.4%,96.7%,-1.4%
12,149,264,4.48,63.0%,75.33,11.5%,18.7%,43.1%,95.6%,-1.0%
12,149,304,4.54,67.6%,69.47,9.0%,16.0%,38.9%,93.6%,-1.5%
12,149,390,4.66,67.0%,64.82,8.8%,17.1%,38.7%,96.2%,-0.7%
12,149,673,4.34,59.2%,63.42,6.1%,18.3%,60.8%,94.7%,-1.3%
12,149,695,4.53,72.3%,84.29,4.4%,13.7%,48.3%,91.9%,-3.3%
12,149,1075,4.51,67.7%,66.49,6.4%,18.7%,64.5%,94.7%,-1.5%
12,149,1226,4.59,71.5%,87.94,7.3%,16.4%,20.6%,96.4%,-1.1%
12,149,3137,4.6,58.9%,93.47,5.3%,14.0%,32.8%,95.7%,-0.8%
12,149,3495,4.53,63.4%,64.50,10.1%,19.2%,38.6%,95.3%,-0.8%
12,149,4435,4.52,66.4%,38.64,3.0%,8.5%,39.9%,88.5%,-5.2%
12,149,4483,4.53,62.5%,63.38,12.1%,15.3%,66.8%,92.7%,-1.3%
12,151,406,4.49,60.3%,74.06,7.9%,15.3%,41.2%,93.0%,-2.7%
12,151,416,4.61,69.2%,69.23,11.5%,17.2%,30.6%,96.3%,-1.2%
12,151,656,4.54,68.9%,91.45,9.3%,18.2%,39.1%,95.1%,-1.5%
12,151,667,4.58,68.4%,85.57,6.2%,17.3%,30.6%,96.0%,-1.1%
12,151,682,4.56,63.4%,81.77,4.8%,17.4%,57.4%,96.3%,-2.2%
12,151,735,4.57,63.3%,80.20,8.4%,19.0%,39.4%,95.6%,-0.8%
12,151,737,4.55,60.9%,70.19,10.4%,17.8%,30.7%,95.1%,-0.6%
12,151,2757,4.51,60.7%,87.10,8.1%,17.1%,43.9%,93.4%,-1.6%
12,151,3017,4.57,64.5%,68.95,9.4%,17.6%,40.7%,95.2%,
12,151,5057,4.59,65.7%,85.59,11.9%,14.5%,75.2%,93.4%,-2.3%
12,151,7020,4.47,69.1%,61.06,6.8%,13.4%,45.8%,91.7%,-3.4%
12,152,308,4.52,53.2%,57.47,9.3%,17.9%,25.7%,94.7%,-2.0%
12,152,568,4.6,63.3%,79.06,9.1%,18.1%,26.7%,96.0%,-0.7%
12,152,587,4.51,70.6%,73.88,11.8%,17.2%,28.8%,95.6%,-1.8%
12,152,657,4.51,66.5%,65.87,7.8%,19.4%,20.4%,95.4%,-1.6%
12,152,668,4.55,76.3%,68.06,9.6%,19.3%,24.7%,95.8%,-0.8%
12,152,671,4.46,60.6%,62.69,7.5%,18.2%,41.7%,94.0%,-1.8%
12,152,674,4.52,66.4%,64.85,6.7%,16.3%,32.0%,95.0%,-2.0%
12,152,879,4.57,62.8%,82.01,10.3%,18.2%,32.9%,95.2%,-0.6%
12,152,1376,4.59,55.4%,62.75,9.6%,17.2%,33.3%,95.3%,-1.7%
12,152,4414,4.63,75.6%,65.63,10.5%,16.5%,39.2%,96.6%,-1.5%
12,152,5175,4.51,64.4%,78.33,9.5%,16.9%,28.3%,95.2%,-1.1%
12,153,272,4.56,81.3%,69.37,10.1%,13.8%,39.3%,94.8%,-2.2%
12,153,659,4.5,68.5%,63.55,7.5%,14.0%,37.3%,94.0%,
12,153,688,4.58,75.0%,76.18,9.1%,13.1%,60.9%,93.2%,
12,153,710,4.42,61.0%,66.37,9.3%,15.1%,74.0%,91.5%,-2.5%
12,153,3717,4.62,76.4%,52.03,9.5%,13.1%,40.6%,93.7%,-3.7%
12,153,4482,4.49,71.6%,57.66,13.6%,14.3%,77.9%,93.9%,-1.3%
12,153,5058,4.53,78.6%,60.93,14.2%,12.1%,56.8%,91.8%,-3.1%
12,153,5616,4.44,68.8%,46.38,8.2%,13.6%,50.9%,90.5%,
13,46,146,4.67,64.8%,76.26,7.6%,17.0%,26.6%,96.0%,-1.2%
13,46,165,4.56,74.5%,82.70,5.6%,16.6%,1.6%,95.6%,-0.9%
13,46,180,4.53,72.3%,81.06,1.2%,17.0%,8.8%,94.7%,-1.5%
13,46,345,4.51,72.4%,71.77,6.4%,17.5%,30.1%,94.9%,-0.7%
13,46,398,4.47,66.9%,82.13,4.0%,17.4%,20.6%,93.9%,-2.3%
13,46,399,4.52,62.6%,71.43,4.5%,17.3%,17.8%,94.2%,-1.4%
13,46,523,4.61,69.6%,87.19,11.9%,15.1%,29.0%,96.5%,-2.0%
13,46,572,4.64,65.8%,86.40,6.4%,17.3%,26.5%,96.2%,-0.7%
13,46,918,4.57,72.5%,80.18,7.4%,17.6%,25.3%,95.4%,-1.0%
13,46,3828,4.51,78.4%,72.58,6.3%,14.8%,26.3%,95.8%,-1.9%
13,66,283,4.73,74.0%,91.23,7.0%,15.2%,117.4%,96.5%,-1.7%
13,66,331,4.55,63.1%,75.00,9.6%,15.9%,40.0%,95.5%,-1.9%
13,66,383,4.56,68.7%,89.05,5.1%,17.2%,25.7%,96.0%,-1.4%
13,66,384,4.51,72.2%,74.05,4.5%,15.8%,23.5%,94.2%,-1.2%
13,66,408,4.48,70.4%,92.29,2.6%,16.7%,30.6%,94.4%,-2.5%
13,66,449,4.54,60.6%,60.14,1.3%,13.7%,11.1%,92.2%,-2.5%
13,66,457,4.51,68.7%,84.85,8.1%,16.4%,26.9%,95.3%,-1.6%
13,66,469,4.56,74.7%,68.09,6.2%,12.0%,48.9%,94.0%,-2.8%
13,66,521,4.56,74.3%,74.38,3.7%,12.9%,54.3%,95.3%,-2.7%
13,66,651,4.45,64.2%,78.01,3.0%,13.0%,37.0%,92.7%,-4.6%
13,66,777,4.56,65.1%,84.97,7.7%,16.8%,34.2%,95.2%,-2.2%
13,66,1204,4.52,74.1%,71.12,13.9%,13.4%,62.9%,94.3%,-3.5%
13,68,351,4.71,70.2%,80.08,4.1%,13.7%,29.6%,95.1%,-1.6%
13,68,400,4.55,74.1%,71.39,1.0%,18.6%,25.8%,94.3%,-0.6%
13,68,602,4.59,71.3%,81.25,5.6%,14.7%,50.4%,94.5%,-1.4%
13,68,3213,4.61,75.8%,83.09,1.7%,16.2%,26.8%,94.1%,-1.3%
13,68,3390,4.62,66.3%,86.03,5.7%,17.8%,11.0%,95.0%,-0.7%
13,68,3585,4.63,68.0%,81.79,7.1%,14.6%,56.2%,93.4%,-2.2%
13,68,3591,4.67,68.6%,75.73,4.0%,18.5%,31.0%,95.8%,-0.7%
13,68,5287,4.55,71.0%,68.07,-1.4%,14.6%,30.0%,93.9%,-2.0%
13,125,553,4.61,68.4%,72.45,7.0%,15.1%,64.5%,94.5%,-2.6%
13,125,909,4.64,68.8%,76.74,-1.9%,13.8%,39.1%,92.6%,-2.7%
13,125,912,4.58,75.9%,66.36,9.2%,9.0%,96.6%,89.5%,-6.0%
13,125,1163,4.53,68.3%,68.95,6.9%,10.7%,60.6%,91.6%,-4.2%
13,125,2665,4.57,64.6%,74.87,2.3%,14.1%,19.1%,91.9%,-1.9%
13,125,2706,4.5,64.5%,77.21,9.7%,12.3%,73.8%,90.7%,-4.4%
13,125,3167,4.62,75.3%,54.83,1.9%,10.4%,59.6%,94.7%,-3.3%
13,125,5022,4.52,72.7%,77.25,0.4%,13.4%,36.0%,90.2%,-4.8%
13,128,489,4.48,63.4%,77.40,5.0%,14.2%,38.9%,90.3%,-2.8%
13,128,541,4.53,63.4%,77.24,-2.0%,15.3%,32.6%,92.3%,-2.4%
13,128,803,4.74,80.6%,79.02,3.9%,15.3%,27.6%,95.4%,-1.5%
13,128,911,4.45,64.2%,72.44,0.3%,13.8%,17.7%,87.4%,-1.8%
13,128,989,4.49,70.8%,74.27,2.0%,16.0%,83.3%,89.5%,-2.8%
13,128,1342,4.55,71.7%,62.59,0.4%,14.3%,24.1%,93.0%,-1.5%
13,128,1353,4.41,70.3%,82.16,25.8%,14.9%,141.3%,88.5%,-2.9%
13,128,3616,4.65,73.6%,74.50,5.1%,12.5%,31.1%,94.8%,-1.8%
13,128,4129,4.43,71.8%,77.65,1.8%,14.7%,21.5%,91.0%,-2.0%
13,129,311,4.77,79.7%,89.69,5.9%,11.5%,128.2%,97.2%,-0.5%
13,129,485,4.72,75.5%,67.06,9.7%,10.6%,38.3%,95.7%,-2.0%
13,129,502,4.74,69.8%,90.42,2.0%,15.1%,42.0%,96.1%,-1.5%
13,129,540,4.66,67.7%,83.51,8.2%,15.8%,41.2%,96.9%,-1.2%
13,129,542,4.66,76.4%,66.78,3.2%,13.3%,56.4%,94.5%,-2.7%
13,129,761,4.77,71.8%,92.16,0.8%,15.7%,27.2%,96.6%,-1.2%
13,129,961,4.54,79.9%,72.96,5.3%,13.0%,49.7%,93.7%,-1.9%
13,129,1016,4.61,65.7%,79.81,3.6%,16.7%,45.6%,94.4%,-1.8%
13,129,2913,4.53,73.3%,81.31,3.7%,15.6%,37.5%,94.8%,-2.0%
13,129,3483,4.68,65.9%,74.34,2.8%,13.9%,40.7%,94.9%,-2.1%
13,130,428,4.41,66.1%,76.76,10.3%,13.4%,65.7%,88.8%,-2.9%
13,130,532,4.46,73.2%,77.57,6.8%,16.3%,57.6%,91.9%,-2.4%
13,130,839,4.59,74.4%,53.58,3.5%,9.4%,58.8%,91.3%,-4.5%
13,130,935,4.54,67.3%,73.95,5.6%,13.0%,49.9%,88.7%,-3.2%
13,130,1102,4.58,65.8%,80.46,8.4%,8.4%,71.0%,91.9%,
13,130,1206,4.53,82.3%,82.57,8.5%,13.1%,79.9%,90.5%,-3.4%
13,130,1266,4.52,63.5%,71.57,1.1%,13.2%,59.2%,92.4%,-4.3%
13,130,4683,4.5,77.8%,84.54,8.1%,11.6%,74.0%,91.2%,-3.6%
13,131,401,4.75,75.2%,78.84,8.5%,11.3%,70.4%,95.7%,-2.1%
13,131,1136,4.45,64.7%,82.72,5.1%,10.7%,48.8%,90.3%,-3.2%
13,131,1196,4.62,77.2%,88.24,8.3%,13.4%,48.3%,95.1%,-1.9%
13,131,2132,4.49,68.5%,79.31,-3.6%,7.2%,48.6%,92.4%,-4.5%
13,131,2822,4.6,69.3%,72.02,7.7%,15.9%,69.9%,94.5%,-2.1%
13,131,3288,4.59,65.3%,88.50,5.0%,14.1%,48.7%,93.2%,-3.0%
13,131,4679,4.58,78.6%,79.52,6.5%,13.2%,35.1%,94.5%,-2.5%
13,131,5056,4.48,68.2%,77.31,3.9%,14.2%,99.5%,89.7%,
13,132,309,4.61,70.8%,92.04,9.5%,15.8%,33.1%,95.3%,-0.8%
13,132,310,4.56,70.0%,83.84,8.2%,14.7%,38.7%,96.3%,-1.5%
13,132,386,4.6,68.5%,78.29,5.3%,16.9%,30.4%,96.3%,-0.9%
13,132,402,4.61,74.2%,83.16,7.5%,13.6%,30.1%,94.1%,-1.4%
13,132,415,4.53,79.1%,88.75,6.9%,14.2%,55.3%,96.6%,-1.4%
13,132,531,4.51,76.1%,89.86,8.8%,16.9%,44.3%,96.1%,-2.2%
13,132,533,4.55,69.5%,88.08,8.5%,14.8%,61.1%,95.6%,-1.6%
13,132,543,4.55,76.7%,84.05,6.3%,13.2%,65.5%,95.5%,-2.3%
13,132,2938,4.48,72.7%,78.77,9.9%,13.4%,27.4%,91.8%,-3.1%
13,132,7301,4.56,72.4%,83.38,6.1%,14.9%,34.7%,94.1%,-2.4%
13,134,75,4.59,74.4%,56.01,9.5%,17.4%,44.0%,94.1%,-2.0%
13,134,170,4.58,64.5%,75.00,5.5%,14.3%,48.8%,93.2%,-2.0%
13,134,312,4.57,79.7%,90.32,9.2%,9.4%,60.1%,95.1%,-2.1%
13,134,405,4.48,54.5%,72.13,7.8%,16.9%,38.9%,93.9%,-2.0%
13,134,498,4.58,62.0%,66.84,10.0%,13.6%,60.1%,95.2%,-1.5%
13,134,505,4.58,76.1%,83.43,5.2%,17.2%,26.5%,96.7%,-1.3%
13,134,539,4.59,74.4%,77.24,1.8%,9.8%,16.4%,90.6%,-4.2%
13,134,773,4.66,71.9%,86.06,8.6%,14.7%,25.8%,96.7%,-1.8%
13,134,1107,4.65,77.9%,88.24,8.4%,12.2%,48.3%,96.0%,-0.4%
13,134,1128,4.42,70.4%,77.30,8.4%,13.1%,34.1%,93.2%,-3.0%
13,134,4295,4.48,79.8%,85.82,6.3%,13.8%,15.8%,92.1%,-2.8%
13,141,501,4.49,64.0%,81.61,8.0%,18.1%,39.0%,89.2%,-1.5%
13,141,785,4.72,80.0%,85.61,6.2%,16.9%,27.7%,95.5%,-0.9%
13,141,816,4.42,67.0%,56.63,4.2%,15.2%,55.9%,88.0%,-2.6%
13,141,874,4.53,74.0%,78.82,2.3%,12.9%,30.4%,91.0%,
13,141,887,4.57,72.2%,83.28,8.8%,17.4%,27.1%,91.4%,-1.6%
13,141,916,4.44,67.1%,72.55,5.0%,17.1%,60.0%,87.8%,-2.2%
13,141,954,4.53,70.6%,77.59,1.3%,10.6%,8.4%,89.9%,-2.9%
13,141,1025,4.48,64.3%,76.74,3.1%,16.3%,17.7%,90.9%,-2.4%
13,141,1106,4.7,83.0%,78.57,12.3%,15.4%,72.4%,94.4%,-1.3%
13,141,1168,4.6,86.8%,70.22,7.5%,17.1%,22.4%,94.1%,-1.0%
13,141,1192,4.56,69.6%,69.69,3.6%,15.8%,28.2%,92.2%,-1.6%
13,141,2717,4.55,70.3%,82.48,15.6%,14.2%,42.8%,91.4%,-2.6%
13,143,969,4.57,74.8%,77.33,7.8%,16.0%,69.9%,91.9%,-2.8%
13,143,970,4.66,76.9%,90.99,6.6%,18.8%,31.5%,95.2%,-1.1%
13,143,1066,4.44,67.8%,75.82,7.4%,16.9%,30.3%,91.9%,-1.9%
13,143,1088,4.61,67.4%,84.79,7.9%,15.1%,72.6%,94.9%,-3.1%
13,143,1195,4.55,67.0%,83.06,7.1%,16.9%,29.9%,93.7%,-1.2%
13,143,1260,4.54,74.4%,90.94,9.5%,18.2%,30.2%,94.7%,-1.1%
13,143,1346,4.54,62.3%,84.17,8.0%,17.0%,37.4%,92.6%,-2.4%
13,143,2715,4.47,66.9%,83.88,4.4%,18.3%,34.9%,93.0%,-1.2%
13,143,3528,4.69,71.2%,84.46,7.9%,17.8%,26.1%,96.4%,
13,143,5079,4.7,71.3%,86.23,6.7%,17.7%,29.3%,96.2%,-1.1%
13,503,140,4.57,74.7%,90.68,7.7%,18.3%,15.4%,93.9%,-1.0%
13,503,163,4.46,71.9%,83.16,4.8%,17.9%,30.3%,92.4%,-2.0%
13,503,214,4.63,57.6%,70.00,5.9%,17.3%,21.8%,94.0%,-1.5%
13,503,236,4.67,72.4%,82.98,5.1%,13.9%,47.5%,95.5%,-0.7%
13,503,249,4.61,71.5%,80.44,5.4%,17.0%,5.5%,95.2%,-1.3%
13,503,275,4.64,69.8%,75.42,6.0%,16.5%,31.5%,94.6%,-1.7%
13,503,285,4.56,65.3%,77.04,5.9%,17.1%,24.1%,94.4%,-2.3%
13,503,288,4.63,77.4%,76.62,6.7%,12.9%,37.1%,95.3%,-0.9%
13,503,364,4.61,75.8%,89.41,8.0%,16.8%,23.4%,95.2%,-0.7%
14,1,853,4.48,63.2%,65.14,7.0%,15.4%,68.7%,92.3%,-2.8%
14,1,866,4.56,77.3%,64.48,5.1%,16.5%,63.0%,93.3%,-2.7%
14,1,904,4.33,65.6%,70.34,8.2%,17.2%,35.2%,91.3%,-1.7%
14,1,934,4.39,69.9%,70.13,3.1%,16.1%,28.5%,91.3%,-2.0%
14,1,991,4.48,79.1%,57.42,5.4%,13.0%,75.1%,91.3%,-3.6%
14,1,1212,4.42,72.2%,80.92,8.4%,16.1%,54.6%,93.1%,-2.9%
14,1,2748,4.36,68.2%,54.26,10.6%,17.4%,101.3%,90.6%,-1.1%
14,1,4333,4.43,62.1%,60.18,3.3%,15.7%,44.7%,91.6%,-2.3%
14,1,4581,4.51,63.2%,81.14,2.9%,14.9%,32.4%,94.4%,-1.8%
14,1,5174,4.55,59.5%,80.12,6.8%,15.8%,48.5%,91.7%,-2.5%
14,1,6173,4.5,67.0%,78.79,12.7%,16.9%,84.8%,94.3%,-1.2%
14,2,562,4.52,62.9%,68.90,2.0%,16.2%,18.4%,91.8%,-1.3%
14,2,670,4.54,64.7%,70.22,6.3%,19.1%,21.7%,93.4%,-1.1%
14,2,762,4.55,73.1%,50.63,6.7%,9.9%,61.7%,91.2%,
14,2,1158,4.46,65.8%,62.07,2.6%,13.1%,18.9%,91.6%,-2.2%
14,2,1711,4.47,66.1%,52.07,3.9%,11.6%,36.4%,89.0%,-4.0%
14,2,2723,4.54,73.6%,68.27,6.9%,15.9%,28.7%,94.4%,-0.9%
14,2,5113,4.48,66.2%,68.39,7.0%,18.1%,20.0%,92.2%,-0.7%
14,2,7280,4.58,69.9%,82.10,5.6%,18.5%,25.0%,95.7%,-1.0%
14,3,300,4.45,62.6%,68.00,5.9%,16.5%,18.1%,93.9%,-1.1%
14,3,301,4.33,78.3%,66.90,3.6%,16.6%,15.3%,91.6%,-1.6%
14,3,315,4.61,79.2%,90.14,4.8%,18.0%,18.2%,96.9%,-0.7%
14,3,316,4.49,68.2%,85.94,5.8%,17.5%,19.1%,93.7%,-1.4%
14,3,681,4.48,73.6%,74.13,4.9%,17.4%,22.3%,95.8%,-1.5%
14,3,691,4.44,71.2%,72.75,6.5%,19.1%,26.8%,93.9%,-0.9%
14,3,1201,4.1,64.2%,57.67,2.0%,16.5%,25.7%,89.0%,
14,3,2713,4.37,62.7%,46.23,0.3%,13.0%,67.6%,87.7%,-3.2%
14,3,3386,4.68,62.9%,91.13,8.4%,16.2%,9.4%,94.4%,-0.9%
14,3,5126,4.5,60.5%,73.99,6.2%,17.2%,35.2%,95.3%,-0.9%
14,7,604,4.5,68.8%,65.90,11.0%,17.3%,80.3%,93.2%,-1.8%
14,7,723,4.68,65.0%,84.06,10.1%,15.8%,40.7%,95.6%,-1.7%
14,7,734,4.47,65.4%,76.32,9.9%,19.0%,89.5%,93.4%,-2.1%
14,7,740,4.48,70.6%,62.41,5.8%,14.4%,40.8%,94.1%,-1.4%
14,7,1063,4.76,74.1%,83.84,7.7%,14.3%,69.6%,97.5%,-0.5%
14,7,1091,4.49,62.9%,79.53,8.9%,17.0%,17.2%,95.1%,-1.1%
14,7,1134,4.48,65.2%,61.03,11.7%,18.1%,37.1%,94.6%,-1.6%
14,7,1462,4.61,65.4%,79.32,6.5%,13.9%,24.5%,94.5%,-0.9%
14,7,1638,4.64,66.3%,66.53,5.4%,15.5%,42.1%,93.5%,-2.4%
14,7,2114,4.56,65.2%,78.82,11.5%,16.5%,26.3%,95.3%,-1.6%
14,7,2534,4.48,64.9%,79.08,4.9%,15.3%,26.6%,93.3%,-1.5%
14,8,424,4.4,69.7%,64.10,9.6%,17.2%,30.6%,92.2%,-1.8%
14,8,483,4.41,66.5%,85.20,7.0%,16.5%,24.9%,94.2%,-1.5%
14,8,700,4.51,74.1%,76.15,3.7%,12.7%,31.5%,93.0%,-3.2%
14,8,930,4.48,70.7%,78.16,10.0%,8.7%,83.8%,89.6%,-4.1%
14,8,938,4.47,68.9%,60.73,5.6%,12.6%,42.0%,92.9%,-3.4%
14,8,1101,4.45,71.6%,90.36,8.4%,17.3%,51.0%,92.2%,-1.4%
14,8,4318,4.38,66.7%,90.63,9.8%,17.1%,51.2%,93.8%,-1.5%
14,8,4407,4.49,68.5%,54.84,5.7%,12.9%,43.9%,90.2%,-2.6%
14,8,5348,4.37,75.6%,67.94,7.7%,11.4%,15.7%,90.8%,-3.9%
14,10,329,4.46,67.4%,88.55,6.6%,14.5%,33.5%,92.3%,-1.7%
14,10,355,4.49,65.2%,53.09,5.4%,14.9%,46.0%,90.2%,-1.3%
14,10,356,4.45,59.5%,74.10,0.1%,12.9%,0.0%,86.3%,-2.8%
14,10,432,4.51,56.3%,75.76,6.6%,13.7%,27.6%,92.8%,-1.5%
14,10,726,4.51,64.8%,65.07,5.1%,16.1%,30.0%,92.2%,-1.8%
14,10,730,4.44,66.1%,74.52,-2.6%,13.1%,26.5%,91.9%,-1.5%
14,10,733,4.63,61.5%,67.16,11.3%,12.6%,48.1%,93.7%,-2.7%
14,10,809,4.51,68.4%,68.38,5.9%,17.1%,52.7%,92.1%,-1.0%
14,10,863,4.61,66.2%,86.70,8.2%,13.7%,66.7%,95.0%,-1.4%
14,10,1057,4.7,77.3%,81.70,12.3%,12.9%,53.9%,95.9%,-2.0%
14,13,423,4.55,79.0%,55.94,3.9%,16.4%,52.3%,94.5%,-1.8%
14,13,1229,4.39,68.3%,44.02,0.8%,15.5%,30.2%,87.5%,-2.6%
14,13,1481,4.37,68.9%,48.77,-2.5%,13.3%,32.7%,87.1%,-3.2%
14,13,2111,4.47,72.6%,51.18,1.0%,15.8%,18.9%,89.9%,-2.1%
14,13,3271,4.43,75.5%,71.67,8.5%,14.1%,29.3%,93.8%,-2.7%
14,13,4330,4.62,70.8%,62.15,7.2%,15.6%,29.0%,92.9%,-1.6%
14,13,4497,4.3,66.7%,54.15,1.4%,12.4%,47.4%,85.1%,-3.0%
14,13,5262,4.65,69.2%,75.08,4.9%,14.9%,42.2%,92.1%,-2.3%
14,14,990,4.33,68.0%,69.13,8.0%,19.8%,49.8%,94.6%,-1.0%
14,14,1174,4.63,80.5%,85.23,3.6%,13.7%,36.0%,95.7%,-1.2%
14,14,1222,4.37,64.6%,70.69,5.5%,17.2%,49.8%,91.5%,-1.9%
14,14,1224,4.42,65.6%,75.43,5.8%,17.2%,75.5%,87.0%,-2.1%
14,14,1493,4.61,70.5%,86.88,6.1%,13.6%,32.1%,94.9%,-0.8%
14,14,1605,4.47,81.9%,82.46,8.7%,16.8%,53.5%,92.5%,-2.3%
14,14,1620,4.59,71.9%,79.25,5.3%,16.3%,15.2%,95.2%,-0.9%
14,14,2533,4.57,79.4%,82.78,4.7%,16.3%,39.5%,94.9%,-1.2%
14,14,2739,4.41,73.9%,88.55,10.8%,13.4%,24.3%,94.1%,-2.3%
14,14,2760,4.6,78.6%,86.07,1.7%,14.6%,19.4%,95.8%,-0.6%
14,14,3484,4.61,67.4%,78.14,4.0%,17.4%,42.8%,90.5%,-1.1%
14,14,3785,4.57,75.8%,78.86,4.5%,13.6%,17.3%,92.8%,-2.5%
14,14,7247,4.59,73.4%,92.68,7.8%,13.4%,31.5%,92.0%,-2.6%
14,15,818,4.45,70.5%,74.86,-0.5%,16.1%,31.2%,90.2%,-1.6%
14,15,919,4.49,64.9%,68.01,3.2%,17.2%,23.0%,92.0%,-2.3%
14,15,944,4.46,68.8%,72.71,8.1%,17.8%,82.1%,93.7%,-2.2%
14,15,1032,4.55,64.2%,77.58,8.9%,18.2%,80.4%,92.0%,-1.4%
