Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
5,3014,SPARK,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202217,88.88%,98.47%,7,94.30%,89.20%,81.80%,90.60%,
5,5810,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202217,85.00%,91.63%,7.8,89.30%,85.20%,76.60%,89.30%,
5,2649,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,86.87%,83.47%,8.8,88.30%,81.30%,86.20%,91.80%,
5,2427,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,81.08%,73.72%,10.1,82.30%,81.50%,76.20%,84.90%,
5,5889,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202217,82.08%,97.15%,5,82.00%,80.60%,80.00%,85.70%,
5,535,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,86.87%,79.28%,8.6,89.70%,92.50%,85.20%,82.10%,
5,3381,POINTPICKUP,Scheduled Express Delivery ,3,Active Monitoring,Recovering,Driver Supply Focus,202217,93.40%,93.64%,8.6,90.50%,100.00%,88.00%,93.90%,
5,1129,DOORDASH,Scheduled Standard Delivery,18,Executive Review,Degrading,Store Focus,202217,87.44%,76.48%,8.6,79.50%,90.40%,90.60%,88.50%,
5,1129,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,83.45%,75.03%,8.5,85.40%,81.80%,82.70%,83.60%,
5,1253,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202217,69.83%,92.36%,5.5,82.40%,64.50%,68.60%,63.90%,
5,2991,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202217,87.75%,90.07%,7.5,85.00%,91.70%,89.30%,85.20%,
5,4130,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,83.55%,74.49%,10.1,85.20%,76.40%,88.10%,85.20%,
5,4219,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,85.21%,85.62%,7.1,78.00%,92.10%,85.50%,83.60%,
5,4554,SPARK,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202217,87.12%,93.19%,4.1,91.50%,86.30%,86.00%,84.70%,
5,475,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202217,87.43%,77.51%,8.5,87.40%,84.90%,90.00%,87.80%,
5,475,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,84.46%,79.07%,6,86.40%,79.40%,88.10%,84.30%,
5,1185,DOORDASH,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202217,78.29%,62.84%,20,82.40%,70.50%,75.90%,83.50%,
5,1185,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202217,63.39%,64.41%,10.7,71.80%,56.70%,56.00%,67.90%,
5,3169,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202217,85.41%,84.72%,9.5,83.00%,84.70%,86.40%,87.10%,
5,3170,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,73.33%,83.73%,6.7,77.30%,75.00%,76.50%,64.90%,
5,3569,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,82.73%,72.72%,11.3,78.90%,85.00%,77.70%,89.50%,
5,5479,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202217,85.42%,67.61%,8.6,91.20%,78.80%,88.00%,83.80%,
5,5480,DOORDASH,Scheduled Standard Delivery,16,Executive Review,Degrading,Store Focus,202217,87.87%,62.85%,10.7,89.70%,91.20%,90.50%,81.70%,
5,5480,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202217,86.27%,66.40%,7.1,90.20%,85.30%,86.00%,84.30%,
5,940,SPARK,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202217,78.08%,67.77%,8.4,90.00%,68.30%,75.20%,79.20%,
64,3198,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,76.26%,55.57%,11.5,85.70%,73.70%,78.60%,66.90%,
64,3204,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202217,92.62%,89.83%,6.1,98.70%,94.40%,85.00%,92.00%,
64,3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202217,49.00%,66.02%,13,55.40%,36.70%,33.60%,67.80%,
16,2174,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,81.06%,87.00%,11.5,78.40%,79.50%,80.00%,85.40%,
16,5278,DOORDASH,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,67.39%,67.60%,19.9,87.70%,43.80%,65.20%,71.30%,
16,5278,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,66.30%,72.61%,13.4,82.20%,44.60%,57.10%,72.70%,
16,2629,POINTPICKUP,Scheduled Express Delivery ,28,Executive Review,Degrading,Store Focus,202217,92.31%,88.78%,11.8,84.60%,85.20%,96.30%,100.00%,
16,2964,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202217,88.46%,94.38%,4.7,96.10%,83.50%,92.90%,81.70%,
16,4387,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202217,82.43%,69.93%,12.5,75.50%,77.80%,87.70%,86.30%,
16,4387,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,81.07%,71.81%,9.8,83.30%,78.70%,81.90%,80.70%,
16,1762,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202217,67.06%,58.85%,7.4,59.80%,52.00%,62.10%,83.30%,
16,2222,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202217,80.17%,79.49%,10.1,76.80%,78.10%,82.80%,87.20%,
16,3114,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,59.08%,58.56%,12.1,64.40%,42.20%,68.00%,70.20%,
16,3535,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202217,90.87%,81.53%,7.5,94.30%,82.30%,93.50%,95.00%,
16,1970,DOORDASH,Scheduled Standard Delivery,41,Executive Review,Degrading,Store Focus,202217,84.03%,52.91%,13.4,84.10%,88.70%,79.00%,83.70%,
16,1970,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202217,67.01%,63.70%,9,78.40%,75.20%,58.30%,54.70%,
16,2103,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,67.10%,63.14%,15.4,86.50%,53.10%,81.40%,45.60%,
