Store Nbr,Dept Subcategory Description,WK51,WK52,WK01,WK02,WK03,WK04,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24
28,18IN BIKES,1,1,1,2,2,3,4,3,3,3,5,3,4,2,3,3,2,3,2,2,2,2,2,2,2,1
28,20IN BIKES,4,4,4,4,6,6,9,10,8,10,12,10,10,9,8,8,9,10,9,9,10,10,10,10,8,7
28,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,MOUNTAIN BIKES,2,2,2,3,3,4,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
28,MULTI USE BIKES,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
29,12IN BIKES,1,1,1,2,3,3,4,5,5,5,7,6,5,5,5,6,5,5,5,5,5,5,5,5,4,3
29,16IN BIKES,1,2,2,2,4,4,5,7,6,6,9,7,6,6,5,6,6,7,7,5,6,6,6,6,6,5
29,18IN BIKES,1,1,1,1,2,2,2,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2
29,20IN BIKES,2,2,2,3,5,5,6,9,8,9,12,10,9,8,8,8,7,10,8,9,9,11,9,10,8,7
29,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,MOUNTAIN BIKES,3,2,3,3,5,5,6,7,5,6,7,5,5,5,6,6,5,6,6,5,5,5,5,5,4,5
29,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,12IN BIKES,1,1,1,2,2,2,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
30,16IN BIKES,1,2,2,2,4,4,4,5,5,6,8,6,6,5,5,5,5,6,5,5,5,6,6,6,5,4
30,18IN BIKES,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,20IN BIKES,2,3,2,3,5,5,6,8,7,8,10,8,8,7,8,8,7,9,9,8,8,9,8,9,7,6
30,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,MOUNTAIN BIKES,2,2,2,2,4,4,4,5,4,4,6,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4
30,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,12IN BIKES,1,2,2,2,3,3,4,5,4,4,6,5,4,4,4,4,4,4,4,3,4,4,4,4,4,3
31,16IN BIKES,1,1,1,2,3,3,4,5,3,4,5,4,4,4,4,4,4,5,4,3,3,4,4,4,4,3
31,18IN BIKES,1,1,1,3,2,3,4,4,3,3,5,4,4,3,4,4,2,4,3,3,3,3,2,2,2,2
31,20IN BIKES,3,4,3,4,6,6,8,9,8,10,12,10,9,9,8,8,9,9,9,9,9,9,9,9,8,7
31,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,MOUNTAIN BIKES,3,3,3,3,4,5,6,6,7,5,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
31,MULTI USE BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,12IN BIKES,1,0,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,16IN BIKES,1,1,1,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
