Region,Market,Store Nbr,Bucket,Tier,Details
42,334,48,>90%,Tier 1,ISA On in Total Store
44,47,49,"> 80%, < 90%",Tier 2,GM Pause
44,347,50,"> 80%, < 90%",Tier 2,GM Pause
40,339,51,"> 80%, < 90%",Tier 2,GM Pause
42,325,52,"> 80%, < 90%",Tier 2,GM Pause
42,322,54,"> 80%, < 90%",Tier 2,GM Pause
42,321,55,>90%,Tier 1,ISA On in Total Store
40,333,56,"> 80%, < 90%",Tier 2,GM Pause
42,328,57,"> 80%, < 90%",Tier 2,GM Pause
42,325,58,>90%,Tier 1,ISA On in Total Store
42,334,59,>90%,Tier 1,ISA On in Total Store
40,339,60,"> 80%, < 90%",Tier 2,GM Pause
40,361,61,"> 80%, < 90%",Tier 2,GM Pause
12,329,62,< 80%,Tier 3,Total Store ISA Pause
44,347,63,"> 80%, < 90%",Tier 2,GM Pause
41,146,64,"> 80%, < 90%",Tier 2,GM Pause
40,336,65,< 80%,Tier 3,Total Store ISA Pause
42,321,66,>90%,Tier 1,ISA On in Total Store
42,321,67,"> 80%, < 90%",Tier 2,GM Pause
12,329,68,>90%,Tier 1,ISA On in Total Store
40,335,69,"> 80%, < 90%",Tier 2,GM Pause
12,329,70,"> 80%, < 90%",Tier 2,GM Pause
42,328,71,"> 80%, < 90%",Tier 2,GM Pause
44,410,72,>90%,Tier 1,ISA On in Total Store
44,356,73,"> 80%, < 90%",Tier 2,GM Pause
12,329,74,"> 80%, < 90%",Tier 2,GM Pause
13,134,75,>90%,Tier 1,ISA On in Total Store
42,322,76,>90%,Tier 1,ISA On in Total Store
5,83,77,>90%,Tier 1,ISA On in Total Store
40,357,78,"> 80%, < 90%",Tier 2,GM Pause
42,334,79,"> 80%, < 90%",Tier 2,GM Pause
40,359,80,>90%,Tier 1,ISA On in Total Store
44,347,81,"> 80%, < 90%",Tier 2,GM Pause
40,335,82,>90%,Tier 1,ISA On in Total Store
42,327,83,"> 80%, < 90%",Tier 2,GM Pause
42,324,85,>90%,Tier 1,ISA On in Total Store
40,357,86,"> 80%, < 90%",Tier 2,GM Pause
42,127,87,"> 80%, < 90%",Tier 2,GM Pause
40,357,88,"> 80%, < 90%",Tier 2,GM Pause
40,336,89,>90%,Tier 1,ISA On in Total Store
44,347,90,"> 80%, < 90%",Tier 2,GM Pause
12,329,91,< 80%,Tier 3,Total Store ISA Pause
42,334,92,"> 80%, < 90%",Tier 2,GM Pause
12,145,93,"> 80%, < 90%",Tier 2,GM Pause
12,145,94,>90%,Tier 1,ISA On in Total Store
40,335,95,"> 80%, < 90%",Tier 2,GM Pause
40,361,96,>90%,Tier 1,ISA On in Total Store
41,146,97,>90%,Tier 1,ISA On in Total Store
42,135,98,>90%,Tier 1,ISA On in Total Store
40,336,99,>90%,Tier 1,ISA On in Total Store
42,323,100,"> 80%, < 90%",Tier 2,GM Pause
40,336,101,"> 80%, < 90%",Tier 2,GM Pause
42,327,102,>90%,Tier 1,ISA On in Total Store
44,351,103,>90%,Tier 1,ISA On in Total Store
41,146,104,"> 80%, < 90%",Tier 2,GM Pause
12,4,105,"> 80%, < 90%",Tier 2,GM Pause
41,146,106,"> 80%, < 90%",Tier 2,GM Pause
41,146,107,>90%,Tier 1,ISA On in Total Store
44,344,108,"> 80%, < 90%",Tier 2,GM Pause
40,360,109,< 80%,Tier 3,Total Store ISA Pause
9,89,110,"> 80%, < 90%",Tier 2,GM Pause
44,410,111,>90%,Tier 1,ISA On in Total Store
14,138,112,"> 80%, < 90%",Tier 2,GM Pause
44,349,113,"> 80%, < 90%",Tier 2,GM Pause
12,4,114,"> 80%, < 90%",Tier 2,GM Pause
14,138,115,"> 80%, < 90%",Tier 2,GM Pause
42,127,116,>90%,Tier 1,ISA On in Total Store
44,47,117,"> 80%, < 90%",Tier 2,GM Pause
12,4,118,< 80%,Tier 3,Total Store ISA Pause
42,328,119,"> 80%, < 90%",Tier 2,GM Pause
41,146,120,"> 80%, < 90%",Tier 2,GM Pause
44,351,121,< 80%,Tier 3,Total Store ISA Pause
40,335,122,>90%,Tier 1,ISA On in Total Store
44,351,123,< 80%,Tier 3,Total Store ISA Pause
42,324,124,"> 80%, < 90%",Tier 2,GM Pause
42,321,125,"> 80%, < 90%",Tier 2,GM Pause
42,324,126,>90%,Tier 1,ISA On in Total Store
42,325,127,>90%,Tier 1,ISA On in Total Store
12,329,128,"> 80%, < 90%",Tier 2,GM Pause
44,350,129,>90%,Tier 1,ISA On in Total Store
44,347,130,"> 80%, < 90%",Tier 2,GM Pause
44,47,131,"> 80%, < 90%",Tier 2,GM Pause
44,344,132,>90%,Tier 1,ISA On in Total Store
42,325,133,"> 80%, < 90%",Tier 2,GM Pause
44,344,134,"> 80%, < 90%",Tier 2,GM Pause
40,360,135,"> 80%, < 90%",Tier 2,GM Pause
44,345,136,>90%,Tier 1,ISA On in Total Store
44,352,137,"> 80%, < 90%",Tier 2,GM Pause
40,357,138,"> 80%, < 90%",Tier 2,GM Pause
44,353,139,>90%,Tier 1,ISA On in Total Store
6,503,140,>90%,Tier 1,ISA On in Total Store
42,321,141,>90%,Tier 1,ISA On in Total Store
41,253,143,"> 80%, < 90%",Tier 2,GM Pause
42,322,144,"> 80%, < 90%",Tier 2,GM Pause
40,339,145,"> 80%, < 90%",Tier 2,GM Pause
5,46,146,>90%,Tier 1,ISA On in Total Store
44,350,147,>90%,Tier 1,ISA On in Total Store
44,47,148,"> 80%, < 90%",Tier 2,GM Pause
42,135,149,>90%,Tier 1,ISA On in Total Store
44,344,150,"> 80%, < 90%",Tier 2,GM Pause
44,351,151,"> 80%, < 90%",Tier 2,GM Pause
40,335,152,>90%,Tier 1,ISA On in Total Store
12,4,153,>90%,Tier 1,ISA On in Total Store
20,311,154,>90%,Tier 1,ISA On in Total Store
12,136,155,"> 80%, < 90%",Tier 2,GM Pause
42,328,157,"> 80%, < 90%",Tier 2,GM Pause
44,350,158,>90%,Tier 1,ISA On in Total Store
40,359,159,"> 80%, < 90%",Tier 2,GM Pause
42,328,160,"> 80%, < 90%",Tier 2,GM Pause
12,147,161,"> 80%, < 90%",Tier 2,GM Pause
44,349,162,"> 80%, < 90%",Tier 2,GM Pause
6,503,163,>90%,Tier 1,ISA On in Total Store
12,4,164,"> 80%, < 90%",Tier 2,GM Pause
5,46,165,< 80%,Tier 3,Total Store ISA Pause
40,357,166,"> 80%, < 90%",Tier 2,GM Pause
42,327,167,"> 80%, < 90%",Tier 2,GM Pause
44,345,168,"> 80%, < 90%",Tier 2,GM Pause
42,326,169,>90%,Tier 1,ISA On in Total Store
13,134,170,>90%,Tier 1,ISA On in Total Store
42,327,171,"> 80%, < 90%",Tier 2,GM Pause
40,336,172,"> 80%, < 90%",Tier 2,GM Pause
40,357,173,>90%,Tier 1,ISA On in Total Store
9,92,174,"> 80%, < 90%",Tier 2,GM Pause
12,144,175,>90%,Tier 1,ISA On in Total Store
12,4,176,>90%,Tier 1,ISA On in Total Store
41,146,177,"> 80%, < 90%",Tier 2,GM Pause
44,344,178,"> 80%, < 90%",Tier 2,GM Pause
40,357,179,>90%,Tier 1,ISA On in Total Store
5,46,180,"> 80%, < 90%",Tier 2,GM Pause
44,47,181,>90%,Tier 1,ISA On in Total Store
12,136,182,"> 80%, < 90%",Tier 2,GM Pause
14,138,183,"> 80%, < 90%",Tier 2,GM Pause
40,361,184,>90%,Tier 1,ISA On in Total Store
44,350,185,>90%,Tier 1,ISA On in Total Store
44,409,186,"> 80%, < 90%",Tier 2,GM Pause
40,335,188,"> 80%, < 90%",Tier 2,GM Pause
40,359,189,< 80%,Tier 3,Total Store ISA Pause
12,329,190,"> 80%, < 90%",Tier 2,GM Pause
12,147,192,"> 80%, < 90%",Tier 2,GM Pause
6,60,194,"> 80%, < 90%",Tier 2,GM Pause
40,360,195,"> 80%, < 90%",Tier 2,GM Pause
25,271,196,>90%,Tier 1,ISA On in Total Store
25,278,197,"> 80%, < 90%",Tier 2,GM Pause
25,272,198,"> 80%, < 90%",Tier 2,GM Pause
25,278,199,>90%,Tier 1,ISA On in Total Store
25,275,200,>90%,Tier 1,ISA On in Total Store
25,341,201,"> 80%, < 90%",Tier 2,GM Pause
5,51,202,< 80%,Tier 3,Total Store ISA Pause
40,359,203,>90%,Tier 1,ISA On in Total Store
41,253,204,"> 80%, < 90%",Tier 2,GM Pause
14,138,205,>90%,Tier 1,ISA On in Total Store
5,52,206,>90%,Tier 1,ISA On in Total Store
44,345,207,"> 80%, < 90%",Tier 2,GM Pause
42,321,209,"> 80%, < 90%",Tier 2,GM Pause
44,351,210,"> 80%, < 90%",Tier 2,GM Pause
5,76,211,"> 80%, < 90%",Tier 2,GM Pause
44,353,212,"> 80%, < 90%",Tier 2,GM Pause
25,272,213,>90%,Tier 1,ISA On in Total Store
6,503,214,"> 80%, < 90%",Tier 2,GM Pause
25,271,216,"> 80%, < 90%",Tier 2,GM Pause
5,53,217,"> 80%, < 90%",Tier 2,GM Pause
12,147,218,"> 80%, < 90%",Tier 2,GM Pause
40,359,219,"> 80%, < 90%",Tier 2,GM Pause
5,48,220,< 80%,Tier 3,Total Store ISA Pause
44,344,221,"> 80%, < 90%",Tier 2,GM Pause
25,271,222,>90%,Tier 1,ISA On in Total Store
25,272,224,"> 80%, < 90%",Tier 2,GM Pause
44,350,225,< 80%,Tier 3,Total Store ISA Pause
44,47,226,>90%,Tier 1,ISA On in Total Store
44,344,227,>90%,Tier 1,ISA On in Total Store
5,48,228,"> 80%, < 90%",Tier 2,GM Pause
12,329,229,>90%,Tier 1,ISA On in Total Store
42,321,230,>90%,Tier 1,ISA On in Total Store
44,350,231,"> 80%, < 90%",Tier 2,GM Pause
44,350,232,< 80%,Tier 3,Total Store ISA Pause
25,271,233,>90%,Tier 1,ISA On in Total Store
40,360,234,< 80%,Tier 3,Total Store ISA Pause
6,503,236,"> 80%, < 90%",Tier 2,GM Pause
25,271,237,"> 80%, < 90%",Tier 2,GM Pause
12,147,238,"> 80%, < 90%",Tier 2,GM Pause
14,138,239,"> 80%, < 90%",Tier 2,GM Pause
44,47,240,"> 80%, < 90%",Tier 2,GM Pause
44,410,242,"> 80%, < 90%",Tier 2,GM Pause
40,339,243,"> 80%, < 90%",Tier 2,GM Pause
42,135,244,>90%,Tier 1,ISA On in Total Store
44,345,246,"> 80%, < 90%",Tier 2,GM Pause
44,351,247,"> 80%, < 90%",Tier 2,GM Pause
5,76,248,"> 80%, < 90%",Tier 2,GM Pause
6,503,249,< 80%,Tier 3,Total Store ISA Pause
40,336,250,>90%,Tier 1,ISA On in Total Store
5,45,251,>90%,Tier 1,ISA On in Total Store
25,271,252,"> 80%, < 90%",Tier 2,GM Pause
25,272,253,"> 80%, < 90%",Tier 2,GM Pause
25,273,254,>90%,Tier 1,ISA On in Total Store
25,341,256,"> 80%, < 90%",Tier 2,GM Pause
41,254,257,"> 80%, < 90%",Tier 2,GM Pause
12,4,258,"> 80%, < 90%",Tier 2,GM Pause
5,583,259,"> 80%, < 90%",Tier 2,GM Pause
5,55,260,>90%,Tier 1,ISA On in Total Store
42,325,261,"> 80%, < 90%",Tier 2,GM Pause
25,271,262,"> 80%, < 90%",Tier 2,GM Pause
12,149,264,"> 80%, < 90%",Tier 2,GM Pause
5,45,265,"> 80%, < 90%",Tier 2,GM Pause
5,50,266,"> 80%, < 90%",Tier 2,GM Pause
42,334,267,< 80%,Tier 3,Total Store ISA Pause
12,147,268,"> 80%, < 90%",Tier 2,GM Pause
44,349,269,"> 80%, < 90%",Tier 2,GM Pause
44,349,271,< 80%,Tier 3,Total Store ISA Pause
12,153,272,"> 80%, < 90%",Tier 2,GM Pause
12,4,273,"> 80%, < 90%",Tier 2,GM Pause
12,4,274,>90%,Tier 1,ISA On in Total Store
6,503,275,"> 80%, < 90%",Tier 2,GM Pause
44,351,276,>90%,Tier 1,ISA On in Total Store
44,353,277,< 80%,Tier 3,Total Store ISA Pause
42,127,278,"> 80%, < 90%",Tier 2,GM Pause
42,321,279,"> 80%, < 90%",Tier 2,GM Pause
5,83,280,>90%,Tier 1,ISA On in Total Store
42,328,281,"> 80%, < 90%",Tier 2,GM Pause
41,253,282,< 80%,Tier 3,Total Store ISA Pause
13,66,283,"> 80%, < 90%",Tier 2,GM Pause
5,44,284,>90%,Tier 1,ISA On in Total Store
6,503,285,"> 80%, < 90%",Tier 2,GM Pause
5,55,286,"> 80%, < 90%",Tier 2,GM Pause
14,11,287,"> 80%, < 90%",Tier 2,GM Pause
6,503,288,"> 80%, < 90%",Tier 2,GM Pause
42,327,289,< 80%,Tier 3,Total Store ISA Pause
6,77,290,>90%,Tier 1,ISA On in Total Store
6,87,292,>90%,Tier 1,ISA On in Total Store
6,85,293,"> 80%, < 90%",Tier 2,GM Pause
41,253,294,"> 80%, < 90%",Tier 2,GM Pause
40,340,295,"> 80%, < 90%",Tier 2,GM Pause
42,325,296,"> 80%, < 90%",Tier 2,GM Pause
6,59,297,"> 80%, < 90%",Tier 2,GM Pause
12,5,298,>90%,Tier 1,ISA On in Total Store
41,254,299,>90%,Tier 1,ISA On in Total Store
14,3,300,"> 80%, < 90%",Tier 2,GM Pause
14,3,301,"> 80%, < 90%",Tier 2,GM Pause
25,271,302,>90%,Tier 1,ISA On in Total Store
12,4,303,"> 80%, < 90%",Tier 2,GM Pause
12,149,304,< 80%,Tier 3,Total Store ISA Pause
14,138,305,>90%,Tier 1,ISA On in Total Store
12,5,306,"> 80%, < 90%",Tier 2,GM Pause
42,135,307,< 80%,Tier 3,Total Store ISA Pause
41,152,308,"> 80%, < 90%",Tier 2,GM Pause
13,132,309,"> 80%, < 90%",Tier 2,GM Pause
13,132,310,< 80%,Tier 3,Total Store ISA Pause
13,129,311,"> 80%, < 90%",Tier 2,GM Pause
13,134,312,"> 80%, < 90%",Tier 2,GM Pause
40,335,313,>90%,Tier 1,ISA On in Total Store
12,151,314,"> 80%, < 90%",Tier 2,GM Pause
14,3,315,>90%,Tier 1,ISA On in Total Store
14,3,316,>90%,Tier 1,ISA On in Total Store
25,272,317,"> 80%, < 90%",Tier 2,GM Pause
42,325,318,>90%,Tier 1,ISA On in Total Store
40,361,319,"> 80%, < 90%",Tier 2,GM Pause
5,76,320,< 80%,Tier 3,Total Store ISA Pause
6,85,321,>90%,Tier 1,ISA On in Total Store
6,85,322,< 80%,Tier 3,Total Store ISA Pause
42,127,323,< 80%,Tier 3,Total Store ISA Pause
44,356,324,"> 80%, < 90%",Tier 2,GM Pause
40,360,325,"> 80%, < 90%",Tier 2,GM Pause
40,361,326,"> 80%, < 90%",Tier 2,GM Pause
25,341,328,"> 80%, < 90%",Tier 2,GM Pause
14,10,329,>90%,Tier 1,ISA On in Total Store
6,84,330,"> 80%, < 90%",Tier 2,GM Pause
13,66,331,"> 80%, < 90%",Tier 2,GM Pause
12,5,332,>90%,Tier 1,ISA On in Total Store
41,254,333,>90%,Tier 1,ISA On in Total Store
25,275,334,>90%,Tier 1,ISA On in Total Store
41,146,335,< 80%,Tier 3,Total Store ISA Pause
42,325,336,"> 80%, < 90%",Tier 2,GM Pause
40,335,337,>90%,Tier 1,ISA On in Total Store
42,334,338,< 80%,Tier 3,Total Store ISA Pause
42,327,339,"> 80%, < 90%",Tier 2,GM Pause
44,351,340,"> 80%, < 90%",Tier 2,GM Pause
47,407,341,< 80%,Tier 3,Total Store ISA Pause
47,411,342,"> 80%, < 90%",Tier 2,GM Pause
25,275,343,>90%,Tier 1,ISA On in Total Store
6,65,344,< 80%,Tier 3,Total Store ISA Pause
5,46,345,"> 80%, < 90%",Tier 2,GM Pause
44,409,346,"> 80%, < 90%",Tier 2,GM Pause
12,136,347,>90%,Tier 1,ISA On in Total Store
42,327,348,>90%,Tier 1,ISA On in Total Store
47,433,350,"> 80%, < 90%",Tier 2,GM Pause
6,68,351,"> 80%, < 90%",Tier 2,GM Pause
25,271,352,"> 80%, < 90%",Tier 2,GM Pause
5,48,353,"> 80%, < 90%",Tier 2,GM Pause
40,336,354,"> 80%, < 90%",Tier 2,GM Pause
14,10,355,"> 80%, < 90%",Tier 2,GM Pause
14,10,356,< 80%,Tier 3,Total Store ISA Pause
40,336,357,>90%,Tier 1,ISA On in Total Store
42,321,358,< 80%,Tier 3,Total Store ISA Pause
42,322,359,>90%,Tier 1,ISA On in Total Store
44,352,360,"> 80%, < 90%",Tier 2,GM Pause
25,341,361,"> 80%, < 90%",Tier 2,GM Pause
14,11,362,>90%,Tier 1,ISA On in Total Store
40,361,363,"> 80%, < 90%",Tier 2,GM Pause
6,503,364,>90%,Tier 1,ISA On in Total Store
13,140,365,>90%,Tier 1,ISA On in Total Store
2,121,366,"> 80%, < 90%",Tier 2,GM Pause
44,410,368,< 80%,Tier 3,Total Store ISA Pause
47,406,369,"> 80%, < 90%",Tier 2,GM Pause
47,406,370,< 80%,Tier 3,Total Store ISA Pause
5,48,371,>90%,Tier 1,ISA On in Total Store
47,406,372,>90%,Tier 1,ISA On in Total Store
42,322,373,"> 80%, < 90%",Tier 2,GM Pause
44,347,374,< 80%,Tier 3,Total Store ISA Pause
12,5,375,"> 80%, < 90%",Tier 2,GM Pause
42,127,376,"> 80%, < 90%",Tier 2,GM Pause
59,497,377,>90%,Tier 1,ISA On in Total Store
47,411,378,< 80%,Tier 3,Total Store ISA Pause
40,333,379,"> 80%, < 90%",Tier 2,GM Pause
5,81,381,>90%,Tier 1,ISA On in Total Store
44,410,382,>90%,Tier 1,ISA On in Total Store
13,66,383,"> 80%, < 90%",Tier 2,GM Pause
13,66,384,>90%,Tier 1,ISA On in Total Store
6,84,385,< 80%,Tier 3,Total Store ISA Pause
13,132,386,< 80%,Tier 3,Total Store ISA Pause
44,352,387,"> 80%, < 90%",Tier 2,GM Pause
42,321,388,"> 80%, < 90%",Tier 2,GM Pause
44,352,389,>90%,Tier 1,ISA On in Total Store
12,149,390,"> 80%, < 90%",Tier 2,GM Pause
12,4,391,>90%,Tier 1,ISA On in Total Store
44,344,392,"> 80%, < 90%",Tier 2,GM Pause
12,147,393,"> 80%, < 90%",Tier 2,GM Pause
12,137,394,< 80%,Tier 3,Total Store ISA Pause
6,80,395,>90%,Tier 1,ISA On in Total Store
2,39,396,< 80%,Tier 3,Total Store ISA Pause
6,80,397,"> 80%, < 90%",Tier 2,GM Pause
5,46,398,>90%,Tier 1,ISA On in Total Store
5,46,399,"> 80%, < 90%",Tier 2,GM Pause
6,68,400,"> 80%, < 90%",Tier 2,GM Pause
13,131,401,>90%,Tier 1,ISA On in Total Store
13,132,402,"> 80%, < 90%",Tier 2,GM Pause
12,137,403,"> 80%, < 90%",Tier 2,GM Pause
6,87,404,>90%,Tier 1,ISA On in Total Store
13,134,405,"> 80%, < 90%",Tier 2,GM Pause
12,153,406,"> 80%, < 90%",Tier 2,GM Pause
5,81,407,>90%,Tier 1,ISA On in Total Store
13,66,408,< 80%,Tier 3,Total Store ISA Pause
12,137,409,>90%,Tier 1,ISA On in Total Store
41,146,410,"> 80%, < 90%",Tier 2,GM Pause
14,138,411,"> 80%, < 90%",Tier 2,GM Pause
5,45,412,>90%,Tier 1,ISA On in Total Store
6,569,413,>90%,Tier 1,ISA On in Total Store
44,349,414,"> 80%, < 90%",Tier 2,GM Pause
13,132,415,>90%,Tier 1,ISA On in Total Store
12,151,416,"> 80%, < 90%",Tier 2,GM Pause
44,47,417,< 80%,Tier 3,Total Store ISA Pause
47,407,418,"> 80%, < 90%",Tier 2,GM Pause
47,406,419,>90%,Tier 1,ISA On in Total Store
44,349,420,"> 80%, < 90%",Tier 2,GM Pause
5,479,421,>90%,Tier 1,ISA On in Total Store
25,273,422,"> 80%, < 90%",Tier 2,GM Pause
14,13,423,< 80%,Tier 3,Total Store ISA Pause
14,8,424,"> 80%, < 90%",Tier 2,GM Pause
14,11,425,"> 80%, < 90%",Tier 2,GM Pause
5,53,426,>90%,Tier 1,ISA On in Total Store
44,47,427,>90%,Tier 1,ISA On in Total Store
13,130,428,>90%,Tier 1,ISA On in Total Store
6,80,429,>90%,Tier 1,ISA On in Total Store
41,253,430,"> 80%, < 90%",Tier 2,GM Pause
41,253,431,>90%,Tier 1,ISA On in Total Store
14,10,432,"> 80%, < 90%",Tier 2,GM Pause
12,5,433,>90%,Tier 1,ISA On in Total Store
12,5,434,>90%,Tier 1,ISA On in Total Store
25,272,435,>90%,Tier 1,ISA On in Total Store
25,272,436,"> 80%, < 90%",Tier 2,GM Pause
6,84,437,>90%,Tier 1,ISA On in Total Store
5,74,438,"> 80%, < 90%",Tier 2,GM Pause
6,78,440,"> 80%, < 90%",Tier 2,GM Pause
6,78,442,"> 80%, < 90%",Tier 2,GM Pause
46,88,443,< 80%,Tier 3,Total Store ISA Pause
40,333,444,"> 80%, < 90%",Tier 2,GM Pause
41,256,445,"> 80%, < 90%",Tier 2,GM Pause
6,85,446,"> 80%, < 90%",Tier 2,GM Pause
46,88,447,>90%,Tier 1,ISA On in Total Store
42,127,448,>90%,Tier 1,ISA On in Total Store
13,66,449,>90%,Tier 1,ISA On in Total Store
42,127,450,>90%,Tier 1,ISA On in Total Store
40,359,451,>90%,Tier 1,ISA On in Total Store
6,80,452,< 80%,Tier 3,Total Store ISA Pause
12,329,453,< 80%,Tier 3,Total Store ISA Pause
25,273,454,"> 80%, < 90%",Tier 2,GM Pause
6,569,456,"> 80%, < 90%",Tier 2,GM Pause
13,66,457,>90%,Tier 1,ISA On in Total Store
6,78,458,>90%,Tier 1,ISA On in Total Store
2,25,459,"> 80%, < 90%",Tier 2,GM Pause
46,88,461,"> 80%, < 90%",Tier 2,GM Pause
6,61,462,"> 80%, < 90%",Tier 2,GM Pause
6,84,463,>90%,Tier 1,ISA On in Total Store
6,78,464,"> 80%, < 90%",Tier 2,GM Pause
6,77,465,>90%,Tier 1,ISA On in Total Store
12,147,466,>90%,Tier 1,ISA On in Total Store
5,52,467,>90%,Tier 1,ISA On in Total Store
44,47,468,>90%,Tier 1,ISA On in Total Store
13,66,469,"> 80%, < 90%",Tier 2,GM Pause
6,78,470,"> 80%, < 90%",Tier 2,GM Pause
5,49,471,>90%,Tier 1,ISA On in Total Store
44,356,472,"> 80%, < 90%",Tier 2,GM Pause
6,85,473,"> 80%, < 90%",Tier 2,GM Pause
5,83,475,"> 80%, < 90%",Tier 2,GM Pause
5,81,476,< 80%,Tier 3,Total Store ISA Pause
2,119,477,>90%,Tier 1,ISA On in Total Store
6,77,478,< 80%,Tier 3,Total Store ISA Pause
44,349,479,>90%,Tier 1,ISA On in Total Store
25,275,480,"> 80%, < 90%",Tier 2,GM Pause
25,273,481,"> 80%, < 90%",Tier 2,GM Pause
6,61,482,"> 80%, < 90%",Tier 2,GM Pause
14,8,483,"> 80%, < 90%",Tier 2,GM Pause
47,411,484,"> 80%, < 90%",Tier 2,GM Pause
13,129,485,"> 80%, < 90%",Tier 2,GM Pause
40,362,486,>90%,Tier 1,ISA On in Total Store
3,97,488,"> 80%, < 90%",Tier 2,GM Pause
13,128,489,>90%,Tier 1,ISA On in Total Store
6,78,490,>90%,Tier 1,ISA On in Total Store
41,253,491,< 80%,Tier 3,Total Store ISA Pause
25,273,492,>90%,Tier 1,ISA On in Total Store
41,260,493,>90%,Tier 1,ISA On in Total Store
3,16,494,"> 80%, < 90%",Tier 2,GM Pause
14,138,495,"> 80%, < 90%",Tier 2,GM Pause
41,242,497,"> 80%, < 90%",Tier 2,GM Pause
13,134,498,"> 80%, < 90%",Tier 2,GM Pause
44,344,499,"> 80%, < 90%",Tier 2,GM Pause
46,505,500,>90%,Tier 1,ISA On in Total Store
13,141,501,>90%,Tier 1,ISA On in Total Store
13,129,502,"> 80%, < 90%",Tier 2,GM Pause
6,84,503,>90%,Tier 1,ISA On in Total Store
6,61,504,< 80%,Tier 3,Total Store ISA Pause
13,134,505,>90%,Tier 1,ISA On in Total Store
25,273,506,"> 80%, < 90%",Tier 2,GM Pause
41,260,507,"> 80%, < 90%",Tier 2,GM Pause
6,506,508,>90%,Tier 1,ISA On in Total Store
2,21,510,"> 80%, < 90%",Tier 2,GM Pause
4,38,511,>90%,Tier 1,ISA On in Total Store
46,505,512,"> 80%, < 90%",Tier 2,GM Pause
46,73,513,>90%,Tier 1,ISA On in Total Store
2,39,514,"> 80%, < 90%",Tier 2,GM Pause
2,18,515,"> 80%, < 90%",Tier 2,GM Pause
5,45,516,"> 80%, < 90%",Tier 2,GM Pause
44,353,517,< 80%,Tier 3,Total Store ISA Pause
2,26,518,>90%,Tier 1,ISA On in Total Store
41,260,519,"> 80%, < 90%",Tier 2,GM Pause
2,25,520,"> 80%, < 90%",Tier 2,GM Pause
13,66,521,>90%,Tier 1,ISA On in Total Store
6,60,522,>90%,Tier 1,ISA On in Total Store
5,46,523,"> 80%, < 90%",Tier 2,GM Pause
6,84,524,"> 80%, < 90%",Tier 2,GM Pause
72,549,525,"> 80%, < 90%",Tier 2,GM Pause
41,242,526,"> 80%, < 90%",Tier 2,GM Pause
6,61,527,>90%,Tier 1,ISA On in Total Store
9,115,528,>90%,Tier 1,ISA On in Total Store
6,61,529,>90%,Tier 1,ISA On in Total Store
42,327,530,>90%,Tier 1,ISA On in Total Store
13,132,531,>90%,Tier 1,ISA On in Total Store
