STORE_NUMBER,DC_NUMBER,WMT ITEM NUMBER,ITEM DESCRIPTION,CASE QUANTITY,RETURN AUTHORIZATION
2023,7034,672846381,FBZ AE LUX VS 2 CT,39,6905383165
1240,6031,672846381,FBZ AE LUX VS 2 CT,34,6710182941
3478,7033,672846381,FBZ AE LUX VS 2 CT,42,7310183801
3548,6080,672846381,FBZ AE LUX VS 2 CT,37,9155485297
1120,6035,672846209,GLD CND DEW 2CT,26,5405573036
196,6066,672846209,GLD CND DEW 2CT,23,8854892704
5848,6026,672846209,GLD CND DEW 2CT,10,7155382913
3745,6048,672846209,GLD CND DEW 2CT,21,7205382607
5848,6026,672846209,GLD CND DEW 2CT,13,7155382934
1704,6026,672846209,GLD CND DEW 2CT,22,7155382936
4132,6021,672846209,GLD CND DEW 2CT,22,4708974062
5232,6019,672846209,GLD CND DEW 2CT,25,2556062973
1279,7036,672846209,GLD CND DEW 2CT,23,2655962722
1928,6043,672846209,GLD CND DEW 2CT,21,8310402859
4383,6043,672846209,GLD CND DEW 2CT,15,8310402861
2944,7035,672846209,GLD CND DEW 2CT,21,9905573865
1130,6070,672846209,GLD CND DEW 2CT,23,9355573096
5338,7033,672846209,GLD CND DEW 2CT,23,7310183772
2204,6092,672846209,GLD CND DEW 2CT,22,8055803170
768,7036,672846209,GLD CND DEW 2CT,23,2655962714
1008,6019,672846209,GLD CND DEW 2CT,21,2556062978
96,6035,672846209,GLD CND DEW 2CT,23,5405573035
564,6068,672846209,GLD CND DEW 2CT,22,7405683653
331,6048,672846215,GLD CND SEACY 2CT,22,7205382590
4383,6043,672846215,GLD CND SEACY 2CT,19,8310402841
5842,6043,672846215,GLD CND SEACY 2CT,21,8310402842
5103,7034,672846215,GLD CND SEACY 2CT,22,6905383124
2163,6080,672846215,GLD CND SEACY 2CT,21,9155485344
5326,7035,672846215,GLD CND SEACY 2CT,23,9905573846
1178,6068,672846215,GLD CND SEACY 2CT,23,7405683641
2145,6080,672846215,GLD CND SEACY 2CT,22,9155485347
633,6092,672846215,GLD CND SEACY 2CT,26,8055803186
5075,7033,672846215,GLD CND SEACY 2CT,23,7310183756
1342,6048,672846215,GLD CND SEACY 2CT,23,7205382586
3823,6035,672846229,GLD OIL DEW 5CT,21,5405573054
3035,6023,672846229,GLD OIL DEW 5CT,21,7955803089
752,7036,672846229,GLD OIL DEW 5CT,22,2655962659
1102,6048,672846229,GLD OIL DEW 5CT,22,7205382610
4538,7036,672846229,GLD OIL DEW 5CT,22,2655962663
464,7036,672846229,GLD OIL DEW 5CT,23,2655962678
5312,6068,672846229,GLD OIL DEW 5CT,20,7405683624
5198,7035,672846229,GLD OIL DEW 5CT,23,9905573844
2306,6006,672846229,GLD OIL DEW 5CT,22,7205682862
1882,6021,672846229,GLD OIL DEW 5CT,23,4708974078
3047,6021,672846229,GLD OIL DEW 5CT,22,4708974079
1879,7033,672846229,GLD OIL DEW 5CT,48,7310183782
785,6011,672846229,GLD OIL DEW 5CT,23,8255802650
875,6011,672846229,GLD OIL DEW 5CT,23,8255802649
3700,6070,672846229,GLD OIL DEW 5CT,23,9355573060
243,6069,672846229,GLD OIL DEW 5CT,20,8804892872
1055,6068,672846229,GLD OIL DEW 5CT,21,7405683620
662,6006,672846229,GLD OIL DEW 5CT,22,7205682865
428,6048,672846229,GLD OIL DEW 5CT,22,7205382611
1717,6023,672846229,GLD OIL DEW 5CT,20,7955803091
5294,6080,672846229,GLD OIL DEW 5CT,47,9155485339
4241,6094,672846229,GLD OIL DEW 5CT,22,8372502051
345,6036,672846229,GLD OIL DEW 5CT,21,1403955452
4423,7045,672846229,GLD OIL DEW 5CT,21,8705682851
2857,6035,672846228,GLD OIL OAK 5CT,21,5405573044
532,6048,672846228,GLD OIL OAK 5CT,22,7205382589
1148,6068,672846228,GLD OIL OAK 5CT,21,7405683576
4591,6066,672846228,GLD OIL OAK 5CT,22,8854892737
5160,6043,672846228,GLD OIL OAK 5CT,22,8310402851
1319,6039,672846228,GLD OIL OAK 5CT,22,4455682751
2371,6080,672846228,GLD OIL OAK 5CT,21,9155485353
3520,6080,672846228,GLD OIL OAK 5CT,21,9155485354
5,6018,672846228,GLD OIL OAK 5CT,22,8754892582
2739,6011,672846228,GLD OIL OAK 5CT,21,8255802652
592,6094,672846228,GLD OIL OAK 5CT,22,8372502069
1009,6094,672846228,GLD OIL OAK 5CT,23,8372502067
2886,7033,672846228,GLD OIL OAK 5CT,23,7310183724
2204,6092,672846228,GLD OIL OAK 5CT,22,8055803170
1884,6080,672846228,GLD OIL OAK 5CT,23,9155485355
2549,6037,672846228,GLD OIL OAK 5CT,21,7255383028
1671,6035,672846228,GLD OIL OAK 5CT,21,5405573043
491,6066,672846228,GLD OIL OAK 5CT,21,8854892752
331,6048,672846228,GLD OIL OAK 5CT,22,7205382590
231,6068,672846228,GLD OIL OAK 5CT,24,7405683574
1179,6039,672846228,GLD OIL OAK 5CT,22,4455682755
182,6018,672846226,GLD OIL PET KIT,28,8754892563
5398,6092,672846226,GLD OIL PET KIT,26,8055803108
3796,7033,672846226,GLD OIL PET KIT,28,7310183737
2167,7034,672846226,GLD OIL PET KIT,28,6905383131
2106,6026,672846226,GLD OIL PET KIT,28,7155382979
1344,7045,672846226,GLD OIL PET KIT,27,8705682883
3302,7036,672846226,GLD OIL PET KIT,27,2655962724
23,6048,672846226,GLD OIL PET KIT,29,7205382580
2817,6092,672846226,GLD OIL PET KIT,26,8055803106
4627,6068,672846226,GLD OIL PET KIT,29,7405683564
2066,7036,672846226,GLD OIL PET KIT,28,2655962725
1161,6069,672846226,GLD OIL PET KIT,27,8804892894
1118,6036,672846226,GLD OIL PET KIT,30,1403955497
2194,6023,672846226,GLD OIL PET KIT,28,7955803113
727,6006,673759449,GLD SPRAY DEW 2CT,36,7205682787
308,6006,673759449,GLD SPRAY DEW 2CT,34,7205682792
2809,7045,673759449,GLD SPRAY DEW 2CT,36,8705682832
4049,6092,673759449,GLD SPRAY DEW 2CT,35,8055803118
888,6035,673759449,GLD SPRAY DEW 2CT,35,5405573059
5441,6035,673759449,GLD SPRAY DEW 2CT,34,5405573060
5139,6026,673759449,GLD SPRAY DEW 2CT,36,7155382956
5968,6023,673759449,GLD SPRAY DEW 2CT,33,7955803118
1405,7036,673759449,GLD SPRAY DEW 2CT,35,2655962715
1196,6048,673759449,GLD SPRAY DEW 2CT,34,7205382644
5215,6021,673759449,GLD SPRAY DEW 2CT,35,4708974084
2458,6021,673759449,GLD SPRAY DEW 2CT,34,4708974087
866,6011,673759449,GLD SPRAY DEW 2CT,34,8255802645
6978,7035,673759449,GLD SPRAY DEW 2CT,35,9905573873
15,6069,673759449,GLD SPRAY DEW 2CT,35,8804892786
3460,6092,673759449,GLD SPRAY DEW 2CT,34,8055803126
1186,7036,673759449,GLD SPRAY DEW 2CT,35,2655962713
3035,6023,673759449,GLD SPRAY DEW 2CT,30,7955803119
551,7035,673759449,GLD SPRAY DEW 2CT,34,9905573877
848,6018,673759449,GLD SPRAY DEW 2CT,34,8754892570
777,6048,673759449,GLD SPRAY DEW 2CT,34,7205382651
92,6094,673759449,GLD SPRAY DEW 2CT,35,8372501969
5893,6043,673759449,GLD SPRAY DEW 2CT,36,8310402818
5014,6070,673759449,GLD SPRAY DEW 2CT,31,9355573050
3362,6066,673759449,GLD SPRAY DEW 2CT,36,8854892746
2593,7033,673000242,WNDX FOAM AERO 19OZ,35,7310183704
1206,6048,673000242,WNDX FOAM AERO 19OZ,30,7205382588
5686,6021,673000242,WNDX FOAM AERO 19OZ,32,4708974063
5293,6080,673000242,WNDX FOAM AERO 19OZ,33,9155485332
2206,6021,673000242,WNDX FOAM AERO 19OZ,32,4708974071
1062,7036,673000242,WNDX FOAM AERO 19OZ,35,2655962695
3159,6080,673000242,WNDX FOAM AERO 19OZ,26,9155485336
699,6018,673000242,WNDX FOAM AERO 19OZ,34,8754892574
699,6018,673000242,WNDX FOAM AERO 19OZ,34,8754892590
3406,6068,673000242,WNDX FOAM AERO 19OZ,35,7405683571
112,6006,673000242,WNDX FOAM AERO 19OZ,33,7205682779
307,6048,673000242,WNDX FOAM AERO 19OZ,35,7205382591
1588,7033,673000242,WNDX FOAM AERO 19OZ,30,7310183707
1035,6070,673000242,WNDX FOAM AERO 19OZ,32,9355573094
7020,6066,673000242,WNDX FOAM AERO 19OZ,32,8854892697
3710,6054,673344932,GV DISH GUAVA 28FLOZ,13,1316751993
4336,6031,673344932,GV DISH GUAVA 28FLOZ,15,6710182907
2291,7033,673344930,GV DISH GUAVA 90FLOZ,48,7310183802
3831,6023,673344930,GV DISH GUAVA 90FLOZ,7,7955803086
1839,6024,673344933,GV DISH LIME 28FLOZ,10,8310603085
1911,6024,673344933,GV DISH LIME 28FLOZ,10,8310603086
725,6020,673344933,GV DISH LIME 28FLOZ,24,6755382934
759,6020,673344933,GV DISH LIME 28FLOZ,22,6755382935
1574,6021,673344934,GV DISH LIME 90FLOZ,54,4708974041
1348,6040,673359556,ALL FC UD 80CT,9,6805383013
5477,6069,673359556,ALL FC UD 80CT,9,8804892880
846,7036,673359556,ALL FC UD 80CT,8,2655962690
906,6031,673359556,ALL FC UD 80CT,8,6710182942
8331,6080,673359556,ALL FC UD 80CT,8,9155485292
2185,6027,673359556,ALL FC UD 80CT,9,7110483058
562,6006,673359556,ALL FC UD 80CT,10,7205682899
4697,7045,673359556,ALL FC UD 80CT,8,8705682839
3351,7033,673359556,ALL FC UD 80CT,8,7310183752
2869,6043,673359556,ALL FC UD 80CT,8,8310402822
382,6035,673359556,ALL FC UD 80CT,9,5405573053
7262,6048,672945511,GAIN FLGS MB 102CT,38,7205382584
856,6054,672945511,GAIN FLGS MB 102CT,35,1316752018
622,6094,672945511,GAIN FLGS MB 102CT,40,8372502056
1910,6026,672945511,GAIN FLGS MB 102CT,38,7155382982
2294,6080,672945511,GAIN FLGS MB 102CT,8,9155485330
5617,6092,672945511,GAIN FLGS MB 102CT,38,8055803100
1849,6070,672945511,GAIN FLGS MB 102CT,36,9355573112
5866,6068,672945513,GAIN FLGS ODDF 102CT,7,7405683549
365,6011,672945513,GAIN FLGS ODDF 102CT,9,8255802597
3658,6023,672945513,GAIN FLGS ODDF 102CT,7,7955803088
430,6066,672945513,GAIN FLGS ODDF 102CT,8,8854892734
894,6094,672945513,GAIN FLGS ODDF 102CT,7,8372502043
1849,6070,672945513,GAIN FLGS ODDF 102CT,7,9355573112
700,6006,672945513,GAIN FLGS ODDF 102CT,8,7205682863
5348,6054,672945513,GAIN FLGS ODDF 102CT,9,1316752009
966,7026,672945513,GAIN FLGS ODDF 102CT,8,6955382704
1802,6035,672945513,GAIN FLGS ODDF 102CT,8,5405573058
700,6006,672945513,GAIN FLGS ODDF 102CT,8,7205682895
3503,6070,672945510,GAIN FLGS ORG 102CT,4,9355573042
3503,6070,672945510,GAIN FLGS ORG 102CT,33,9355573054
655,6066,672945510,GAIN FLGS ORG 102CT,38,8854892780
356,6054,672945510,GAIN FLGS ORG 102CT,36,1316751990
2780,7026,672945510,GAIN FLGS ORG 102CT,35,6955382681
101,6069,672945510,GAIN FLGS ORG 102CT,38,8804892814
1,6094,672945510,GAIN FLGS ORG 102CT,38,8372501946
1974,6030,672945510,GAIN FLGS ORG 102CT,8,6855383094
3380,6037,672945510,GAIN FLGS ORG 102CT,35,7255383015
3823,6035,672945510,GAIN FLGS ORG 102CT,39,5405573054
6932,6048,672945510,GAIN FLGS ORG 102CT,37,7205382583
551,7035,672945510,GAIN FLGS ORG 102CT,8,9905573877
1400,6054,672945514,GAIN FLGS OXI 102CT,7,1316751971
3611,6054,672945514,GAIN FLGS OXI 102CT,8,1316751970
5476,7034,672945514,GAIN FLGS OXI 102CT,7,6905383088
2559,6043,672945514,GAIN FLGS OXI 102CT,8,8310402836
785,6011,672945514,GAIN FLGS OXI 102CT,7,8255802601
1199,6019,672945514,GAIN FLGS OXI 102CT,7,2556062952
3867,6019,672945514,GAIN FLGS OXI 102CT,7,2556062945
2200,6030,672945514,GAIN FLGS OXI 102CT,6,6855383058
5287,7036,672945514,GAIN FLGS OXI 102CT,7,2655962704
1783,6066,672945514,GAIN FLGS OXI 102CT,8,8854892787
682,6066,672945514,GAIN FLGS OXI 102CT,8,8854892793
682,6066,672945514,GAIN FLGS OXI 102CT,8,8854892810
1783,6066,672945514,GAIN FLGS OXI 102CT,8,8854892822
842,6019,672945514,GAIN FLGS OXI 102CT,8,2556062947
219,6069,672945514,GAIN FLGS OXI 102CT,8,8804892868
224,6069,672945514,GAIN FLGS OXI 102CT,7,8804892877
4,6094,672945514,GAIN FLGS OXI 102CT,7,8372501945
3,6054,672945514,GAIN FLGS OXI 102CT,7,1316751974
896,6068,672945514,GAIN FLGS OXI 102CT,8,7405683606
541,6011,672945514,GAIN FLGS OXI 102CT,7,8255802602
867,6019,672945514,GAIN FLGS OXI 102CT,10,2556062949
3371,6070,672945514,GAIN FLGS OXI 102CT,7,9355573057
2841,7034,672945514,GAIN FLGS OXI 102CT,9,6905383091
4468,7036,673104044,TIDE LQ FREE OR 73Z,10,2655962666
1790,6043,673104044,TIDE LQ FREE OR 73Z,9,8310402849
2084,7026,673104044,TIDE LQ FREE OR 73Z,9,6955382728
3144,6037,673104044,TIDE LQ FREE OR 73Z,9,7255383054
4335,6019,673104044,TIDE LQ FREE OR 73Z,11,2556063020
1400,6054,673104044,TIDE LQ FREE OR 73Z,11,1316751996
2006,6037,673104044,TIDE LQ FREE OR 73Z,10,7255383056
5175,6066,673104044,TIDE LQ FREE OR 73Z,10,8854892764
2064,6080,673104044,TIDE LQ FREE OR 73Z,10,9155485357
794,6035,673104044,TIDE LQ FREE OR 73Z,10,5405573081
7280,6006,673104044,TIDE LQ FREE OR 73Z,10,7205682772
755,6012,673104044,TIDE LQ FREE OR 73Z,9,9955572902
6397,7038,673104044,TIDE LQ FREE OR 73Z,9,7110182930
5777,6030,673104044,TIDE LQ FREE OR 73Z,9,6855383047
392,6094,672945608,TIDE LQ ODOR 148OZ,25,8372501983
2103,6030,672945608,TIDE LQ ODOR 148OZ,22,6855383069
144,6094,672945608,TIDE LQ ODOR 148OZ,24,8372502001
379,6069,672945608,TIDE LQ ODOR 148OZ,26,8804892853
