Store Number,Last Date Visited,Is the MacBook display present?,Is the MacBook display powered on?,Why is the MacBook display not powered on?,
555,2/27/2025,Yes,No,No power to the display,
1464,2/28/2025,Yes,No,Screen Cracked,
3495,2/28/2025,Yes,No,Screen Cracked,
277,2/26/2025,Yes,No,No power to the display,
1382,2/26/2025,Yes,No,No power to the display,
1483,2/24/2025,Yes,No,Screen Cracked,
1750,2/24/2025,Yes,No,No power to the display,
586,2/24/2025,Yes,No,Screen Cracked,
2037,2/27/2025,Yes,No,No power to the display,
275,2/24/2025,Yes,No,No power to the 4ft section,
1568,3/1/2025,Yes,No,Screen Cracked,
773,2/26/2025,Yes,No,Screen Cracked,
1620,2/27/2025,Yes,No,No power to the display,
1519,2/28/2025,Yes,No,Screen Cracked,
734,2/27/2025,Yes,No,No power to the display,
5124,2/24/2025,Yes,No,No power to the display,
720,2/28/2025,Yes,No,Screen Cracked,
2587,2/26/2025,Yes,No,No power to the 4ft section,
2990,2/25/2025,Yes,No,Screen Cracked,
3370,2/27/2025,Yes,No,Screen Cracked,
3897,2/27/2025,Yes,No,Screen Cracked,
492,2/25/2025,Yes,No,Screen Cracked,
197,2/27/2025,Yes,No,No power to the display,
2196,2/24/2025,Yes,No,Screen Cracked,
2387,2/24/2025,Yes,No,No power to the 4ft section,
746,2/27/2025,Yes,No,Screen Cracked,
1820,2/24/2025,Yes,No,No power to the 4ft section,
185,2/27/2025,Yes,No,No power to the 4ft section,
1490,2/26/2025,Yes,No,Screen Cracked,
1674,2/27/2025,Yes,No,No power to the 4ft section,
870,2/26/2025,Yes,No,Screen Cracked,
4593,2/27/2025,Yes,No,No power to the display,
1866,2/25/2025,Yes,No,Screen Cracked,
533,2/27/2025,Yes,No,Screen Cracked,
1312,2/27/2025,Yes,No,Screen Cracked,
1740,2/24/2025,Yes,No,Screen Cracked,
1245,2/26/2025,Yes,No,No power to the display,
1030,2/27/2025,Yes,No,Screen Cracked,
1466,2/21/2025,Yes,No,Screen Cracked,
1645,2/28/2025,Yes,No,Screen Cracked,
1687,2/25/2025,Yes,No,Screen Cracked,
5045,2/28/2025,Yes,No,Screen Cracked,
2121,2/27/2025,Yes,No,No power to the 4ft section,
5477,2/26/2025,Yes,No,Screen Cracked,
4538,2/24/2025,Yes,No,No power to the display,
813,2/26/2025,Yes,No,Screen Cracked,
2605,2/26/2025,Yes,No,Screen Cracked,
4635,2/25/2025,Yes,No,Screen Cracked,
3705,2/28/2025,Yes,No,No power to the display,
308,3/1/2025,Yes,No,No power to the 4ft section,
1279,2/26/2025,Yes,No,No power to the display,
703,2/24/2025,Yes,No,Screen Cracked,
3224,2/24/2025,Yes,No,No power to the 4ft section,
5335,2/25/2025,Yes,No,Screen Cracked,
174,2/26/2025,Yes,No,No power to the display,
4335,2/26/2025,Yes,No,Screen Cracked,
543,2/26/2025,Yes,No,Screen Cracked,
499,2/25/2025,Yes,No,No power to the display,
